"","Table 1#5#4# Price Indexes for Gross Domestic Product, Expanded ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"16","8","      Other durable goods","DODGRG3",30.258,30.608,29.984,30.176,30.184,30.5,30.749,30.941,31.021,30.908,29.993,29.852,29.707,29.799,30.069,30.45,31.676,31.708,32.155,31.854,31.718,31.666,31.667,32.046,31.945,31.783,31.974,31.977,32.046,31.526,30.889,30.59,30.885,30.821,30.866,30.905,30.998,31.137,31.29,31.345,31.194,31.451,31.468,31.475,31.363,31.538,31.443,31.401,31.571,31.602,31.595,31.571,31.641,31.676,31.69,31.677,31.694,31.6,31.575,31.552,31.607,31.207,31.579,31.493,31.603,31.567,31.528,31.85,32.24,32.483,32.512,32.557,32.306,32.485,32.385,31.952,31.921,32.213,32.317,32.64,32.903,32.923,33.088,33.247,33.396,33.392,33.856,34.423,34.982
"17","9","    Nondurable goods","DNDGRG3",17.642,17.814,18.136,18.684,18.991,19.182,19.368,19.169,18.879,18.637,18.426,18.288,18.173,18.257,18.781,19.211,20.02,20.202,20.159,20.413,20.434,20.358,20.394,20.478,20.389,20.304,20.347,20.341,20.409,20.477,20.396,20.301,20.3,20.242,20.262,20.25,20.299,20.488,20.684,20.747,20.939,21.052,21.276,21.361,21.701,21.742,21.676,21.566,21.632,21.639,21.732,21.813,21.782,21.939,22.004,22.127,22.161,22.006,22.047,22.005,22.092,22.15,22.171,22.287,22.319,22.297,22.461,22.506,22.641,22.636,22.705,22.797,22.866,23.082,23.209,23.261,23.573,23.773,23.94,24.089,24.083,24.121,24.374,24.538,24.792,25.027,25.267,25.53,25.72
"18","10","      Food and beverages purchased for off-premises consumption","DFXARG3",16.454,16.497,16.849,17.458,17.628,17.709,17.824,17.425,17.185,17.014,16.825,16.731,16.566,16.689,17.243,17.599,18.602,18.779,18.726,19.15,19.244,19.241,19.351,19.249,18.974,18.843,18.882,18.89,18.929,19.049,18.852,18.714,18.692,18.563,18.5,18.412,18.393,18.627,18.823,18.864,19.038,19.111,19.379,19.44,20.014,20.187,20.037,19.939,19.905,19.791,19.837,19.819,19.774,20.025,20.009,20.208,20.262,20.113,20.047,19.996,20.186,20.232,20.262,20.348,20.436,20.354,20.538,20.55,20.767,20.787,20.935,21.045,21.003,21.3,21.461,21.457,21.951,22.191,22.3,22.373,22.148,22.056,22.319,22.405,22.62,22.794,22.968,23.24,23.335
"19","11","      Clothing and footwear","DCLORG3",45.764,46.668,47.116,48.053,49.041,49.835,50.123,50.128,48.971,47.969,47.115,46.495,46.25,46.33,47.41,49.04,50.832,51.618,51.637,51.458,51.087,50.137,49.642,51.201,51.275,50.329,50.107,49.88,50.456,50.38,50.76,50.495,50.311,50.261,50.489,50.481,50.82,51.163,51.588,51.803,51.953,52.037,52.132,52.308,52.33,52.342,52.336,52.309,52.509,52.669,52.906,53.022,53.146,53.429,53.629,53.732,53.758,53.646,53.895,53.873,53.672,53.882,54.1,54.163,54.222,54.323,54.469,54.697,54.875,55,54.957,54.93,55.137,55.254,55.562,55.724,56.175,56.639,57.209,57.78,58.431,58.96,59.611,60.19,61.093,62.218,63.233,64.051,64.884
"20","12","      Gasoline and other energy goods","DGOERG3",7.538,7.751,7.987,8.348,8.731,8.962,9.122,9.187,9.158,9.145,9.128,9.102,9.111,9.129,9.292,9.407,9.516,9.494,9.429,9.526,9.59,9.637,9.709,9.718,9.816,9.939,10.143,10.233,10.227,10.231,10.175,10.15,10.205,10.259,10.35,10.403,10.453,10.521,10.728,10.802,11.028,11.157,11.139,11.134,11.181,10.946,11.01,10.827,11.023,11.11,11.102,11.35,11.217,11.218,11.456,11.485,11.477,11.171,11.425,11.357,11.318,11.387,11.351,11.605,11.497,11.359,11.476,11.441,11.403,11.284,11.265,11.397,11.593,11.703,11.737,11.863,11.871,11.897,12.046,12.198,12.284,12.371,12.442,12.48,12.565,12.547,12.666,12.705,12.851
"21","13","      Other nondurable goods","DONGRG3",15.032,15.162,15.362,15.642,15.873,16.015,16.347,16.366,16.115,15.831,15.688,15.556,15.53,15.563,16.022,16.356,16.796,16.905,16.896,17.006,16.962,16.949,16.981,16.971,17.106,17.283,17.266,17.217,17.215,17.255,17.277,17.309,17.377,17.387,17.451,17.556,17.644,17.735,17.779,17.807,17.961,18.133,18.483,18.662,18.752,18.773,18.769,18.714,18.811,18.953,19.182,19.284,19.341,19.346,19.353,19.373,19.398,19.407,19.395,19.402,19.458,19.463,19.449,19.484,19.517,19.683,19.811,19.925,20.006,20.014,20.025,20.063,20.168,20.3,20.352,20.401,20.513,20.657,20.778,20.894,21.001,21.072,21.277,21.52,21.725,21.955,22.118,22.321,22.476
"22","14","  Services","DSERRG3",9.022,9.072,9.289,9.499,9.555,9.649,9.794,9.83,9.823,9.844,9.875,9.946,9.989,10.026,10.179,10.31,10.498,10.575,10.632,10.793,10.869,10.955,11.071,11.156,11.273,11.359,11.508,11.622,11.688,11.711,11.731,11.783,11.852,11.895,11.952,12.025,12.095,12.165,12.267,12.343,12.455,12.514,12.619,12.711,12.803,12.847,12.908,12.973,13.068,13.163,13.287,13.403,13.463,13.537,13.627,13.698,13.733,13.793,13.86,13.919,14.002,14.07,14.122,14.167,14.233,14.274,14.321,14.396,14.466,14.539,14.612,14.677,14.739,14.801,14.876,14.97,15.065,15.204,15.344,15.496,15.602,15.715,15.837,15.987,16.178,16.371,16.561,16.762,16.977
"23","15","    Household consumption expenditures (for services)","DHCERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.488,12.571,12.683,12.8,12.88,12.969,13.067,13.139,13.168,13.221,13.282,13.339,13.421,13.487,13.538,13.582,13.644,13.682,13.728,13.801,13.871,13.944,14.014,14.078,14.133,14.19,14.263,14.351,14.441,14.573,14.707,14.852,14.957,15.063,15.18,15.325,15.509,15.696,15.878,16.07,16.272
"24","16","      Housing and utilities","DHUTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.418,15.524,15.608,15.712,15.769,15.819,15.894,15.953,15.988,16.068,16.108,16.117,16.187,16.212,16.278,16.294,16.359,16.402,16.418,16.484,16.496,16.544,16.592,16.614,16.643,16.679,16.714,16.775,16.847,16.909,16.939,17.039,17.123,17.178,17.252,17.346,17.447,17.565,17.667,17.796,17.923
"25","17","      Health care","DHLCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.908,6.981,7.056,7.196,7.263,7.462,7.612,7.696,7.68,7.656,7.67,7.704,7.767,7.845,7.905,7.973,8.012,8.055,8.13,8.181,8.269,8.334,8.397,8.483,8.538,8.608,8.659,8.721,8.808,8.933,9.08,9.241,9.382,9.507,9.66,9.812,9.971,10.117,10.262,10.429,10.61
"26","18","      Transportation services","DTRSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.367,15.498,15.615,15.692,15.791,15.82,15.91,16.043,16.173,16.326,16.427,16.493,16.587,16.717,16.765,16.758,16.748,16.759,16.779,16.829,16.946,16.966,17.014,17.074,17.145,17.257,17.338,17.434,17.416,17.474,17.677,17.865,18.009,18.185,18.36,18.51,18.747,18.98,19.175,19.455,19.772
"27","19","      Recreation services","DRCARG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.09,16.358,16.624,16.829,16.938,17.018,17.153,17.237,17.401,17.485,17.616,17.738,17.84,17.933,18.012,18.127,18.162,18.264,18.433,18.61,18.719,18.802,18.965,19.036,19.109,19.22,19.335,19.399,19.568,19.737,19.795,19.992,20.13,20.313,20.552,20.866,21.202,21.443,21.702,21.894,22.096
"28","20","      Food services and accommodations","DFSARG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.829,13.006,13.142,13.223,13.345,13.381,13.428,13.457,13.537,13.624,13.713,13.814,13.874,13.965,14.066,14.143,14.229,14.301,14.318,14.41,14.46,14.542,14.556,14.589,14.685,14.733,14.865,15.01,15.105,15.282,15.5,15.696,15.946,16.176,16.339,16.538,16.746,16.965,17.224,17.454,17.677
"29","21","      Financial services and insurance","DIFSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.628,11.58,11.629,11.762,11.937,12.072,12.239,12.389,12.392,12.438,12.628,12.821,13.05,13.137,13.094,13.071,13.103,13.028,13.086,13.193,13.392,13.576,13.743,13.893,13.876,13.909,14.023,14.186,14.499,14.76,14.982,15.129,15.073,15.06,15.176,15.423,15.716,16.118,16.526,16.87,17.309
"30","22","      Other services","DOTSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.815,13.829,14.032,14.18,14.226,14.314,14.406,14.468,14.454,14.499,14.531,14.586,14.653,14.74,14.767,14.859,14.974,15.037,15.104,15.18,15.272,15.354,15.46,15.553,15.669,15.751,15.85,15.952,15.967,16.166,16.377,16.539,16.61,16.74,16.835,16.943,17.21,17.429,17.617,17.84,18.048
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.437,49.287,50.182,49.903,47.897,46.327,45.493,45.419,45.992,46.551,47.166,47.286,47.298,47.428,47.421,47.499,47.907,48.118,48.288,48.378,48.286,48.249,48.477,48.558,49.203,49.633,49.83,50.306,50.764,51.31,51.814,52.39,52.498,53.123,53.454,53.895,54.457,54.912,55.494,56.258,57.313
"32","24","      Gross output of nonprofit institutions \2\","DNPERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.323,10.693,11.018,11.211,11.017,11.05,11.089,11.172,11.23,11.253,11.319,11.352,11.398,11.484,11.529,11.593,11.662,11.722,11.827,11.899,11.969,12.018,12.089,12.175,12.284,12.39,12.446,12.533,12.625,12.766,12.908,13.079,13.197,13.358,13.51,13.668,13.86,14.035,14.225,14.441,14.669
"33","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.115,6.395,6.631,6.834,6.804,6.959,7.065,7.152,7.161,7.139,7.153,7.176,7.219,7.292,7.335,7.39,7.424,7.466,7.552,7.613,7.687,7.736,7.786,7.862,7.916,7.984,8.022,8.068,8.121,8.214,8.31,8.428,8.531,8.636,8.754,8.869,9.009,9.139,9.274,9.42,9.558
"34","26","Gross private domestic investment","B006RG3",17.93,18.643,19.28,19.495,19.758,20.188,20.757,20.885,20.818,20.78,20.552,20.461,20.435,20.741,21.32,21.803,22.613,22.966,23.06,23.274,23.36,23.438,23.45,23.336,23.292,23.382,23.556,23.5,23.53,23.628,23.61,23.619,23.6,23.752,24.043,24.367,24.877,25.146,25.584,25.772,26.016,26.121,26.285,26.376,26.119,26.244,26.273,26.339,26.348,26.456,26.53,26.572,26.598,26.639,26.62,26.571,26.526,26.54,26.53,26.533,26.548,26.561,26.556,26.526,26.534,26.478,26.388,26.453,26.368,26.581,26.615,26.886,26.9,26.954,26.993,27.301,27.18,27.614,27.621,27.952,28.072,28.188,28.343,28.676,28.945,29.206,29.364,29.996,30.303
"35","27","  Fixed investment","B007RG3",16.817,17.476,17.917,18.28,18.469,18.879,19.467,19.692,19.652,19.623,19.399,19.326,19.324,19.64,20.193,20.573,21.273,21.592,21.76,21.987,22.098,22.204,22.237,22.188,22.2,22.316,22.497,22.453,22.46,22.554,22.553,22.574,22.568,22.724,23.008,23.316,23.804,24.06,24.48,24.663,24.898,25.011,25.183,25.286,25.052,25.155,25.182,25.236,25.278,25.374,25.443,25.48,25.512,25.562,25.547,25.498,25.443,25.462,25.445,25.444,25.461,25.481,25.474,25.443,25.457,25.411,25.319,25.377,25.292,25.517,25.546,25.828,25.843,25.896,25.937,26.246,26.107,26.561,26.556,26.889,27.005,27.133,27.305,27.64,27.921,28.19,28.358,28.998,29.306
"36","28","    Nonresidential","B008RG3",21.416,22.101,22.695,23.093,23.225,23.896,24.753,25.121,24.934,24.892,24.786,24.632,24.665,24.902,25.422,26.288,27.2,27.662,27.911,28.222,28.365,28.442,28.349,28.353,28.365,28.58,28.802,28.78,28.885,29.033,28.828,28.881,28.778,28.95,29.424,30.049,30.901,31.159,31.968,32.402,32.91,33.089,33.318,33.575,33.196,33.381,33.436,33.532,33.589,33.781,33.931,33.996,34.002,34.033,33.999,33.878,33.824,33.792,33.751,33.767,33.77,33.813,33.804,33.766,33.789,33.768,33.794,33.785,33.784,33.944,33.953,34.137,34.188,34.274,34.369,34.539,34.485,34.823,34.895,35.215,35.399,35.583,35.819,36.165,36.431,36.789,37.098,37.677,37.944
"37","29","      Structures","B009RG3",7.526,7.622,7.89,8.154,8.371,8.601,8.823,8.905,8.754,8.633,8.588,8.605,8.589,8.562,8.745,9.116,9.484,9.716,9.877,9.969,10.052,10.018,9.997,10.018,10.048,10.19,10.322,10.307,10.164,10.062,10.066,10.08,10.107,10.189,10.327,10.558,11.025,10.99,11.287,11.4,11.523,11.667,11.729,11.701,11.383,11.455,11.5,11.535,11.457,11.522,11.566,11.575,11.615,11.545,11.49,11.414,11.413,11.435,11.447,11.489,11.506,11.544,11.532,11.567,11.602,11.625,11.655,11.664,11.647,11.78,11.796,11.98,12.003,12.09,12.12,12.359,12.329,12.6,12.615,12.777,12.831,12.901,12.99,13.17,13.355,13.523,13.632,13.976,14.174
"38","30","      Equipment and software","B010RG3",33.467,34.877,35.661,35.978,35.791,36.843,38.375,39.066,38.988,39.202,39.053,38.624,38.75,39.407,40.215,41.406,42.71,43.243,43.433,43.965,44.106,44.381,44.209,44.162,44.113,44.267,44.465,44.44,45.115,45.81,45.259,45.353,45.01,45.219,46.039,46.991,47.836,48.605,49.82,50.616,51.582,51.624,52.038,52.794,52.782,53.054,53.06,53.206,53.602,53.909,54.171,54.31,54.206,54.497,54.577,54.502,54.359,54.201,54.056,53.968,53.923,53.922,53.934,53.731,53.69,53.574,53.554,53.507,53.552,53.589,53.566,53.526,53.593,53.575,53.735,53.524,53.472,53.622,53.761,54.143,54.457,54.731,55.086,55.486,55.687,56.144,56.626,57.208,57.387
