"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"28","20","        Electrical equipment, appliances, and components","N410RC1",3.9,1.8,1.4,0.6,0.4,-1.3,0.2,0.7,1.7,2,2.4,2.7,2.5,2.5,-0.1,-2.3,-4.3,-4.1,-0.4,2.9,12.6,8.8,12.3,12.1,2.8,-2.9,-4.8,0.2,0.5,4.1,6.8,3.1,7.1,5.6,5.6,6.3,9.2,9.6,9.4,5.3,NA
"29","21","        Motor vehicles, bodies and trailers, and parts","N411RC1",-7.5,-9.4,-5.9,-12.6,-9.7,-0.8,-2.3,-5.3,-5.2,-12.9,-14.8,-13.9,-1.6,-8.2,-9.6,-7.8,3.9,3.9,-0.2,-3,1.2,-13.9,-5.6,-8.8,-13.5,-9.3,-27.9,-15.1,-22.8,-43.3,-24.3,-48,-47.1,-30.5,-11.9,-4.6,5.7,8.4,9.8,-0.1,NA
"30","22","        Other durable goods \3\","N412RC1",16.5,24.6,20.7,5.5,21.5,20.6,21.1,19.7,10.7,7.6,10.1,14.8,21.6,31.9,36.5,37.6,51.8,54.7,53,57.4,63,45.5,66.7,60.6,61.6,55.4,58.6,65.2,50.6,43.7,48,22.8,31.4,28.4,22.5,31.8,43.2,37.6,38.1,33.1,NA
"31","23","      Nondurable goods","N401RC1",70,85.5,87.1,64.1,58.4,54.7,50.5,57.9,63.7,58.5,78.8,94.1,100.6,107.8,118.1,127.2,156.3,141.2,150,159.3,169.1,207.4,202.3,163.8,181,207.6,150.3,161.9,120.3,125.7,145.5,137.7,110.3,96.1,96.7,87,110.3,130.1,108.7,88.6,NA
"32","24","        Food and beverage and tobacco products","N402RC1",21.9,31.3,30.2,29.5,25.9,26.4,25.6,23,21.9,23.6,22.6,27.7,24.6,22.3,27.5,22.9,28.2,25.5,26.9,28.5,30.3,32.7,33.7,33.1,30.1,33.7,29.6,29.6,23.2,28.4,32.7,29.4,35.3,36.7,38.1,31.5,36.6,35.1,34,26.3,NA
"33","25","        Petroleum and coal products","N404RC1",34.6,33.3,32.4,18.5,5.8,1.4,-0.8,-1.1,17.7,16,27.1,33.1,41.3,46.7,40.6,67.8,71.9,75.7,80.7,89.5,73.4,89.1,84.1,59.9,68.2,110.1,60.4,55.3,72.6,60.3,89.5,90.6,38.6,6.4,8.1,9.7,33.5,55.2,22.7,23.7,NA
"34","26","        Chemical products","N403RC1",6,13.1,14.7,12.7,15.1,16.3,17.5,22.3,17.5,15.3,21.6,21.1,19.3,24.8,32.3,22.6,38.9,20.1,21.8,22.1,46.3,59.9,61.5,42.3,57.2,42.6,37.8,55.4,15.1,33.3,25.1,15.4,29.4,42.2,38.8,35.1,28.7,30.6,38.4,31.6,NA
"35","27","        Other nondurable goods \4\","N405RC1",7.5,7.7,9.8,3.3,11.6,10.6,8.2,13.6,6.6,3.5,7.5,12.1,15.4,13.9,17.8,14,17.4,19.9,20.5,19.2,19,25.6,23,28.5,25.5,21.2,22.5,21.6,9.4,3.8,-1.8,2.3,7,10.9,11.7,10.7,11.6,9.2,13.6,7,NA
"36","28","    Wholesale trade","N414RC1",38.9,42.1,52.9,71.2,56.9,54.6,41,44,44,51,61.6,62.6,71.3,80,84.3,66.9,90.5,105.7,83.5,89.2,104.4,100.7,107.4,102.2,105.1,108.9,104.7,80.9,58.1,65.4,88.2,124.5,103.9,73.8,70.8,73,91.5,107.7,90.2,44.7,NA
"37","29","    Retail trade","N415RC1",67.3,68.8,74.4,80.1,80.9,78.6,80.1,86.7,86.4,94.8,88.9,85.6,102.3,95,88.6,87.6,101,128.1,117.9,143.3,132.3,123.3,136.4,140.7,121,131.1,114.1,105,71.2,74,74.2,80.4,97.7,99.7,101.3,97.1,129.1,126.7,123.2,121.2,NA
"38","30","    Transportation and warehousing","N417RC1",2.6,3.8,3.2,-4.7,-0.5,-2.8,-1.1,3.8,4,8.4,7.9,9.4,14.2,20.5,13.1,9.8,25.7,28.5,28.2,33.7,43.4,45.3,40.3,39.6,28.1,29.7,28.9,24.1,22.7,30.3,29.3,30,26.9,20.3,22,29.5,39.4,52.4,54.3,38.2,NA
"39","31","    Information","N502RC1",-20.7,-20.3,-24.3,-32.4,-13.3,-6.5,-2.5,7.1,-2.4,3.2,12.6,6.2,14.8,47.6,66.3,53.8,76.2,85.7,78.5,84.8,84.1,92.6,100.8,92.1,95.3,87.8,89.3,102,93.3,106.8,80.1,20.7,69.6,74,81.3,109,112.9,104.9,114.6,104.7,NA
"40","32","    Other nonfinancial \5\","N420RC1",153.1,157.2,152.4,126.7,131.1,144.9,158,178,185.1,173.3,171.6,176.8,210.6,212.5,234,244,296.6,313.6,316.7,370.4,364.8,331,354.9,347.8,342.6,344.9,321.7,327.4,264.9,278.5,266.3,244.8,255.4,232.1,246.6,266,320.4,332.5,346.6,312.6,NA
"41","33","Rest of the world","B394RC1",160.1,171,146.6,201.2,158.7,145.9,156.6,170.3,149.1,158.9,163.1,191.8,213.2,197.3,215.2,194.4,234.2,233.3,252.9,237.4,246.9,255.3,251,274.1,288,312.5,373.9,429.1,430.1,412.3,444.2,358.5,349.1,333.2,364.2,362.6,388.5,391.3,382.4,373,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Consists of finance and insurance and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Consists of credit intermediation and related activities; securities, commodity contracts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and other financial investments and related activities; insurance carriers and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","activities; funds, trusts, and other financial vehicles; and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Consists of wood products; nonmetallic mineral products; primary metals; other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","transportation equipment; furniture and related products; and miscellaneous manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","4. Consists of textile mills and textile product mills; apparel; leather and allied products;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","paper products; printing and related support activities; and plastics and rubber products.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","5. Consists of agriculture, forestry, fishing, and hunting; mining; construction; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","estate and rental and leasing; professional, scientific, and  technical services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","administrative and waste management services; educational services; health care and social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","assistance; arts, entertainment, and recreation; accommodation and food services; and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","services, except government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Note. Estimates in this table are based on the 2002 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
