"","Table 2#5#3 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","14","      Cleaning, repair, and rental of clothing","DCRCRA3",152.629,145.722,135.485,135.746,128.181,115.944,109.258,105.365,105.004,101.733,94.461,87.046,79.792,73.97,76.732,80.098,81.199,83.328,87.337,96.668,101.642,103.555,96.075,97.696,96.242,97.309,101.478,102.224,110.513,114.299,117.201,118.354,113.592,109.632,103.37,100.707,100,101.648,101.837,97.932,90.772
"22","15","        Laundry and dry cleaning services","DDRYRA3",168.538,159.953,146.893,146.951,124.723,110.292,100.312,95.386,95.39,96.212,90.354,84.303,75.53,65.519,68.206,69.131,66.355,65.907,69.97,74.927,76.025,70.329,72.266,88.412,88.002,90.717,94.258,96.221,104.777,108.874,111.95,113.363,109.234,105.196,97.78,98.868,100,103.954,104.47,101.288,94.684
"23","16","        Clothing repair, rental, and alterations","DLGRRA3",133.689,128.811,121.975,122.48,132.212,122.545,119.807,117.175,116.377,108.234,99.286,90.255,84.809,83.962,86.811,93.073,98.777,103.963,107.906,122.426,132.001,142.945,124.284,108.642,105.949,105.058,109.97,109.27,117.234,120.648,123.339,124.181,118.675,114.809,109.911,102.838,100,99.022,98.843,94.138,86.379
"24","17","    Footwear \2\","DFTWRA3",30.945,29.397,29.783,31.688,33.585,31.744,31.775,32.601,34.237,37.903,39.941,40.375,42.835,41.59,44.048,46.276,48.707,52.408,54.334,55.473,58.921,59.936,58.279,59.796,61.92,66.157,69.244,73.198,75.508,80.411,86.69,90.436,90.281,90.968,94.194,97.269,100,104.581,107.244,105.618,99.914
"25","18","  Housing, utilities, and fuels","DHUFRA3",37.509,38.778,40.338,42.564,44.615,46.123,47.516,49.052,50.264,52.51,54.028,54.98,55.401,55.609,56.841,58.788,60.98,62.346,64.157,66.324,67.951,69.024,70.553,71.976,73.882,76.63,78.69,80.336,82.054,84.512,87.199,89.688,92.051,92.744,93.856,95.822,100,102.013,102.587,103.156,104.543
"26","19","    Housing","DHSGRA3",33.069,34.287,35.89,37.77,39.647,41.766,42.96,44.176,45.265,47.526,49.457,51.091,52.386,52.697,53.765,55.989,58.177,59.732,61.464,63.359,65.007,66.64,68.15,69.943,71.458,74.371,76.556,78.044,80.22,82.822,85.687,88.356,91.334,91.757,92.787,95.127,100,102.873,103.324,104.585,105.941
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRA3",48.106,49.854,52.149,54.64,57.28,58.715,59.897,61.311,62.414,63.51,64.184,65.227,67.811,69.37,71.063,74.414,79.892,82.831,84.264,85.388,86.028,88.644,89.436,90.535,90.995,93.038,95.789,95.872,97.225,98.901,100.567,101.231,102.993,102.177,98.595,98.72,100,103.391,108.878,110.231,114.362
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRA3",28.475,29.593,31.079,32.865,34.61,36.933,38.145,39.347,40.48,43.115,45.432,47.271,48.29,48.308,49.266,51.25,52.658,53.901,55.739,57.859,59.78,61.182,62.895,64.91,66.722,69.91,71.992,73.848,76.237,79.076,82.256,85.271,88.623,89.377,91.552,94.283,100,102.799,102.138,103.406,104.078
"29","22","      Rental value of farm dwellings","DFARRA3",59.023,59.158,59.297,59.547,59.581,60.308,60.635,60.924,61.573,62.06,61.991,62.214,62.058,61.704,61.41,61.17,60.915,60.776,60.897,60.633,60.782,61.047,61.067,60.981,60.764,61.039,61.107,61.411,63.256,65.236,67.088,78.406,77.88,77.661,79.388,91.235,100,99.909,91.356,91.08,90.726
"30","23","      Group housing","DGRHRA3",294.158,293.633,281.515,272.044,271.399,288.022,302.103,292.663,251.604,211.89,191.1,165.785,147.847,141.305,115.594,117.399,106.319,93.916,89.857,97.549,105.505,113.924,119.197,104.497,108.924,107.448,112.16,120.443,118.247,124.15,124.892,124.051,118.906,108.004,107.702,103.687,100,100.388,104.001,105.302,106.49
"31","24","    Household utilities and fuels","DUTFRA3",60.164,61.491,62.371,66.522,69.329,66.869,69.272,72.424,74.229,76.332,75.782,73.646,70.36,70.152,72.11,73.014,75.315,75.877,78.096,81.624,83.164,81.43,83.065,82.636,86.518,88.449,89.871,92.338,91.673,93.358,95.039,96.519,95.601,97.765,99.32,99.3,100,97.952,99.09,96.581,98.091
"32","25","      Water supply and sanitation","DWRSRA3",39.32,41.769,42.494,46.181,48.489,50.675,51.26,50.702,50.806,51.403,54.817,57.318,57.004,56.624,58.711,62.688,67.116,71.281,74.337,76.197,79.039,79.349,78.203,76.733,80.41,84.038,87.185,90.021,92.006,93.483,96.456,97.428,98.337,99.32,100.533,99.654,100,103.157,103.465,103.097,101.483
"33","26","      Electricity, gas, and other fuels","DEGFRA3",64.773,65.807,66.716,70.929,73.829,70.291,73.082,77.021,79.189,81.616,80.227,77.206,73.372,73.192,75.146,75.503,77.425,77.267,79.315,83.244,84.478,82.231,84.591,84.446,88.392,89.823,90.715,93.068,91.573,93.325,94.565,96.218,94.724,97.267,98.934,99.189,100,96.419,97.798,94.678,97.117
"34","27","        Electricity","DELCRA3",33.326,35.343,36.664,38.842,41.223,42.23,45.055,47.168,51.473,53.961,54.965,57.4,57.023,57.433,61.003,61.503,63.597,64.226,67.215,70.063,71.055,71.561,73.626,72.353,76.485,78.078,79.136,80.431,80.192,85.904,86.74,89.719,88.047,92.126,93.717,95.59,100,97.716,98.994,97.571,95.797
"35","28","        Natural gas","DGHERA3",98.405,99.751,100.598,104.769,101.709,100.708,103.618,105.012,101.479,104.862,103.227,102.78,98.847,100.921,97.84,98.042,99.293,93.834,94.514,101.243,105.012,96.903,100.448,103.124,106.106,105.247,104.442,112.665,109.662,98.722,99.727,102.944,101.751,99.461,102.768,101.413,100,94.861,97.737,94.349,101.689
"36","29","        Fuel oil and other fuels","DFULRA3",284.105,264.827,256.569,282.755,306.41,240.295,238.605,266.582,257.235,253.75,229.356,175.621,146.523,136.912,139.63,139.215,141.619,151.172,145.69,151.596,146.422,132.333,133.739,137.902,141.384,148.365,152.77,147.819,137.042,135.181,141.946,124.651,123.886,128.1,124.57,116.951,100,92.878,91.067,79.92,94.962
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRA3",27.778,27.598,28.067,30.216,32.896,32.12,30.073,31.471,33.529,35.394,36.926,36.132,35.814,34.682,36.881,40.292,41.926,44.693,45.988,47.596,49.645,49.617,48.491,50.379,53.032,56.359,58.948,61.232,64.208,68.418,73.752,78.419,80.369,83.987,88.938,95.198,100,104.637,106.909,104.257,97.742
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRA3",22.131,21.737,22.538,25.22,27.773,27.732,26.288,27.955,30.787,32.277,33.665,31.595,30.597,28.708,31.675,35.171,36.699,39.922,42.525,43.836,46.33,45.107,43.757,44.417,46.417,49.077,51.083,53.503,56.772,61.087,67.454,74.255,76.972,81.872,86.382,93.63,100,105.352,107.429,102.944,95.345
"39","32","    Household textiles","DTEXRA3",22.152,21.426,21.025,21.684,23.531,21.782,21.2,22.096,22.686,23.761,24.556,24.558,25.188,24.358,26.534,29.435,31.563,35.483,37.269,37.955,38.33,38.138,38.324,40.709,43.411,47.372,50.925,55.379,59.171,62.572,67.069,70.763,72.895,76.948,84.65,92.714,100,109.797,117.389,119.338,118.465
"40","33","    Household appliances \6\","DHAPRA3",26.267,26.982,28.513,31.728,34.854,34.679,32.05,33.086,35.367,36.121,37.68,36.761,35.853,32.741,35.056,38.084,41.797,44.624,45.271,47.079,49.372,49.196,48.998,51.375,53.365,54.773,57.701,58.773,59.189,64.242,71.521,76.996,80.395,84.668,89.407,97.442,100,102.173,99.36,96.156,89.524
"41","34","    Glassware, tableware, and household utensils \7\","DUTERA3",19.604,19.308,19.67,20.589,22.495,22.017,20.686,22.092,23.841,25.992,26.762,26.815,27.297,28.405,29.062,30.595,31.145,31.897,31.095,33.202,35.185,36.196,35.719,37.881,40.169,42.682,45.407,47.934,50.017,53.981,62.103,69.48,75.169,84.004,90.644,95.08,100,109.278,114.025,110.449,107.187
"42","35","    Tools and equipment for house and garden","DTOORA3",11.289,11.639,12.53,13.829,16.214,17.322,17.859,19.832,22.494,25.103,27.45,27.802,28.224,27.611,29.076,31.626,31.643,33.996,35.877,38.459,42.262,43.961,44.262,47.959,51.612,55.342,57.554,59.204,61.971,67.648,73.371,76.529,79.321,82.423,89.141,95.843,100,103.819,102.648,100.89,92.495
"43","36","    Other household goods and services \8\","DOGSRA3",50.986,50.74,49.696,51.142,54.125,51.096,46.27,47.277,48.295,51.462,53.683,53.986,54.013,53.946,55.643,60.425,61.483,63.69,63.791,65.609,67.187,68.254,65.611,68.143,71.893,77.003,79.638,81.083,84.803,88.475,90.22,90.964,89.43,88.958,92.543,96.914,100,101.709,104.368,102.737,95.281
"44","37","  Health","DHLTRA3",26.522,28.245,30.098,32.253,34.617,35.905,37.556,39.113,40.783,42.771,44.484,45.827,47.913,48.048,49.646,50.743,52.401,54.206,56.571,59,59.986,62.289,63.301,65.025,65.549,66.381,68.04,69.895,72.633,75.872,78.131,81.511,85.825,90.905,93.565,96.618,100,102.165,104.874,107.527,109.68
"45","38","    Medical products, appliances, and equipment","DMPARA3",14.564,16.4,16.926,18.439,19.935,21.017,21.27,21.826,21.887,23.422,25.453,26.482,27.168,27.328,28.941,30.858,32.335,34.18,36.154,38.61,40.645,43.496,43.375,43.686,44.963,47.077,49.646,53.216,58.11,65.005,72.089,78.46,83.765,88.836,94.213,97.596,100,103.71,107.858,109.253,110.669
"46","39","      Pharmaceutical and other medical products \9\","DPHMRA3",14.346,16.267,17.028,18.543,20.023,21.07,21.168,21.813,21.787,23.364,25.4,26.491,27.114,27.08,28.462,29.886,30.841,32.213,33.755,35.474,37.575,39.755,40.65,41.089,42.445,44.313,47.351,50.687,55.463,62.523,70.067,76.668,83.338,88.288,94.159,97.717,100,103.853,107.715,109.099,111.018
"47","40","        Pharmaceutical products","DPNPRA3",14.244,16.124,16.866,18.406,19.869,20.801,20.904,21.599,21.556,23.106,25.158,26.291,26.975,26.97,28.337,29.727,30.652,32.003,33.529,35.238,37.307,39.46,40.341,40.804,42.195,44.11,47.222,50.63,55.476,62.526,70.07,76.654,83.352,88.306,94.204,97.742,100,103.827,107.663,109.027,110.972
"48","41","        Other medical products","DOMPRA3",21.863,26.404,28.345,28.526,31.148,39.105,38.93,36.715,37.657,40.985,42.291,41.03,38.045,36.308,38.716,42.38,45.357,48.204,50.923,53.415,57.866,62.058,63.971,62.571,61.273,59.537,56.929,54.891,54.343,62.136,69.648,77.639,81.923,86.505,89.924,95.311,100,106.411,112.809,116.169,115.426
"49","42","      Therapeutic appliances and equipment","DTAERA3",16.675,18.287,17.861,19.488,21.169,22.471,23.344,23.601,24.009,25.498,27.668,28.534,29.527,30.508,33.245,37.508,41.501,45.708,49.883,56.065,57.872,64.257,58.771,58.399,59.255,62.735,62.801,67.687,73.289,79.375,83.963,89.055,86.439,92.24,94.54,96.822,100,102.781,108.801,110.27,108.308
"50","43","    Outpatient services","DOUTRA3",23.061,24.105,24.417,25.792,28.35,28.924,30.022,30.656,32.153,32.968,34.126,35.3,37.85,37.839,40.18,42.23,44.48,46.238,49.913,52.946,54.564,58.074,59.98,63.245,63.555,64.245,66.468,68.298,69.912,72.156,73.553,77.024,81.385,86.792,91.175,95.61,100,102.574,104.994,108.427,109.854
"51","44","      Physician services \10\","DPHYRA3",28.5,29.939,30.718,32.316,34.707,35.1,36.16,35.669,37.491,38.13,39.646,41.738,44.338,44.37,46.335,48.196,50.475,51.841,56.072,59.361,59.942,61.827,62.772,64.673,62.571,61.868,62.92,64.434,66.168,68.564,70.422,74.815,79.11,85.464,91.037,95.349,100,103.343,104.441,108.349,109.59
"52","45","      Dental services","DDENRA3",42.082,44.886,44.477,46.947,53.096,54.377,55.786,58.931,60.952,62.878,62.849,62.787,67.3,67.304,68.517,69.194,71.298,72.482,75.023,74.632,75.062,75.326,73.747,76.376,76.372,77.836,79.824,80.356,81.828,84.185,86.114,89.516,93.81,97.894,97.221,99.559,100,99.901,101.083,100.88,98.445
"53","46","      Paramedical services","DPMSRA3",9.292,9.257,9.17,9.866,11.435,11.997,12.986,14.295,15.125,15.799,16.729,16.966,18.735,18.664,21.689,24.284,26.431,28.815,31.883,35.463,38.946,45.834,50.256,55.807,60.081,62.783,66.993,69.767,71.22,73.161,73.611,75.601,80.076,84.47,88.952,94.405,100,102.516,107.51,111.822,115.273
"54","47","        Home health care","DHHCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.412,32.442,36.788,44.791,51.285,60.321,68.966,76.268,85.047,89.254,87.312,84.333,79.701,76.161,78.764,79.747,84.787,92.653,100,103.977,111.758,117.906,125.482
"55","48","        Medical laboratories","DMLBRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.944,27.389,30.702,34.421,37.599,40.646,40.809,41.884,41.09,43.451,48.73,56.244,62.058,70.674,79.597,83.369,89.853,96.237,100,104.837,105.653,114.081,120.114
"56","49","        Other professional medical services \11\","DOMDRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.991,38.627,41.704,48.72,52.37,56.727,59.733,60.497,63.555,65.691,67.96,71.139,72.974,76.32,80.776,87.024,90.798,94.872,100,101.339,105.881,108.517,109.582
"57","50","    Hospital and nursing home services","DHPNRA3",35.534,37.709,42.405,45.724,48.047,50.239,53.353,56.617,59.347,62.971,65.027,66.642,68.752,69.047,69.642,69.108,70.084,71.836,72.735,74.332,74.023,74.661,75.243,75.999,76.395,76.796,77.472,78.611,81.565,84.243,85.28,87.24,91.056,95.799,95.568,97.155,100,101.136,103.516,105.969,109.076
"58","51","      Hospitals \12\","DHSPRA3",37.502,39.646,44.428,47.979,50.268,52.719,56.141,59.768,62.599,66.355,68.695,70.258,72.673,73.287,72.851,71.471,72.115,73.494,74.595,75.372,74.385,73.882,74.269,74.607,74.683,74.939,75.016,75.923,78.816,81.543,83.085,85.419,89.956,95.396,94.807,96.81,100,101.553,104.168,106.838,110.579
"59","52","      Nursing homes","DNRSRA3",25.895,27.983,31.982,34.24,36.47,37.614,39.439,41.205,43.367,46.246,47.15,48.828,49.675,48.729,53.483,56.562,58.956,62.327,62.274,67.727,70.781,77.323,78.948,82.055,84.326,85.582,89.785,92.239,95.482,97.864,96.248,96.281,96.515,97.852,99.394,98.893,100,99.023,100.206,101.571,101.507
"60","53","  Transportation","DTRNRA3",32.769,31.897,35.492,38.779,41.298,37.479,37.875,42.115,45.285,46.816,45.662,41.687,41.895,42.291,46.623,51.746,56.461,59.81,59.555,62.587,63.233,62.608,58.122,61.733,64.722,68.635,69.972,73.691,78.267,83.78,89.454,91.997,94.029,95.817,97.878,99.734,100,98.085,98.845,90.942,86.392
"61","54","    Motor vehicles","DMTRRA3",27.805,24.041,29.029,33.206,36.113,28.965,28.828,35.875,39.995,41.61,38.38,32.453,33.042,33.987,41.176,48.726,55.891,60.567,57.704,60.843,60.671,59.161,51.225,55.931,58.743,62.059,60.524,63.289,67.796,75.797,83.269,86.117,91.508,96.994,99.761,100.959,100,96.237,98.155,83.389,77.64
"62","55","      New motor vehicles","DNMVRA3",28.858,24.5,30.643,35.555,39.12,30.335,30.358,38.559,43.869,45.812,41.626,34.157,35.098,36.711,46.143,53.929,61.689,67.266,62.773,66.308,65.351,61.846,49.905,54.59,58.159,61.077,58.117,59.14,62.299,69.243,77.278,81.49,89.444,96.275,100.912,101.921,100,94.24,95.338,76.757,67.926
"63","56","      Net purchases of used motor vehicles","DNPVRA3",26.522,25.078,25.339,26.772,27.249,25.956,25.203,28.603,28.925,29.518,29.383,28.601,28.001,26.862,27.683,34.565,40.093,42.306,43.813,45.893,47.682,51.279,54.177,58.882,59.634,63.917,65.759,72.477,80.02,90.401,96.538,96.287,95.965,98.533,97.169,98.797,100,100.629,104.343,97.989,99.272
"64","57","    Motor vehicle operation","DMVORA3",36.586,38.891,41.311,43.535,45.631,44.038,45.187,46.973,49.316,50.86,51.115,48.721,49.443,49.493,52.001,55.499,58.737,60.682,62.659,65.777,67.141,66.982,64.654,67.923,71.363,75.55,79.41,83.788,88.638,91.587,95.535,97.033,96.834,95.405,96.726,98.573,100,99.157,99.085,94.577,90.813
"65","58","      Motor vehicle parts and accessories","DMVPRA3",22.706,24.415,27.606,30.759,35.105,35.134,34.858,35.967,38.171,40.835,42.157,41.624,43.256,44.073,49.105,52.634,54.255,54.558,55.032,59.556,59.768,62.404,60.862,62.476,68.088,75.012,78.362,83.554,87.32,88.832,92.866,94.16,90.74,90.083,92.669,96.25,100,101.139,101.834,96.02,89.058
"66","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRA3",50.227,53.336,55.919,58.198,61.224,58.209,59.942,62.34,64.25,65.731,64.85,61.148,62.074,62.848,64.251,66.27,67.572,70.855,72.752,74.71,76.382,75.742,74.968,78.035,79.99,80.985,82.399,84.145,86.7,90.242,92.844,92.087,92.866,94.257,97.35,99.398,100,98.258,97.523,93.499,93.477
"67","60","      Motor vehicle maintenance and repair","DVMRRA3",37.408,39.439,41.327,43.014,42.809,41.603,43.035,44.809,48.428,49.788,51.202,48.586,48.344,46.707,50.893,56.762,64.351,65.835,69.438,74.085,75.609,74.244,66.871,68.561,71.265,76.12,80.445,84.02,86.958,90.052,93.175,95.976,97.427,96.089,97.933,98.995,100,97.193,97.292,91.255,84.744
"68","61","      Other motor vehicle services","DOVSRA3",9.476,10.388,11.369,12.268,12.372,12.163,12.828,13.501,14.501,14.803,14.916,15.664,16.523,15.761,16.393,21.419,25.03,25.454,25.684,27.212,28.519,29.668,32.762,42.039,49.694,59.23,69.516,82.746,100.009,102.211,111.832,117.424,112.393,100.97,93.802,95.488,100,108.011,110.755,108.912,94.425
"69","62","    Public transportation","DPUBRA3",35.185,34.929,35.709,38.578,40.627,43.21,42.109,44.781,47.206,48.07,49.881,45.295,40.66,40.792,43.239,46.674,48.45,52.925,54.264,56.401,57.413,58.474,58.482,58.91,60.547,65.97,69.072,74.275,77.726,83.195,88.197,94.692,92.438,93.671,96.597,101.786,100,98.896,100.733,94.9,89.224
"70","63","      Ground transportation \13\","DGRDRA3",88.141,86.757,86.631,88.179,89.374,92.972,90.478,91.127,91.384,88.724,88.826,80.494,73.562,70.499,69.922,70.487,71.029,67.021,65.811,71.103,72.741,76.106,78.649,79.624,82.204,85.154,87.047,84.703,86.299,93.208,97.248,99.827,102.136,101.171,96.472,99.344,100,102.779,101.816,101.556,95.439
"71","64","      Air transportation","DAITRA3",19.88,19.951,21.012,24.338,26.681,28.99,28.286,31.568,34.647,36.566,38.903,35.358,31.395,32.379,35.646,39.822,41.801,49.179,51.463,52.408,53.314,53.842,53.216,53.609,54.656,60.646,63.564,71.388,75.3,80.305,85.729,93.5,88.523,90.715,97.193,103.488,100,96.518,99.61,90.371,84.737
"72","65","      Water transportation","DWATRA3",0.452,0.485,0.511,0.588,0.691,0.762,0.758,0.851,0.954,0.995,1.16,1.275,1.356,1.498,2.934,5.712,9.34,12.806,13.924,15.899,14.708,11.042,6.612,4.373,8.926,18.202,29.54,40.654,47.904,50.513,54.333,64.644,74.13,77.116,87.982,96.123,100,103.472,110.272,113.863,112.539
"73","66","  Communication","DCMCRA3",10.982,11.748,12.142,12.917,14.176,14.73,16.101,17.088,18.301,19.959,21.663,23.032,23.588,24.381,25.189,25.541,26.962,27.986,30.098,31.631,33.577,34.993,36.095,39.522,41.56,44.366,46.828,51.055,56.224,61.651,69.902,80.759,86.453,89.121,91.649,96.444,100,108.145,118.003,121.301,121.424
"74","67","    Telephone and facsimile equipment","DTCERA3",0.772,0.768,0.758,0.785,0.876,0.937,0.962,1.02,1.085,3.464,8.129,12.976,17.379,18.856,17.498,16.438,14.871,14.153,13.681,14.056,14.938,15.156,15.147,15.698,17.037,19.114,20.708,22.057,23.196,26.711,34.676,44.053,51.967,60.973,70.866,86.477,100,119.646,136.856,147.197,166.445
"75","68","    Postal and delivery services","DPSSRA3",91.1,94.689,92.012,96.443,98.438,92.186,92.455,85.923,89.134,91.303,96.442,103.033,100.813,103.712,109.111,117.93,118.88,125.542,134.241,131.414,130.252,130.415,119.368,117.489,120.816,126.986,125.415,129.474,131.303,132.334,129.117,128.247,119.847,111.312,101.262,100.705,100,96.837,96.65,91.587,81.853
