"","Table 5#4#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Office \1\","W031RL1",12.8,-1.6,9.8,-2.7,6.5,-6.5,-23.5,-5,5.2,17.5,30.6,25.6,19.9,23.2,-10.5,21,18.5,-11.3,-10.3,1.6,-2.4,-7.6,-21.5,-15.9,0.3,2.6,10.9,6.7,16.9,17.1,6.3,11.6,-7.9,-30.7,-15.8,1.3,2.7,11.6,10.9,-0.9,-33.5
"12","5","    Health care","W032RL1",25,11.1,7.6,3.4,-3.7,-6.4,-9.3,2.4,-5.1,-1.1,3.6,10.1,14.8,29,4,0.1,-3.5,-7.1,-0.1,9.7,-2.1,2.9,-10.6,0,4.3,-4.2,-7.8,3.3,13.5,-1.6,-0.6,1.3,-4,12.7,5,2.3,0.1,3.5,6.1,5.8,-3.3
"13","6","      Hospitals and special care","C311RL1",28.1,14,7.2,4.9,-5.5,-6.4,-6.5,3.8,-6.6,-4.3,-2.4,5.1,12.6,30.4,9.4,-5.8,-11.6,-4.8,4.8,12.9,-1.9,6.6,-7.4,4.3,5.2,-5.4,-11.8,2.4,11.4,-1.7,-5.4,2.2,-1.1,15.3,0.9,-3.1,1.2,11.9,6.1,3.6,0.3
"14","7","        Hospitals","W033RL1",28.1,14,7.2,4.9,-5.5,-6.4,-6.5,3.8,-6.6,-4.3,-2.4,5.1,12.6,30.4,9.4,-5.8,-11.6,-4.8,4.8,12.9,-1.9,6.6,-7.4,4.3,5.2,-3.7,-15.5,-7.1,16.2,-8.5,-3.8,2.7,6.4,20.9,6.2,-0.1,4.3,10.6,6.9,2.1,1.9
"15","8","        Special care","W034RL1",28.1,14,7.2,4.9,-5.5,-6.4,-6.5,3.8,-6.6,-4.3,-2.4,5.1,12.6,30.4,9.4,-5.8,-11.6,-4.8,4.8,12.9,-1.9,6.6,-7.4,4.3,5.2,-12.6,4.9,37.4,-0.6,18.2,-8.9,1,-19.1,-2.3,-20,-18.7,-18.6,22.2,-0.1,15.5,-10.9
"16","9","      Medical buildings","W035RL1",12.8,-1.6,9.8,-4.3,6.5,-6.5,-23.2,-5.3,4.7,17.4,31.6,27.6,21.3,25,-10.9,20.4,18.3,-11.7,-10.8,1.6,-2.6,-7.9,-21.1,-16.6,-0.2,2.1,11,6.4,21.2,-1.4,15.7,-1.2,-12.4,4.2,19.6,18.3,-2.6,-17.8,6.4,13.4,-14.7
"17","10","    Multimerchandise shopping","W036RL1",13.3,-1.4,10,23.2,7.3,-6.3,-27.2,-1.2,12.1,18.6,18.2,-1,-5.2,-16.7,4.2,39.3,22.2,-2.2,2.1,1.6,0.2,-3.5,-28.5,-2.3,7.5,1.1,-5.3,10.5,-11.1,5.2,11.9,-4.8,6.9,-7,-3.7,14.8,10.1,19.5,12.3,-12,-42.8
"18","11","    Food and beverage establishments","W037RL1",13.3,-1.4,10.1,23.2,7.3,-6.3,-27.2,-1.2,12.1,18.6,18.2,-1,-5.2,-16.7,4.2,39.3,22.2,-2.2,2.1,1.6,0.2,-3.5,-28.5,-2.3,7.5,-6.1,13.1,3.6,11.6,2.7,-11.6,3.3,-2.9,-11.7,3,-7.4,-13.7,-11.2,2.1,-4.6,-40.6
"19","12","    Warehouses","W038RL1",13.2,-1.5,10.1,23.2,7.3,-6.3,-27.2,-1.2,12.1,18.6,18.2,-1,-5.2,-16.7,4.2,39.3,22.2,-2.2,2.1,1.6,0.2,-3.5,-28.5,-2.3,7.5,15.4,42.9,22.3,7,-2.4,5,5.3,3,-25.8,1,-8.1,-1.9,5.1,10.2,-5.5,-43.7
"20","13","    Other commercial \2\","W039RL1",11.5,-2,9.2,22.3,7.4,-5.3,-26.4,-0.3,10.1,20.7,19.5,-0.3,-3.2,-16.1,3.5,38.3,21.9,-2.3,2,1.5,0.3,-3.3,-27.9,-3.4,5.7,34.5,3.8,5.1,14.7,-1.2,2,11.1,-12,-0.5,-11.7,6.9,-14.5,-11.7,14.6,-14.2,-39
"21","14","  Manufacturing","C307RL1",5.1,-3.4,-17.4,-12.7,23.9,14,-4.1,-7.6,2.7,33.3,22.9,-16.4,13.5,-3.5,-27.7,3.4,11.9,-16,-2.5,5.5,19.8,13.3,-7.9,-8.2,-21.5,18.4,17.9,5.1,-4.5,3.4,-16.6,3.1,-2.8,-41.6,-7.3,4.9,17.3,10.3,18.2,24.5,7.6
"22","15","  Power and communication","W003RL1",0,9.4,0.8,4.3,6.4,-6.4,-8,9,-1.5,4.8,3.8,1,2.6,-5.6,-14,2.2,-1.1,6.7,-11,-5.7,3.8,-7,18.8,6,-6.5,-9.4,2.1,-14,-3.6,17.4,18,15.3,3.2,-2.4,-7.9,-17,-2.3,7.8,39.2,9.1,2.5
"23","16","    Power","W028RL1",-6.1,5.3,0.7,3.8,4.4,-6.2,-5.4,12.1,-3.7,1.1,1.7,0.9,2.2,-8.2,-16.4,-0.8,-2.3,5.4,-17.3,-10.4,11.1,-10.3,35.5,8.2,-10.8,-14.5,1.5,-22.1,-8,30.1,0.1,27.9,4.4,0.8,0.8,-24.9,-12,11.6,53.5,16.9,12.9
"24","17","      Electric","C571RL1",1.2,11.5,2.6,4.8,5.8,-9.7,-11.7,9.9,11.6,5.3,-0.9,-2.1,2.4,-4.7,-13.1,-1.2,-6.9,7.5,-21,-15.3,10.8,-16.8,43.4,3.4,-8.1,-11.9,-7.2,-22.6,-1.3,12.5,18,45,4.9,-3.8,0.4,-24.5,-11.8,11.2,36.9,6.7,9.6
"25","18","      Other power","W029RL1",-19.2,-8.7,-4.3,0.6,0.1,5.5,13.3,17.1,-37.1,-15.1,13.6,13.3,1.4,-20.7,-30.1,1.4,21.1,-2.8,-0.7,7,11.9,7.7,18.5,20.8,-16.7,-20.2,22.8,-21.2,-20.1,69.8,-26.5,-12.7,2.4,19.7,2.2,-26,-12.8,12.9,100.9,37.3,17.9
"26","19","    Communication","C314RL1",23.6,21.3,0.9,5.8,11.8,-6.8,-14.8,-0.7,6.4,16.9,9.6,1.2,3.6,1.7,-7.8,9.5,1.6,9.7,2.5,2.9,-7.6,-0.7,-9.4,0.3,5.2,3.4,3.1,2,2.8,0.5,49.5,0.1,1.2,-7.6,-23.4,1.4,15.2,2.7,19,-5.6,-23.1
"27","20","  Mining exploration, shafts, and wells","E318RL1",4.2,-5.9,-7.5,7.3,6.8,18.9,16.8,7.9,12.9,14,6.5,40.5,16.3,-7.6,-17.2,13.7,-10.9,-41.4,-2.2,9.7,-9.6,15.5,-2.2,-17.2,16.2,-2.8,-15.1,6.6,17.6,-12.5,-15.4,24.8,17.9,-26.9,14.1,16.4,10.3,14.5,6.1,6.5,-35.5
"28","21","    Petroleum and natural gas","C319RL1",3.5,-7.6,-9.1,8,6.2,16.9,17,5.6,12.5,17.5,7.8,42.3,15.5,-6.7,-16.6,14,-11.2,-41.6,-0.2,10.1,-10.7,15.8,-3.3,-18.3,17.5,-5.6,-13.2,6,19.9,-11.7,-15.5,24.6,19.4,-30.5,16.9,15.1,10,13.6,7.2,6.7,-36.1
"29","22","    Mining","C320RL1",11.6,10.1,5.3,2.6,11.2,32.9,15,25.9,16,-12.5,-7.7,18.2,28.3,-22.3,-27.7,7.6,-6.1,-38.4,-27.3,3.2,10.6,11.7,13.4,-4,3.1,28.5,-30.7,12.5,-7.2,-26.2,-12.5,28.4,-8.8,76.4,-21.9,44.6,16.3,35.5,-19.3,-0.9,-17
"30","23","  Other structures","W004RL1",-0.8,-6,-6.2,1.1,7.8,-8.6,-11.8,5,5.5,13.6,9.9,-2.9,-3.2,-5.7,5.5,17.2,10,-6,6,-6.8,2.1,6.2,-13.2,-7.3,7.9,-2.2,11.9,17.6,13.4,5.3,0.1,3,-4.7,-15.7,-3.4,1.4,-5.5,9.2,15.4,12.6,-18.7
"31","24","    Religious","C309RL1",-14.4,-11,-19.1,-3.3,-10.6,2,-13.7,6.7,3.1,14.6,15.3,-1.5,-3.2,-9.6,13.2,15.3,10.3,8.4,3.2,2.5,4.6,-7.5,-8.8,-10.7,7.9,-4.1,7.5,2.5,23.4,10.7,7.7,4.9,0.6,-2,-0.3,-10.2,-12.5,-7.6,-7.2,-6.3,-10.3
"32","25","    Educational and vocational","W044RL1",-12.2,-19.6,0.4,-2.5,-14.4,-32.5,-19.3,6.1,-3.1,8.1,11.6,30.8,-1.2,6.6,6.6,2.2,14.9,16.6,40.3,-22.5,9.4,8.8,1.3,3.4,0.2,-0.4,9.2,19.7,24.6,6.4,-8.2,16.9,5.5,-0.4,-1.5,-10.3,-5.4,-1.8,6.6,2.8,-9.5
"33","26","    Lodging","W045RL1",3.8,-7,-5,33.5,9,-35.4,-40.4,-18.5,-1.4,27.1,67.9,24.2,17.1,-4.3,22.9,25,6.2,0,-2.2,-9.5,9.3,16.6,-31.9,-39.3,20.4,-1.7,47,50,14.6,11.2,3.3,-2.1,-14.7,-29.2,-7.9,13.6,-2.2,28.2,48.9,26,-25.2
"34","27","    Amusement and recreation","W046RL1",18.4,3.5,-4.7,-1.4,5.4,-11.1,-11,11.4,4.2,14.9,9.4,2.7,-0.7,12.2,10.6,23.8,19.2,-7.7,5.1,5.4,-12.2,3.4,-6.9,-1.1,7.6,0.6,3,6.5,6.9,-2.6,6.6,-12.1,-14.5,-6.2,1,2.1,-17.6,14.4,4.4,1,-22.4
"35","28","    Transportation","W047RL1",3.2,-13.2,2.8,3.4,5.1,-0.7,-14.4,24.1,6.4,17.5,-0.4,-7.2,-3.7,-8.1,-5.1,16,14,-23.8,-12,-3.3,2.4,-2.8,-8.8,14.5,1.5,4.2,2.2,18.5,9.9,15.1,-12.2,2.6,-1.3,-5.8,-5.6,0.8,1.4,17.6,1.4,6.8,-10.5
"36","29","      Air","W048RL1",18.1,0.8,-5,0.7,7.2,-13.1,-12.9,13.5,2.5,16.1,8.2,4.9,-1.5,13.7,10.3,23.4,15.6,-5.2,3.9,10.9,-15.6,1,-7.9,-6,12.9,4.2,1,22.1,2,11.6,11.1,39.2,5.9,-34.5,-25.8,-11.4,-19.1,-9.9,7.3,-10.4,-30.7
"37","30","      Land \3\","W049RL1",2,-14.5,3.7,3.7,4.9,0.5,-14.5,24.9,6.7,17.6,-1.1,-8.1,-3.9,-10,-6.8,15.1,13.8,-26.6,-15.2,-6.7,7.6,-3.7,-9,19.5,-0.6,4.3,2.4,17.8,11.6,15.8,-16.7,-7.2,-4.2,6.9,0,3.3,5.2,21.7,0.8,8.9,-8.5
"38","31","    Farm","C316RL1",-1.7,4.4,-5.8,-13.9,30.9,15.8,4.6,2.8,4.5,7.4,0.1,-19.1,-17.1,-25,-15.3,-4.4,-32.9,-8.4,17.5,-11.4,2.2,7.3,-3.1,-13.4,36.9,-8.4,-10.2,18.7,1.1,8.3,13.3,13.3,-17.9,7.3,-11.7,1.5,-1.7,-8.5,3.3,28.1,-8.3
"39","32","    Other \4\","W050RL1",20.8,15,-2.4,-9.3,-3.1,-6.5,-3.9,3.3,12.9,15.2,16.9,-8.3,-0.3,4,14.8,31,38.2,-17.5,10.5,-17.2,9,14,-3.5,17.4,-7.2,-12.5,11.8,-17.3,-13.5,0.1,-12.7,17.1,-26.4,-28.9,12.4,14.4,-13,18.6,3.4,-7.6,-29.6
"40","33","    Brokers' commissions on sale of structures","C321RL1",-12,-19.2,-18.4,-10.9,49.9,18.4,-11.3,-3.9,30.1,-7.1,-8.7,-9.3,-7.3,-6.9,2.1,26.5,17.6,-2,2.7,5.4,7.3,2.9,-13.7,-3.6,-0.7,7.6,10.5,9.8,8.3,7.3,2,5.3,-5.9,-14.1,-3.8,3.6,7.3,15.9,24.2,14.8,-11.3
"41","34","    Net purchases of used structures","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","Residential","A012RL1",2.7,-6.3,27.8,17.7,-0.9,-21.2,-13.2,24.1,21.8,6.2,-3.9,-21.6,-8.2,-18.6,42.5,15,1.4,12.4,1.9,-1.1,-3.1,-8.8,-9.8,14.1,8.3,9.9,-3.4,8.2,1.9,7.7,6.2,0.9,0.5,5.3,8.2,9.8,6.3,-7.5,-18.9,-24.3,-23.2
"43","36","  Permanent site","A943RL1",2.9,-9.5,34.8,21,-0.5,-27.6,-23.4,31.4,29,4.6,-6.4,-29.7,-7.8,-22.1,63.4,17.5,-1.3,11.6,1.3,-3.6,-2.5,-9.7,-13.9,16.6,6.7,12,-6.6,9.4,0.5,9.5,7.4,0.8,0.6,4,9.8,11.6,7.1,-8.7,-25.6,-33.7,-40
"44","37","    Single-family structures","A944RL1",-5.1,-13.1,38.8,18.9,-2.2,-23.3,-8.7,39.2,28.5,3.3,-11.4,-34.3,-9,-23.3,73.6,16,-0.9,14.5,8,-1.2,-2.9,-9.1,-12.4,21.5,9.5,10.7,-9.2,9.2,-0.3,10.9,7.4,1.1,0.1,3.9,10.7,12,6.7,-9.8,-27.4,-37.2,-40.8
"45","38","    Multifamily structures","C292RL1",24.4,-2.1,27.3,25.2,2.8,-35.6,-55.4,-3.1,32.6,12.7,22.1,-10.5,-3.8,-18.5,36.9,22.2,-2.6,3,-21.1,-14.7,-0.3,-12.8,-22.9,-15,-19.4,29.2,23.9,10.6,7.7,-1.1,7.9,-1.7,4.3,5.3,2.6,7.8,10,0.7,-11.5,-12.1,-36.7
"46","39","  Other structures","A863RL1",2.3,1.1,13.6,9.7,-2.2,-2.7,8.4,13.3,9.3,9.6,1,-6.7,-8.9,-13.7,16,10.5,6.5,13.7,3,3,-4.2,-7.4,-3.4,10.8,10.6,7.1,1.4,6.5,3.9,5.2,4.3,1,0.4,7.1,6,7,4.9,-5.3,-7.8,-11.9,-6.5
"47","40","    Manufactured homes","A945RL1",26.3,-4.4,36.2,27.6,6.1,-30.7,-31.9,20.1,19.4,3.2,0.4,-17,2.5,-5.6,29.1,1.3,-4.5,-13.7,-2.2,-5.8,-6.6,-6.9,-12.9,24.8,26.9,21.1,14,10.5,3.4,4.6,-5.2,-24.4,-20.1,4.7,-18.3,-2.9,11.1,-20.9,-18,-18.4,-41.8
"48","41","    Dormitories","C295RL1",-21.8,-34.6,-32.2,-39.9,15,-22.3,66.5,-44.9,-56.4,53.5,-43.6,35,89.2,25.2,23.9,19.1,-10.5,11,43.2,-7.6,3.7,12.4,-65.2,30.1,47.8,-42.1,45.1,15,33.8,17.9,27.6,1.7,9.1,-4.4,9.2,-12.5,-14.7,26.5,39.2,34.8,-32
"49","42","    Improvements","A946RL1",-1.5,3.5,4.9,1.9,-7.9,8.2,13.4,9.2,4.4,11.1,2.6,1.3,-7.3,-13.4,5.5,12.9,6.9,19.9,4.6,1.3,-2.8,-8.1,-4.3,10.6,12.6,5.8,-0.1,4.3,1.8,1.2,4.2,3.3,2.2,6.5,4.6,2,2.7,-0.5,-3.3,-7.8,-4.4
"50","43","    Brokers' commissions on sale of structures","A758RL1",-1.9,7,31.5,14.5,1.8,-6.5,8.5,22.6,19.2,9.1,-3.4,-20.1,-17.9,-17.8,42.1,9.5,11.8,12.1,-1.4,3.4,-6,-4.7,2.5,7.9,2.9,3.6,1.2,11.5,10,15.2,7.2,-0.7,1.5,11.2,11.7,14.9,7,-10.5,-14.5,-19.1,-7.6
"51","44","    Net purchases of used structures","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RL1",4.1,-3.2,12.7,11,2.6,-13.4,-13.1,12.8,13.5,9.6,3.4,-8.3,1.4,-8.3,7.8,14.7,4,0.1,-0.2,-1,-0.5,-3.9,-11.1,4.3,4.7,6.5,0.4,6.8,3.6,6.2,3.4,3.7,-0.8,-4.9,3.2,5.8,4.3,-1.1,-5.8,-9.4,-22.5
"54","46","    Nonresidential structures","A771RL1",5.5,0.5,-1.4,3.2,8,-2.3,-10.5,2.5,3.9,14.4,12.8,5.9,8.1,-1.7,-10.7,13.9,7,-10.9,-2.9,0.6,2,1.6,-11,-6,-0.7,1.7,6.3,5.5,6.9,5.5,0.1,7.8,-2.4,-16.8,-3.8,0.8,1.2,9.3,14.3,5.9,-20.3
"55","47","    Residential structures","A756RL1",2.8,-6.8,27.4,17.5,-1.3,-22.2,-15.6,24.1,22.1,6,-4.1,-21.6,-7.1,-18.5,42,15.6,0.6,12.9,2.2,-2.3,-2.6,-9.1,-11.2,14.9,9.2,10.2,-3.8,7.9,1.1,6.8,6,0.5,0.5,4.7,7.7,8.6,5.9,-6.8,-19.3,-24.7,-25.6
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
