"","Table 6#5B# Full-Time Equivalent Employees by Industry          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"23","16","        Furniture and fixtures","J4316C0",334,310,357,348,349,356,329,354,362,361,337,358,357,341,361,364,379,404,437,429,444,453
"24","17","        Stone, clay, and glass products","J4317C0",556,517,549,586,565,576,548,578,592,582,547,587,592,570,580,590,603,622,640,625,631,653
"25","18","        Primary metal industries","J4318C0",1231,1084,1185,1295,1225,1306,1164,1266,1300,1294,1082,1113,1150,1077,1101,1110,1159,1234,1278,1250,1248,1283
"26","19","        Fabricated metal products","J4319C0",1085,983,1083,1191,1215,1321,1199,1261,1283,1298,1146,1206,1218,1180,1242,1260,1291,1376,1498,1542,1592,1651
"27","20","        Machinery, except electrical","J4320C0",1384,1189,1215,1468,1545,1567,1413,1439,1550,1555,1328,1433,1448,1399,1477,1515,1588,1732,1912,1957,1949,2009
"28","21","        Electric and electronic equipment","J4321C0",975,839,961,1085,1169,1300,1169,1214,1286,1309,1185,1346,1419,1429,1531,1505,1480,1590,1836,1887,1903,1955
"29","22","        Motor vehicles and equipment","J4322C0",757,733,797,835,778,899,765,874,784,755,596,666,699,628,686,729,748,828,863,816,870,906
"30","23","        Other transportation equipment","J4323C0",472,458,452,696,998,1143,1034,987,1051,1122,1009,1014,936,920,980,990,965,998,1170,1238,1247,1211
"31","24","        Instruments and related products","J4324C0",271,248,271,320,349,381,360,365,388,401,375,395,402,394,405,409,407,436,491,511,529,545
"32","25","        Miscellaneous manufacturing industries","J4325C0",416,381,400,400,391,420,397,399,403,385,360,375,378,369,383,382,389,411,429,424,428,434
"33","26","      Nondurable goods","J4326C0",7178,6874,7023,7162,7091,7194,6911,7003,7033,7014,6703,6900,6943,6864,7002,7011,7072,7335,7628,7736,7876,8003
"34","27","        Food and kindred products","J4327C0",1783,1753,1751,1781,1765,1756,1720,1707,1711,1704,1639,1653,1673,1656,1649,1637,1640,1666,1688,1707,1705,1718
"35","28","        Tobacco manufactures","B4328C0",99,101,96,104,103,103,101,99,95,92,90,90,90,87,87,86,88,86,83,84,82,79
"36","29","        Textile mill products","J4329C0",1329,1186,1243,1220,1139,1130,1017,1022,997,954,886,914,891,861,874,861,862,902,942,944,975,985
"37","30","        Apparel and other textile products","J4330C0",1196,1167,1183,1182,1187,1205,1138,1162,1157,1145,1086,1144,1156,1134,1184,1197,1214,1274,1329,1327,1339,1347
"38","31","        Paper and allied products","J4331C0",470,451,482,504,497,523,522,537,554,555,542,567,576,582,598,605,607,628,656,672,681,705
"39","32","        Printing and publishing","B4332C0",720,717,723,737,739,754,758,768,782,803,791,807,833,840,853,856,874,907,946,979,996,1016
"40","33","        Chemicals and allied products","J4333C0",633,599,617,687,708,746,729,745,773,793,758,778,793,792,804,819,831,870,926,966,994,1023
"41","34","        Petroleum and coal products","J4334C0",220,214,216,227,231,235,232,231,229,232,219,209,202,194,189,185,180,178,179,179,183,186
"42","35","        Rubber and miscellaneous plastics products","J4335C0",322,297,320,345,346,366,337,365,373,377,351,382,384,377,422,431,444,483,527,534,573,613
"43","36","        Leather and leather products","J4336C0",406,389,392,375,376,376,357,367,362,359,341,356,345,341,342,334,332,341,352,344,348,331
"44","37","    Transportation and public utilities","A4337C0",4121,3939,3972,4170,4182,4228,4025,4087,4195,4182,3908,3897,3914,3808,3807,3795,3827,3926,4063,4145,4209,4303
"45","38","      Transportation","J4338C0",2854,2662,2710,2868,2849,2856,2654,2699,2755,2717,2481,2504,2507,2412,2418,2407,2421,2472,2556,2593,2633,2650
"46","39","        Railroad transportation","B4339C0",1503,1349,1373,1432,1382,1359,1205,1196,1183,1117,952,917,881,807,788,763,746,730,719,689,661,637
"47","40","        Local and interurban passenger transit","J4340C0",388,373,354,350,344,335,314,295,288,287,273,266,268,264,260,257,254,257,262,269,272,268
"48","41","        Trucking and warehousing \2\","B4341C0",515,518,575,635,661,701,695,748,796,802,781,832,851,839,869,883,898,946,991,1001,1035,1068
"49","42","        Water transportation","J4342C0",254,235,225,251,245,238,221,231,240,249,218,222,222,215,212,210,216,214,227,229,228,213
"50","43","        Transportation by air \2\","J4343C0",89,87,86,95,108,114,116,125,144,160,160,167,183,186,188,192,202,218,244,285,316,337
"51","44","        Pipelines, except natural gas","B4344C0",30,29,27,28,29,28,27,26,26,26,25,24,23,22,21,20,19,19,18,18,18,18
"52","45","        Transportation services","J4345C0",75,71,70,77,80,81,76,78,78,76,72,76,79,79,80,82,86,88,95,102,103,109
"53","46","      Communication","A4346C0",739,736,717,747,773,801,799,811,857,876,826,799,807,796,792,791,808,844,890,924,936,1002
"54","47","        Telephone and telegraph","J4347C0",47,50,53,58,60,64,70,72,75,78,79,81,84,86,87,89,92,97,102,108,112,117
"55","48","        Radio and television","J4348C0",692,686,664,689,713,737,729,739,782,798,747,718,723,710,705,702,716,747,788,816,824,885
"56","49","      Electric, gas, and sanitary services","J4349C0",528,541,545,555,560,571,572,577,583,589,601,594,600,600,597,597,598,610,617,628,640,651
"57","50","    Wholesale trade","J4350C0",2586,2528,2559,2715,2784,2830,2821,2891,3031,3041,3017,3069,3132,3130,3161,3193,3268,3372,3501,3585,3668,3782
"58","51","    Retail trade","J4351C0",5852,5805,5942,6275,6384,6482,6405,6570,6781,6811,6698,6900,7100,7040,7198,7364,7643,7941,8301,8541,8867,9180
"59","52","    Finance, insurance, and real estate","J4352C0",1635,1663,1742,1826,1902,1986,2060,2163,2268,2339,2377,2426,2511,2541,2592,2666,2729,2837,2924,3074,3233,3387
"60","53","      Banking","J4353C0",406,410,418,447,472,496,511,529,554,586,596,613,645,661,679,704,724,750,782,839,888,955
"61","54","      Credit agencies other than banks","J4354C0",100,107,121,131,143,155,166,184,205,212,214,226,245,257,268,287,299,314,322,331,337,347
"62","55","      Security and commodity brokers","J4355C0",53,51,56,60,63,64,67,78,85,85,91,102,111,122,127,119,121,124,136,152,188,221
"63","56","      Insurance carriers","B4356C0",495,519,546,572,603,645,675,702,734,778,800,795,807,804,802,823,839,866,876,923,954,956
"64","57","      Insurance agents, brokers, and service","J4357C0",106,115,123,135,143,150,157,163,173,180,188,190,199,203,209,213,221,232,237,245,249,258
"65","58","      Real estate","J4358C0",463,449,467,469,464,462,468,490,499,478,469,480,480,468,480,493,498,520,537,549,576,603
"66","59","      Holding and other investment offices","B4359C0",12,12,11,12,14,14,16,17,18,20,19,20,24,26,27,27,27,31,34,35,41,47
"67","60","    Services","J4360C0",6177,6157,6372,6483,6434,6513,6437,6801,7097,7323,7452,7694,8005,8133,8398,8639,8923,9317,9822,10369,10741,11136
"68","61","      Hotels and other lodging places","J4361C0",451,434,428,438,444,451,440,442,449,459,450,459,474,472,484,509,538,569,604,635,659,691
"69","62","      Personal services","J4362C0",855,826,818,825,815,805,787,783,788,792,775,771,780,774,780,793,809,846,877,905,908,900
"70","63","      Business services","J4363C0",306,307,322,350,379,411,426,464,521,572,599,661,721,767,833,884,960,1050,1170,1278,1359,1483
"71","64","      Auto repair, services, and parking","B4364C0",223,208,196,191,194,193,189,198,211,219,226,243,258,260,265,277,291,306,320,331,340,353
"72","65","      Miscellaneous repair services","B4365C0",126,114,111,122,126,120,110,114,119,125,115,124,131,130,133,136,139,147,158,168,170,174
"73","66","      Motion pictures","J4366C0",221,218,213,208,200,190,184,179,172,165,151,146,142,139,132,131,131,136,141,147,148,154
"74","67","      Amusement and recreation services","J4367C0",240,235,233,230,225,229,228,233,238,240,243,252,267,272,282,294,301,308,316,336,344,358
"75","68","      Health services","J4368C0",825,846,905,958,989,1035,1084,1132,1191,1264,1331,1379,1418,1439,1486,1554,1630,1735,1882,2056,2220,2394
"76","69","      Legal services","J4369C0",102,104,112,117,118,124,126,128,128,131,135,141,150,151,157,162,172,181,188,200,208,217
"77","70","      Educational services","J4370C0",409,416,421,417,416,422,430,446,456,490,512,518,544,573,609,638,655,706,750,797,836,864
"78","71","      Social services and membership organizations","A4371C0",669,708,728,757,773,805,829,875,916,954,991,1094,1204,1272,1347,1377,1415,1462,1558,1655,1717,1765
"79","72","        Social services","B4372C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","73","        Membership organizations","J4373C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","74","      Miscellaneous professional services","J4374C0",176,170,175,203,231,245,243,259,301,323,310,314,319,320,332,352,369,395,432,469,505,548
"82","75","      Private households","B4375C0",1574,1571,1710,1667,1524,1483,1361,1548,1607,1589,1614,1592,1597,1564,1558,1532,1513,1476,1426,1392,1327,1235
"83","76","  Government","A4376C0",6744,7207,7432,9267,10043,10013,9855,9745,9840,10035,10077,10343,10621,10983,11391,11599,11939,12316,13293,14006,14456,14716
"84","77","    Federal","A4377C0",3460,3684,3783,5535,6175,5989,5669,5393,5270,5263,5062,5010,5055,5157,5409,5351,5360,5389,5988,6450,6531,6484
"85","78","      General government","A4378C0",2922,3114,3230,4957,5555,5390,5070,4796,4667,4641,4429,4367,4394,4479,4721,4660,4663,4675,5206,5630,5700,5640
"86","79","        Civilian","B4379C0",1378,1397,1417,1753,1843,1760,1643,1651,1678,1674,1632,1656,1704,1705,1764,1782,1767,1787,1889,2023,2039,2019
"87","80","        Military \3\","B4380C0",1544,1717,1813,3204,3712,3630,3427,3145,2989,2967,2797,2711,2690,2774,2957,2878,2896,2888,3317,3607,3661,3621
"88","81","      Government enterprises","B4381C0",538,570,553,578,620,599,599,597,603,622,633,643,661,678,688,691,697,714,782,820,831,844
"89","82","    State and local","A4382C0",3284,3523,3649,3732,3868,4024,4186,4352,4570,4772,5015,5333,5566,5826,5982,6248,6579,6927,7305,7556,7925,8232
"90","83","      General government","A4383C0",3073,3302,3415,3486,3584,3732,3893,4052,4268,4467,4695,4958,5178,5432,5582,5840,6155,6491,6860,7107,7455,7745
"91","84","        Education","B4384C0",1350,1420,1463,1506,1576,1650,1726,1824,1925,2027,2131,2384,2530,2650,2743,2930,3125,3339,3573,3729,3928,4112
"92","85","        Other","B4385C0",1723,1882,1952,1980,2008,2082,2167,2228,2343,2440,2564,2574,2648,2782,2839,2910,3030,3152,3287,3378,3527,3633
"93","86","      Government enterprises","B4386C0",211,221,234,246,284,292,293,300,302,305,320,375,388,394,400,408,424,436,445,449,470,487
"94","87","Rest of the world","A4387C0",7,-15,-4,-55,-68,-78,-127,-138,-142,-133,-128,-134,-143,-125,-91,-72,-63,-21,-15,-15,-16,-22
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","1. Full-time equivalent employees equals the number of employees on full-time schedules plus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","the number of employees on part-time schedules converted to a full-time basis.  The number of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","full-time equivalent employees in each industry is the product of the total number of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","employees and the ratio of average weekly hours per employee for all employees to average",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","weekly hours per employee on full-time schedules.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","2. Beginning with 1987, reflects the reclassification of air couriers from trucking and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","3. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
