"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Income taxes","B245RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1,1.1,1.3,1.6,1.7,1.8,2.2,2.5,2.8,3.2,3.4,4,4.4,5.4,6.1,7.8,9.8
"12","5","    Other","B247RC1",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.2,1.6,1.7,1.8,1.8,2,2.1,2.2,2.4,2.5,2.7,3
"13","6","  Taxes on production and imports","W072RC1",5.7,6,5.8,5.7,5.3,5.5,5.8,6.2,6.6,6.8,6.9,7.2,7.5,7.5,7.6,7.8,8.2,9.1,10.4,11.9,13,14.2,15.6,17,18.4,19.4,21,23.3,25.1,26.5,28.8,31.5,33.8,36.3,38.7,41.8,45.3,48.8,52.8,59.5,66
"14","7","    Sales taxes","B248RC1",0.4,0.5,0.6,0.6,0.7,0.9,1.2,1.4,1.5,1.6,1.7,1.8,2.1,2,2,2,2.3,2.9,3.5,4.1,4.3,4.8,5.4,5.8,6.3,6.5,7.1,8,8.6,10,11.1,12.2,13,14,15,16.5,18.2,20,21.4,25.1,28.6
"15","8","    Property taxes","B249RC1",4.5,4.7,4.5,4.4,4,3.9,4,4.1,4.2,4.3,4.3,4.4,4.4,4.4,4.5,4.6,4.6,4.8,5.3,5.9,6.6,7.1,7.7,8.4,9.1,9.7,10.4,11.5,12.6,13.8,14.8,16.2,17.6,19,20.2,21.7,23.2,24.5,27,29.9,32.8
"16","9","    Other","W073RC1",0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.8,0.9,0.9,0.9,1,1,1.1,1.1,1.2,1.3,1.4,1.6,1.8,2.1,2.3,2.5,2.8,3,3.2,3.5,3.8,3.9,2.8,2.9,3.1,3.2,3.3,3.5,3.7,3.9,4.3,4.4,4.6,4.7
"17","10","  Taxes on corporate income","B102RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.8,0.9,0.8,0.8,0.8,1,1,1,1,1.2,1.2,1.3,1.5,1.7,1.8,2,2.2,2.6,3.3,3.6
"18","11","Contributions for government social insurance","B104RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,0.9,1
"19","12","Income receipts on assets","W074RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1.1,1.1,1.1,1.3,1.4,1.5,1.6,1.9,2.2,2.6,3,3.5,4.3
"20","13","  Interest receipts \1\","B112RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1.1,1.1,1.2,1.5,1.8,2.1,2.4,2.8,3.6
"21","14","  Dividends","B081RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Rents and royalties","S230541",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.8
"23","16","Current transfer receipts","W075RC1",0.5,0.5,0.6,0.4,0.7,1.8,1.9,0.9,0.9,0.9,1.1,0.9,0.8,1,1.1,1.1,1,1.2,1.8,2,2.2,2.3,2.5,2.6,2.8,2.9,3,3.2,3.6,4.1,4.2,4.5,5.2,5.8,6.4,7.3,8,11.1,13.1,14.2,16.2
"24","17","  Federal grants-in-aid","B089RC1",0.1,0.1,0.3,0.1,0.5,1.6,1.7,0.7,0.7,0.7,0.9,0.7,0.6,0.8,0.9,0.9,0.8,1,1.6,1.7,1.9,1.9,2,2.2,2.3,2.3,2.4,2.5,2.9,3.3,3.8,4,4.5,5,5.6,6.5,7.2,10.1,11.7,12.7,14.6
"25","18","  From business (net)","W076RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.5
"26","19","  From persons","B246RC1",0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.7,0.9,1,1.1
"27","20","Current surplus of government enterprises","B115RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,0.9,0.9,1.1,1.2,1.3,1.4,1.6,1.6,1.7,1.6,1.5,1.5,1.5
"28","21","    Current expenditures","W024RC1",5.6,5.9,6.2,6.1,6.3,6.9,7.5,5.9,6.6,6.7,7,7.4,7.9,8.5,8.9,9.1,9.5,11.2,13.5,15.5,16.8,18.6,19.4,20.7,22,23.7,25.9,28,30.8,34.2,36.9,40.2,43.8,46.8,50.3,54.9,60,67.2,75.5,86,97.5
"29","22","Consumption expenditures","A991RC1",5,5.3,5.4,5.1,5,5.5,5.9,4.6,5.1,5.1,5.4,5.8,6.3,7,7.5,7.7,8.2,9.2,10.9,12.3,13.7,14.9,16.1,17.1,18.2,19.7,21.6,23.4,25.8,28.6,30.7,33.5,36.6,39,41.9,45.8,50.2,56.1,62.6,70.4,79.8
"30","23","Government social benefit payments to persons","B109RC1",0.1,0.2,0.3,0.4,0.6,0.8,1,0.7,0.9,1.1,1.1,1.1,1.1,1,1,1,1.1,1.5,2,2.7,2.7,3.2,2.6,2.9,3,3.1,3.3,3.3,3.6,4,4.3,4.6,5,5.3,5.7,6.2,6.7,7.6,9.2,11.4,13.2
"31","24","Interest payments \1\","B111RC1",0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.2,1.4,1.5,1.8,2.1,2.2,2.4,2.7,2.9,3.1,3.4,3.7,4.2,4.4
"32","25","Subsidies","B114RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"33","26","Less: Wage accruals less disbursements","B116RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","27","    Net state and local government saving","A924RC1",1.5,1.3,1,0.7,0.4,1.2,1.1,2.3,2,2,2,2,1.9,1.5,1.5,1.6,1.6,1.5,1.4,1.2,1.5,1.3,2.6,3,3.5,3.2,3.5,4.4,4.2,2.9,3.8,4.3,4.3,5.2,5.7,6.4,6.5,7.8,7,7.5,8
"35","28","Social insurance funds","B118RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2
"36","29","Other","B119RC1",1.5,1.3,1,0.7,0.4,1.2,1.1,2.3,2,2,2,2,1.9,1.5,1.5,1.6,1.6,1.4,1.4,1.2,1.4,1.2,2.5,2.9,3.4,3.1,3.4,4.3,4.1,2.8,3.8,4.3,4.3,5.2,5.7,6.3,6.4,7.6,6.9,7.3,7.8
"37",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","30","  Total receipts","W077RC1",7.2,7.5,7.3,6.9,6.8,8.2,8.8,8.3,8.8,9,9.3,9.6,10.1,10.3,10.6,10.9,11.3,12.9,15.2,17.2,18.8,20.6,22.6,24.4,26.3,27.8,30.4,33.5,36.7,39.7,44.1,47.5,51.4,55.5,60.2,66,71.3,80.1,87.6,100.4,112.3
"39","31","    Current receipts","W023RC1",7.1,7.3,7.1,6.8,6.7,8.1,8.7,8.2,8.6,8.7,9.1,9.4,9.8,10.1,10.4,10.7,11.1,12.6,14.9,16.8,18.3,20,21.9,23.7,25.5,26.9,29.4,32.4,35,37.1,40.6,44.5,48.1,52,56,61.3,66.5,74.9,82.5,93.5,105.5
"40","32","    Capital transfer receipts","AD06RC1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.7,0.8,0.8,1,1.1,1.6,2.7,3.5,3,3.3,3.5,4.1,4.7,4.7,5.1,5.1,6.8,6.8
"41","33","  Total expenditures","W079RC1",7.6,8.2,8.2,7.3,7,7.9,8.4,8,8.2,8.8,9.5,9.3,9.1,8.7,8.4,8.4,9,11.3,14.6,17.6,20.3,22.6,24,25.6,27.4,30.4,33.5,36.4,40.2,44.5,47.4,50.5,55.1,58.7,63.6,69.4,75.9,84.8,94.7,106.8,117.4
"42","34","    Current expenditures","W024RC1",5.6,5.9,6.2,6.1,6.3,6.9,7.5,5.9,6.6,6.7,7,7.4,7.9,8.5,8.9,9.1,9.5,11.2,13.5,15.5,16.8,18.6,19.4,20.7,22,23.7,25.9,28,30.8,34.2,36.9,40.2,43.8,46.8,50.3,54.9,60,67.2,75.5,86,97.5
"43","35","    Gross government investment","A799RC1",2.6,2.9,2.6,1.8,1.3,1.8,1.6,2.9,2.6,3,3.4,2.8,2.2,1.5,0.9,0.7,0.8,1.6,2.8,4,5.3,5.9,7,7.3,7.9,9.2,10,11.3,12.5,13.5,13.9,13.9,15,15.9,17.5,19,20.8,23.1,25.3,27.7,28.3
"44","36","    Capital transfer payments","W080RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","37","    Net purchases of nonproduced assets","AD09RC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.3,1.4,1.4,1.4,1
"46","38","    Less: Consumption of fixed capital","A919RC1",0.7,0.7,0.7,0.6,0.7,0.9,0.8,0.9,1,1,1,1.1,1.2,1.4,1.5,1.4,1.4,1.5,1.8,2.1,2.1,2.1,2.6,2.7,2.8,2.9,3.1,3.5,3.9,4,4.2,4.4,4.7,5,5.4,5.7,6.2,6.9,7.5,8.3,9.3
"47","39","  Net lending or net borrowing (-)","AD03RC1",-0.4,-0.8,-0.9,-0.4,-0.2,0.3,0.4,0.3,0.5,0.2,-0.2,0.3,1,1.6,2.2,2.4,2.3,1.6,0.6,-0.4,-1.4,-2.1,-1.5,-1.1,-1.1,-2.6,-3.1,-2.9,-3.5,-4.7,-3.2,-3.1,-3.8,-3.2,-3.5,-3.4,-4.6,-4.7,-7.1,-6.4,-5.1
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Prior to 1946, interest receipts (line 13) are not shown separately, but are shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","net of interest payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
