"","Table 1#5#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"18","11","      Clothing and footwear","DCLORL1",1.9,-1.2,4.2,7.1,7.2,-1.9,2.5,4.6,5.4,10.5,5.8,3.1,6.4,1.7,6.8,8.3,4.5,7.5,3.7,2.9,5.3,-0.7,0.1,5.3,4.3,5.6,4.1,4.8,3.3,6.1,6.6,4.8,0.9,3.1,5.6,4.9,6.1,5.1,3.7,-0.6,-4.4,5.6
"19","12","      Gasoline and other energy goods","DGOERL1",4.3,3.8,3.5,5.1,5.7,-8.1,2.3,5.4,1.8,1.6,-2.9,-8.8,-1.3,0.2,2.2,2.7,1.9,5.1,1.9,2.8,1.6,-1.8,-0.8,4,2.5,1.6,1.9,1.6,2,3.6,3.1,-1.8,0.7,1.7,2.8,1.4,-0.6,-2.1,-0.8,-4.7,1.2,-0.4
"20","13","      Other nondurable goods","DONGRL1",2.8,3.3,0.4,4.8,6.8,-0.3,-3.2,4.2,1.6,7.1,5.8,1.8,2.3,-0.4,2.5,5.5,2.7,2.3,3.7,2.3,3.3,2.5,-0.5,2,3.6,5.1,4.1,4.4,5.5,5.4,6.2,5.1,3.2,3.3,4.5,3.5,3.1,3.7,3,0.2,-1.1,2.9
"21","14","  Services","DSERRL1",4.5,3.9,3.5,5.8,4.7,1.9,3.8,4.3,4.1,4.7,3.1,1.5,1.8,1.9,5.2,3.9,5.2,3,4,4.2,3,3,1.5,3.6,3.2,3,2.5,2.9,3.1,4.4,4.1,5,2.5,1.9,1.9,2.9,3,2.7,2.2,0.9,-0.8,0.5
"22","15","    Household consumption expenditures (for services)","DHCERL1",4.6,3.9,3.4,5.8,4.9,2.1,3.9,4.2,4.2,4.6,3,1.4,1.6,1.5,4.9,3.5,5.1,2.6,3.9,3.9,2.7,2.4,1.1,3,3,2.8,2.5,2.8,3.4,4.2,4,4.8,2.3,1.6,1.8,3.1,3.2,2.4,2.1,0.6,-0.7,0.5
"23","16","      Housing and utilities","DHUTRL1",5.5,3.8,4.3,5.3,4.7,4.7,3.2,2.8,2.8,4.8,3.6,3.2,1.7,0.7,2.2,3.5,3.8,2.1,3,3.4,2.6,1.8,2.2,2,2.6,3.7,2.7,2.2,2.3,3.1,3.2,3.1,2.7,0.7,1.2,2.2,4.6,2.1,0.6,0.8,1.1,1.1
"24","17","      Health care","DHLCRL1",7.4,5.4,7.2,6.8,7.2,3.4,5.1,4.4,4.8,4.6,3.4,2.9,4.8,0.2,3,1.6,3.1,3.1,4.2,3.9,1.1,3.4,1.9,3,0.5,0.8,2.1,2.1,3.1,3.2,1.6,3.4,5,5.9,2.3,3.2,3.7,1.8,2.4,2.8,2.2,1.4
"25","18","      Transportation services","DTRSRL1",6.7,3.5,4.2,5.7,1.7,0.6,1.3,5,7.1,2.4,3,-5.9,-3.7,-2.2,7.5,11.7,10.5,4.4,4.1,5.8,2.2,-0.1,-4.7,5.1,5.7,9.5,7.5,8.2,7.5,4.2,5.5,4.7,-0.9,-2.7,0.3,2.3,0.9,-0.3,1.1,-5.2,-8.1,1.2
"26","19","      Recreation services","DRCARL1",5.9,3.6,3.4,5.3,8.5,6.8,5.2,6.9,6.3,4.9,4.9,3.4,8.5,4.8,8.5,6.6,7.2,4.6,4.5,9.5,6.2,4.3,-0.7,6.6,6.3,5.1,7.6,4.5,3.2,3.3,4.9,3,-0.1,0.6,2.9,5,1.9,3.3,4.1,-0.3,-2.4,-0.6
"27","20","      Food services and accommodations","DFSARL1",2.2,3.5,-0.1,7.6,5,-0.9,4.2,6,2.7,4.2,3.1,0,1,0.7,3.3,2.8,1.3,2.9,5.2,5.9,2.8,3.6,0.1,2.5,2.3,1.6,0.2,0.7,2.2,2.6,2.5,4.6,-0.1,1.6,3.4,3.1,3.3,3.1,1.8,-0.7,-3.6,2.4
"28","21","      Financial services and insurance","DIFSRL1",1.4,3.7,3.7,5.8,5.7,2.4,9.6,5.4,6.2,5.1,3.1,1.3,-0.8,7.8,14.4,0.9,10.6,3.2,0.5,-0.1,3.8,2.3,6.7,2.8,8.2,0.7,0.5,3.7,3.4,6.4,8.4,9.9,-0.7,-0.4,-0.1,5.2,3,3.2,4.2,0.6,-3.6,-2.3
"29","22","      Other services","DOTSRL1",2.9,3.2,0.4,4.4,2.8,-3.2,0.8,3.8,4.9,5.3,0.9,-0.6,-0.5,2.1,6.5,5,6.9,1.1,7,4.1,3.1,1.7,-3.6,3.9,2.1,3.8,2,3.4,5.9,8.3,5.6,7.2,4,0.6,2.5,2.4,1.1,3.4,2.5,-0.3,-1.2,-1
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRL1",1.6,5.4,5.4,6.1,1,-1.8,0.5,5.6,1.6,5.4,3.4,4.8,8,15.9,15,15.5,7.9,13.4,7.5,15,14.3,20.4,13.8,19.9,7.8,8.3,4.6,6.1,-6.9,9.5,7.2,7.8,7.6,9.2,4.9,-0.5,-1.9,10,4.2,9,-4.2,2.1
"31","24","      Gross output of nonprofit institutions \2\","DNPERL1",5.3,4.9,7,6,2.9,1.2,3.8,5.3,3.8,5.6,2.8,2.9,4.1,4.2,3.7,3.4,3.5,5,4,5.5,3.6,5.9,3.7,5.4,2.5,2.1,1.3,2.7,1.6,5,3.5,3.9,4.8,5.8,1.6,2,1.6,3,2.4,2.6,0.6,1
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRL1",6.9,4.7,7.6,5.9,3.6,2.4,5,5.1,4.5,5.7,2.7,2.3,2.9,0.7,0.4,-0.1,2.2,2.5,2.9,2.7,0.5,1.8,0.9,1.4,0.9,0.4,0.4,1.7,4.2,3.6,2.3,2.6,3.9,4.6,0.3,2.8,2.8,0.8,1.8,0.5,2.3,0.6
"33","26","Gross private domestic investment","A006RL1",5.8,-6.6,11.4,11.8,11.7,-7.4,-17.7,20.2,15.1,12.1,3.2,-11,9,-14,9.3,29.5,-0.9,-0.7,3.1,2.4,4,-3.4,-8.1,8.1,8.9,13.6,3.1,8.8,12.4,10,8.8,6.8,-7,-1.4,3.6,10,5.5,2.7,-3.1,-9.5,-22.6,17.1
"34","27","  Fixed investment","A007RL1",6.2,-2.1,7.6,12,9.1,-6.3,-10.7,9.9,14.4,12.1,5.6,-6.5,2.2,-7,7.3,16.9,5.3,1.2,0.5,3.3,3,-2.1,-6.5,5.9,8.6,9.4,6.4,9,9.2,10.9,9.3,7.4,-1.9,-4.2,3.2,7.3,6.5,2.3,-1.8,-6.4,-18.3,3.9
"35","28","    Nonresidential","A008RL1",7.6,-0.5,0,9.2,14.6,0.8,-9.9,4.9,11.3,15,10.1,-0.3,5.7,-3.8,-1.3,17.6,6.6,-2.9,-0.1,5.2,5.6,0.5,-5.4,3.2,8.7,9.2,10.5,9.3,12.1,12,10.4,9.8,-2.8,-7.9,0.9,6,6.7,7.9,6.7,0.3,-17.1,5.7
"36","29","      Structures","A009RL1",5.4,0.3,-1.6,3.1,8.2,-2.2,-10.5,2.4,4.1,14.4,12.7,5.9,8,-1.6,-10.8,13.9,7.1,-11,-2.9,0.7,2,1.5,-11.1,-6,-0.6,1.8,6.4,5.7,7.3,5.1,0.1,7.8,-1.5,-17.7,-3.8,1.1,1.4,9.2,14.1,5.9,-20.4,-13.7
"37","30","      Equipment and software","A010RL1",8.8,-1,1,12.9,18.3,2.6,-9.5,6.3,15.1,15.2,8.7,-3.6,4.3,-5.2,5.4,19.8,6.4,1.9,1.4,7.5,7.3,0,-2.6,7.3,12.5,11.9,12,10.6,13.8,14.5,14.1,10.5,-3.2,-4.2,2.5,7.7,8.5,7.4,3.7,-2.4,-15.3,15.3
"38","31","        Information processing equipment and software","A679RL1",21.6,12.7,6.7,14.8,17.7,14.8,-0.4,13.7,21.2,29.1,21,16.8,15.7,7.3,16.4,26.9,11.3,8.2,6.2,11.2,13.9,5.3,5.1,15.4,13.2,12.6,17.3,19.8,23.3,22.8,22.5,18,-0.4,-2.8,6.8,9.4,7.3,8.3,8.9,6.1,0.2,13.5
"39","32","          Computers and peripheral equipment","B935RL1",60,12.5,44.4,53.8,5,33.3,0,46.4,48.8,98.4,62,57.7,56,23,51.8,63.6,25.5,15,25.6,14.3,21.6,-1.2,8.6,36.8,28.2,24.3,50.8,44.4,45,45.4,42.1,21.3,2.5,4.8,8.9,11.4,11.7,23.1,14,13.3,-1.5,27.3
"40","33","          Software \4\","B985RL1",34.5,27.7,6.3,17.4,13.7,16.9,17.2,8.7,4.2,18.5,24.5,18,16.3,15.4,17.9,26.4,18.8,11.9,14,19.2,28.9,17.9,13.3,17.5,11.8,9.8,10,17.3,29.5,20.8,23.3,13.8,0.7,-0.1,7,10.3,6.5,4.2,6,5.8,1.7,9.8
"41","34","          Other","A937RL1",15.8,7.8,1.2,6,21.2,10.6,-4,9.5,20.3,19.2,12.3,7.6,5.7,0.7,5.1,13.9,3.2,4.1,-4,6.9,4.5,2.5,-0.6,6.1,7.7,9.3,7.6,9.6,8.6,12.6,11.5,20.3,-3.1,-9.1,5.4,7.4,6.1,7.2,10.1,3.5,-1.1,12.7
"42","35","        Industrial equipment","A680RL1",6.6,1.4,-8.2,7.8,18.2,7.7,-15.2,0.5,6,11.3,7.1,-4.3,-1.6,-8.6,-7.9,14.4,4.6,-0.5,-2.5,5,7,-5.8,-6.4,1.8,8.5,8.9,9.8,3.7,2.2,4.4,0.6,8.6,-7.4,-6.7,-0.2,-2.8,8.3,8.3,4,-4.2,-23.3,5.7
"43","36","        Transportation equipment","A681RL1",4,-18,8,16.2,20.3,-9.5,-13.9,11.2,21.5,10.5,4.4,-18.4,-2.8,-11.4,12.6,19.1,3.9,-3.8,-4.9,5.4,-10,-0.5,-2.7,1.8,18.6,17.1,8.2,4,8.3,9.3,17.5,-2.2,-8.9,-9.1,-8.9,15.6,11.9,8.1,-5.5,-23,-51.5,61.4
"44","37","        Other equipment","A862RL1",6.8,4.3,-0.3,13.3,16.9,-1.3,-7.4,0.8,12.5,10.2,2,-10.1,2.7,-13.5,-3.6,13.2,1,-1.8,2.8,4.8,11.6,-3.8,-14.5,-0.5,9.5,8.1,5.4,3.8,9.7,10.2,2.6,5.6,-0.8,-0.7,4.6,6.1,8.8,3.7,-0.7,-3.7,-22.3,9.1
"45","38","    Residential","A011RL1",3,-6,27.4,17.8,-0.6,-20.6,-13,23.5,21.5,6.3,-3.7,-21.2,-8,-18.2,41.4,14.8,1.6,12.3,2,-1,-3,-8.6,-9.6,13.8,8.2,9.7,-3.3,8,1.9,7.7,6.3,1,0.6,5.2,8.2,9.8,6.2,-7.3,-18.7,-24,-22.9,-3
"46","39","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","    Farm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","    Nonfarm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","Net exports of goods and services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","  Exports","A020RL1",4.8,10.7,1.7,7.5,18.9,7.9,-0.6,4.4,2.4,10.5,9.9,10.8,1.2,-7.6,-2.6,8.2,3,7.7,10.8,16,11.5,9,6.6,6.9,3.3,8.7,10.1,8.3,11.9,2.3,4.4,8.6,-5.6,-2,1.6,9.5,6.7,9,9.3,6,-9.5,11.7
"51","44","    Goods","A253RL1",5.2,11.4,-0.4,10.8,23,7.9,-2.3,4.7,1.3,11.2,11.8,11.9,-1.1,-9,-2.9,7.9,3.7,5.1,11.1,18.8,11.9,8.4,6.9,7.5,3.3,9.7,11.7,8.8,14.4,2.2,3.8,11.1,-6.2,-3.6,1.8,8.5,7.5,9.4,9.8,6.3,-12,14.7
"52","45","    Services","A646RL1",3.7,8.9,7.7,-0.6,7.1,7.8,6.1,3,6.5,8.4,3.1,6.2,10.7,-2.8,-1.7,8.9,1.2,14.5,10,9,10.3,10.5,6,5.4,3.3,6.4,6.3,7,5.9,2.4,5.7,2.7,-4.1,1.9,1.2,11.9,5,7.9,8.3,5.3,-3.9,5.7
"53","46","  Imports","A021RL1",5.7,4.3,5.3,11.3,4.6,-2.3,-11.1,19.6,10.9,8.7,1.7,-6.6,2.6,-1.3,12.6,24.3,6.5,8.5,5.9,3.9,4.4,3.6,-0.1,7,8.6,11.9,8,8.7,13.5,11.7,11.5,13,-2.8,3.4,4.4,11,6.1,6.1,2.7,-2.6,-13.8,12.6
"54","47","    Goods","A255RL1",5.5,3.9,8.4,13.6,7.1,-2.8,-12.6,22.6,12.2,9,1.7,-7.4,2.1,-2.5,13.6,24.2,6.3,10.2,4.6,4,4.3,2.9,0.5,9.4,10,13.4,9,9.4,14.4,11.8,12.5,13.4,-3.2,3.7,4.9,11,6.8,5.9,2.9,-3.5,-15.8,14.8
"55","48","    Services","A656RL1",6.3,5.2,-2.8,4.2,-3.4,-0.1,-4.3,6.9,5,7.1,1.4,-2.2,5.8,5.3,8.1,25.1,7.6,1.1,11.8,3.4,4.8,6.5,-2.6,-2.7,2.7,5.3,3,5.2,8.7,10.9,6.8,11,-0.8,1.8,1.9,11.2,2.8,7.1,1.4,2.4,-4.2,3.5
"56","49","Government consumption expenditures and gross investment","A822RL1",-0.2,-2.4,-2.2,-0.7,-0.4,2.5,2.3,0.4,1.1,2.9,1.9,1.9,0.9,1.8,3.7,3.4,7,6.1,2.4,1.3,2.7,3.2,1.1,0.5,-0.8,0,0.6,1,1.9,2.1,3.6,2,3.8,4.7,2.2,1.4,0.3,1.4,1.3,2.8,1.6,1
"57","50","  Federal","A823RL1",-3.4,-7.4,-7.7,-4.1,-4.2,0.9,0.3,0,2.1,2.5,2.4,4.7,4.8,3.9,6.6,3.1,7.8,5.7,3.6,-1.6,1.6,2,-0.2,-1.8,-3.9,-3.8,-2.7,-1.2,-1,-1.1,1.9,0.5,4.1,7.3,6.6,4.1,1.3,2.1,1.2,7.3,5.7,4.8
"58","51","    National defense","A824RL1",-4.9,-9.1,-11.3,-7.8,-5.5,-0.8,-0.9,-0.3,1.2,0.9,3,4.4,6.3,7.6,7.2,4.9,8.5,6.4,4.7,-0.5,-0.5,0,-1.1,-5,-5.3,-4.9,-3.7,-1.3,-2.8,-2.1,1.9,-0.5,3.8,7.4,8.7,5.7,1.5,1.6,2.2,7.5,5.4,3.9
"59","52","      Consumption expenditures","A997RL1",-3.9,-9.1,-7.8,-6.1,-7.2,-3.2,-2.5,-1.7,1,1.1,1.3,3.9,5.7,6.7,5.3,3.1,6,4.6,3.7,1.1,-0.7,-0.7,-0.1,-5.2,-3.9,-4.5,-3.6,-1.4,-1.5,-2.7,1.6,-0.9,3.6,6.5,8.6,5.2,1.1,0.8,1.7,6.5,5.3,2.9
"60","53","      Gross investment","A788RL1",-11.4,-9,-36.3,-25.3,12.7,22,11,9,2,-0.6,14.3,7,10.2,12.5,17.3,14.2,20.4,14.6,9.2,-7.5,0.6,3,-5.8,-3.8,-12.2,-7.3,-4.5,-0.9,-10.6,1.6,3.7,2.1,4.9,13.1,9.5,8.9,4.4,7,5.8,14.4,6,10.6
"61","54","    Nondefense","A825RL1",2.7,-1.1,4.7,7.1,-0.6,5.2,3.4,1,4.3,6.2,1.1,5.6,1.3,-4.8,5.2,-1.9,5.9,3.4,-0.1,-5.3,8.3,8.2,2.3,6.6,-0.7,-1.4,-0.4,-0.8,2.7,0.8,2.1,2.4,4.6,7.2,2.8,1,0.9,3.2,-0.8,6.7,6.5,6.6
"62","55","      Consumption expenditures","A542RL1",5.2,-0.3,4.7,7.6,-1.2,5.6,3.3,-0.1,4.2,4.1,1.7,5.2,1.6,-4.4,3.7,-3.6,5.7,3.6,-2,-5.1,8.7,8.1,1.1,5.9,-1.4,0.9,-1.5,-2.5,3.5,-0.9,0.8,4.7,5.5,6.9,3.1,1.2,0.3,2.6,-1.1,6.7,6.9,5.5
"63","56","      Gross investment","A798RL1",-9.2,-5.3,4.8,3.7,2.8,3,3.9,7.3,5.1,18.4,-2.4,7.8,-0.3,-7.1,13.5,7.4,6.8,2.4,9.7,-6.5,6.7,9.2,8.2,10.4,2.8,-12.7,5.8,8.3,-1.2,10.3,8.7,-9,-1,9,1.2,-0.4,5.3,7.8,1.1,7,3.9,14.7
"64","57","  State and local","A829RL1",3.4,2.8,3.1,2.2,2.9,3.8,3.7,0.7,0.4,3.3,1.5,-0.1,-2,0,1.2,3.6,6.2,6.4,1.4,3.7,3.7,4.1,2.1,2.2,1.5,2.6,2.7,2.3,3.6,3.9,4.5,2.8,3.7,3.3,-0.1,-0.2,-0.2,0.9,1.4,0.3,-0.9,-1.4
"65","58","    Consumption expenditures","A991RL1",6.3,6,4.9,3.8,3.5,4.6,4.9,1.4,1.9,2,0.7,-0.2,-0.4,1.5,1.1,1.9,5.2,6.3,1.2,3.4,3.3,3.2,2,2.3,2,2.5,2.3,1.8,2.7,4.2,3.6,2.2,3.4,3.3,-0.3,0,0.4,0.7,1.6,0,-0.7,-1
"66","59","    Gross investment","A799RL1",-4.2,-6.3,-2.8,-3.3,0.6,0.9,-0.9,-1.8,-6,9,5,0.5,-8.5,-6.2,1.3,12.2,10.8,6.8,2.6,5.2,5.4,7.9,2.3,1.4,-1,2.9,4.4,4.6,7.6,2.9,8.1,5.5,4.9,3.5,1,-0.9,-2.8,1.7,0.7,1.4,-1.9,-3.2
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
