"","Table 5#7#9A# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","3","Nonfarm","A373RD3",20.342,20.648,20.969,21.676,22.156,22.385,22.945,22.986,22.606,21.953,21.711,21.843,21.817,22.048,23.124,24.258,25.357,25.319,24.917,24.92,24.829,24.616,24.685,24.557,24.593,24.737,24.985,24.906,24.925,24.933,25.02,25.042,25.142,25.258,25.586,25.868,26.162,26.473,26.607,26.893,27.103,27.128,27.284,27.31,27.363,27.297,27.368,27.512,27.571,27.59,27.634,27.646,27.651,27.631,27.651,27.647,27.635,27.535,27.522,27.513,27.446,27.412,27.47,27.414,27.361,27.327,27.316,27.375,27.388,27.393,27.464,27.557,27.601,27.699,27.776,27.915,28.008,28.097,28.227,28.34,28.36,28.398,28.495,28.698,28.896,28.917,28.998,29.174,29.491,29.645,29.943,30.267
"12","4","    Durable goods","A374RD3",19.536,19.885,20.29,20.724,21.234,21.608,22.741,23.286,23.338,22.741,22.481,22.869,22.678,22.95,23.733,24.914,25.765,25.82,25.694,25.803,25.883,25.797,25.936,25.992,26.177,26.505,26.807,26.758,26.711,26.765,26.974,27.134,27.314,27.553,28.292,28.903,29.287,29.583,29.844,30.324,30.478,30.442,30.675,30.811,30.887,30.808,30.92,31.201,31.265,31.362,31.391,31.442,31.449,31.447,31.439,31.427,31.407,31.399,31.346,31.285,31.188,31.141,31.137,31.081,31.016,30.98,30.971,31.036,31.11,31.205,31.266,31.35,31.351,31.398,31.454,31.532,31.623,31.718,31.824,32.023,32.134,32.113,32.362,32.705,32.975,32.957,33.147,33.4,33.805,33.804,34.129,34.558
"13","5","    Nondurable goods","A375RD3",20.848,21.112,21.353,22.298,22.744,22.841,22.894,22.499,21.752,21.06,20.839,20.755,20.866,21.064,22.372,23.458,24.764,24.647,24.002,23.909,23.659,23.327,23.329,23.031,22.923,22.891,23.084,22.977,23.056,23.02,22.99,22.884,22.911,22.912,22.854,22.828,23.033,23.356,23.371,23.474,23.736,23.817,23.901,23.824,23.855,23.801,23.833,23.853,23.887,23.834,23.892,23.869,23.872,23.836,23.881,23.884,23.88,23.702,23.723,23.76,23.719,23.698,23.809,23.755,23.713,23.68,23.667,23.72,23.68,23.605,23.683,23.782,23.865,24.008,24.103,24.3,24.394,24.477,24.63,24.658,24.586,24.684,24.628,24.691,24.815,24.875,24.849,24.947,25.177,25.486,25.757,25.976
"14","6","  Manufacturing","A376RD3",20.899,21.316,21.559,22.345,22.941,23.178,23.669,23.85,23.485,22.669,22.375,22.318,22.557,22.886,24.101,25.499,26.808,26.687,26.067,26.122,25.994,25.706,25.825,25.7,25.781,25.975,26.268,26.197,26.17,26.223,26.348,26.383,26.529,26.693,27.178,27.553,27.942,28.282,28.414,28.69,28.924,28.9,29.069,29.044,28.994,28.866,29.001,29.131,29.192,29.252,29.319,29.344,29.398,29.474,29.552,29.599,29.634,29.584,29.554,29.509,29.435,29.45,29.463,29.426,29.368,29.332,29.271,29.32,29.351,29.413,29.48,29.571,29.617,29.687,29.773,29.898,29.957,30.071,30.225,30.349,30.464,30.463,30.559,30.794,30.989,31.022,31.158,31.353,31.724,31.889,32.308,32.59
"15","7","    Durable goods","A377RD3",19.96,20.394,20.827,21.251,21.906,22.376,23.629,24.312,24.359,23.5,23.195,23.197,23.501,23.843,24.791,26.174,27.161,27.16,26.986,27.114,27.161,27.031,27.29,27.336,27.593,27.982,28.368,28.285,28.192,28.285,28.58,28.709,28.93,29.272,30.314,30.996,31.475,31.816,32.12,32.554,32.684,32.59,32.895,32.942,32.895,32.683,32.978,33.278,33.416,33.535,33.629,33.704,33.803,33.924,33.993,34.034,34.027,33.98,33.971,33.88,33.773,33.723,33.734,33.706,33.645,33.591,33.544,33.621,33.697,33.839,33.965,34.051,34.093,34.138,34.206,34.334,34.383,34.519,34.703,34.877,35.068,35.022,35.24,35.617,35.886,35.872,36.047,36.307,36.721,36.805,37.256,37.688
"16","8","    Nondurable goods","A378RD3",21.472,21.857,21.857,23.067,23.564,23.511,23.127,22.74,21.938,21.192,20.92,20.808,20.973,21.279,22.741,24.117,25.744,25.499,24.395,24.369,24.037,23.565,23.513,23.179,23.041,22.987,23.154,23.1,23.154,23.153,23.067,22.987,23.04,22.988,22.795,22.795,23.067,23.399,23.319,23.399,23.757,23.818,23.818,23.705,23.652,23.625,23.564,23.49,23.457,23.446,23.481,23.446,23.447,23.467,23.554,23.607,23.689,23.638,23.586,23.594,23.557,23.643,23.659,23.612,23.56,23.545,23.472,23.487,23.467,23.437,23.434,23.527,23.576,23.675,23.78,23.898,23.97,24.055,24.169,24.227,24.241,24.3,24.232,24.275,24.369,24.467,24.548,24.656,24.971,25.244,25.619,25.698
"17","9","  Wholesale trade","A379RD3",19.598,19.781,20.188,20.908,21.308,21.45,22.132,21.762,21.28,20.877,20.696,21.532,20.676,20.898,21.961,22.859,24.03,24.045,23.703,23.687,23.577,23.458,23.488,23.192,23.05,23.094,23.353,23.218,23.378,23.356,23.328,23.252,23.315,23.387,23.457,23.525,23.72,24.11,24.287,24.541,24.776,24.89,25.149,25.194,25.486,25.555,25.445,25.487,25.606,25.626,25.556,25.538,25.541,25.51,25.358,25.33,25.286,25.25,25.237,25.272,25.207,25.158,25.207,25.128,25.065,25.096,25.131,25.128,25.172,25.164,25.238,25.267,25.31,25.494,25.535,25.603,25.731,25.773,25.844,25.924,25.834,25.827,25.85,26.069,26.291,26.202,26.185,26.32,26.589,26.702,26.86,27.187
"18","10","    Durable goods","A380RD3",16.575,16.84,17.163,17.55,17.846,18.039,19.077,19.272,19.343,19.043,18.886,20.603,18.981,19.175,19.79,20.734,21.42,21.482,21.447,21.516,21.615,21.578,21.545,21.615,21.677,21.939,22.195,22.196,22.234,22.195,22.295,22.489,22.622,22.75,23.137,23.66,23.922,24.214,24.47,24.989,25.193,25.252,25.447,25.641,25.933,26.064,25.772,26.005,26.248,26.361,26.305,26.433,26.371,26.181,26.057,26.015,25.93,26.021,25.908,25.891,25.809,25.76,25.809,25.724,25.672,25.691,25.761,25.778,25.924,26.041,26.097,26.168,26.145,26.277,26.385,26.414,26.631,26.696,26.78,27.007,27.017,26.951,27.217,27.534,27.91,27.823,28.039,28.338,28.77,28.747,29.051,29.539
"19","11","    Nondurable goods","A381RD3",23.668,23.763,24.276,25.409,25.952,26.043,26.285,25.201,24.009,23.466,23.252,23.012,23.075,23.344,24.966,25.833,27.632,27.595,26.852,26.731,26.34,26.11,26.217,25.477,25.087,24.872,25.141,24.843,25.145,25.141,24.964,24.577,24.566,24.576,24.279,23.824,23.944,24.452,24.541,24.51,24.784,24.96,25.297,25.176,25.474,25.476,25.564,25.396,25.381,25.297,25.211,25.034,25.11,25.262,25.072,25.06,25.06,24.885,24.982,25.075,25.029,24.978,25.029,24.955,24.878,24.925,24.917,24.89,24.816,24.661,24.757,24.734,24.858,25.111,25.07,25.189,25.208,25.221,25.279,25.169,24.946,25.014,24.725,24.824,24.853,24.759,24.445,24.373,24.44,24.733,24.703,24.83
"20","12","      Merchant wholesalers","A802RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.321,24.439,24.486,24.399,24.37,24.377,24.3,24.158,24.151,24.134,24.135,24.201,24.224,24.17,24.159,24.188,24.151,24.135,24.191,24.213,24.243,24.269,24.232,24.33,24.381,24.471,24.628,24.675,24.808,24.98,25.024,25.073,25.135,25.067,25.077,25.136,25.399,25.71,25.732,25.817,26.018,26.331,26.504,26.692,27.035
"21","13","        Durable goods","A803RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.434,24.743,24.881,24.827,24.878,24.787,24.596,24.436,24.4,24.333,24.402,24.365,24.326,24.279,24.222,24.213,24.188,24.18,24.189,24.205,24.225,24.368,24.528,24.603,24.7,24.726,24.827,24.948,24.988,25.177,25.245,25.289,25.472,25.477,25.43,25.731,26.029,26.446,26.435,26.723,27.041,27.493,27.487,27.776,28.235
"22","14","        Nondurable goods","A804RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.716,24.578,24.501,24.372,24.239,24.379,24.459,24.336,24.367,24.419,24.332,24.536,24.646,24.58,24.635,24.719,24.663,24.635,24.759,24.793,24.837,24.702,24.395,24.522,24.505,24.692,24.932,24.873,25.145,25.296,25.305,25.366,25.246,25.064,25.159,24.863,25.081,25.246,25.313,25.107,25.142,25.257,25.7,25.742,25.919
"23","15","      Nonmerchant wholesalers","A805RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.036,29.163,29.122,29.088,29.096,29.089,29.166,28.983,28.907,28.797,28.675,28.478,28.54,28.45,28.311,28.407,28.233,28.064,28.043,28.105,28.026,28.116,28.177,28.197,28.174,28.102,28.362,28.389,28.293,28.31,28.344,28.476,28.605,28.453,28.397,28.324,28.426,28.406,28.01,27.71,27.666,27.819,27.769,27.842,28.134
"24","16","        Durable goods","A806RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.06,35.111,35.156,35.08,35.493,35.53,35.318,35.298,35.229,35.071,35.251,34.858,34.912,34.705,34.678,34.922,34.625,34.423,34.481,34.736,34.746,34.923,34.922,34.916,34.905,34.714,34.971,35.044,35.04,35.389,35.446,35.692,36.116,36.142,35.996,36.162,36.59,36.86,36.468,36.437,36.695,37.101,37.013,37.407,38.066
"25","17","        Nondurable goods","A807RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.25,22.4,22.321,22.312,22.102,22.075,22.305,22.05,21.979,21.909,21.636,21.569,21.627,21.616,21.427,21.427,21.343,21.214,21.149,21.085,20.962,20.989,21.082,21.115,21.086,21.097,21.332,21.327,21.185,20.988,21.004,21.048,20.969,20.713,20.724,20.495,20.368,20.152,19.79,19.337,19.093,19.064,19.045,18.894,18.912
"26","18","  Retail trade","A382RD3",25.659,25.704,26.045,26.73,27.201,27.352,27.964,27.929,27.386,26.844,26.652,26.616,26.627,26.672,27.725,28.744,29.658,29.731,29.618,29.486,29.461,29.291,29.253,29.121,29.157,29.26,29.445,29.39,29.427,29.41,29.468,29.507,29.527,29.566,29.72,29.935,30.126,30.37,30.509,30.867,31.073,31.147,31.262,31.434,31.584,31.606,31.666,31.7,31.698,31.696,31.682,31.585,31.588,31.56,31.522,31.482,31.43,31.282,31.243,31.28,31.242,31.139,31.193,31.062,30.943,31.016,30.99,31.095,31.082,31.056,31.03,31.053,31.104,31.197,31.202,31.385,31.493,31.466,31.586,31.664,31.492,31.704,31.873,32.013,32.191,32.4,32.503,32.64,32.889,33.035,33.085,33.427
"27","19","    Durable goods","A383RD3",23.83,24.023,24.474,25.037,25.394,25.728,26.725,27.329,27.37,27.13,26.844,26.765,26.93,27.131,27.732,28.775,29.55,29.745,29.627,29.742,29.91,29.905,29.868,29.949,30.065,30.31,30.428,30.429,30.429,30.467,30.554,30.79,30.915,30.996,31.319,31.884,32.164,32.361,32.526,33.173,33.368,33.409,33.493,33.856,34.09,34.175,34.179,34.489,34.58,34.571,34.524,34.422,34.235,34.122,34.047,33.935,33.947,33.924,33.81,33.784,33.657,33.621,33.511,33.402,33.295,33.229,33.207,33.32,33.288,33.22,33.11,33.213,33.112,33.048,32.999,32.993,33.017,33.008,32.942,33.229,33.219,33.34,33.672,33.998,34.101,34.138,34.346,34.49,34.792,34.631,34.645,35.052
"28","20","      Motor vehicle dealers","A864RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.249,30.141,29.992,30.038,29.841,29.524,29.479,29.459,29.28,29.362,29.361,29.295,29.298,29.138,29.145,29.068,28.869,28.774,28.599,28.564,28.726,28.607,28.452,28.258,28.452,28.325,28.257,28.159,28.06,27.991,27.805,27.647,28.111,28.073,28.253,28.715,29.059,29.09,29.084,29.264,29.196,29.526,29.498,29.455,30.012
"29","21","      Other","A865RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.087,40.333,40.435,40.306,40.266,40.175,39.995,39.862,39.813,39.76,39.717,39.554,39.503,39.398,39.32,39.176,39.144,39.021,39.057,39.049,39.118,39.176,39.198,39.173,39.181,39.099,39.037,39.043,39.15,39.294,39.509,39.558,39.624,39.645,39.686,39.879,40.181,40.368,40.459,40.703,41.103,41.367,41.037,41.124,41.333
"30","22","    Nondurable goods","A384RD3",28.062,27.991,28.251,29.067,29.659,29.661,29.955,29.362,28.286,27.471,27.356,27.357,27.246,27.173,28.625,29.66,30.736,30.699,30.59,30.212,29.996,29.66,29.622,29.286,29.247,29.214,29.471,29.362,29.433,29.361,29.394,29.25,29.174,29.177,29.177,29.067,29.177,29.47,29.589,29.697,29.921,30.028,30.176,30.177,30.251,30.215,30.324,30.123,30.043,30.046,30.06,29.965,30.126,30.171,30.162,30.184,30.077,29.826,29.848,29.934,29.962,29.809,29.986,29.836,29.707,29.884,29.855,29.957,29.957,29.962,30.003,29.963,30.129,30.348,30.394,30.732,30.912,30.87,31.148,31.054,30.745,31.029,31.075,31.076,31.316,31.665,31.688,31.823,32.034,32.438,32.519,32.817
"31","23","  Other","A385RD3",10.495,10.892,11.32,11.674,11.807,12.233,12.77,12.99,12.969,12.434,12.232,12.253,12.478,12.637,13.216,13.911,14.392,14.393,14.31,14.33,14.329,14.24,14.308,14.44,14.553,14.707,14.838,14.771,14.731,14.62,14.78,14.884,14.977,15.086,15.487,15.866,16.091,16.263,16.331,16.602,16.668,16.691,16.688,16.65,16.602,16.424,16.535,17.132,17.192,17.055,17.308,17.517,17.303,16.867,17.059,16.928,16.841,16.483,16.591,16.583,16.487,16.39,16.669,16.709,16.812,16.471,16.623,16.763,16.684,16.518,16.779,17.124,17.155,17.221,17.468,17.728,17.878,18.173,18.332,18.539,18.693,18.69,18.806,18.943,19.147,18.981,18.968,19.211,19.507,19.713,20.194,20.699
"32","24","    Durable goods","A386RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.484,19.713,20.085,19.905,19.903,19.903,19.6,19.36,19.182,19.181,19.262,19.191,19.123,19.25,19.189,19.131,19.07,19.07,19.127,19.32,19.263,19.378,19.435,19.437,19.435,19.494,19.614,19.735,19.785,20.15,20.438,20.326,20.27,20.38,20.377,20.728,20.791,21.385,21.574,21.875,22.52,23.698,22.752,22.579,22.757
"33","25","    Nondurable goods","A387RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.855,16.898,16.707,17.005,17.235,17,16.552,16.787,16.662,16.565,16.153,16.282,16.281,16.153,16.051,16.38,16.433,16.553,16.153,16.3,16.469,16.363,16.165,16.464,16.856,16.883,16.941,17.207,17.498,17.62,17.917,18.113,18.356,18.517,18.513,18.599,18.745,18.901,18.694,18.646,18.847,19.064,19.372,19.913,20.452
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Implicit price deflators are as of the end of the quarter and are consistent with inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","stocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note.  Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","periods are based on the 1972 Standard Industrial Classification (SIC).  Manufacturing estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","for 1981 and earlier periods and trade estimates for 1966 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
