"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"50","42","Net exports of goods and services","A019RX1",-117.1,-114.7,-81.9,-81.5,-101.6,-108.9,-134.4,-98,-125,-123.3,-141.8,-169.3,-210,-250.9,-273.1,-276.4,-319,-350.9,-374.4,-382.2,-424.1,-439.4,-467.2,-475.6,-466.8,-456.3,-476.6,-488.7,-510.5,-534.9,-554.3,-595.6,-585.3,-612.7,-603.1,-614.7,-632.5,-687.1,-705.7,-726.7,-714.8,-709.4,-721.4,-745.3,-732.6,-732.8,-756.5,-694.9,-696.4,-696.2,-666.6,-560.4,-529.9,-493.8,-514.8,-477.7,-389.2,-342,-390.8,-330.1,-338.4,-449,-505,-397.7,-399.7
"51","43","  Exports","B020RX1",816.2,827.4,863.4,875.9,886.9,901.8,909.1,966.1,984.5,1023.5,1047.2,1045.3,1050.3,1038.2,1033.3,1072.3,1064.1,1076.3,1104.5,1132.2,1151.7,1184.4,1213.3,1203.8,1188,1149.2,1090.1,1059.3,1076.2,1105.5,1113.2,1101.8,1091.6,1088.2,1117.6,1169.7,1197.3,1216,1225,1252.9,1276.2,1303.5,1303.9,1336.7,1388.8,1412.1,1414.1,1473.2,1496.4,1521.3,1578,1622,1644.7,1696.6,1675,1574.5,1451.6,1447.8,1490,1573.5,1616.4,1652.1,1679.3,1714.3,1735.2
"52","44","    Goods","A253RX1",555.6,564.9,586.6,594.7,607.2,613.6,625,658.9,681.7,713.4,734.3,735.4,737.4,719.9,721.3,750.1,735.4,743.7,767.9,793.1,810.8,836.2,871.7,858.7,847.2,808.9,764.7,747.3,746.7,772.9,776.4,758.1,761.3,761,775.5,810.9,824,837.7,848.3,861.6,879.2,908.1,905.7,931.3,970.3,987.8,988.3,1019.2,1050.5,1070,1102.7,1129.1,1155.3,1195.1,1181.9,1094.1,985.8,976.4,1019.1,1091.7,1128,1159.2,1175.8,1207.1,1230.1
"53","45","    Services","A646RX1",262.7,264.3,279.3,283.8,281.5,290.5,285.4,309.2,303.5,310.2,312.6,309.4,312.5,318.7,312.2,322.2,329.2,333.1,336.9,339.1,340.7,348,340.9,344.5,340.2,340,325.2,311.8,329.5,332.4,336.6,343.8,330.3,327.2,342,358.8,373.4,378.3,376.8,391.4,397,395.4,398.2,405.4,418.5,424.3,425.8,453.9,445.9,451.3,475.3,492.9,489.4,501.5,493.1,480.5,465,470.4,470.5,482,488.9,493.6,504.2,508,505.8
"54","46","  Imports","B021RX1",933.2,942.1,945.4,957.4,988.6,1010.7,1043.5,1064,1109.5,1146.7,1189,1214.7,1260.2,1289.1,1306.5,1348.7,1383.1,1427.2,1478.9,1514.4,1575.8,1623.9,1680.6,1679.3,1654.8,1605.5,1566.7,1548,1586.8,1640.4,1667.4,1697.4,1676.9,1700.9,1720.7,1784.4,1829.8,1903.1,1930.7,1979.7,1991,2012.9,2025.2,2082,2121.3,2144.9,2170.5,2168.1,2192.7,2217.5,2244.6,2182.4,2174.6,2190.4,2189.8,2052.2,1840.8,1789.9,1880.8,1903.6,1954.8,2101.1,2184.3,2112,2134.8
"55","47","    Goods","A255RX1",755.3,765.7,767.4,776,803.6,823.9,851.8,872.5,910,944.6,979,1001.1,1038.1,1062.4,1074.5,1114.1,1144.4,1184.6,1231,1263.9,1312.8,1354.2,1402,1402.4,1381.3,1326,1300.6,1288.9,1314.3,1370.2,1395.5,1413.5,1397.9,1434.5,1440.3,1491,1526.4,1592.9,1618.8,1660.7,1675,1694.9,1706.3,1755.7,1782.7,1804.7,1829.3,1818.6,1848.9,1870.5,1893.9,1835.4,1820.1,1840.9,1836.1,1689.3,1493.3,1452,1542.7,1566.1,1611,1753.9,1825.5,1756.7,1781.9
"56","48","    Services","B656RX1",180.8,178.5,180.3,184,187,188.5,193.2,192.5,200.4,202.6,210.5,214,222.7,227.2,232.6,235,238.9,242.6,247.8,250.2,262.8,269.4,278.2,276.4,273,280.1,266.2,259,272.5,270,271.8,283.8,278.9,266.6,280.3,293.2,303.1,310.1,311.9,319,316,318,318.9,326.2,338.6,340.1,341.3,349.5,343.8,346.9,350.6,347.1,355,349.6,353.8,363.7,347.4,337.5,338.7,338.3,344.6,348.3,360.1,356.4,353.9
"57","49","Government consumption expenditures and gross investment","A822RX1",1891.6,1897.9,1893.7,1872.5,1884.5,1911.6,1909.7,1925.9,1929.4,1946,1948.2,1951.5,1939.7,1981.9,2000.2,2018.1,2028.4,2036.9,2063.3,2095.9,2078.7,2106.4,2099.8,2106.2,2137.3,2181.7,2177.8,2216.4,2250.4,2272,2290.4,2305.7,2300.9,2335.1,2342,2343.7,2354.9,2363.5,2372.1,2357.6,2359.9,2362.4,2383.9,2373.4,2397.1,2399.1,2402.7,2409.4,2406.7,2426.8,2447.9,2455.3,2469.2,2489.4,2521.5,2530.7,2511.5,2549.3,2559.3,2550.3,2540.2,2564.9,2589.6,2578.8,2544.3
"58","50","  Federal","A823RX1",715.3,712.5,707.6,681.1,695.3,705.2,692.7,690.7,681.4,693.5,691.3,690.3,668.8,687.2,681.5,688.1,683.6,683.6,697.9,713.4,685.2,712.6,698.8,695.6,710.4,725.6,730.5,739.3,756.9,774.4,786.7,800,800.2,838.8,839.6,845.7,856.6,861.4,876.4,865.6,869.2,870,890.4,875.6,900.5,892.8,892,894.4,883.6,898.9,919.7,922.2,937.6,955.3,987.5,1006.9,994.1,1029.2,1043.5,1043.6,1048.4,1071.5,1094.3,1093.4,1071.1
"59","51","    National defense","A824RX1",484,483.2,477.4,462.4,471.4,477.8,467.7,464.7,449.7,460.3,458.1,460.6,433.2,449.8,455.4,451.8,446.3,446.6,459.8,470.7,442.8,463.3,453.7,454.1,462.1,468.5,472.8,479.3,489.7,500.9,509.4,521.2,517.1,560.7,554.1,565.1,573.5,576.5,593.2,578.4,583.6,588,603.7,580.9,595.6,597.2,594.3,606.5,595.3,607.3,622.3,622.4,632.7,643.4,673,681.6,666.8,693.2,708.3,703.8,704.4,717.1,731.8,727.7,705.4
"60","52","      Consumption expenditures","A997RX1",430,428.8,427.1,412.1,416.6,423,415.7,418.8,407.8,418.1,410.2,412.8,390.5,404.6,405,404.8,402.7,397.9,408.3,421.4,393.4,414.4,403.4,404.3,413.3,416.4,419.2,425.3,435.7,441.6,446.5,459.6,455.4,496.2,487.6,497.1,505.6,507,518.9,505.9,512.5,513.6,526.9,506.4,519.2,515.9,516.7,524.5,515.9,522.3,536.8,537,547,547.4,573,581,571.7,592.6,604,598.5,598.9,606.8,619.8,609.1,597
"61","53","      Gross investment","A788RX1",54.3,54.5,51.4,50.9,54.5,54.7,52.3,47.7,44.3,44.8,49.1,49,44.4,46.7,50.9,48.2,45.5,49.3,51.9,50.4,49.9,49.9,50.9,50.5,49.8,52.7,54,54.5,54.5,59.5,62.8,61.7,61.8,64.8,66.6,68.1,68,69.6,74.3,72.5,71.1,74.5,76.8,74.5,76.4,81.4,77.6,82.1,79.5,85.3,85.7,85.5,85.8,96.7,100.7,101.2,95.5,101.1,104.8,106,106.2,111.2,112.9,120.2,109.3
"62","54","    Nondefense","A825RX1",231.4,229.5,230.3,218.9,224,227.5,225.2,226.2,231.7,233.2,233.1,229.7,235.3,237.3,226.2,236.3,237.1,236.9,238.1,242.7,242.1,249.1,244.9,241.3,248.1,256.8,257.4,259.7,267,273.2,277,278.6,282.8,278,285.4,280.6,283.1,284.9,283.2,287.1,285.6,282,286.7,294.7,305,295.7,297.7,287.8,288.2,291.5,297.3,299.8,304.8,311.9,314.2,325.2,327.3,335.9,335.2,339.8,344,354.5,362.6,365.9,366
"63","55","      Consumption expenditures","A542RX1",204.2,203.9,204.1,192.5,194.9,197.4,194.8,197.8,202.3,203.7,203.5,203,203.1,204.2,193.5,204.2,203.5,201.1,202.9,203.9,209.2,217,212.8,210.7,217,225.5,226.4,227.9,232.9,239.2,242.4,244.3,249.1,242.9,250.4,246.2,249.1,249.8,248.8,253,251.4,247.9,249.9,254.8,264.4,257.3,259,249.2,249.7,252.2,257.1,259.8,264.3,270.1,271.4,281.4,284.5,292.7,290.7,294.5,296.6,305.3,311.3,313.3,313.4
"64","56","      Gross investment","A798RX1",27.9,26.6,27.1,26.8,29,29.9,30,28.5,29.4,29.6,29.7,27.3,31.8,32.5,31.9,31.7,32.9,34.7,34.2,37.4,32.4,31.9,31.8,30.5,31,31.3,31.1,31.9,33.9,33.9,34.5,34.3,33.8,35.1,35,34.4,34,35.1,34.5,34.2,34.2,34.1,36.8,39.9,40.5,38.4,38.7,38.7,38.5,39.4,40.2,40,40.6,41.9,42.9,43.9,42.8,43.1,44.5,45.3,47.5,49.4,51.7,53,53.1
"65","57","  State and local","A829RX1",1174.8,1184.1,1184.8,1190.7,1188.2,1205.4,1216.3,1234.6,1247.6,1252.1,1256.6,1260.9,1271.1,1294.7,1319,1330.2,1345.2,1353.7,1365.7,1382.7,1394,1394.2,1401.4,1411,1427.3,1456.5,1447.7,1477.6,1494,1498.1,1504.2,1506.3,1501.2,1496.6,1502.7,1498.2,1498.4,1502.2,1495.7,1492,1490.7,1492.4,1493.5,1497.7,1496.6,1506.3,1510.8,1515,1522.9,1527.8,1528.4,1533.3,1532.2,1535.1,1536.2,1526.8,1520.1,1523.8,1520,1511.2,1496.8,1499.1,1501.7,1491.9,1479.3
"66","58","    Consumption expenditures","A991RX1",976.3,981,984.9,989.9,989.5,1000.7,1004.1,1009.9,1014.8,1022.5,1031.9,1041.7,1053.8,1065.9,1077.2,1086.2,1096.7,1105.2,1114,1122,1125,1130.8,1136.1,1142.9,1154,1166.1,1178.8,1191.7,1203.3,1211.1,1215.6,1215.1,1211.4,1208.8,1205.7,1204.1,1206,1207.2,1207.2,1209.1,1210.2,1210.7,1213.7,1213.5,1214.1,1216.5,1222.3,1230,1235.5,1239.8,1240.6,1243.4,1241.6,1240.2,1241.3,1237.8,1235.7,1234.7,1229.5,1228.4,1225.1,1222.3,1217.9,1214.7,1213.1
"67","59","    Gross investment","A799RX1",199.9,204.3,201.3,202.2,200.2,206.1,213.1,225.1,232.9,230,225.4,220.1,218.5,229.6,242.2,244.4,248.8,249,252,261,269.1,263.6,265.4,268.2,273.5,290.3,269.2,286,290.7,287.1,288.7,291.3,289.9,287.8,297.1,294.2,292.5,295.1,288.5,282.9,280.5,281.7,279.8,284.2,282.5,289.7,288.4,285.1,287.4,288,287.9,290,290.5,294.8,294.7,289,284.7,289.1,290.4,282.9,272.1,277,283.9,277.4,266.6
"68","60","Residual","AR05RX1",-304.7,-297.7,-282.5,-265,-265,-253.8,-238,-228,-218.7,-203.8,-183.6,-176.8,-157.2,-157,-149.7,-128,-112.9,-93.2,-77.2,-74.7,-52.4,-49.7,-43.8,-41.9,-41.7,-49.7,-56.5,-40.6,-38.7,-32.9,-26.2,-27.1,-23.6,-20.9,-15.8,-12.5,-10.2,-7,-3.9,-1.4,-1.4,0.2,0.7,0.4,-4,-2.8,-3.8,-6.3,-9.6,-6.9,-8.6,-14.4,-12.5,-17.7,-7.9,14.9,7.6,11,4.7,-13.7,-22.1,-37.8,-42.6,-66.7,-75
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. The quantity index for computers can be used to accurately measure the real growth of this",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","component.  However, because computers exhibit rapid changes in prices relative to other prices in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","economy, the chained-dollar estimates should not be used to measure the component's relative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","importance or its contribution to the growth rate of more aggregate series; accurate estimates of these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","contributions are shown in table 1.5.2 and real growth rates are shown in table 1.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","5. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Note. The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
