"","Table 6#20A# Net Corporate Dividend Payments by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"60","53","  Finance, insurance, and real estate","A3351C0A",832,614,503,299,135,-42,-331,294,311,303,295,218,214,387,394,412,442,485,461
"61","54","    Banking","A3352C0A",411,392,339,250,137,167,172,172,178,188,196,208,212,200,215,237,265,270,292
"62","55","    Security and commodity brokers, and services","B3356C0A",5,6,5,5,4,4,4,19,-1,6,3,12,6,-1,-5,-2,-3,5,-2
"63","56","    Credit agencies (other than banks) and holding and other investment companies","B3355C0A",0,-81,-91,-90,-94,-352,-691,-84,-77,-60,-87,-176,-176,66,25,36,29,33,18
"64","57","    Insurance carriers","B3357C0A",60,42,44,9,5,3,20,5,4,28,35,16,1,-5,21,-10,6,-26,-50
"65","58","    Insurance agents, brokers, and service","B3358C0A",16,15,16,8,7,8,10,9,10,11,10,12,13,8,9,8,7,11,15
"66","59","    Real estate","B3359C0A",340,240,190,117,76,128,154,173,197,130,138,146,158,119,129,143,138,192,188
"67","60","  Services","A3361C0A",88,79,52,35,21,33,32,69,77,60,60,65,71,61,80,79,86,138,130
"68","61","    Hotels and other lodging places","B3362C0A",6,4,2,1,0,0,-1,0,0,2,4,4,5,5,8,8,9,17,15
"69","62","    Personal services","B3363C0A",11,7,5,3,2,2,3,5,5,6,7,7,7,7,8,10,10,13,11
"70","63","    Business services","B3364C0A",37,24,13,16,11,17,16,25,29,21,22,25,23,15,18,18,19,25,28
"71","64","    Miscellaneous repair services","B3366C0A",3,2,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"72","65","    Motion pictures","B3367C0A",17,33,26,10,5,7,6,26,28,21,15,18,24,26,35,32,34,59,53
"73","66","    Amusement and recreation services","B3368C0A",11,8,4,2,1,3,4,8,9,6,6,6,8,4,5,6,10,17,16
"74","67","    Other services","A3369C0A",3,1,1,2,2,3,3,4,5,3,5,4,3,4,5,4,3,6,6
"75","68","      Health services","B3370C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","69","      Legal services","B3371C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","70","      Educational services, n.e.c.","B3372C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","71","      Social services and membership organizations","B3373C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","72","Rest of the world \1\","A3374C0A",232,137,-4,-34,-2,60,159,104,122,247,184,234,231,225,238,293,228,425,689
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81"," n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82"," 1. Consists of receipts by all U.S. residents of dividends paid by their incorporated foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","affiliates and of earnings of their unincorporated foreign affiliates, net of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","payments.  Estimates for 1929 include reinvested earnings of incorporated affiliates.  For",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","other years, reinvested earnings are included in undistributed profits in table 6.21A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","  Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
