"","Table 1#2A# Real Gross Domestic Product, Chained (1937) Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"21","14","  Exports","A020AX1A",4.8,3.9,3.3,2.6,2.6,2.9,3,3.2,4,4,4.2,4.7,4.9,3.2,2.7,2.9,4.1,8.8,10.1
"22","15","    Goods","A253AX1A",4.3,3.5,2.9,2.3,2.3,2.5,2.6,2.7,3.5,3.5,3.7,4.3,4.4,2.7,2.1,2.2,3.4,7.8,9
"23","16","    Services","A646AX1A",0.5,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,1,1.1
"24","17","  Imports","A021AX1A",4.1,3.5,3.1,2.6,2.7,2.7,3.6,3.5,4,3.1,3.2,3.3,4.1,3.7,4.7,4.9,5.2,4.3,4.1
"25","18","    Goods","A255AX1A",3.1,2.7,2.3,1.9,2.1,2.1,3,2.8,3.2,2.4,2.6,2.8,3.3,2.3,2.6,2.7,2.7,3.1,3
"26","19","    Services","B656AX1A",0.9,0.9,0.7,0.7,0.6,0.6,0.6,0.7,0.8,0.7,0.6,0.6,0.8,1.3,1.9,2,2.3,1.1,1
"27","20","Government consumption expenditures and gross investment","A822AX1A",9.2,10.2,10.6,10.3,9.9,11.2,11.5,13.3,12.8,13.8,15.1,15.3,25.4,59.6,88.9,100.2,87.3,30.2,25.8
"28","21","  Federal","A823AX1A",1.8,2,2.1,2.1,2.6,3.6,3.6,5.5,5,5.5,6,6.5,17.2,52.7,83.6,95.6,81.9,22.1,16.5
"29","22","    National defense","A824AX1A",1,1,1,1,1,0.9,1.1,1.3,1.3,1.3,1.5,2.6,13.8,50.5,82.5,94.5,81.2,19.5,13.2
"30","23","    Nondefense","A825AX1A",0.9,1,1.1,1.1,1.6,2.7,2.5,4.3,3.7,4.2,4.5,3.9,3.5,2.7,2.1,2.4,1.8,2.7,3.3
"31","24","  State and local","A829AX1A",7.3,8.1,8.4,8,7.2,7.6,7.8,7.8,7.8,8.3,9.1,8.8,8.3,7.5,6.9,6.6,6.8,7.5,8.6
"32","25","Residual","A960AX1A",-0.8,0,0.7,1.9,1.3,0.7,0.3,0.6,0,1,1.3,0.5,0.1,-1.5,-5,-6.8,-2.8,8.2,10.3
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","  Note.  Chained (1937) dollar series are calculated as the product of the chain-type quantity index and the 1937 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","  Percent changes from preceding period for selected items in this table are shown in table 8.1;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","contributions to the percent change in real gross domestic product are shown in table 8.2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","  Chain-type quantity indexes for the series in this table are shown in table 7.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
