"","Table 9#4# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227"
"11","3","Corporate profits tax accruals","B102RU",0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.6,0.7,0.8,0.9,0.8,0.9,0.9,1,0.9,0.9,0.9,1,0.9,0.9,0.9,1.1,1.1,1.1,1.2,1.4,1.3,1.4,1.4,1.6,1.5,1.6,1.4,1.8,1.8,1.6,1.4,1.8,2.1,2.1,2.2,2.6,2.5,2.4,2.4,3.1,3.1,2.9,2.5,3.2,3.1,3.2,3.2,3.6,3.5,3.4,3.8,3.3,3.6,3.8,3.9,3.9,4,3.6,3.1,3.6,3.7,3.5,2.9,3.9,4.4,4.7,4.5,5.2,4.6,4.5,4.5,5.1,5.6,5,5,5.8,5.9,6,5.1,6.2,6.6,6,5.7,6.6,7,6.9,6.4,6.2,6,5.6,5,5.8,6.3,5.4,5.4,6,6.4,5.9,5.8,6.5,5.7,6.3,5.7,6.9,6.9,7.3,6.3,7.6,8.2,7.9,7.1,8.1,8.6,7.7,7.6,8.7,8.7,8,7.8,8.7,9.3,8.5,8.2,9,9.2,8.2,8.1,8.9,9,8.8,8.9,9.5,9.1,8,7.3,7.7,7.2,6.9
"12","4","Indirect business tax and nontax accruals","B103RU",2.2,2.3,2.4,2.5,2.4,2.6,2.7,2.9,2.8,3,3.1,3.2,3.1,3.3,3.4,3.5,3.4,3.6,3.7,3.8,3.8,3.9,4,4.2,4.1,4.3,4.4,4.6,4.5,4.7,4.8,4.9,4.8,5,5,5.2,5,5.3,5.5,5.7,5.7,5.9,6,6.2,6.1,6.4,6.5,6.6,6.5,6.7,6.9,7.1,6.6,7.7,6.3,8.8,7.2,8.4,6.9,9.6,7.7,9,7.4,10.3,8.3,9.6,7.9,11.1,8.8,10.1,8.5,12,9.7,10.7,9.4,12.8,10.2,11.6,10.1,14.2,11.2,12.7,10.9,14.9,12,13.2,12.2,16.5,13.6,15.1,13.6,18.6,15.1,16.3,15.9,20,16.9,18.8,16.6,22.5,18.6,19.8,19.6,25.1,20.8,22.1,21,27.4,22.7,24.3,22.7,29.9,24.6,26.2,24.7,31.7,27.1,28,26.3,34.5,29.9,30.5,29.1,38.4,32.5,33.7,31.3,42.4,35.3,37,34.4,42.1,38.5,37.5,36.3,46.3,42.5,40.9,38.7,50.2,46.8,45.9,43.2,56.1,50.4,51,46.4,59,54.1,54.3,53.4,65.1,62.1,60.1,58,71.4,67.2,61.6,65.1,78,73.3,66.2,69.4,84.3,78,73.6,71.9,88.9,77.9,78.3,80.6,96.9,89.3,85.5,84.6,99.1,96.4,88.7,89.8,108.6,100.4,94.2,93.9,115.3,103.5,100.1,98.6,126.9,110.4,106.3,107.9,130.2,120.3,110.5,110.5,138.9,126,116.2,114.7,144.7,131,122.5,121.9,149.4,129.8,131.1,131.5,160.2,145.3,139.8,130.8,168,150.9,145.5,136.7,179.6,157.5,154.4,142.6,189.9,165.6,159.7,140.1,199
"13","5","Contributions for social insurance","B104RU",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1,0.9,0.7,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.4,1.5,1.6,1.7,1.8,1.8,1.9,2,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.5,2.6,2.6,2.7,2.9,3,3.1,3.2,3.2,3.3,3.4,3.5,3.5,3.6,3.6,3.6,3.7,3.6,3.6,3.5,3.4,3.4,3.3,3.2,3.2,3.1,3,2.9,2.7,2.7,2.6,2.6,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3
"14","6","Federal grants-in-aid","B089RU",0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.4,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.6,0.8,0.8,0.6,0.7,0.9,1.1,0.9,0.8,1.1,0.9,0.9,1,1.1,1,1.1,1.1,1.2,1.1,1.3,1.2,1.4,1.2,1.4,1.3,1.5,1.4,1.6,1.6,1.7,1.6,1.6,1.9,1.8,1.8,2.3,2.7,2.6,2.5,2.8,2.8,3.1,3,2.9,3.7,3,3.1,3.2,3.9,3.7,3.9,4.3,5.2,4.9,4.9,5.3,6.4,5.6,6,6.3,9.1,6.5,9.8,8.7,9.2,8.4,8.4,8.5,9.3,9.1,9.3,10,12,11.4,11.8,12.2,12.4,12.6,13.5,13,14,14.7,15,15.8,16.6,16.1,17,15.9,16.4,16.6,17.4,17.8,17.9,17.9,18.9,19.4,18.4,17.2,17.5,17.5,17.7,16.3,18.1,17.9,18.2,17,18.5,19.3,19.1,17.8,20.5,20.1,19.7,19.4,21.6,21.8,22,22.1,21.7,21.3,21.3,20.2,21.2,23.2,22.8,22.1,23.5,24.6,24.2,24,25.5,27.4,27.9,26.8,29.3,31.5,32.5,32.1,35.5,36.5,37.2,36.4,39.1,39.3,40.2,39.1,44,43.3,43.7,41.8,45.7,46.7,47.6,44.2,46,46.9,49.5,46,48,48.4,49,46.5,52.8,52,52.1,50.3,55.9,57,56.5,56.1,61.5,60.6,61.4,60.6,64.9,67.6,71.4,64.9,73.5
"15","7","      Current expenditures","A990RU",2.5,2.6,2.7,2.8,3,3.1,3.3,3.4,3.6,3.7,3.8,3.8,3.9,4,4.1,4.2,4.4,4.6,4.5,4.5,4.6,4.6,4.7,4.8,4.8,5.1,5,5.1,5.2,5.2,5.4,5.4,5.5,5.6,5.8,5.9,6.1,6.1,6.2,6.3,6.4,6.6,6.7,6.9,7.1,7.3,7.5,7.7,7.9,8.1,8.3,8.5,8.6,8.7,8.8,9,9.2,9.5,9.6,9.8,10.1,10.4,10.5,10.7,10.9,11.1,11.2,11.3,11.6,11.8,12,12.3,12.6,12.9,13.1,13.4,13.7,14,14.4,14.7,15.2,15.7,16.2,16.7,17.1,17.6,18.3,18.9,19.6,20.2,20.8,21.5,22.1,22.8,23.5,24.4,25.4,26.4,27.3,28.4,29.5,30.5,31.1,31.8,33.1,33.7,34.6,35.3,36.3,37.3,38.1,39.2,39.9,41.5,43,44.8,46.9,48.7,50.1,51.5,52.6,53.7,54.9,56,57.3,58.6,59.5,60.9,62.3,63.3,64.3,65.7,67,68.5,70.2,72.1,74.1,75.9,78.2,79.7,81.9,83.7,85.3,86.1,88.1,90,91.8,92.7,95.1,96.5,97.2,98.5,100.5,102.4,103.8,106,107.8,110.3,113.3,115.6,118,120.3,122.6,126.2,127.7,130.4,131.7,134,136.2,138.7,140.5,142.7,145.1,148.3,151.3,154.9,159.1,162.6,167.3,171.7,173.8,178.9,182.8,188.2,187.7,193.3,197.5,198.8,200.1,203.9,208.1,209.6,211.9,215.1,217.2,221,223.4,226.4,227,225.8,228.8,236.8,235.9,237.5,240.3,243.4,245.9,250.7,252.8,257.6,259,264.3,268.1,273.2,279.3,285.3,289.7,296.7,302.4,307.3,314.3,325.1,321.7,331.5
"16","8","Consumption expenditures","B991RU",2.2,2.3,2.3,2.5,2.6,2.7,2.8,2.9,3,3,3.2,3.3,3.4,3.4,3.5,3.6,3.7,3.7,3.8,3.9,4,4,4.1,4.2,4.2,4.4,4.3,4.4,4.6,4.6,4.7,4.7,4.8,4.9,5.1,5.2,5.4,5.4,5.5,5.6,5.7,5.9,6,6.2,6.3,6.5,6.7,6.8,7,7.2,7.4,7.5,7.6,7.7,7.8,8,8.2,8.5,8.6,8.7,9,9.2,9.3,9.5,9.6,9.8,9.9,10.1,10.3,10.5,10.7,11,11.2,11.5,11.7,11.9,12.2,12.5,12.9,13.2,13.6,14,14.4,14.8,15.2,15.5,16,16.5,17,17.5,18,18.6,19.1,19.7,20.4,21.1,21.9,22.6,23.4,24.1,24.9,25.6,26.2,26.7,27.4,28.1,28.8,29.5,30.4,31.3,32.2,33.1,34.2,35.4,36.8,38.1,39.5,41,42,42.9,43.8,44.6,45.4,46.3,47.4,48.5,49.7,50.9,52,52.9,54.1,55.3,56.8,57.7,59.5,61,62.8,64.4,65.9,67.3,69.2,70.5,71.8,73.1,74.7,76.2,77.3,78.6,79.9,80.8,81.7,82.7,84.7,86.5,88.3,90,91.9,93.9,96.3,98.5,100.2,101.4,103.2,106,107.2,109,110.4,112.4,114.3,116.2,117.9,119.6,122.4,124.7,126.6,129.2,132.7,134.9,137.6,140.6,142.1,143.2,144.7,146.1,147.7,149.7,151.4,152.9,154.9,156.8,157.9,159.9,162.5,164.6,166.9,168.5,171.3,173.1,174.3,175.9,178.2,180.7,182.6,185,188,190,192.6,195.8,198.1,200.8,203.5,205.9,209.1,213.9,218.6,223.1,228.5,232.5,236.3,240.5,244,247.6,250,252
"17","9","Transfer payments to persons","B109RU",0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.8,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.9,1.9,2,2.1,2.3,2.3,2.5,2.7,2.9,2.9,3,3.2,3.2,3.3,3.5,3.7,3.9,4.1,4.4,4.6,4.8,4.9,5.1,5.3,5.5,5.6,5.6,5.8,6,6,6.2,5.9,6.2,6.4,6.8,7.3,7.7,7.7,8.1,8.3,8.4,8.7,8.7,8.9,9.4,9.3,9.4,9.8,10.3,10.3,10.4,10.6,10.9,11.2,11.6,12.2,12.3,13.2,13.5,13.8,14.4,14.5,14.3,14.7,15.3,15.7,15.5,16.4,16.8,16.7,17.1,17.4,17.8,17.4,18.6,18.4,19.3,19.7,19.9,20.2,21.2,21.1,21.9,21.8,22.8,22.7,23.4,23.5,24.5,24.9,25.7,25.7,26.8,27.9,29.1,29.8,31,32.8,34.1,34.3,38.1,40.1,44,41.4,44.9,47.1,46.8,45.9,47.7,50.8,50.9,49.7,51.4,51.5,54.3,54.1,55.7,55.5,52.4,53.7,58.6,56.3,55.7,55.7,56.4,56.9,58.4,57.2,59.1,58.1,60.9,61.2,62,63.5,66,64.2,67.6,68.8,70.7,71.5,77.3,73.4,82.2
"18","10","Net interest paid","A110RU",0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.5,0.4,0.3,0.2,0.1,0,0,0.1,0.2,0.3,0.4,0.5,0.7,0.8,0.8,0.9,0.8,0.8,0.7,0.6,0.5,0.3,0.1,-0.1,-0.3,-0.5,-0.7,-0.9,-1.1,-1.3,-1.4,-1.6,-1.7,-1.8,-1.9,-2,-2,-1.9,-1.8,-1.6,-1.4,-1.3,-1.2,-1.3,-1.5,-1.6,-1.8,-1.9,-2,-2,-2,-1.9,-1.7,-1.5,-1.3,-1,-0.9,-0.8,-0.7,-0.7,-0.7,-0.8,-1,-1.2,-1.5,-1.6,-1.7,-1.8,-1.7,-1.7,-1.5,-1.3,-1,-0.7,-0.4,0,0.3,0.6,0.9,1.1,1.3,1.4,1.5,1.4,1.4,1.3,1,0.7,0.3,0.1,0,0,0.2,0.2,0.2,0.2,0,-0.2,-0.3,-0.3,0,0.1,0.2,0.2,0,-0.1,-0.3,-0.4,-0.6,-0.7,-0.8,-0.8,-0.6,-0.6,-0.5,-0.4
"19","11","  Interest paid to persons and business","B111RU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.9,1.9,2,2,2.1,2.1,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.2,3.3,3.4,3.5,3.5,3.6,3.7,3.8,3.9,4.1,4.3,4.4,4.5,4.6,4.7,4.9,5.1,5.3,5.6,5.8,6.1,6.3,6.6,6.9,7.2,7.6,7.9,8.2,8.5,8.8,9.1,9.4,9.7,10,10.3,10.7,11.1,11.5,11.8,12.2,12.5,12.7,12.9,13.1,13.2,13.4,13.5,13.7,13.9,14.1,14.3,14.5,14.7,14.8,15,15.2,15.4,15.7,15.9,16,16.1,16.2,16.3,16.3,16.3,16.2,16.2,16.2,16.2,16.3,16.4,16.5,16.6,16.7,16.9,17,17.2,17.4,17.6,17.7,17.7,17.9,18.1,18.2,18.3,18.6,18.8,18.9,19.1,19.4,19.6,19.8,20,20.1,20.3,20.4,20.5,20.6,20.8,20.9,21
"20","12","  Less: Interest received by government","B112RU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.8,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.6,1.7,1.9,2,2.2,2.3,2.4,2.5,2.5,2.5,2.4,2.4,2.3,2.3,2.3,2.4,2.5,2.6,2.7,2.9,3.1,3.4,3.6,4,4.3,4.7,5,5.4,5.7,6,6.3,6.7,7.1,7.4,7.8,8,8.3,8.5,8.7,8.9,9,9.2,9.5,9.8,10.3,10.7,11.2,11.6,12,12.4,12.7,12.9,13.2,13.3,13.4,13.5,13.6,13.7,13.8,14,14.1,14.3,14.7,15.1,15.6,15.9,16.2,16.4,16.5,16.7,16.7,16.7,16.7,16.6,16.4,16.2,16,15.7,15.4,15.2,14.9,14.8,14.7,14.8,14.9,15.1,15.5,15.9,16.4,16.7,17,17.2,17.3,17.3,17.4,17.5,18,18.4,18.5,18.6,18.6,18.7,18.8,18.9,19.3,19.7,20.1,20.4,20.7,21,21.2,21.3,21.3,21.3,21.4,21.4
"21","13","Less: Dividends received by government","B081RU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"22","14","Subsidies less current surplus of government enterprises","A113RU",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.3,-0.2,-0.1,-0.1,-0.1,-0.2,0.1,0,-0.1,-0.1,0,0.1,0.1,0,-0.2,0,0,-0.1,-0.1,0.2,0,0.1,0.2,0.4,0.1,0.4,0.6,0.5,0.6,0.6,0.9,0.7,0.7,0.5,0.7,0.2,0.3,0.2,0.1,0.1,-0.1,-0.3,-0.1,-0.7,-0.5,-0.8,-0.7,-0.9,-0.6,-0.8,-0.4,-0.6,-0.5,-0.6,-0.7,-1,-0.8,-1.1,-1.2,-1.4,-1.4,-1.6,-1.5,-1.6,-1.6,-1.5,-1.5,-1.7,-1.6,-1.6,-1.5,-1.9,-1.7,-1.9,-1.7,-2,-2,-2,-2.1,-2.5,-1.7,-2.1,-2.1,-2.5,-2.3,-2.6,-2.8,-2.5,-3.2,-2.7,-3.2,-3.3,-3.3,-2.7,-3.3,-3.2,-2.3,-2.3,-2.7,-2.5,-2.2,-2.5,-2.5,-3.3,-2.3,-2.5,-1.8,-3.1,-0.6,0.9,-1.2,-2.2
"23","15","  Subsidies","B114RU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.2,3.8,1.1,0.7
"24","16","  Less: Current surplus of government enterprises","B115RU",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.1,0.1,0.2,0,0.1,0.2,0.1,0.1,0,0,0.1,0.2,0,0,0.2,0.2,-0.2,0.1,0,-0.1,-0.3,0,-0.3,-0.5,-0.4,-0.5,-0.5,-0.8,-0.6,-0.6,-0.4,-0.5,-0.1,-0.2,-0.1,0,0.1,0.2,0.4,0.2,0.8,0.6,0.8,0.8,1,0.7,0.9,0.5,0.7,0.5,0.7,0.8,1.1,0.9,1.2,1.3,1.4,1.5,1.7,1.6,1.7,1.6,1.6,1.6,1.8,1.7,1.7,1.6,2,1.8,1.9,1.8,2.1,2.1,2.1,2.1,2.6,1.8,2.2,2.2,2.6,2.4,2.7,2.9,2.6,3.3,2.8,3.3,3.4,3.4,2.8,3.4,3.3,2.4,2.4,2.8,2.6,2.3,2.6,2.6,3.4,2.4,2.6,1.9,3.2,2.8,2.9,2.2,2.9
"25","17","Less: Wage accruals less disbursements","B116RU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
