"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"17","10","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC",14.9,11.7,9.1,5.6,5.8,7.6,10.7,11,13.1,11.2,11.7,12.9,17.3,24.1,29.1,30.3,31.7,36.5,35.6,40.4,35.7,38.6,43.8,44.3,43.3,43.5,45.5,47,49,51.4,51.8,51.9,54.4,56.5,57.8,60.6,65.2,69.6,71.1,75.4,78.9,79.8,86.1,97.7,115.2,115.5,121.6,134.3,148.3,170.1,183.7,177.6,186.2,179.9,195.5,247.5,267,278.6,303.9,338.8,361.8,381,384.2,434.3,461.8,476.6,497.7,544.7,581.2,623.8,678.4,714.8,727.9,756.5
"18","11","    Farm","B042RC",6.2,4.4,3.5,2.1,2.6,2.9,5.3,4.3,6,4.4,4.4,4.5,6.4,10.1,12,12,12.4,14.8,15.1,17.5,12.7,13.5,16,15.1,13,12.5,11.5,11.3,11.3,13.1,10.9,11.4,12.1,12.1,11.9,10.8,13.1,14.1,12.8,12.8,14.2,14.3,14.9,18.8,30.7,25.2,23.5,18.7,17.5,21.5,23.7,13.1,20.3,14.4,7.2,21.6,21.5,23,29,26,32.2,31.1,26.4,32.7,30.1,31.9,22.2,34.3,29.7,25.6,27.7,22.6,19,12.9
"19","12","    Nonfarm","A045RC",8.7,7.3,5.6,3.5,3.2,4.6,5.4,6.6,7.1,6.8,7.3,8.4,10.9,14,17,18.3,19.3,21.7,20.5,22.9,23.1,25.1,27.8,29.2,30.3,31,34,35.7,37.7,38.3,40.9,40.4,42.3,44.4,45.8,49.9,52.2,55.5,58.4,62.6,64.7,65.5,71.2,78.9,84.5,90.3,98.1,115.6,130.8,148.5,160,164.5,165.9,165.4,188.3,225.9,245.5,255.6,274.8,312.7,329.6,349.9,357.8,401.7,431.7,444.6,475.5,510.5,551.5,598.2,650.7,692.2,708.8,743.7
"20","13","  Rental income of persons with capital consumption adjustment","A048RC",5.6,4.9,4,3.2,2.5,2.1,2.2,2.3,2.6,3.1,3.3,3.4,4,5,5.6,5.9,6.1,7,7,7.6,7.8,8.7,9.5,10.5,11.5,12.5,12.8,13.1,13.8,14.5,15.2,16.2,16.9,17.8,18.5,18.6,19.2,19.9,20.4,20.2,20.3,20.3,21.2,21.6,23.1,23,22,21.5,20.4,22.4,24.5,31.3,39.6,39.6,36.9,39.5,39.1,32.2,35.8,44.1,40.5,49.1,56.4,63.3,90.9,110.3,117.9,129.7,128.3,138.6,149.1,146.6,137.9,142.4
"21","14","  Personal dividend income","B703RC",5.8,5.5,4.1,2.5,2,2.6,2.8,4.5,4.7,3.2,3.8,4,4.4,4.3,4.4,4.6,4.6,5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25,26.8,29.9,33.2,32.9,39,44.7,50.7,57.4,64,73.6,76.1,83.5,90.8,97.5,106.1,112.1,129.4,154.8,165.4,178.3,185.3,203,234.7,254,297.4,334.9,348.3,328,375.7,409.2,433.8
"22","15","  Personal interest income","A064RC",6.8,6.3,6.3,5.9,5.4,5.5,5.5,5.3,5.4,5.3,5.3,5.3,5.4,5.3,5.2,5.3,6,6.8,7.8,8.3,9,10,10.8,11.5,13,14.3,15.6,17.4,19.4,21,23,25.6,27.3,30.2,33,36.9,40.8,45.3,49.4,54.1,62.3,71.5,77.5,84.2,97.6,116.1,128,140.5,161.9,191.3,233.5,286.4,352.7,401.6,431.6,505.3,546.4,579.2,609.7,650.5,736.5,772.4,771.8,750.1,725.5,742.4,792.5,810.6,864,964.4,969.2,1077,1091.3,1078.5
"23","16","  Transfer payments to persons","A577RC",1.2,1.2,2.3,1.7,1.7,1.8,2,3.1,2,2.4,2.5,2.7,2.7,2.7,2.5,3.1,5.6,10.5,10.8,10.3,11.3,13.9,11.2,11.8,12.6,14.5,15.7,16.6,19.2,23.3,24.2,25.7,29.5,30.3,32,33.2,35.9,39.6,47.6,55.6,61.6,74.3,88.2,98,111.9,132.3,167.5,182.3,194.6,209.3,234.2,279,317.2,354.2,382.2,393.4,420.9,449,468.6,496.9,540.4,594.4,669.9,751.7,798.6,833.9,885.9,928.8,962.2,983.7,1018.5,1070.3,1170.4,1288
"24","17","    Old-age, survivors, disability, and health insurance benefits","B222RC",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,1,1.9,2.2,3,3.6,4.9,5.7,7.3,8.5,10.2,11.1,12.6,14.3,15.2,16,18.1,20.8,25.5,30.2,32.9,38.5,44.5,49.6,60.4,70.1,81.4,92.9,104.9,116.2,131.8,154.2,182,204.5,221.7,235.7,253.4,269.2,282.9,300.5,325.2,352.1,382.4,414,444.4,473,508,537.6,565.8,578.1,588,617.2,664.3,699.8
"25","18","    Government unemployment insurance benefits","B223RC",NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,0.4,0.5,0.4,0.4,0.1,0.1,0.4,1.1,0.8,0.9,1.9,1.5,0.9,1.1,1,2.2,1.5,1.5,1.9,4.1,2.8,3,4.3,3.1,3,2.7,2.3,1.9,2.2,2.1,2.2,4,5.8,5.7,4.4,6.8,17.6,15.8,12.7,9.7,9.8,16.1,15.9,25.2,26.3,15.9,15.7,16.3,14.5,13.2,14.3,18,26.6,38.9,34.1,23.6,21.5,22.1,19.9,19.5,20.3,20.5,31.9,62.9
"26","19","    Veterans benefits","B224RC",0.6,0.6,1.6,0.8,0.6,0.4,0.5,1.9,0.6,0.5,0.5,0.5,0.5,0.5,0.5,1,3,7,7,5.9,5.3,7.7,4.6,4.3,4.1,4.2,4.4,4.4,4.5,4.7,4.6,4.6,5,4.7,4.8,4.7,4.9,4.9,5.6,5.9,6.7,7.7,8.8,9.7,10.4,11.8,14.5,14.4,13.8,13.9,14.4,15,16.1,16.4,16.6,16.4,16.7,16.7,16.6,16.9,17.3,17.8,18.3,19.3,20.1,20.1,20.9,21.7,22.5,23.4,24.3,25.1,26.7,29.6
"27","20","    Other transfer payments","A722RC",0.6,0.6,0.8,1,1.1,1.3,1.5,1.2,1.4,1.5,1.6,1.6,1.7,1.7,1.7,1.9,1.9,2,2.6,3,3.5,3.8,3.9,4.2,4.4,4.5,4.8,5,5.5,6,6.7,7,7.6,8.3,8.9,9.7,10.6,12.1,14.4,17.3,19.7,24.2,29.2,33,36.7,43.6,54,59.3,63.2,69.5,78.2,93.8,103.3,108.1,117.7,125.5,135.1,146.8,154.6,166.4,183.6,206.5,242.6,279.5,300,317.1,335.6,347.4,354,362.8,385.9,407.4,447.6,495.8
"28","21","      Family assistance \1\","B226RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1.1,1.3,1.4,1.5,1.7,1.9,2.3,2.8,3.5,4.8,6.2,6.9,7.2,8,9.3,10.1,10.6,10.8,11.1,12.5,13.1,12.9,13.8,14.5,15.2,16.1,16.4,16.9,17.5,19.2,21.1,22.2,22.8,23.2,22.6,20.3,17.7,17,17.7,18.3,19.2,19.3
"29","22","      Other","A578RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.6,3,3.3,3.3,3.7,3.9,3.9,4.2,4.4,4.7,5.2,5.7,6.1,6.5,7,7.6,8.2,9,10.2,12.1,14.5,16.2,19.4,23,26.1,29.5,35.6,44.7,49.2,52.5,58.7,67.1,81.3,90.2,95.2,103.8,111,119.9,130.6,138.2,149.5,166.1,187.3,221.5,257.3,277.2,294,313,327.1,336.3,345.7,368.3,389.2,428.3,476.5
"30","23","  Less: Personal contributions for social insurance","B228RC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.5,0.6,0.9,1.5,1.8,1.9,1.6,1.6,1.6,1.5,2.1,2.5,2.8,2.9,3.5,3.9,4.3,5,5,6,7.2,7.4,7.9,9.3,9.8,10.3,14.5,16.8,18.7,21.4,22.5,24.7,28,35.7,40.5,42.6,46.9,52,59.7,70.2,77.2,92.1,99.1,106.1,118.4,133.6,145.6,156.8,176.8,191.6,203.7,215.1,226.6,237.8,254.1,268.8,280.4,297.9,316.3,337.4,358.4,372.3,384
"31","24","Less: Personal tax and nontax payments","A066RC",2.1,1.9,1.3,1,1,1.1,1.3,1.5,2.1,2.1,1.7,1.9,2.5,5.1,17,18,19.8,17.5,20.1,19.6,17.1,19.3,27.5,32.5,33.8,30.7,33.4,37.2,39.6,39.2,42.8,46.6,47.9,52.3,55.3,52.8,58.4,67.3,74.2,88.3,105.9,104.6,103.4,125.6,134.5,153.3,150.3,175.5,201.2,233.5,273.3,304.2,351.5,361.6,360.9,387.2,428.5,449.9,503,519.7,583.5,609.6,610.5,635.8,674.6,722.6,778.3,869.7,968.8,1070.4,1159.1,1286.4,1292.1,1111.9
"32","25","Equals: Disposable personal income","A067RC",83.2,74.6,64.2,49.1,45.9,52.7,59.2,67.3,72.2,66.5,71.4,76.7,93.8,118.7,135.4,148.3,152.1,162,172.1,191.6,191.1,210.6,231.2,243.6,258.8,264.5,283.4,302.8,319.7,330.8,351.2,366.2,382.4,405.6,425.8,463,498.9,539.1,576.2,626.2,675,736.5,801.7,868.6,979,1072.3,1181.4,1299.9,1436,1614.8,1808.2,2019.8,2247.9,2406.8,2586,2887.6,3086.5,3262.5,3459.5,3752.4,4016.3,4293.6,4474.8,4754.6,4935.3,5165.4,5422.6,5677.7,5968.2,6355.6,6627.4,7120.2,7393.2,7810.3
"33","26","Less: Personal outlays","A068RC",79.3,71.3,61.6,49.5,46.6,52.1,56.6,63,67.7,65.1,68,72.2,82.1,89.7,100.4,109.3,120.8,145.6,164,177.5,181.1,195.4,211.5,223,237.5,244.8,263.8,277.4,292.9,302.6,324.7,339.8,350.5,372.2,392.7,422.4,456.2,494.6,522.3,573.6,622.3,667,721.6,791.7,876.5,957.9,1056.2,1177.8,1310.4,1469.4,1642.4,1814.1,2004.2,2144.6,2358.2,2581.1,2803.9,2994.7,3206.7,3460.1,3714.4,3959.3,4103.2,4340.9,4584.5,4849.9,5120.2,5405.6,5715.3,6054.1,6453.3,6918.6,7223.5,7524.5
"34","27","  Personal consumption expenditures","A002RC",77.5,70.2,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.2,67.2,71.2,81,88.9,99.7,108.5,119.8,144.2,162.3,175.4,178.8,192.7,208.6,219.7,233.4,240.5,259,271.9,287,296.6,318.1,332.3,342.7,363.8,383.1,411.7,444.3,481.8,508.7,558.7,605.5,648.9,702.4,770.7,852.5,932.4,1030.3,1149.8,1278.4,1430.4,1596.3,1762.9,1944.2,2079.3,2286.4,2498.4,2712.6,2895.2,3105.3,3356.6,3596.7,3831.5,3971.2,4209.7,4454.7,4716.4,4969,5237.5,5529.3,5856,6246.5,6683.7,6987,7303.7
"35","28","  Interest paid by persons","B069RC",1.5,0.9,0.7,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,0.7,0.5,0.5,0.5,0.7,1.1,1.4,1.8,2.3,2.5,2.9,3.6,3.8,4.4,5.1,5.5,5.6,6.1,7,7.3,7.8,8.9,10,11.1,12,12.5,13.8,15.7,16.8,17.8,19.6,22.4,24.2,24.5,26.6,30.7,37.5,44.5,49.4,54.6,58.8,65,75,83.2,90.6,91.5,92.9,106.4,115.8,118.9,118.7,115.4,117.9,134.7,149.9,164.8,173.7,179.5,205.4,205.4,188.4
"36","29","  Personal transfer payments to the rest of the world (net)","B070RC",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.4,0.5,0.7,0.7,0.7,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.7,0.7,0.8,0.8,1,1,1.1,1.3,1.3,1.4,1.5,1.3,1.3,1.3,1.3,1.5,1.6,1.8,5.5,6.5,6.8,7.7,8.1,9,9.9,10.6,11.4,12,13,12.5,14.4,15.6,16.5,18.2,21.2,24.3,27.3,29.5,31.1,32.3
"37","30","Equals: Personal saving","A071RC",3.9,3.2,2.6,-0.4,-0.7,0.6,2.6,4.3,4.5,1.5,3.4,4.5,11.7,29,34.9,39,31.4,16.3,8.1,14.1,10,15.2,19.7,20.6,21.3,19.8,19.5,25.4,26.8,28.2,26.5,26.4,31.9,33.5,33.1,40.5,42.7,44.5,54,52.7,52.6,69.5,80.1,76.9,102.5,114.3,125.2,122.1,125.6,145.4,165.8,205.6,243.7,262.2,227.8,306.5,282.6,267.8,252.8,292.3,301.8,334.3,371.7,413.7,350.8,315.5,302.4,272.1,252.9,301.5,174,201.5,169.7,285.8
"38",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","31","    Total, billions of chained (1996) dollars \2\","A067RX",672.3,629.3,607.8,526.5,510.7,560.3,614.7,692.2,716.6,675.9,732.3,781.1,899,1012.4,1057.9,1096.1,1081.5,1074.4,1035.2,1090,1095.6,1192.7,1227,1266.8,1327.5,1344,1433.8,1502.3,1539.5,1553.7,1623.8,1664.8,1720,1803.5,1871.5,2006.9,2131,2244.6,2340.5,2448.2,2524.3,2630,2745.3,2874.3,3072.3,3051.9,3108.5,3243.5,3360.7,3527.5,3628.6,3658,3741.1,3791.7,3906.9,4207.6,4347.8,4486.6,4582.5,4784.1,4906.5,5014.2,5033,5189.3,5261.3,5397.2,5539.1,5677.7,5854.5,6168.6,6328.4,6630.3,6748,7032.2
"41",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","32","      Current dollars","A229RC",683,605,517,393,365,417,465,525,560,512,545,581,703,880,990,1072,1087,1145,1194,1307,1281,1388,1499,1552,1622,1629,1715,1800,1867,1899,1983,2026,2081,2174,2249,2412,2567,2742,2899,3119,3329,3591,3860,4138,4619,5013,5470,5960,6519,7253,8033,8869,9773,10364,11036,12215,12941,13555,14246,15312,16235,17176,17669,18527,18981,19626,20361,21072,21887,23037,23749,25237,25957,27170
"43","33","      Chained (1996) dollars","A229RX",5516,5109,4896,4214,4063,4430,4827,5400,5556,5201,5589,5912,6739,7507,7737,7920,7729,7599,7183,7433,7343,7863,7953,8071,8319,8276,8675,8930,8988,8922,9167,9210,9361,9666,9886,10456,10965,11417,11776,12196,12451,12823,13218,13692,14496,14268,14393,14873,15256,15845,16120,16063,16265,16328,16673,17799,18229,18641,18870,19522,19833,20058,19873,20220,20235,20507,20798,21072,21470,22359,22678,23501,23692,24463
"44","34","    Population (mid-period, millions)","B230RC1",121.9,123.2,124.1,124.9,125.7,126.5,127.4,128.2,129,130,131,132.1,133.4,134.9,136.7,138.4,139.9,141.4,144.1,146.6,149.2,151.7,154.3,157,159.6,162.4,165.3,168.2,171.3,174.1,177.1,180.8,183.7,186.6,189.3,191.9,194.3,196.6,198.8,200.7,202.7,205.1,207.7,209.9,211.9,213.9,216,218.1,220.3,222.6,225.1,227.7,230,232.2,234.3,236.4,238.5,240.7,242.8,245.1,247.4,250,253.3,256.6,260,263.2,266.3,269.4,272.7,275.9,279.1,282.1,284.8,287.5
"45","35","  Personal saving as a percentage of disposable personal income","A072RC",4.7,4.3,4,-0.8,-1.5,1.2,4.4,6.4,6.2,2.2,4.7,5.9,12.4,24.4,25.8,26.3,20.6,10.1,4.7,7.3,5.2,7.2,8.5,8.5,8.2,7.5,6.9,8.4,8.4,8.5,7.6,7.2,8.3,8.3,7.8,8.8,8.6,8.3,9.4,8.4,7.8,9.4,10,8.9,10.5,10.7,10.6,9.4,8.7,9,9.2,10.2,10.8,10.9,8.8,10.6,9.2,8.2,7.3,7.8,7.5,7.8,8.3,8.7,7.1,6.1,5.6,4.8,4.2,4.7,2.6,2.8,2.3,3.7
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
