"","Table 8#17# Supplements to Wages and Salaries by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57"
"11",NA,"              By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Pension, profit-sharing, and other retirement benefit plans \1\","A2209C",3.1,3.3,4.5,5.5,6,6.4,7.1,8.1,9.1,10.6,10.8,12.6,14.2,14.6,15.8,17.9,19.6,21.5,26,28.6,31.9,36.7,40,46.3,53,62.4,73.6,83.6,96.4,111,124.8,142.6,160.1,177.6,188.7,199.2,224.5,237.7,249.1,258,269.7,277.5,292.4,302.6,317.5,335.6,357.5,359.6,361,373.4,387,401.4,420.3,433.3
"13","5","  Old-age, survivors, and disability insurance (3.6;5)","L30605",0.8,0.8,1.3,1.7,1.8,1.9,2.5,2.8,3,3.7,3.7,4.6,5.6,5.7,6.2,7.5,7.8,8.3,11,11.9,13.1,15.6,16.2,18.2,20.6,25.2,29.2,30.5,33.8,37.5,42.9,50.3,55.6,64.9,69.2,73.5,85.7,91.5,98.1,104.1,118.3,126.6,137.3,141,147.4,153.4,162.1,170.1,179.3,191.8,205.6,218.7,233.4,242.9
"14","6","  Federal civilian employee retirement (6.11;24)","B4945C",0.2,0.3,0.3,0.3,0.3,0.2,0,0.1,0.4,0.6,0.7,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.5,1.6,2,3.2,3.4,3.5,4.9,6.9,8.1,11,11.3,13.2,15.9,18.7,19.9,21.2,21.4,22.9,23.5,24.4,25.4,26.7,28.7,31.2,33.1,34.5,35.2,35.7,36.6,38.6,39.1,40.1,41.1,42.3
"15","7","  Federal military employee retirement (6.11;25)","B1583C",0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,1.3,1.5,1.7,2,2.3,2.7,3.2,3.7,4.2,4.7,5.7,6.8,7.7,8.5,9.4,10.6,12.5,14,15.4,16.3,26.1,28.2,28.3,29,28.5,28.9,27.5,28.9,28.3,25.5,24.6,23.2,26.9,26.7,26.3,26.6,28.2,29.4
"16","8","  Railroad retirement (3.6;12)","CON170",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.8,1.1,1.1,1.3,1.4,1.5,1.7,1.7,1.9,2,1.9,2.2,2.3,2.5,2.5,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.6,2.6,2.8,2.8,2.8,2.9
"17","9","  Pension benefit guaranty (3.6;13)","B1043C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.5,0.6,0.7,0.8,0.9,0.9,1,0.9,1.2,1,1,0.9,0.8,0.9
"18","10","  State and local employee retirement (6.11;26)","S25110",0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.3,1.4,1.6,1.8,1.9,2,2.2,2.4,2.5,3,3.6,3.8,4.5,5.1,5.6,6.4,7.3,8.5,10.2,12.1,13.5,15,16.8,19.1,20.8,23.2,24.8,26.3,28,30.3,30.4,31.1,31.9,33,32.9,33.8,36.1,38.9,41.7,43.2,44.8,43.2,42.6,40.1,39.2
"19","11","  Private pension and profit-sharing (6.11;22)","B4921C",1.2,1.3,1.7,2.3,2.5,2.9,2.9,3.4,3.8,4.2,4.1,4.8,4.9,5,5.4,5.8,6.6,7.6,8.7,9.5,10.7,11.8,13.1,15.1,17.9,20.9,24.2,28.1,33.4,39.1,44.7,49.9,55.3,57.2,58.9,61.3,62.7,64.7,66.2,67.2,63.2,60,62.6,65.1,71.4,82.6,93.2,85.4,71.3,68,69,69.7,73.8,75.9
"20","12","Health insurance","A2210C",0.4,0.6,0.8,1,1.1,1.3,1.5,1.7,2.1,2.4,2.7,3,3.4,3.8,4.2,4.6,5.2,5.9,7.4,8.5,10.7,12.4,14.7,16.3,19.2,23.9,26.8,31.4,38.5,45.9,54.9,63.5,73.1,88.1,100.1,110.8,121.6,133.6,144.4,159.8,177.9,201.2,223.6,243.9,268.6,289.6,306,305.3,308.6,299.8,320.1,343.4,374.6,397.2
"21","13","  Federal hospital insurance (3.6;6)","L30606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,2.1,2.3,2.3,2.4,2.7,5.3,5.4,5.6,6.2,6.9,8.6,10.5,11.6,15.9,16.8,18.7,20.6,22.7,26.1,27.7,29.5,31.6,33.5,36.8,38.6,40.2,44.6,47.3,50.2,54,58.2,62.2,67.1,68.7
"22","14","  Military medical insurance (3.6;16)","B1606C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.3,1.3,1.5,1.7,1.7,1.6,1.4,1.3,1.2,1.2,1.1,1.1,1.1,1.1
"23","15","  Temporary disability insurance (3.6;18)","S25210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","16","  Private group health insurance (6.11;29) \2\","B4923C",0.4,0.6,0.7,1,1.1,1.3,1.5,1.7,2.1,2.4,2.7,3,3.4,3.7,4.2,4.6,5.2,5.9,6.4,6.9,8.4,9.9,12.1,13.7,16.2,18.3,21.1,25.5,32,38.8,46,52.6,61,71.7,82.6,91.5,100.3,110,117.4,131,147.1,168.3,188.6,205.4,228.2,247.8,260,256.6,257.2,244.6,260.8,280.1,306.4,327.4
"25","17","Life insurance","A2211C",0.3,0.7,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1,1.1,1.1,1.2,1.3,1.5,1.7,1.8,2,2.4,2.4,2.4,2.5,2.5,2.5,2.7,3.1,3.1,3.3,3.7,3.9,4.1,4.4,4.7,4.9,4.9,5.6,6.1,6.1,6.5,6.7,7.3,7,8,8.6,9.1,9.5,10,10.8,11.5,11.7,12.4,12.3
"26","18","  Veterans life insurance (3.6;14)","CON210",0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","19","  Private group life insurance (6.11;30) \2\","B4924C",0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.1,1.2,1.3,1.5,1.7,1.8,2,2.4,2.4,2.4,2.5,2.5,2.5,2.7,3.1,3.1,3.3,3.7,3.9,4.1,4.4,4.7,4.9,4.9,5.6,6.1,6.1,6.4,6.7,7.2,7,7.9,8.6,9.1,9.5,10,10.8,11.4,11.7,12.4,12.3
"28","20","Workers' compensation","A2212C",1,1,1,1.1,1.3,1.4,1.4,1.5,1.6,1.7,1.7,1.8,1.9,2,2.2,2.4,2.6,2.7,3.1,3.4,3.9,4.3,4.7,4.9,5.5,6.4,7.4,8.4,10.4,12.9,15.4,17.9,19.3,20.1,19.9,20.1,21.9,24.6,28.8,33.5,37.9,42.1,47,50.6,53.1,55.2,54.9,52.8,51.9,48.2,46.5,44.8,47,48.7
"29","21","  Federal (3.6;15)","CON220",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.8,1.9,1.9,1.9,1.9,2,2,2.2,2.2
"30","22","  State and local (3.6;19)","S25300",0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1.2,1.3,1.7,2.1,2.7,3,3,3.1,3.1,3,3.3,3.7,4.4,5.2,6.1,7.1,8,9.2,10.3,11.1,11.4,11,10.2,9.2,8.6,7.9,7.3,7.2
"31","23","  Private insurance (6.11;31) \2\","B4925C",0.8,0.8,0.8,0.9,1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.9,2,2.2,2.5,2.7,3.1,3.5,3.8,4,4.4,5.2,5.9,6.7,8.2,10.3,12.1,14.1,15.5,16.1,15.9,16.1,17.6,19.7,23.3,27.2,30.5,33.6,37.5,39.8,41,42.2,41.6,39.9,39.8,37.1,35.9,34.8,37.5,39.2
"32","24","Unemployment insurance","A2213C",1.6,1.6,1.5,1.8,1.6,1.6,1.5,1.7,2.1,2.2,2.2,2.7,3,3.3,4.3,4.3,4,4,3.9,3.5,3.5,3.5,3.8,4.2,6.1,7.3,7.4,7.7,11,13,15.8,16.9,17.2,17.8,18.7,22.7,27.3,27.6,26.7,26.7,27.8,25.3,24.5,24.7,28.8,31.6,32.1,31.9,31.4,30.4,29.8,29.1,30,29.9
"33","25","  State unemployment insurance (3.6;8)","CON120",1,1,1.2,1.5,1.4,1.3,1.1,1.2,1.4,1.5,1.4,2,2.2,2.4,2.9,3,3,3,3,2.6,2.5,2.5,2.4,2.6,4.1,5.1,5.4,5.2,8.1,9.4,11.5,12.2,11.6,12,12.8,15.5,19.4,19.5,18.2,17.8,18,16.7,15.5,15.5,18.3,21.4,23.1,22.9,22.2,21.3,20.4,19.9,20.6,20.3
"34","26","  Federal unemployment tax (3.6;9)","CON150",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.9,0.8,0.6,0.6,0.6,0.6,0.6,0.7,0.9,0.9,1.2,1.5,1.3,1.3,1.4,2,2.7,3,3.4,3.6,3.7,4.9,5.5,5.4,5.7,5.9,6.4,5.2,5.2,5.1,5.4,5.6,5.5,5.8,5.9,6.3,6.7,6.8,7.1,7.1
"35","27","  Railroad employees unemployment insurance (3.6;10)","CON160",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1
"36","28","  Federal employees unemployment insurance (3.6;11)","TRP150",0.4,0.4,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.5,0.3,0.4,0.8,0.9,0.7,0.5,0.4,0.5,0.5,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,1.2,1.3,0.8,0.7,0.6,0.5,0.4,0.4,0.4,0.5
"37","29","  Private supplemental unemployment (6.11;32)","B4926C",NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.2,0.4,0.6,0.9,1.1,1.5,1.5,1.7,1.7,1.9,2.1,2.3,2.5,2.9,2.9,3.2,3.4,3.8,3.3,2.7,2.6,2.5,2.2,2.1,1.9,1.8,1.9
"38","30","Other (6.11;33) \3\","B4927C",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.8,0.9,1,1.1,1.2,1.4,1.5,1.6,1.9,2.1,2.2,2.2,2.4,2.5,2.7,2.7,2.8,2.8,2.9
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40"," 1. Employer contributions to privately administered programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","and to publicly administered government employee retirement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","plans are classified as other labor income.  Employer contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","to other publicly administered programs are classified as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","employer contributions for social insurance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45"," 2. Government contributions to privately administered health, life,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","and workers' compensation insurance for government employees are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","classified as other labor income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48"," 3. Consists of judicial fees paid to jurors and to witnesses,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","compensation of prison inmates, and marriage fees paid to justices",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","of the peace.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","  Note.  The numbers in parentheses indicate the tables and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","line numbers from which the entries in this table are derived.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
