"","Table 1#15# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"19","12","  Sole proprietorships and partnerships","A1641C",24.2,20.3,16.3,11.2,10.8,13.1,16.7,17.7,20.7,18.5,19.4,21.1,27.6,37.3,44.1,46.8,49.6,57.2,58.4,64.9,59.9,64.4,72.7,74.9,75.5,75.5,78.6,82,85.3,87.4,89.7,89.7,91.8,94.9,97.3,102.7,108.8,116.2,118.8,125.4,131.3,134.5,142.5,157.2,183.8,191.1,202.5,223,244.7,277.9,307.4,314.8,338.8,343.4,367.8,444.7,479.5,503.5,526.5,593.5,644.1,671.4,671.8,722.8,758.3,793.1,832.5,890.9,953.2,1044.3,1116.4,1191.7,1248.3
"20","13","    Compensation of employees","A1642C",8.6,7.8,6.4,4.8,4.4,5,5.5,6.2,7.1,6.8,7.2,7.8,9.8,12.7,14.6,16.2,17.6,20.4,22.4,24,23.6,25.3,28.2,29.9,31.4,31.2,32.2,34.1,35.2,35.2,37.1,37,36.5,37.2,38.1,40.1,41.3,43.9,44.5,46.4,48.1,49.1,49.6,51.6,58.1,62.3,65.8,71.6,76.8,85.3,95.8,103.3,110.5,114.1,119.5,131.6,141.3,148.2,154.4,175.8,189.3,202.1,205.5,216.3,228.9,243.7,261.2,274.3,295.8,319.4,343.9,375.2,391.3
"21","14","      Wage and salary accruals","B1643C",8.5,7.7,6.4,4.8,4.3,4.9,5.4,6.1,6.8,6.5,6.9,7.5,9.4,12.3,14.2,15.7,17.1,19.8,21.8,23.3,22.8,24.3,27,28.6,30.1,29.8,30.7,32.4,33.4,33.4,34.9,34.6,34.1,34.7,35.3,37.3,38.4,40.5,41.1,42.7,44.2,45.1,45.3,46.8,52.4,56.1,59,63.7,68,76.6,86,92.9,99.5,102.6,106.7,117,125.3,130.8,136.7,155.6,166.5,177,178.7,188,198.8,212.5,228.8,241.6,262.9,284.9,307,335.4,349.2
"22","15","      Supplements to wages and salaries","B1644C",0.1,0.1,0.1,0.1,0,0,0,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.8,1,1.2,1.2,1.3,1.4,1.5,1.6,1.8,1.8,2.2,2.3,2.4,2.6,2.8,2.8,2.9,3.3,3.4,3.7,3.9,4.1,4.3,4.8,5.6,6.2,6.8,7.9,8.8,8.8,9.8,10.4,11,11.5,12.7,14.7,15.9,17.4,17.7,20.2,22.9,25.1,26.7,28.4,30.1,31.2,32.4,32.7,32.8,34.4,36.9,39.8,42.1
"23","16","    Proprietors' income with inventory valuation and capital consumption adjustments","A1645C",14.9,11.7,9.1,5.6,5.8,7.6,10.7,11,13.1,11.2,11.7,12.9,17.3,24.1,29.1,30.3,31.7,36.6,35.6,40.4,35.7,38.6,43.9,44.4,43.3,43.5,45.5,47,49,51.1,51.4,51.5,54,56,57.3,60.2,64.8,69.1,70.6,75,78.4,79.4,85.6,97.1,114.5,114.6,120.6,133.2,147.2,168.8,182.3,176.1,184.6,178.2,193.7,245.3,265.1,276.8,302,336.7,359.6,378.8,381.8,431.7,459,473.6,494.9,541.7,577.8,620.8,675.6,712,725.1
"24","17","      Farm","B042RC",6.2,4.4,3.5,2.1,2.6,2.9,5.3,4.3,6,4.4,4.4,4.5,6.4,10.1,12,12,12.4,14.8,15.1,17.5,12.7,13.5,16,15.1,13,12.5,11.5,11.3,11.3,13.1,10.9,11.4,12.1,12.1,11.9,10.8,13.1,14.1,12.8,12.8,14.2,14.3,14.9,18.8,30.7,25.2,23.5,18.7,17.5,21.5,23.7,13.1,20.3,14.4,7.2,21.6,21.5,23,29,26,32.2,31.1,26.4,32.7,30.1,31.9,22.2,34.3,29.7,25.6,27.7,22.6,19
"25","18","        Proprietors' income with inventory valuation adjustment","A043RC",6.3,4.5,3.5,2.1,2.6,3,5.3,4.4,6.1,4.5,4.5,4.5,6.5,10.3,12.2,12.2,12.7,15.2,15.6,18.1,13.3,14.1,16.8,15.9,13.7,13.2,12.2,12.1,12.1,14,11.8,12.3,12.9,12.9,12.7,11.6,13.9,15,13.7,13.9,15.4,15.7,16.5,20.5,32.6,27.7,26.9,22.6,21.7,26.3,29.4,20.2,28.6,23.4,16,30.2,29.7,31.1,36.9,33.9,40,39.2,34.4,40.9,38.2,39.9,30.2,42.1,37.5,33.1,35.8,30.2,26.7
"26","19","        Capital consumption adjustment","B044RC",-0.1,-0.1,-0.1,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.5,-0.6,-0.6,-0.6,-0.8,-0.8,-0.8,-0.7,-0.7,-0.8,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.8,-0.9,-1,-1.1,-1.2,-1.4,-1.6,-1.7,-1.9,-2.5,-3.4,-3.9,-4.2,-4.7,-5.7,-7.1,-8.3,-9,-8.8,-8.6,-8.2,-8.1,-7.9,-7.9,-7.9,-8,-8,-8.2,-8.1,-8,-8,-7.9,-7.8,-7.5,-8,-7.6,-7.7
"27","20","      Nonfarm","A1646C",8.7,7.3,5.6,3.5,3.2,4.6,5.4,6.6,7.1,6.8,7.3,8.4,10.9,14,17,18.3,19.3,21.7,20.5,22.9,23.1,25.1,27.8,29.3,30.3,31,34,35.7,37.8,38,40.5,40.1,41.9,44,45.4,49.4,51.7,55,57.9,62.2,64.2,65,70.7,78.3,83.8,89.4,97.1,114.6,129.7,147.3,158.5,162.9,164.3,163.7,186.6,223.7,243.5,253.8,272.9,310.6,327.5,347.6,355.4,399.1,428.9,441.6,472.7,507.4,548.1,595.2,647.9,689.5,706.1
"28","21","        Proprietors' income","A1647C",8.9,7,5.3,3.4,4,4.9,5.7,6.9,7.3,6.8,7.7,8.7,11.7,14.5,17.2,18.3,19.4,23.4,21.9,23.2,22.2,25.7,27.8,28.6,30,30.5,33.7,35.6,37.4,37.5,40,39.6,41.6,43.6,45,49,51.7,55.2,58.2,62.9,65,66.1,72,79.3,85.8,93.1,98.7,115.8,130.5,148.4,159.6,163.7,159.2,156.6,170.5,197.5,208.7,213.9,237.3,274.7,290.8,320.3,329.9,370.2,397.9,418.1,444.3,472.3,503.2,543.9,586.2,617.9,618.3
"29","22","        Inventory valuation adjustment","B179RC",0.1,0.8,0.6,0.3,-0.5,-0.1,-0.1,-0.1,0,0.2,-0.2,0,-0.6,-0.4,-0.2,-0.1,-0.1,-1.7,-1.5,-0.4,0.5,-1.1,-0.3,0.2,-0.2,0,-0.2,-0.5,-0.3,-0.1,0,0,0,0,0,-0.1,-0.2,-0.2,-0.2,-0.4,-0.5,-0.5,-0.6,-0.7,-1.9,-3.4,-1.1,-1.1,-1.1,-1.9,-2.6,-2.9,-1.3,-0.5,-0.5,-0.4,-0.2,0,-0.8,-1.2,-1.3,-1.1,-0.1,-0.5,-0.4,-0.7,-1.5,-0.4,0.7,1.2,-0.9,-1.6,0.9
"30","23","        Capital consumption adjustment","A2205C",-0.4,-0.4,-0.3,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,0,0,0,0,0.1,0.1,0.4,0.4,0.3,0.5,0.5,0.6,0.5,0.7,0.6,0.6,0.6,0.4,0.3,0.3,0.4,0.5,0.2,0,-0.1,-0.3,-0.3,-0.5,-0.8,-0.2,-0.1,-0.2,-0.5,-0.2,0.3,0.8,1.6,2.1,6.3,7.6,16.6,26.6,35,39.9,36.4,37.1,38,28.5,25.6,29.4,31.4,24.3,29.9,35.5,44.2,50,62.6,73.2,86.8
"31","24","    Net interest","B1649C",0.6,0.8,0.8,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.2,1.2,1.2,1.4,1.6,1.9,2.4,2.8,3.3,3.6,4,4.9,6,7.3,8.5,11.3,14.2,16.2,18.2,20.7,23.7,29.3,35.4,43.7,51.1,54.7,67.7,73.2,78.5,70.1,81,95.1,90.5,84.5,74.8,70.4,75.9,76.4,74.9,79.6,104.2,96.9,104.5,131.8
"32","25","  Other private business","A1650C",8,7.2,6.3,5.4,4.5,4.2,4.3,4.4,4.7,5.2,5.4,5.5,6.2,7.3,7.8,8,8.2,9.3,9.5,10.5,11,12.3,13.6,15,16.6,18.1,19.2,20.3,21.9,23.9,25.9,27.8,29.7,31.9,33.8,35.4,37.5,39.8,41.5,43.3,45.6,47.9,51.9,56.3,62.7,68.4,72.5,78.1,86.1,100.4,117.3,140.2,165,181.8,192.5,214.5,234.6,247.1,266.6,291.3,308.3,333.5,349.5,356.2,376.1,395.7,423.8,445,460.2,486.5,518.9,552.6,567.4
"33","26","    Compensation of employees","A1651C",0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.7,1.8,1.9,2,2.1,2.3,2.6,2.8,3,3.2,3.4,3.8,4.1,4.4,4.7,5.1,5.7,6.2,6.9,7.5,8.2,8.6,9.2,10,10.7,11.1,11.6,11.8,12.6,13.1,13.3,13.8,14.2,14.6,14.8,15.5,16.4,18.5,20.2,21.9,22.4
"34","27","      Wage and salary accruals","B1652C",0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.7,1.8,1.9,2,2.1,2.4,2.5,2.8,2.9,3.1,3.4,3.7,3.9,4.2,4.5,5,5.6,6.2,6.8,7.3,7.7,8.2,8.9,9.5,9.8,10.3,10.4,11.1,11.5,11.6,12,12.4,12.7,13,13.6,14.5,16.4,17.9,19.4,19.8
"35","28","      Supplements to wages and salaries","B1653C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.6,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.3,1.3,1.5,1.6,1.7,1.8,1.9,1.9,1.9,1.9,1.9,2.1,2.2,2.4,2.5
"36","29","    Proprietors' income with inventory valuation and capital consumption adjustments","A1654C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.9,1,1.1,1.1,1.2,1.4,1.5,1.6,1.7,1.7,2.2,2,1.8,1.9,2.1,2.1,2.2,2.4,2.6,2.9,3,2.8,3.1,3.3,3.1,2.8,2.8,2.7
"37","30","      Proprietors' income with inventory valuation adjustment","B1207C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,1,1.2,1.3,1.4,1.5,1.8,2,2.2,2.3,2.4,2.8,2.5,2.4,2.5,2.7,2.8,2.9,3,3.3,3.5,3.6,3.5,3.7,3.9,3.7,3.3,3.3,3.3
"38","31","      Capital consumption adjustment","B1411C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.3,-0.3,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,-0.7,-0.7,-0.6,-0.6,-0.7,-0.7,-0.6,-0.6,-0.6,-0.6,-0.6
"39","32","    Rental income of persons with capital consumption adjustment","A048RC",5.6,4.9,4,3.2,2.5,2.1,2.2,2.3,2.6,3.1,3.3,3.4,4,5,5.6,5.9,6.1,7,7,7.6,7.8,8.7,9.5,10.5,11.5,12.5,12.8,13.1,13.8,14.5,15.2,16.2,16.9,17.8,18.5,18.6,19.2,19.9,20.4,20.2,20.3,20.3,21.2,21.6,23.1,23,22,21.5,20.4,22.4,24.5,31.3,39.6,39.6,36.9,39.5,39.1,32.2,35.8,44.1,40.5,49.1,56.4,63.3,90.9,110.3,117.9,129.7,128.3,138.6,149.1,146.6,137.9
"40","33","      Rental income of persons","B049RC",6,5.3,4.3,3.2,2.5,2.3,2.3,2.5,2.8,3.4,3.6,3.8,4.5,5.6,6.2,6.6,7,8,8.4,9.3,9.5,10.4,11.4,12.5,13.5,14.4,14.8,15.3,15.9,16.5,17.3,18.3,19,19.9,20.5,20.6,21.4,22.4,23.2,23.4,24.3,24.6,26.1,27.7,30.1,31.7,32.3,33,34,38.9,44.5,54.9,66.1,68,65.9,68.8,70.3,63.7,68.9,79.1,80.2,87.2,96,111.4,133.6,157.8,165.4,177.4,178.3,190.3,206.8,206.6,204.4
"41","34","      Capital consumption adjustment","B050RC",-0.4,-0.4,-0.3,-0.1,-0.1,-0.2,-0.1,-0.2,-0.3,-0.3,-0.3,-0.4,-0.5,-0.5,-0.6,-0.8,-0.9,-1,-1.4,-1.6,-1.6,-1.7,-1.9,-2,-2,-2,-2,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2,-2,-2.2,-2.5,-2.8,-3.3,-3.9,-4.3,-5,-6.1,-7,-8.7,-10.3,-11.5,-13.6,-16.5,-20,-23.6,-26.5,-28.5,-28.9,-29.4,-31.2,-31.5,-33.1,-35,-39.7,-38.1,-39.6,-48.1,-42.8,-47.5,-47.5,-47.6,-50,-51.7,-57.6,-60,-66.5
"42","35","    Net interest","B1657C",2.1,2,2.1,2,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.9,1.8,1.7,1.6,1.6,1.6,1.8,2.1,2.3,2.7,3.1,3.5,3.9,4.5,5.2,5.9,6.9,7.8,8.9,9.8,10.7,11.9,12.9,14.3,15.7,17,18.1,19.9,21.8,23.9,26.7,30.3,34.7,40.2,44.8,50.4,58.9,70.6,84.5,99.8,115.6,131.9,144.6,162.8,182.9,202,217.3,233.3,253.1,269.1,277.4,276.5,268.2,267.8,288.2,296.8,312.2,326.3,346.8,381.3,404.4
"43","36","  Government enterprises","A1658C",0.8,0.8,0.8,0.7,0.6,0.7,0.8,0.8,0.9,0.9,0.9,1,1.1,1.2,1.5,1.5,1.6,1.9,2,2.3,2.6,2.7,3,3.5,3.5,3.6,3.8,4,4.2,4.7,5,5.5,5.7,6.1,6.6,7.1,7.7,8.3,8.9,9.9,11,12.8,14,15.2,16.8,19.3,22.2,24,25.9,28.4,31.4,35.8,40.6,42.8,46,49.3,53.6,55.6,58.9,64,67.2,73.2,76.7,81.2,81.7,86,88.4,90.2,92.6,95.4,98.4,104.6,110
"44","37","    Compensation of employees","A1658C",0.8,0.8,0.8,0.7,0.6,0.7,0.8,0.8,0.9,0.9,0.9,1,1.1,1.2,1.5,1.5,1.6,1.9,2,2.3,2.6,2.7,3,3.5,3.5,3.6,3.8,4,4.2,4.7,5,5.5,5.7,6.1,6.6,7.1,7.7,8.3,8.9,9.9,11,12.8,14,15.2,16.8,19.3,22.2,24,25.9,28.4,31.4,35.8,40.6,42.8,46,49.3,53.6,55.6,58.9,64,67.2,73.2,76.7,81.2,81.7,86,88.4,90.2,92.6,95.4,98.4,104.6,110
"45","38","      Wage and salary accruals","B1659C",0.7,0.8,0.8,0.7,0.6,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1,1.2,1.4,1.5,1.6,1.8,1.9,2.2,2.5,2.6,2.9,3.4,3.4,3.5,3.7,3.8,4,4.4,4.7,5.1,5.3,5.7,6.1,6.5,7.1,7.7,8.2,9.3,10.2,11.7,12.5,13.5,14.9,16.8,18.5,19.8,20.9,22.9,25,28.2,31.7,33.1,35.3,38.1,40.8,42.4,44.9,48.2,50.5,54.4,56.7,59.8,59.8,62.9,64.7,66.1,67.6,69.7,72.1,77,80.6
