"","Table 5#8#5A# Gross Government Fixed Investment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"39","21","          Hospital","B836RC1","52.0","72.0","100.0","90.0","75.0","90.0","169.0","206.0","259.0","296.0","287.0","340.0","442.0","409.0","391.0","461.0","496.0","541.0","642.0","619.0","568.0","645.0","564.0","576.0","717.0","661.0","766.0","896.0","1,043.0"
"40","22","          Other \5\","B837RC1","246.0","175.0","223.0","274.0","410.0","362.0","421.0","595.0","556.0","642.0","693.0","703.0","759.0","580.0","762.0","998.0","1,197.0","1,331.0","1,918.0","1,557.0","1,499.0","2,192.0","3,137.0","3,158.0","2,861.0","2,376.0","2,938.0","3,130.0","3,171.0"
"41","23","        Highways and streets \6\","B838RC1","213.0","253.0","288.0","299.0","268.0","257.0","307.0","339.0","396.0","421.0","528.0","456.0","752.0","518.0","468.0","516.0","469.0","402.0","405.0","431.0","234.0","233.0","238.0","219.0","326.0","428.0","308.0","368.0","255.0"
"42","24","        Conservation and development","B839RC1","1,185.0","1,366.0","1,644.0","1,761.0","1,953.0","2,244.0","2,636.0","2,840.0","3,086.0","3,859.0","3,914.0","4,271.0","4,404.0","4,119.0","3,999.0","3,822.0","3,845.0","3,674.0","3,962.0","3,605.0","3,698.0","3,653.0","3,599.0","4,527.0","4,217.0","4,354.0","4,167.0","3,845.0","3,369.0"
"43","25","        Other \7\","B840RC1","63.0","69.0","87.0","139.0","162.0","123.0","129.0","140.0","137.0","167.0","149.0","249.0","178.0","202.0","200.0","209.0","290.0","405.0","655.0","623.0","765.0","903.0","1,313.0","1,186.0","1,828.0","2,296.0","2,316.0","2,396.0","1,901.0"
"44","26","      Net purchases of used structures","B841RC1","4.0","8.0","5.0","0.0","0.0","0.0","0.0","0.0","-53.0","63.0","-122.0","19.0","85.0","33.0","-59.0","77.0","261.0","1,088.0","948.0","-531.0","-377.0","-192.0","-377.0","-284.0","336.0","-706.0","-577.0","-74.0","-291.0"
"45","27","  State and local","A842RC1","25,579.0","25,789.0","26,953.0","27,106.0","29,137.0","34,740.0","38,136.0","38,148.0","36,911.0","42,846.0","49,040.0","55,058.0","55,421.0","54,245.0","54,222.0","60,536.0","67,553.0","74,207.0","78,821.0","84,793.0","88,727.0","98,539.0","103,180.0","104,232.0","104,487.0","108,710.0","117,256.0","126,838.0","139,530.0"
"46","28","    New","A843RC1","24,651.0","24,806.0","25,888.0","26,092.0","28,129.0","33,745.0","37,204.0","37,197.0","35,994.0","42,001.0","48,081.0","54,004.0","54,278.0","53,055.0","52,893.0","58,998.0","65,811.0","72,171.0","76,596.0","82,472.0","86,019.0","95,379.0","99,904.0","101,060.0","101,536.0","105,755.0","114,185.0","123,938.0","136,608.0"
"47","29","      Buildings","A844RC1","10,227.0","9,755.0","10,320.0","10,368.0","11,666.0","13,486.0","15,094.0","14,612.0","13,340.0","14,706.0","16,288.0","18,444.0","18,490.0","18,737.0","19,010.0","20,638.0","23,782.0","27,083.0","28,172.0","31,290.0","34,775.0","38,779.0","42,600.0","43,591.0","43,099.0","44,728.0","52,412.0","57,881.0","64,498.0"
"48","30","        Residential","B845RC1","907.0","1,014.0","1,012.0","732.0","811.0","816.0","1,074.0","994.0","1,222.0","1,205.0","1,553.0","1,835.0","2,247.0","2,091.0","2,419.0","2,394.0","2,595.0","2,675.0","2,808.0","2,873.0","2,941.0","3,370.0","3,615.0","4,033.0","3,775.0","3,389.0","4,123.0","4,367.0","4,622.0"
"49","31","        Industrial","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"50","32","        Educational \8\","B847RC1","5,857.0","5,604.0","5,545.0","5,692.0","6,590.0","7,263.0","7,448.0","6,952.0","5,991.0","6,515.0","7,141.0","7,860.0","7,335.0","7,027.0","6,864.0","7,823.0","9,074.0","10,441.0","10,623.0","12,820.0","14,688.0","16,044.0","19,087.0","20,251.0","19,108.0","20,335.0","25,757.0","28,578.0","33,533.0"
"51","33","        Hospital","B848RC1","709.0","708.0","831.0","850.0","846.0","1,069.0","1,483.0","1,699.0","1,556.0","1,514.0","1,695.0","1,956.0","1,867.0","1,914.0","1,728.0","1,710.0","1,757.0","1,859.0","2,035.0","2,049.0","2,132.0","2,443.0","2,688.0","3,048.0","3,179.0","2,967.0","3,077.0","3,043.0","3,263.0"
"52","34","        Other \5\","B849RC1","2,754.0","2,429.0","2,932.0","3,094.0","3,419.0","4,338.0","5,089.0","4,967.0","4,571.0","5,472.0","5,899.0","6,793.0","7,041.0","7,705.0","7,999.0","8,711.0","10,356.0","12,108.0","12,706.0","13,548.0","15,014.0","16,922.0","17,210.0","16,259.0","17,037.0","18,037.0","19,455.0","21,893.0","23,080.0"
"53","35","      Highways and streets \9\","B851RC1","9,039.0","9,728.0","10,370.0","10,131.0","10,236.0","11,808.0","12,840.0","12,032.0","12,064.0","13,748.0","16,560.0","17,753.0","17,654.0","16,756.0","17,436.0","21,040.0","23,272.0","24,916.0","26,668.0","28,695.0","28,513.0","31,877.0","32,150.0","32,237.0","33,961.0","36,991.0","37,308.0","39,096.0","42,347.0"
"54","36","      Conservation and development","B857RC1","593.0","541.0","450.0","410.0","358.0","495.0","692.0","677.0","580.0","547.0","835.0","1,150.0","1,029.0","1,079.0","1,264.0","1,411.0","1,608.0","1,736.0","1,716.0","1,666.0","1,953.0","2,003.0","1,831.0","1,689.0","1,707.0","1,887.0","2,209.0","2,350.0","2,245.0"
"55","37","      Sewer systems","B858RC1","1,344.0","1,544.0","1,829.0","2,002.0","2,429.0","3,384.0","3,748.0","4,243.0","4,033.0","5,136.0","5,561.0","6,644.0","5,886.0","5,574.0","5,007.0","5,903.0","6,049.0","6,815.0","8,107.0","8,519.0","8,497.0","9,059.0","9,172.0","9,588.0","8,958.0","8,141.0","8,160.0","9,177.0","9,453.0"
"56","38","      Water systems","B859RC1","1,336.0","1,094.0","996.0","1,076.0","1,068.0","1,382.0","1,962.0","1,904.0","1,677.0","2,213.0","2,522.0","3,213.0","3,074.0","3,221.0","2,813.0","3,421.0","3,946.0","4,650.0","5,295.0","5,321.0","5,496.0","6,126.0","6,333.0","5,592.0","4,990.0","5,206.0","4,969.0","6,238.0","7,556.0"
"57","39","      Other \7\","B860RC1","2,112.0","2,144.0","1,923.0","2,105.0","2,372.0","3,190.0","2,868.0","3,729.0","4,300.0","5,651.0","6,315.0","6,800.0","8,145.0","7,688.0","7,363.0","6,585.0","7,154.0","6,971.0","6,638.0","6,981.0","6,785.0","7,535.0","7,818.0","8,363.0","8,821.0","8,802.0","9,127.0","9,196.0","10,509.0"
"58","40","    Net purchases of used structures","B870RC1","928.0","983.0","1,065.0","1,014.0","1,008.0","995.0","932.0","951.0","917.0","845.0","959.0","1,054.0","1,143.0","1,190.0","1,329.0","1,538.0","1,742.0","2,036.0","2,225.0","2,321.0","2,708.0","3,160.0","3,276.0","3,172.0","2,951.0","2,955.0","3,071.0","2,900.0","2,922.0"
"59","41","Equipment and software \2\","A871RC1","14,309.0","14,410.0","10,520.0","11,036.0","12,490.0","15,940.0","18,572.0","21,518.0","23,216.0","25,576.0","30,661.0","34,944.0","40,528.0","47,331.0","57,132.0","66,848.0","77,686.0","84,240.0","88,771.0","87,151.0","95,701.0","103,128.0","103,319.0","103,361.0","98,355.0","96,231.0","97,850.0","99,845.0","96,807.0"
"60","42","  Federal","A872RC1","11,586.0","11,450.0","7,409.0","7,501.0","8,410.0","11,043.0","13,119.0","15,827.0","17,340.0","18,942.0","22,867.0","26,031.0","30,992.0","36,749.0","44,905.0","52,409.0","60,855.0","65,636.0","69,143.0","65,640.0","69,721.0","74,431.0","74,446.0","73,253.0","67,171.0","61,896.0","61,138.0","62,905.0","57,402.0"
"61","43","    National defense","A873RC1","9,856.0","9,752.0","5,677.0","5,679.0","6,623.0","8,889.0","10,711.0","13,152.0","14,359.0","15,292.0","18,876.0","21,113.0","25,725.0","30,792.0","37,110.0","43,758.0","51,287.0","56,146.0","58,757.0","53,920.0","56,339.0","59,825.0","58,778.0","56,336.0","50,145.0","47,199.0","45,126.0","45,362.0","39,212.0"
"62","44","      Aircraft","B874RC1",".....",".....",".....","2,641.0","2,321.0","2,310.0","3,602.0","3,419.0","3,740.0","3,693.0","4,847.0","6,131.0","7,463.0","8,411.0","10,066.0","10,883.0","13,384.0","17,902.0","17,579.0","13,526.0","12,179.0","11,983.0","9,214.0","8,327.0","9,341.0","10,457.0","9,007.0","9,163.0","5,798.0"
"63","45","      Missiles","B875RC1",".....",".....",".....","1,532.0","1,517.0","1,678.0","1,260.0","1,393.0","1,209.0","1,070.0","1,765.0","2,261.0","2,752.0","3,440.0","4,577.0","5,733.0","6,609.0","7,894.0","8,738.0","7,846.0","8,836.0","11,151.0","10,832.0","10,554.0","7,907.0","5,733.0","4,699.0","4,066.0","2,856.0"
"64","46","      Ships","B876RC1",".....",".....",".....","1,799.0","1,615.0","2,191.0","2,169.0","2,362.0","3,070.0","3,867.0","4,274.0","4,140.0","5,121.0","6,217.0","7,135.0","8,044.0","8,986.0","8,880.0","8,805.0","8,617.0","9,980.0","10,803.0","10,202.0","10,083.0","8,665.0","8,054.0","8,001.0","6,776.0","6,109.0"
"65","47","      Vehicles","B877RC1",".....",".....",".....","413.0","315.0","313.0","275.0","480.0","642.0","842.0","915.0","1,168.0","1,076.0","2,069.0","3,449.0","4,161.0","3,747.0","3,818.0","4,308.0","3,704.0","3,144.0","3,185.0","3,440.0","2,789.0","1,850.0","1,032.0","1,089.0","1,195.0","1,383.0"
"66","48","      Electronics and software","B878RC1",".....",".....",".....","816.0","922.0","983.0","1,200.0","1,282.0","1,472.0","1,795.0","2,070.0","2,607.0","3,247.0","3,808.0","4,586.0","5,629.0","7,040.0","7,776.0","8,706.0","9,170.0","9,553.0","9,855.0","9,671.0","9,821.0","9,867.0","9,256.0","8,766.0","8,994.0","9,029.0"
"67","49","      Other equipment","B879RC1",".....",".....",".....","-1,522.0","-67.0","1,414.0","2,205.0","4,216.0","4,226.0","4,025.0","5,005.0","4,806.0","6,066.0","6,847.0","7,297.0","9,308.0","11,521.0","9,876.0","10,621.0","11,057.0","12,647.0","12,848.0","15,419.0","14,762.0","12,515.0","12,667.0","13,564.0","15,168.0","14,037.0"
"68","50","    Nondefense","B880RC1","1,730.0","1,698.0","1,732.0","1,822.0","1,787.0","2,154.0","2,408.0","2,675.0","2,981.0","3,650.0","3,991.0","4,918.0","5,267.0","5,957.0","7,795.0","8,651.0","9,568.0","9,490.0","10,386.0","11,720.0","13,382.0","14,606.0","15,668.0","16,917.0","17,026.0","14,697.0","16,012.0","17,543.0","18,190.0"
"69","51","  State and local","B881RC1","2,723.0","2,960.0","3,111.0","3,535.0","4,080.0","4,897.0","5,453.0","5,691.0","5,876.0","6,634.0","7,794.0","8,913.0","9,536.0","10,582.0","12,227.0","14,439.0","16,831.0","18,604.0","19,628.0","21,511.0","25,980.0","28,697.0","28,873.0","30,108.0","31,184.0","34,335.0","36,712.0","36,940.0","39,405.0"
"70",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","52","  Government enterprise gross fixed investment","A882RC1","7,722.0","8,055.0","8,274.0","9,048.0","10,001.0","12,425.0","13,700.0","15,071.0","15,186.0","19,164.0","21,372.0","25,294.0","26,642.0","26,529.0","26,058.0","28,123.0","31,544.0","33,948.0","35,649.0","35,530.0","36,677.0","40,451.0","42,497.0","45,113.0","45,063.0","41,785.0","44,168.0","46,464.0","49,020.0"
"72","53","    Federal","A883RC1","863.0","1,029.0","1,136.0","1,383.0","1,455.0","1,784.0","2,019.0","2,329.0","2,295.0","2,997.0","2,880.0","3,286.0","3,658.0","3,644.0","3,393.0","3,947.0","4,633.0","4,923.0","5,085.0","4,252.0","4,781.0","5,251.0","5,864.0","7,366.0","7,392.0","4,833.0","5,798.0","5,966.0","6,156.0"
"73","54","      Structures","B884RC1","511.0","583.0","649.0","707.0","766.0","856.0","1,072.0","1,341.0","1,294.0","1,838.0","1,757.0","2,087.0","2,384.0","2,076.0","2,114.0","2,432.0","2,857.0","3,322.0","3,615.0","2,031.0","2,130.0","2,529.0","2,646.0","2,988.0","3,067.0","2,232.0","2,613.0","2,211.0","2,548.0"
"74","55","      Equipment and software","B885RC1","352.0","446.0","487.0","676.0","689.0","928.0","947.0","988.0","1,001.0","1,159.0","1,123.0","1,199.0","1,274.0","1,568.0","1,279.0","1,515.0","1,776.0","1,601.0","1,470.0","2,221.0","2,651.0","2,722.0","3,218.0","4,378.0","4,325.0","2,601.0","3,185.0","3,755.0","3,608.0"
"75","56","    State and local","A886RC1","6,859.0","7,026.0","7,138.0","7,665.0","8,546.0","10,641.0","11,681.0","12,742.0","12,891.0","16,167.0","18,492.0","22,008.0","22,984.0","22,885.0","22,665.0","24,176.0","26,911.0","29,025.0","30,564.0","31,278.0","31,896.0","35,200.0","36,633.0","37,747.0","37,671.0","36,952.0","38,370.0","40,498.0","42,864.0"
"76","57","      Structures","B887RC1","6,498.0","6,637.0","6,677.0","6,968.0","7,806.0","9,852.0","10,727.0","11,792.0","11,994.0","15,079.0","17,134.0","20,284.0","21,136.0","20,732.0","19,969.0","20,970.0","23,505.0","25,255.0","26,741.0","27,792.0","27,771.0","30,547.0","32,078.0","32,715.0","32,211.0","31,036.0","32,070.0","34,918.0","37,453.0"
"77","58","      Equipment and software","B888RC1","361.0","389.0","461.0","697.0","740.0","789.0","954.0","950.0","897.0","1,088.0","1,358.0","1,724.0","1,848.0","2,153.0","2,696.0","3,206.0","3,406.0","3,770.0","3,823.0","3,486.0","4,125.0","4,653.0","4,555.0","5,032.0","5,460.0","5,916.0","6,300.0","5,580.0","5,411.0"
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","4. Excludes educational structures associated with hospitals, nondefense industrial, other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","buildings, conservation and development, and other nondefense structures, which are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","5. Consists primarily of general office buildings, police and fire stations, courthouses,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","auditoriums, garages, and passenger terminals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","6. Excludes highways and streets associated with hospitals, other buildings, and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
