"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"61","43","  Executive and legislative","W612RC1","1,783.0","1,994.0","2,046.0","2,288.0","2,400.0","2,466.0","2,821.0","2,758.0","2,439.0","1,193.0","1,720.0"
"62","44","  Tax collection and financial management","W613RC1","59.0","49.0","50.0","55.0","97.0","152.0","140.0","104.0","181.0","1,491.0","1,664.0"
"63","45","  Other \2\","W614RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"64","46","National defense","A824RC1","53,816.0","53,348.0","56,509.0","61,085.0","60,964.0","60,241.0","60,603.0","71,656.0","83,440.0","89,244.0","89,491.0"
"65","47","Public order and safety","W615RC1","309.0","327.0","349.0","369.0","399.0","420.0","448.0","475.0","517.0","569.0","685.0"
"66","48","  Police","W616RC1","178.0","188.0","200.0","208.0","220.0","235.0","248.0","269.0","289.0","330.0","402.0"
"67","49","  Fire","W617RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"68","50","  Law courts","W618RC1","79.0","84.0","91.0","100.0","108.0","118.0","127.0","135.0","146.0","161.0","189.0"
"69","51","  Prisons","W619RC1","52.0","55.0","58.0","61.0","71.0","67.0","73.0","71.0","82.0","78.0","94.0"
"70","52","Economic affairs","W620RC1","7,273.0","6,142.0","6,187.0","8,235.0","9,545.0","11,607.0","12,526.0","12,627.0","12,719.0","13,605.0","14,188.0"
"71","53","  Transportation","W625RC1","1,093.0","1,224.0","1,344.0","1,419.0","1,501.0","1,588.0","1,633.0","1,822.0","1,944.0","2,005.0","2,173.0"
"72","54","    Highways","W626RC1","54.0","64.0","69.0","70.0","67.0","72.0","72.0","96.0","111.0","96.0","93.0"
"73","55","    Air","W627RC1","451.0","518.0","626.0","679.0","696.0","749.0","737.0","819.0","850.0","863.0","1,013.0"
"74","56","    Water","W628RC1","588.0","642.0","649.0","670.0","738.0","767.0","824.0","907.0","983.0","1,025.0","1,032.0"
"75","57","    Transit and railroad","W629RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","21.0","35.0"
"76","58","  Space","W631RC1","285.0","604.0","940.0","1,884.0","3,527.0","4,866.0","5,929.0","6,414.0","5,458.0","5,254.0","4,651.0"
"77","59","  Other economic affairs","W632RC1","5,895.0","4,314.0","3,903.0","4,932.0","4,517.0","5,153.0","4,964.0","4,391.0","5,317.0","6,346.0","7,364.0"
"78","60","    General economic and labor affairs","W621RC1","230.0","424.0","393.0","460.0","569.0","674.0","702.0","901.0","1,263.0","1,432.0","1,352.0"
"79","61","    Agriculture","W622RC1","3,665.0","1,784.0","1,039.0","1,840.0","1,220.0","1,342.0","1,047.0","-56.0","298.0","1,712.0","2,591.0"
"80","62","    Energy","W623RC1","697.0","839.0","1,001.0","1,072.0","1,080.0","1,346.0","1,287.0","1,396.0","1,579.0","1,534.0","1,679.0"
"81","63","    Natural resources","W624RC1","1,136.0","1,046.0","1,234.0","1,330.0","1,377.0","1,414.0","1,524.0","1,768.0","1,857.0","1,387.0","1,460.0"
"82","64","    Postal service","W630RC1","167.0","221.0","236.0","230.0","271.0","377.0","404.0","382.0","320.0","281.0","282.0"
"83","65","Housing and community services","W633RC1","45.0","80.0","158.0","217.0","279.0","235.0","197.0","267.0","376.0","186.0","193.0"
"84","66","Health","W634RC1","1,289.0","1,419.0","1,556.0","1,697.0","1,878.0","2,071.0","2,099.0","2,462.0","2,675.0","3,044.0","3,307.0"
"85","67","Recreation and culture","W635RC1","114.0","152.0","168.0","200.0","235.0","205.0","239.0","257.0","270.0","326.0","400.0"
"86","68","Education","W636RC1","232.0","219.0","248.0","305.0","362.0","413.0","442.0","764.0","863.0","799.0","720.0"
"87","69","  Elementary and secondary","W637RC1","22.0","22.0","24.0","26.0","25.0","27.0","-31.0","47.0","89.0","75.0","34.0"
"88","70","  Higher","W638RC1","1.0","22.0","27.0","30.0","35.0","38.0","64.0","82.0","228.0","216.0","188.0"
"89","71","  Other","W639RC1","209.0","175.0","197.0","249.0","302.0","348.0","409.0","635.0","546.0","508.0","498.0"
"90","72","Income security","W640RC1","406.0","348.0","620.0","783.0","736.0","624.0","889.0","1,042.0","1,144.0","806.0","913.0"
"91","73","  Disability","W641RC1","47.0","37.0","66.0","69.0","70.0","82.0","94.0","138.0","96.0","97.0","98.0"
"92","74","  Retirement \1\","W642RC1","159.0","184.0","230.0","243.0","270.0","283.0","307.0","289.0","388.0","399.0","440.0"
"93","75","  Welfare and social services","W643RC1","190.0","83.0","221.0","391.0","351.0","218.0","450.0","579.0","618.0","238.0","265.0"
"94","76","  Unemployment","W644RC1","10.0","44.0","103.0","80.0","45.0","41.0","38.0","36.0","42.0","35.0","36.0"
"95","77","  Other","W645RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","37.0","74.0"
"96","78","      State and local","A829RC1","44,668.0","47,470.0","51,608.0","54,854.0","59,456.0","64,780.0","71,042.0","79,219.0","87,884.0","98,049.0","108,150.0"
"97","79","General public service","W646RC1","3,257.0","3,526.0","3,910.0","4,104.0","4,373.0","4,824.0","5,398.0","5,955.0","6,825.0","8,042.0","9,787.0"
"98","80","  Executive and legislative","W647RC1","625.0","664.0","681.0","704.0","740.0","796.0","855.0","950.0","1,067.0","1,268.0","1,423.0"
"99","81","  Tax collection and financial management","W648RC1","1,174.0","1,294.0","1,363.0","1,439.0","1,444.0","1,541.0","1,628.0","1,799.0","2,044.0","2,261.0","3,086.0"
"100","82","  Other \3\","W649RC1","1,457.0","1,568.0","1,866.0","1,962.0","2,189.0","2,487.0","2,915.0","3,207.0","3,714.0","4,513.0","5,278.0"
"101","83","Public order and safety","W650RC1","4,068.0","4,395.0","4,706.0","4,947.0","5,233.0","5,662.0","6,096.0","6,679.0","7,403.0","8,600.0","9,533.0"
"102","84","  Police","W651RC1","1,839.0","1,998.0","2,120.0","2,284.0","2,428.0","2,608.0","2,829.0","3,123.0","3,492.0","4,218.0","4,629.0"
"103","85","  Fire","W652RC1","1,010.0","1,102.0","1,186.0","1,232.0","1,284.0","1,382.0","1,460.0","1,577.0","1,681.0","1,889.0","2,092.0"
"104","86","  Law courts","W653RC1","544.0","578.0","607.0","626.0","665.0","718.0","781.0","870.0","983.0","1,124.0","1,266.0"
"105","87","  Prisons","W654RC1","675.0","716.0","793.0","804.0","856.0","954.0","1,026.0","1,109.0","1,246.0","1,368.0","1,547.0"
"106","88","Economic affairs","W655RC1","13,246.0","13,349.0","14,368.0","15,083.0","16,676.0","17,451.0","18,914.0","20,606.0","22,240.0","24,005.0","25,310.0"
"107","89","  Transportation","W660RC1","11,058.0","10,971.0","11,737.0","12,506.0","13,709.0","14,111.0","15,138.0","16,725.0","17,809.0","19,402.0","20,326.0"
"108","90","    Highways","W661RC1","10,678.0","10,523.0","11,216.0","12,042.0","13,094.0","13,497.0","14,451.0","15,866.0","16,682.0","18,039.0","18,837.0"
"109","91","    Air","W662RC1","173.0","222.0","266.0","221.0","231.0","264.0","266.0","260.0","365.0","474.0","550.0"
"110","92","    Water","W663RC1","118.0","116.0","166.0","155.0","202.0","156.0","186.0","227.0","250.0","279.0","275.0"
"111","93","    Transit and railroad","W664RC1","89.0","110.0","89.0","88.0","182.0","194.0","235.0","372.0","512.0","610.0","664.0"
"112","94","  Other economic affairs","W665RC1","2,188.0","2,379.0","2,631.0","2,577.0","2,966.0","3,340.0","3,776.0","3,881.0","4,432.0","4,603.0","4,984.0"
"113","95","    General economic and labor affairs","W656RC1","659.0","705.0","773.0","842.0","893.0","964.0","1,067.0","1,167.0","1,304.0","1,423.0","1,603.0"
"114","96","    Agriculture","W657RC1","345.0","368.0","391.0","408.0","429.0","450.0","482.0","535.0","623.0","703.0","765.0"
"115","97","    Energy","W658RC1","532.0","585.0","716.0","541.0","647.0","831.0","911.0","743.0","924.0","961.0","1,039.0"
"116","98","    Natural resources","W659RC1","608.0","683.0","733.0","764.0","934.0","999.0","1,236.0","1,346.0","1,496.0","1,452.0","1,489.0"
"117","99","    Other","W686RC1","44.0","38.0","19.0","22.0","64.0","96.0","80.0","91.0","85.0","63.0","88.0"
"118","100","Housing and community services","W666RC1","2,664.0","2,698.0","2,920.0","3,311.0","3,042.0","3,604.0","3,825.0","3,931.0","4,120.0","5,022.0","4,911.0"
"119","101","  Water","W667RC1","655.0","707.0","754.0","748.0","951.0","1,009.0","1,327.0","1,138.0","1,353.0","1,607.0","1,431.0"
"120","102","  Sewerage","W668RC1","918.0","894.0","926.0","1,084.0","962.0","1,340.0","1,212.0","1,319.0","1,076.0","1,577.0","1,374.0"
"121","103","  Sanitation","W669RC1","573.0","586.0","583.0","620.0","617.0","666.0","688.0","748.0","823.0","959.0","1,009.0"
"122","104","  Housing and other","W670RC1","518.0","511.0","657.0","859.0","512.0","589.0","598.0","726.0","867.0","879.0","1,097.0"
"123","105","Health","W671RC1","3,039.0","3,178.0","3,416.0","3,477.0","3,723.0","3,978.0","4,262.0","4,534.0","5,055.0","5,662.0","6,463.0"
"124","106","Recreation and culture","W672RC1","718.0","726.0","801.0","834.0","896.0","958.0","1,005.0","1,089.0","1,254.0","1,522.0","1,774.0"
"125","107","Education","W673RC1","17,005.0","18,889.0","20,734.0","22,282.0","24,616.0","27,258.0","30,309.0","34,970.0","39,260.0","43,134.0","47,879.0"
"126","108","  Elementary and secondary","W674RC1","14,133.0","15,713.0","17,172.0","18,262.0","19,878.0","21,966.0","24,188.0","27,524.0","30,422.0","33,380.0","36,865.0"
"127","109","  Higher","W675RC1","2,348.0","2,606.0","2,928.0","3,321.0","3,936.0","4,379.0","5,019.0","6,072.0","7,185.0","7,920.0","8,902.0"
"128","110","  Libraries and other","W677RC1","525.0","571.0","633.0","699.0","802.0","913.0","1,102.0","1,375.0","1,653.0","1,834.0","2,112.0"
"129","111","    Libraries","W676RC1","269.0","290.0","320.0","347.0","407.0","430.0","468.0","533.0","576.0","612.0","671.0"
"130","112","    Other","W683RC1","255.0","280.0","313.0","352.0","394.0","483.0","633.0","841.0","1,077.0","1,222.0","1,441.0"
"131","113","Income security","W678RC1","672.0","708.0","753.0","816.0","898.0","1,046.0","1,234.0","1,453.0","1,726.0","2,062.0","2,494.0"
"132","114","  Disability","W679RC1","46.0","47.0","50.0","55.0","61.0","69.0","74.0","79.0","81.0","88.0","97.0"
"133","115","  Welfare and social services","W680RC1","626.0","661.0","703.0","761.0","837.0","977.0","1,160.0","1,375.0","1,646.0","1,974.0","2,397.0"
"134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","1. Consists of consumption expenditures to administer social insurance funds, including",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","old age and survivors insurance (social security) and railroad retirement. Excludes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","government employee retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","2. Consists of consumption expenditures to administer federal revenue sharing grants to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","state and local governments beginning with 1972 and ending with 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","3. Consists primarily of unallocable state and local government consumption expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
