"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"26","8","          General government","A265RX1","85,451.0","86,208.0","85,532.0","84,249.0","83,436.0","83,502.0","84,351.0","85,642.0","86,946.0","88,327.0","90,102.0","92,447.0","94,948.0","97,736.0","101,333.0","106,311.0","112,764.0","120,001.0","127,197.0","133,698.0","140,090.0","146,756.0","152,668.0","157,418.0","160,948.0","163,315.0","165,380.0","167,889.0","170,879.0","174,628.0","179,483.0","184,468.0","188,846.0","193,263.0","197,682.0","203,270.0","208,690.0","214,868.0","221,744.0","229,579.0","237,536.0"
"27","9","          Government enterprises","A266RX1","10,654.0","11,193.0","11,712.0","12,302.0","12,962.0","13,636.0","14,270.0","14,841.0","15,334.0","15,838.0","16,460.0","17,163.0","17,887.0","18,614.0","19,327.0","20,101.0","20,991.0","21,887.0","22,751.0","23,604.0","24,490.0","25,443.0","26,451.0","27,522.0","28,614.0","29,543.0","30,361.0","31,224.0","31,938.0","32,937.0","34,240.0","35,510.0","36,569.0","37,676.0","39,097.0","40,645.0","41,875.0","42,569.0","43,638.0","44,679.0","45,663.0"
"28","10","Equals: Net national product","A027RX1","4,000,038.0","3,990,010.0","4,126,537.0","4,354,093.0","4,619,389.0","4,574,279.0","4,531,376.0","4,793,323.0","5,021,702.0","5,304,614.0","5,475,407.0","5,424,587.0","5,539,666.0","5,388,732.0","5,636,479.0","6,057,101.0","6,275,179.0","6,464,305.0","6,656,320.0","6,935,746.0","7,177,750.0","7,301,862.0","7,244,974.0","7,494,251.0","7,702,344.0","8,005,946.0","8,192,126.0","8,484,769.0","8,837,682.0","9,189,031.0","9,616,892.0","9,989,043.0","10,054,394.0","10,207,139.0","10,472,956.0","10,870,191.0","11,194,147.0","11,447,553.0","11,683,364.0","11,674,135.0","11,271,483.0"
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Gross domestic income \1\","A261RX1","4,249,361.0","4,241,679.0","4,370,043.0","4,614,174.0","4,888,482.0","4,857,938.0","4,830,897.0","5,075,130.0","5,321,493.0","5,613,136.0","5,747,709.0","5,744,070.0","5,917,197.0","5,862,348.0","6,049,878.0","6,524,372.0","6,780,514.0","6,978,920.0","7,262,493.0","7,628,165.0","7,805,232.0","7,917,241.0","7,908,450.0","8,143,303.0","8,349,810.0","8,734,414.0","9,029,304.0","9,402,725.0","9,870,896.0","10,383,244.0","10,861,782.0","11,377,111.0","11,461,137.0","11,576,877.0","11,823,095.0","12,271,987.0","12,718,041.0","13,189,894.0","13,209,024.0","13,103,108.0","12,717,145.0"
"31","12","  Gross national income \2\","A023RX1","4,279,169.0","4,271,130.0","4,402,888.0","4,649,273.0","4,936,004.0","4,911,915.0","4,872,836.0","5,125,056.0","5,377,525.0","5,668,659.0","5,822,805.0","5,818,463.0","5,982,437.0","5,930,483.0","6,116,063.0","6,586,965.0","6,825,176.0","7,008,797.0","7,291,442.0","7,664,642.0","7,843,313.0","7,965,138.0","7,948,989.0","8,182,661.0","8,389,672.0","8,764,338.0","9,065,008.0","9,439,932.0","9,898,278.0","10,403,739.0","10,894,075.0","11,419,948.0","11,518,655.0","11,630,821.0","11,896,597.0","12,366,624.0","12,815,189.0","13,259,641.0","13,324,492.0","13,262,951.0","12,851,278.0"
"32","13","  Net domestic product","A362RX1","3,969,825.0","3,960,120.0","4,093,306.0","4,318,382.0","4,571,006.0","4,519,031.0","4,488,846.0","4,742,458.0","4,964,478.0","5,247,960.0","5,398,408.0","5,348,383.0","5,473,016.0","5,319,078.0","5,568,925.0","5,993,268.0","6,230,065.0","6,434,360.0","6,627,506.0","6,899,089.0","7,139,527.0","7,253,594.0","7,204,315.0","7,454,753.0","7,662,423.0","7,976,153.0","8,156,417.0","8,447,502.0","8,810,364.0","9,168,746.0","9,584,743.0","9,946,287.0","9,996,903.0","10,153,221.0","10,399,444.0","10,775,522.0","11,096,999.0","11,377,755.0","11,567,781.0","11,514,323.0","11,137,322.0"
"33","14","  Net domestic income \3\","W256RX1","3,956,989.0","3,930,915.0","4,048,639.0","4,283,613.0","4,541,487.0","4,485,781.0","4,438,219.0","4,673,580.0","4,905,977.0","5,180,739.0","5,286,347.0","5,249,286.0","5,399,768.0","5,310,134.0","5,479,151.0","5,938,567.0","6,159,119.0","6,323,174.0","6,575,208.0","6,913,789.0","7,056,634.0","7,134,010.0","7,095,279.0","7,308,319.0","7,485,740.0","7,837,656.0","8,090,962.0","8,415,889.0","8,827,083.0","9,269,341.0","9,667,236.0","10,098,297.0","10,111,373.0","10,177,253.0","10,381,828.0","10,783,599.0","11,176,666.0","11,591,590.0","11,547,942.0","11,388,682.0","10,974,533.0"
"34","15","  Net domestic purchases","W367RX1","4,066,719.0","4,041,209.0","4,186,261.0","4,426,263.0","4,643,603.0","4,552,033.0","4,476,221.0","4,787,306.0","5,049,595.0","5,331,609.0","5,442,941.0","5,291,541.0","5,423,324.0","5,308,565.0","5,639,015.0","6,162,676.0","6,428,047.0","6,653,603.0","6,834,625.0","7,044,005.0","7,243,371.0","7,322,287.0","7,220,716.0","7,474,202.0","7,729,523.0","8,079,622.0","8,249,615.0","8,553,618.0","8,946,976.0","9,424,308.0","9,945,737.0","10,401,776.0","10,475,367.0","10,707,874.0","11,007,911.0","11,464,222.0","11,819,733.0","12,107,203.0","12,222,840.0","12,015,463.0","11,491,668.0"
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Note. Except as noted in footnotes 1, 2 and 3, chained (2005) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","as the product of the chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
