"","Table 3#16# Government Current Expenditures by Function         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"62","44","  Executive and legislative","G160421","3,649.0","3,771.0","4,135.0","4,308.0","4,464.0","4,652.0","4,799.0","4,917.0","4,787.0","3,533.0","4,014.0"
"63","45","  Tax collection and financial management","G160431",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,231.0","1,313.0"
"64","46","  Interest payments \2\","G160441","6,345.0","8,354.0","7,913.0","8,644.0","9,295.0","10,013.0","10,561.0","11,639.0","12,664.0","14,600.0","15,823.0"
"65","47","  Other \6\","G160451",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"66","48","National defense","G160461","42,266.0","42,902.0","44,351.0","48,374.0","50,174.0","50,402.0","52,460.0","62,063.0","72,251.0","79,956.0","81,125.0"
"67","49","Public order and safety","G160471","288.0","303.0","318.0","331.0","351.0","366.0","390.0","427.0","477.0","531.0","657.0"
"68","50","  Police","G160481","173.0","182.0","188.0","198.0","210.0","230.0","243.0","263.0","265.0","310.0","386.0"
"69","51","  Fire","G160491",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"70","52","  Law courts","G160501","82.0","87.0","92.0","102.0","111.0","125.0","135.0","144.0","144.0","161.0","186.0"
"71","53","  Prisons","G160511","33.0","34.0","38.0","31.0","30.0","11.0","12.0","20.0","68.0","60.0","85.0"
"72","54","Economic affairs","G160521","7,295.0","5,913.0","6,547.0","8,653.0","9,447.0","11,304.0","12,477.0","13,484.0","14,232.0","16,080.0","17,472.0"
"73","55","  Transportation","G160571","1,213.0","1,311.0","1,475.0","1,567.0","1,633.0","1,740.0","1,764.0","1,903.0","2,074.0","2,135.0","2,264.0"
"74","56","    Highways","G160581","52.0","62.0","66.0","67.0","64.0","68.0","68.0","91.0","107.0","92.0","89.0"
"75","57","    Air","G160591","476.0","518.0","648.0","682.0","708.0","782.0","766.0","844.0","887.0","897.0","1,012.0"
"76","58","    Water","G160601","685.0","731.0","761.0","818.0","861.0","890.0","930.0","968.0","1,080.0","1,126.0","1,130.0"
"77","59","    Transit and railroad","G160611",".....",".....",".....",".....",".....",".....",".....",".....",".....","20.0","33.0"
"78","60","  Space","G160631","197.0","424.0","596.0","1,215.0","2,424.0","3,332.0","4,152.0","4,571.0","3,856.0","3,909.0","3,532.0"
"79","61","  Other economic affairs","W692RC1","5,885.0","4,178.0","4,476.0","5,871.0","5,390.0","6,232.0","6,561.0","7,010.0","8,302.0","10,036.0","11,676.0"
"80","62","    General economic and labor affairs","G160531","460.0","630.0","708.0","939.0","1,114.0","1,091.0","1,467.0","1,878.0","2,468.0","2,793.0","2,814.0"
"81","63","    Agriculture","G160541","4,474.0","2,602.0","2,671.0","3,712.0","3,038.0","3,627.0","3,609.0","3,480.0","3,686.0","5,478.0","6,719.0"
"82","64","    Energy","G160551","548.0","631.0","764.0","852.0","859.0","1,115.0","1,084.0","1,106.0","1,238.0","1,141.0","1,223.0"
"83","65","    Natural resources","G160561","403.0","315.0","333.0","368.0","379.0","399.0","401.0","546.0","910.0","624.0","920.0"
"84","66","    Postal service","G160621",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"85","67","Housing and community services","G160651","273.0","355.0","436.0","541.0","723.0","1,015.0","852.0","882.0","1,091.0","1,156.0","1,365.0"
"86","68","Health","G160661","2,244.0","2,463.0","2,933.0","2,951.0","3,290.0","3,446.0","3,598.0","6,203.0","11,014.0","11,858.0","13,514.0"
"87","69","Recreation and culture","G160671","85.0","109.0","119.0","136.0","156.0","145.0","174.0","204.0","257.0","316.0","397.0"
"88","70","Education","G160681","1,078.0","926.0","869.0","882.0","954.0","1,067.0","1,320.0","3,512.0","4,192.0","4,660.0","5,049.0"
"89","71","  Elementary and secondary","G160691","402.0","269.0","278.0","291.0","293.0","345.0","347.0","1,751.0","1,786.0","1,945.0","1,866.0"
"90","72","  Higher","G160701","9.0","192.0","227.0","251.0","308.0","341.0","487.0","695.0","1,054.0","928.0","946.0"
"91","73","  Other","G160711","667.0","465.0","364.0","340.0","353.0","381.0","486.0","1,066.0","1,352.0","1,787.0","2,237.0"
"92","74","Income security","G160721","20,180.0","21,717.0","25,310.0","26,372.0","27,647.0","28,478.0","31,087.0","32,389.0","35,251.0","39,788.0","43,370.0"
"93","75","  Disability","G160731","3,960.0","4,243.0","4,780.0","4,934.0","5,329.0","5,537.0","6,017.0","6,142.0","6,736.0","7,279.0","8,039.0"
"94","76","  Retirement \5\","G160741","10,559.0","11,641.0","12,866.0","14,520.0","15,307.0","16,073.0","17,929.0","19,487.0","20,900.0","24,301.0","25,975.0"
"95","77","  Welfare and social services","G160751","2,320.0","2,193.0","2,585.0","2,990.0","3,203.0","3,334.0","3,882.0","3,595.0","4,159.0","5,036.0","5,995.0"
"96","78","  Unemployment","G160761","3,077.0","3,341.0","4,747.0","3,534.0","3,380.0","3,095.0","2,747.0","2,402.0","2,755.0","2,753.0","2,869.0"
"97","79","  Other","G160771","264.0","299.0","332.0","394.0","428.0","439.0","512.0","763.0","701.0","419.0","492.0"
"98","80","      State and local","W024RC1","36,868.0","40,160.0","43,781.0","46,758.0","50,324.0","54,874.0","60,003.0","67,176.0","75,531.0","86,025.0","97,475.0"
"99","81","General public service","G160791","4,686.0","5,190.0","5,827.0","6,084.0","6,386.0","7,007.0","7,714.0","8,586.0","9,461.0","10,924.0","12,504.0"
"100","82","  Executive and legislative","G160801","667.0","728.0","787.0","734.0","746.0","804.0","862.0","948.0","1,072.0","1,280.0","1,456.0"
"101","83","  Tax collection and financial management","G160811","1,155.0","1,277.0","1,346.0","1,422.0","1,425.0","1,523.0","1,609.0","1,777.0","2,022.0","2,233.0","3,048.0"
"102","84","  Interest payments","G160821","1,782.0","2,052.0","2,239.0","2,434.0","2,674.0","2,920.0","3,140.0","3,430.0","3,698.0","4,171.0","4,384.0"
"103","85","  Other \7\","G160831","1,081.0","1,133.0","1,454.0","1,495.0","1,541.0","1,761.0","2,103.0","2,431.0","2,668.0","3,239.0","3,617.0"
"104","86","Public order and safety","G160841","3,805.0","4,147.0","4,449.0","4,692.0","4,956.0","5,338.0","5,753.0","6,287.0","7,038.0","8,167.0","9,003.0"
"105","87","  Police","G160851","1,774.0","1,928.0","2,052.0","2,211.0","2,353.0","2,518.0","2,725.0","2,982.0","3,374.0","4,074.0","4,437.0"
"106","88","  Fire","G160861","931.0","1,021.0","1,112.0","1,143.0","1,191.0","1,273.0","1,356.0","1,476.0","1,591.0","1,759.0","1,952.0"
"107","89","  Law courts","G160871","531.0","567.0","595.0","617.0","658.0","709.0","768.0","853.0","964.0","1,100.0","1,239.0"
"108","90","  Prisons","G160881","569.0","631.0","689.0","721.0","753.0","839.0","904.0","976.0","1,108.0","1,234.0","1,376.0"
"109","91","Economic affairs","G160891","5,977.0","6,300.0","6,663.0","7,031.0","7,490.0","7,960.0","8,581.0","9,348.0","10,208.0","11,006.0","12,164.0"
"110","92","  Transportation","G160941","4,539.0","4,746.0","4,991.0","5,285.0","5,612.0","5,916.0","6,344.0","6,873.0","7,464.0","8,104.0","8,963.0"
"111","93","    Highways","G160951","4,539.0","4,746.0","4,991.0","5,285.0","5,600.0","5,906.0","6,326.0","6,849.0","7,438.0","8,077.0","8,938.0"
"112","94","    Transit and railroad","G160981",".....",".....",".....",".....","12.0","10.0","18.0","24.0","26.0","27.0","25.0"
"113","95","  Other economic affairs","W693RC1","1,438.0","1,554.0","1,672.0","1,746.0","1,878.0","2,044.0","2,237.0","2,475.0","2,743.0","2,903.0","3,201.0"
"114","96","    General economic and labor affairs","G160901","655.0","700.0","767.0","835.0","887.0","958.0","1,059.0","1,158.0","1,291.0","1,406.0","1,585.0"
"115","97","    Agriculture","G160911","335.0","352.0","385.0","402.0","423.0","443.0","474.0","522.0","605.0","681.0","741.0"
"116","98","    Energy","G160921",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"117","99","    Natural resources","G160931","448.0","498.0","534.0","525.0","560.0","618.0","690.0","780.0","835.0","819.0","867.0"
"118","100","    Other \4\","G160991","0.0","4.0","-13.0","-16.0","8.0","25.0","14.0","15.0","13.0","-4.0","8.0"
"119","101","Housing and community services \8\","G161001","524.0","543.0","534.0","568.0","567.0","605.0","625.0","684.0","749.0","873.0","900.0"
"120","102","Health","G161051","3,082.0","3,310.0","3,738.0","4,008.0","4,385.0","4,787.0","5,251.0","5,997.0","7,102.0","8,890.0","10,140.0"
"121","103","Recreation and culture","G161061","496.0","533.0","605.0","606.0","634.0","687.0","744.0","796.0","881.0","1,102.0","1,253.0"
"122","104","Education","G161071","13,939.0","15,628.0","17,212.0","18,785.0","20,619.0","22,824.0","25,250.0","28,811.0","32,458.0","36,285.0","41,228.0"
"123","105","  Elementary and secondary","G161081","11,683.0","13,048.0","14,419.0","15,644.0","17,072.0","18,847.0","20,726.0","23,425.0","25,878.0","28,613.0","32,378.0"
"124","106","  Higher","G161091","1,707.0","1,988.0","2,139.0","2,410.0","2,701.0","3,026.0","3,402.0","3,964.0","4,835.0","5,596.0","6,413.0"
"125","107","  Libraries and other","W694RC1","549.0","592.0","655.0","732.0","845.0","951.0","1,122.0","1,421.0","1,745.0","2,076.0","2,437.0"
"126","108","    Libraries","G161101","243.0","252.0","278.0","298.0","357.0","372.0","402.0","454.0","469.0","504.0","557.0"
"127","109","    Other","G161111","306.0","340.0","377.0","433.0","488.0","579.0","719.0","967.0","1,276.0","1,572.0","1,880.0"
"128","110","Income security","G161121","4,359.0","4,510.0","4,753.0","4,983.0","5,288.0","5,666.0","6,086.0","6,669.0","7,634.0","8,779.0","10,281.0"
"129","111","  Disability","G161131","430.0","479.0","530.0","588.0","657.0","702.0","737.0","779.0","835.0","899.0","983.0"
"130","112","  Welfare and social services","G161141","3,930.0","4,031.0","4,224.0","4,395.0","4,631.0","4,964.0","5,349.0","5,890.0","6,800.0","7,880.0","9,299.0"
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","1. Equals federal government current expenditures less grants-in-aid to state and local governments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","plus state and local government current expenditures. Federal grants-in-aid to state and local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","governments by function are shown in table 3.17.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","2. Prior to 1960, federal interest receipts are not available separately but are included in interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","payments, which is shown net of federal interest receipts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","3. Equals unallocable state and local government expenditures, less ""wage accruals less disbursements""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","shown in table 3.1; includes federal government revenue sharing grants to state and local governments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","beginning with 1972 and ending with 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","4. Consists of state and local government publicly owned liquor store systems, government-administered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","lotteries and parimutuels, and other commercial activities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","5. Consists of social insurance funds, including old age, survivors, and disability insurance (social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","security), and railroad retirement.  Excludes government employee retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","6. Consists primarily of federal government revenue sharing grants to state and local governments beginning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","with 1972 and ending with 1987, less ""wage accruals less disbusements"" shown in table 3.2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","7. Equals unallocable state and local government expenditures less ""wage accruals less disbursements""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","shown in table 3.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","8. Consists of current expenditures for sanitation.  Beginning with 2007, includes housing subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","related to Hurricanes Katrina and Rita.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
