"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"26","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1","52,205.0","53,970.0","56,044.0","62,339.0","85,221.0","97,902.0","84,157.0","91,919.0","98,973.0","114,906.0","155,996.0","163,388.0","174,075.0","180,800.0","176,215.0","203,605.0","182,673.0","176,332.0","189,167.0","225,768.0","254,166.0","259,870.0","224,437.0","197,848.0","198,132.0","230,229.0","280,710.0","295,646.0","331,174.0","336,885.0","370,164.0","430,126.0","358,428.0","342,923.0","377,679.0","465,319.0","573,037.0","697,477.0","818,348.0","764,206.0","574,600.0"
"27","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1","25,103.0","27,084.0","25,667.0","29,564.0","39,540.0","46,948.0","45,106.0","44,070.0","44,985.0","61,292.0","83,089.0","92,769.0","111,775.0","115,439.0","112,073.0","142,974.0","139,546.0","148,353.0","161,974.0","190,981.0","216,976.0","212,417.0","184,512.0","159,868.0","158,328.0","200,120.0","244,399.0","257,559.0","303,389.0","316,503.0","337,950.0","387,458.0","300,830.0","289,205.0","304,252.0","370,703.0","475,889.0","627,429.0","702,522.0","605,256.0","441,170.0"
"28","10","Equals: Command-basis gross national product \1,3\","CB22RX1","4,390,102.0","4,393,608.0","4,537,631.0","4,773,454.0","5,049,653.0","4,973,809.0","4,957,111.0","5,230,149.0","5,455,293.0","5,752,143.0","5,923,182.0","5,830,342.0","5,977,114.0","5,889,279.0","6,177,603.0","6,628,153.0","6,894,877.0","7,113,328.0","7,322,487.0","7,629,391.0","7,901,833.0","8,043,751.0","8,038,267.0","8,304,379.0","8,550,722.0","8,890,745.0","9,114,649.0","9,464,924.0","9,900,540.0","10,370,238.0","10,870,016.0","11,292,009.0","11,471,109.0","11,694,649.0","11,983,849.0","12,405,543.0","12,735,523.0","13,030,886.0","13,328,315.0","13,243,967.0","13,014,143.0"
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Command-basis net domestic product \4\","C362RX1","4,071,572.0","4,056,837.0","4,187,011.0","4,410,978.0","4,657,227.0","4,548,940.0","4,524,530.0","4,780,577.0","4,984,323.0","5,264,636.0","5,388,148.0","5,260,864.0","5,392,686.0","5,265,869.0","5,541,035.0","5,979,060.0","6,228,642.0","6,429,219.0","6,605,451.0","6,875,751.0","7,114,320.0","7,211,987.0","7,184,292.0","7,430,795.0","7,646,764.0","7,963,007.0","8,137,882.0","8,437,622.0","8,825,671.0","9,232,490.0","9,640,172.0","9,967,256.0","10,061,464.0","10,239,940.0","10,468,846.0","10,822,766.0","11,096,999.0","11,361,865.0","11,551,455.0","11,372,679.0","11,140,153.0"
"31","12","  Net domestic product","A362RX1","3,969,825.0","3,960,120.0","4,093,306.0","4,318,382.0","4,571,006.0","4,519,031.0","4,488,846.0","4,742,458.0","4,964,478.0","5,247,960.0","5,398,408.0","5,348,383.0","5,473,016.0","5,319,078.0","5,568,925.0","5,993,268.0","6,230,065.0","6,434,360.0","6,627,506.0","6,899,089.0","7,139,527.0","7,253,594.0","7,204,315.0","7,454,753.0","7,662,423.0","7,976,153.0","8,156,417.0","8,447,502.0","8,810,364.0","9,168,746.0","9,584,743.0","9,946,287.0","9,996,903.0","10,153,221.0","10,399,444.0","10,775,522.0","11,096,999.0","11,377,755.0","11,567,781.0","11,514,323.0","11,137,322.0"
"32","13","  Command-basis net national product \4\","C027RX1","4,099,697.0","4,084,724.0","4,218,523.0","4,444,965.0","4,704,565.0","4,601,794.0","4,565,183.0","4,830,402.0","5,040,565.0","5,320,539.0","5,464,164.0","5,334,448.0","5,457,661.0","5,334,053.0","5,607,676.0","6,041,833.0","6,273,186.0","6,458,093.0","6,633,448.0","6,911,532.0","7,152,499.0","7,260,576.0","7,225,085.0","7,469,476.0","7,687,251.0","7,993,604.0","8,174,755.0","8,476,205.0","8,853,759.0","9,253,059.0","9,672,623.0","10,010,168.0","10,119,303.0","10,293,797.0","10,542,314.0","10,917,365.0","11,194,147.0","11,431,958.0","11,667,278.0","11,531,233.0","11,273,074.0"
"33","14","  Net national product","A027RX1","4,000,038.0","3,990,010.0","4,126,537.0","4,354,093.0","4,619,389.0","4,574,279.0","4,531,376.0","4,793,323.0","5,021,702.0","5,304,614.0","5,475,407.0","5,424,587.0","5,539,666.0","5,388,732.0","5,636,479.0","6,057,101.0","6,275,179.0","6,464,305.0","6,656,320.0","6,935,746.0","7,177,750.0","7,301,862.0","7,244,974.0","7,494,251.0","7,702,344.0","8,005,946.0","8,192,126.0","8,484,769.0","8,837,682.0","9,189,031.0","9,616,892.0","9,989,043.0","10,054,394.0","10,207,139.0","10,472,956.0","10,870,191.0","11,194,147.0","11,447,553.0","11,683,364.0","11,674,135.0","11,271,483.0"
"34","15","  Trading gains index \5\","W368RG3","102.424","102.313","102.180","102.049","101.814","100.690","100.833","100.844","100.472","100.400","99.947","98.695","98.896","99.298","99.721","99.949","100.130","100.088","99.752","99.749","99.733","99.548","99.793","99.756","99.851","99.881","99.827","99.919","100.186","100.641","100.535","100.210","100.589","100.757","100.588","100.382","100.000","99.887","99.881","98.893","100.004"
"35","16","  Terms of trade index \6\","W369RG3","147.260","144.365","141.035","137.946","132.971","114.506","116.507","116.814","111.727","110.716","105.927","93.667","95.460","99.245","103.516","105.386","105.630","104.052","100.592","100.972","100.458","98.321","100.463","99.975","100.720","100.896","100.460","100.890","102.732","106.093","104.821","102.264","104.404","105.149","103.809","102.520","100.000","99.330","99.416","94.262","99.896"
"36","17","    Terms of trade, goods \7\","W370RG3","165.251","161.714","157.940","150.596","148.295","125.414","128.616","128.472","121.975","120.941","116.103","100.859","102.283","105.369","109.164","110.875","109.644","108.480","103.877","105.538","104.002","101.158","103.000","101.905","102.474","102.819","102.527","102.477","103.940","107.133","105.593","101.941","104.339","105.508","104.522","103.254","100.000","99.156","99.355","93.618","99.518"
"37","18","    Terms of trade, nonpetroleum goods \8\","W371RG3","117.876","114.969","112.619","107.088","106.356","106.749","107.591","108.826","102.938","99.716","101.823","98.799","103.044","104.468","106.234","108.006","106.416","97.112","94.139","93.374","93.440","92.918","92.674","91.269","91.033","90.722","91.056","92.689","93.906","94.403","94.703","95.245","96.016","97.471","98.168","99.350","100.000","102.101","103.566","103.470","100.892"
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","7. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","to the price index for goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","8. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","to the price index for nonpetroleum goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
