"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"33","14","  Taxes on corporate income","A054RC1","11,560.0","10,936.0","10,796.0","11,780.0","12,144.0","12,796.0","12,580.0","12,164.0","11,044.0","9,716.0","10,120.0","9,932.0","13,628.0","16,308.0","19,924.0","21,840.0","26,280.0","22,264.0","20,144.0","21,548.0","19,804.0","18,652.0","18,608.0","20,532.0","21,616.0","21,724.0","21,232.0","16,576.0","16,404.0","16,904.0","17,920.0","19,268.0","21,344.0","21,608.0","22,156.0","23,056.0","22,040.0","22,488.0","21,144.0","22,300.0","22,824.0","21,872.0","21,428.0","19,568.0","16,920.0","17,248.0","19,388.0","22,300.0","23,500.0","25,724.0","23,116.0","22,568.0","25,104.0","23,064.0","22,024.0","20,936.0","20,656.0","22,092.0","23,392.0","25,420.0","23,904.0","23,660.0","24,364.0","24,452.0","24,556.0","26,264.0","27,004.0","27,660.0","27,904.0","27,964.0","28,584.0","28,168.0","29,556.0","30,504.0","31,084.0","33,116.0","34,168.0","34,208.0","33,872.0","33,276.0","32,500.0","32,204.0","32,484.0","34,408.0","38,728.0","39,496.0","39,664.0","40,624.0","41,460.0","40,428.0","39,140.0"
"34","15","  Profits after tax with IVA and CCAdj","A551RC1","9,134.0","13,007.0","13,040.0","13,695.0","17,268.0","18,379.0","18,072.0","20,097.0","19,683.0","18,616.0","19,425.0","16,304.0","16,139.0","17,118.0","18,154.0","19,429.0","13,912.0","17,922.0","20,596.0","20,538.0","19,717.0","18,772.0","18,495.0","20,776.0","20,353.0","19,486.0","18,927.0","16,554.0","19,046.0","19,899.0","20,797.0","23,098.0","26,150.0","27,117.0","27,195.0","27,370.0","26,310.0","25,672.0","26,233.0","25,753.0","26,846.0","26,671.0","26,599.0","24,748.0","21,506.0","21,910.0","23,868.0","26,692.0","29,083.0","31,883.0","29,231.0","30,199.0","31,921.0","30,088.0","30,234.0","29,013.0","28,243.0","31,078.0","32,029.0","33,838.0","37,773.0","37,298.0","37,876.0","40,053.0","40,152.0","41,865.0","42,490.0","43,349.0","47,332.0","47,182.0","47,695.0","47,267.0","53,740.0","54,918.0","55,573.0","57,625.0","59,744.0","58,599.0","57,217.0","59,100.0","57,120.0","56,246.0","57,217.0","58,521.0","55,195.0","58,213.0","58,278.0","58,806.0","57,918.0","55,933.0","54,471.0"
"35","16","    Net dividends","B056RC1","6,004.0","6,312.0","6,520.0","6,448.0","7,028.0","6,676.0","7,088.0","7,352.0","7,224.0","7,204.0","7,112.0","7,412.0","8,288.0","8,372.0","9,156.0","9,536.0","8,380.0","8,632.0","8,580.0","8,688.0","8,156.0","8,712.0","8,600.0","8,772.0","8,432.0","9,176.0","9,044.0","8,892.0","9,436.0","8,880.0","9,308.0","9,504.0","10,048.0","10,168.0","10,780.0","10,916.0","11,164.0","11,188.0","11,180.0","11,588.0","11,608.0","11,792.0","11,896.0","11,672.0","11,552.0","11,676.0","11,656.0","11,380.0","12,084.0","12,464.0","12,764.0","12,968.0","13,172.0","13,248.0","13,536.0","13,508.0","13,564.0","13,640.0","13,932.0","14,468.0","14,564.0","14,992.0","15,180.0","15,372.0","15,760.0","16,092.0","16,332.0","16,760.0","17,456.0","18,020.0","18,412.0","18,888.0","19,208.0","19,888.0","20,540.0","21,184.0","21,268.0","20,876.0","20,532.0","20,004.0","21,064.0","21,680.0","22,072.0","21,224.0","22,604.0","23,372.0","23,968.0","24,196.0","23,964.0","24,124.0","24,268.0"
"36","17","    Undistributed profits with IVA and CCAdj","A127RC1","3,130.0","6,695.0","6,520.0","7,247.0","10,240.0","11,703.0","10,984.0","12,745.0","12,459.0","11,412.0","12,313.0","8,892.0","7,851.0","8,746.0","8,998.0","9,893.0","5,532.0","9,290.0","12,016.0","11,850.0","11,561.0","10,060.0","9,895.0","12,004.0","11,921.0","10,310.0","9,883.0","7,662.0","9,610.0","11,019.0","11,489.0","13,594.0","16,102.0","16,949.0","16,415.0","16,454.0","15,146.0","14,484.0","15,053.0","14,165.0","15,238.0","14,879.0","14,703.0","13,076.0","9,954.0","10,234.0","12,212.0","15,312.0","16,999.0","19,419.0","16,467.0","17,231.0","18,749.0","16,840.0","16,698.0","15,505.0","14,679.0","17,438.0","18,097.0","19,370.0","23,209.0","22,306.0","22,696.0","24,681.0","24,392.0","25,773.0","26,158.0","26,589.0","29,876.0","29,162.0","29,283.0","28,379.0","34,532.0","35,030.0","35,033.0","36,441.0","38,476.0","37,723.0","36,685.0","39,096.0","36,056.0","34,566.0","35,145.0","37,297.0","32,591.0","34,841.0","34,310.0","34,610.0","33,954.0","31,809.0","30,203.0"
"37","18","Net interest and miscellaneous payments","W255RC1","2,274.0","2,420.0","2,552.0","2,560.0","2,540.0","2,561.0","2,636.0","2,632.0","2,748.0","2,811.0","2,902.0","2,953.0","3,106.0","3,175.0","3,157.0","3,248.0","3,392.0","3,607.0","3,770.0","3,843.0","3,892.0","4,033.0","4,106.0","4,205.0","4,468.0","4,623.0","4,817.0","4,995.0","5,242.0","5,506.0","5,736.0","5,960.0","6,120.0","6,273.0","6,234.0","6,277.0","6,602.0","6,758.0","7,062.0","7,035.0","7,742.0","7,957.0","8,191.0","8,185.0","8,998.0","9,542.0","9,772.0","9,861.0","8,788.0","9,750.0","9,787.0","10,089.0","10,213.0","10,141.0","10,730.0","11,160.0","11,612.0","12,197.0","12,619.0","13,376.0","13,128.0","14,116.0","14,625.0","15,040.0","14,639.0","14,844.0","15,343.0","15,811.0","16,562.0","17,135.0","17,901.0","18,065.0","19,022.0","19,476.0","20,038.0","19,962.0","21,139.0","21,850.0","22,710.0","23,846.0","24,656.0","25,479.0","25,790.0","26,160.0","26,561.0","26,971.0","27,134.0","27,680.0","30,520.0","32,100.0","33,667.0"
"38","19","Taxes on production and imports","W056RC1","17,679.0","17,740.0","18,031.0","18,974.0","18,963.0","19,665.0","20,006.0","20,270.0","20,369.0","20,822.0","21,253.0","21,172.0","21,554.0","22,462.0","24,380.0","23,404.0","25,094.0","24,069.0","24,481.0","25,336.0","26,087.0","26,918.0","27,334.0","28,145.0","28,746.0","29,178.0","29,319.0","29,161.0","28,681.0","28,812.0","28,744.0","29,319.0","30,248.0","31,228.0","31,941.0","32,451.0","33,031.0","33,596.0","34,597.0","35,724.0","36,144.0","36,561.0","37,012.0","36,746.0","36,823.0","37,331.0","37,795.0","38,929.0","39,770.0","40,292.0","41,722.0","42,424.0","43,696.0","44,347.0","44,861.0","45,284.0","45,776.0","46,463.0","47,256.0","48,377.0","49,396.0","49,906.0","50,888.0","51,338.0","52,005.0","52,938.0","53,919.0","54,682.0","55,671.0","56,746.0","57,881.0","58,778.0","60,184.0","60,340.0","60,516.0","61,796.0","61,365.0","62,827.0","63,748.0","64,904.0","65,564.0","66,832.0","68,746.0","70,606.0","73,367.0","75,424.0","77,693.0","79,144.0","80,589.0","82,901.0","85,217.0"
"39","20","Less: Subsidies \1\","A107RC1","315.0","219.0","160.0","89.0","160.0","60.0","375.0","627.0","345.0","159.0","287.0","237.0","442.0","555.0","511.0","834.0","878.0","838.0","566.0","711.0","465.0","430.0","426.0","316.0","347.0","67.0","283.0","-205.0","-294.0","257.0","-110.0","-273.0","-155.0","-80.0","-365.0","-205.0","-78.0","178.0","513.0","812.0","863.0","776.0","607.0","501.0","635.0","831.0","1,023.0","1,169.0","1,148.0","928.0","1,088.0","1,068.0","1,024.0","1,280.0","1,048.0","1,232.0","1,572.0","2,008.0","2,172.0","2,304.0","2,284.0","2,384.0","2,216.0","2,208.0","2,032.0","2,176.0","2,296.0","2,432.0","2,728.0","2,880.0","2,648.0","2,660.0","2,924.0","2,972.0","2,988.0","3,144.0","3,564.0","3,928.0","4,064.0","4,240.0","3,992.0","3,872.0","3,684.0","3,696.0","4,036.0","4,204.0","4,220.0","4,236.0","4,340.0","4,464.0","4,668.0"
"40","21","Business current transfer payments (net)","B029RC1","687.0","715.0","731.0","735.0","742.0","726.0","736.0","740.0","703.0","706.0","734.0","781.0","743.0","812.0","897.0","996.0","1,131.0","1,208.0","1,243.0","1,282.0","1,276.0","1,263.0","1,246.0","1,243.0","1,253.0","1,257.0","1,214.0","1,144.0","1,026.0","952.0","954.0","1,020.0","1,177.0","1,321.0","1,450.0","1,552.0","1,655.0","1,707.0","1,758.0","1,820.0","1,890.0","1,922.0","1,940.0","1,928.0","1,897.0","1,846.0","1,775.0","1,710.0","1,708.0","1,765.0","1,780.0","1,803.0","1,843.0","1,844.0","1,855.0","1,890.0","1,971.0","1,994.0","2,043.0","2,096.0","2,162.0","2,219.0","2,270.0","2,321.0","2,562.0","2,648.0","2,665.0","2,753.0","2,852.0","2,916.0","3,338.0","3,438.0","3,635.0","3,637.0","3,619.0","3,577.0","3,552.0","3,512.0","3,498.0","3,534.0","3,600.0","3,703.0","3,828.0","3,929.0","4,053.0","4,268.0","4,408.0","4,555.0","4,852.0","4,967.0","4,981.0"
"41","22","  To persons (net)","B931RC1","368.0","392.0","404.0","404.0","384.0","364.0","368.0","368.0","332.0","332.0","356.0","400.0","444.0","508.0","588.0","680.0","792.0","868.0","900.0","932.0","912.0","896.0","876.0","868.0","888.0","884.0","836.0","760.0","612.0","532.0","532.0","592.0","732.0","876.0","1,004.0","1,108.0","1,160.0","1,208.0","1,256.0","1,316.0","1,376.0","1,404.0","1,412.0","1,388.0","1,308.0","1,260.0","1,212.0","1,180.0","1,272.0","1,320.0","1,340.0","1,356.0","1,332.0","1,308.0","1,300.0","1,308.0","1,320.0","1,340.0","1,368.0","1,416.0","1,480.0","1,532.0","1,572.0","1,612.0","1,796.0","1,836.0","1,884.0","1,956.0","2,072.0","2,172.0","2,240.0","2,264.0","2,332.0","2,300.0","2,244.0","2,184.0","2,152.0","2,108.0","2,088.0","2,104.0","2,156.0","2,216.0","2,296.0","2,380.0","2,504.0","2,720.0","2,888.0","3,040.0","3,260.0","3,356.0","3,368.0"
"42","23","  To government (net)","W061RC1","319.0","323.0","327.0","331.0","358.0","362.0","368.0","372.0","371.0","374.0","378.0","381.0","299.0","304.0","309.0","316.0","339.0","340.0","343.0","350.0","364.0","367.0","370.0","375.0","365.0","373.0","378.0","384.0","414.0","420.0","422.0","428.0","445.0","445.0","446.0","444.0","495.0","499.0","502.0","504.0","514.0","518.0","528.0","540.0","589.0","586.0","563.0","530.0","436.0","445.0","440.0","447.0","511.0","536.0","555.0","582.0","651.0","654.0","675.0","680.0","682.0","687.0","698.0","709.0","766.0","812.0","781.0","797.0","780.0","744.0","1,098.0","1,174.0","1,303.0","1,337.0","1,375.0","1,393.0","1,400.0","1,404.0","1,410.0","1,430.0","1,444.0","1,487.0","1,532.0","1,549.0","1,549.0","1,548.0","1,520.0","1,515.0","1,592.0","1,611.0","1,613.0"
"43","24","  To the rest of the world (net)","W237RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"44","25","Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","917.0","939.0","960.0","1,083.0","976.0","1,015.0","860.0","856.0","780.0","759.0","790.0","1,008.0","915.0","863.0","873.0","933.0","1,281.0","1,289.0","1,388.0","1,455.0","1,371.0","1,380.0","1,102.0","1,542.0","1,391.0","1,496.0","1,292.0","1,203.0","1,140.0","1,046.0","818.0","963.0","920.0","1,058.0","954.0","720.0","1,206.0","1,194.0","1,201.0","1,080.0","938.0","951.0","1,038.0"
"45",NA,"Addenda for corporate cash flow:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","26","  Net cash flow with IVA","A904RC1","11,228.0","15,366.0","15,691.0","16,843.0","20,187.0","21,966.0","21,526.0","23,529.0","23,449.0","22,580.0","23,630.0","20,329.0","19,380.0","20,484.0","21,063.0","22,401.0","18,599.0","22,805.0","25,868.0","25,928.0","25,754.0","24,405.0","24,432.0","26,769.0","26,954.0","25,592.0","25,396.0","23,386.0","25,526.0","27,117.0","27,756.0","30,017.0","32,676.0","33,793.0","33,643.0","34,192.0","33,510.0","33,446.0","34,592.0","34,252.0","35,852.0","35,971.0","36,225.0","34,984.0","32,205.0","32,808.0","35,093.0","38,490.0","40,464.0","43,088.0","40,300.0","41,132.0","42,692.0","40,852.0","40,800.0","39,740.0","39,108.0","42,064.0","42,936.0","44,432.0","48,472.0","47,808.0","48,444.0","50,752.0","50,692.0","52,372.0","53,088.0","53,848.0","57,488.0","57,164.0","57,748.0","57,344.0","64,048.0","65,164.0","65,796.0","67,936.0","70,744.0","70,800.0","70,532.0","73,788.0","71,588.0","70,964.0","72,444.0","75,528.0","71,800.0","75,056.0","75,568.0","76,856.0","77,260.0","76,296.0","75,988.0"
"47","27","    Undistributed profits with IVA and CCAdj","A127RC1","3,130.0","6,695.0","6,520.0","7,247.0","10,240.0","11,703.0","10,984.0","12,745.0","12,459.0","11,412.0","12,313.0","8,892.0","7,851.0","8,746.0","8,998.0","9,893.0","5,532.0","9,290.0","12,016.0","11,850.0","11,561.0","10,060.0","9,895.0","12,004.0","11,921.0","10,310.0","9,883.0","7,662.0","9,610.0","11,019.0","11,489.0","13,594.0","16,102.0","16,949.0","16,415.0","16,454.0","15,146.0","14,484.0","15,053.0","14,165.0","15,238.0","14,879.0","14,703.0","13,076.0","9,954.0","10,234.0","12,212.0","15,312.0","16,999.0","19,419.0","16,467.0","17,231.0","18,749.0","16,840.0","16,698.0","15,505.0","14,679.0","17,438.0","18,097.0","19,370.0","23,209.0","22,306.0","22,696.0","24,681.0","24,392.0","25,773.0","26,158.0","26,589.0","29,876.0","29,162.0","29,283.0","28,379.0","34,532.0","35,030.0","35,033.0","36,441.0","38,476.0","37,723.0","36,685.0","39,096.0","36,056.0","34,566.0","35,145.0","37,297.0","32,591.0","34,841.0","34,310.0","34,610.0","33,954.0","31,809.0","30,203.0"
"48","28","    Consumption of fixed capital","A438RC1","8,098.0","8,671.0","9,171.0","9,596.0","9,947.0","10,263.0","10,542.0","10,784.0","10,990.0","11,168.0","11,317.0","11,437.0","11,529.0","11,738.0","12,065.0","12,508.0","13,067.0","13,515.0","13,852.0","14,078.0","14,193.0","14,345.0","14,537.0","14,765.0","15,033.0","15,282.0","15,513.0","15,724.0","15,916.0","16,098.0","16,267.0","16,423.0","16,570.0","16,836.0","17,220.0","17,726.0","18,348.0","18,946.0","19,519.0","20,067.0","20,590.0","21,068.0","21,498.0","21,884.0","22,223.0","22,546.0","22,853.0","23,146.0","23,421.0","23,629.0","23,773.0","23,849.0","23,859.0","23,912.0","24,006.0","24,143.0","24,321.0","24,510.0","24,711.0","24,922.0","25,143.0","25,382.0","25,640.0","25,915.0","26,208.0","26,515.0","26,838.0","27,175.0","27,528.0","27,930.0","28,381.0","28,881.0","29,432.0","30,038.0","30,699.0","31,415.0","32,188.0","32,977.0","33,783.0","34,604.0","35,444.0","36,314.0","37,215.0","38,147.0","39,109.0","40,099.0","41,114.0","42,158.0","43,226.0","44,411.0","45,713.0"
"49","29","    Less: Capital transfers paid (net)","W976RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-4.0","-8.0","-8.0","-12.0","-16.0","-16.0","-20.0","-20.0","-24.0","-24.0","-24.0","-24.0","-28.0","-28.0","-28.0","-32.0","-44.0","-40.0","-60.0","-52.0","-84.0","-100.0","-96.0","-92.0","-108.0","-116.0","-128.0","-140.0","-120.0","-120.0","-108.0","-156.0","-92.0","-84.0","-92.0","-84.0","-84.0","-72.0","-84.0","-84.0","-84.0","-96.0","-64.0","-80.0","-80.0","-100.0","-64.0","-88.0","-88.0","-84.0","-84.0","-84.0","-100.0","-116.0","-144.0","-88.0","-80.0","-76.0","-72.0"
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","30","  Proprietors' income with IVA and CCAdj","A041RC1","36,615.0","32,327.0","33,786.0","35,187.0","35,999.0","40,372.0","40,924.0","39,599.0","35,381.0","34,784.0","34,151.0","34,176.0","35,582.0","36,256.0","38,718.0","39,396.0","41,999.0","42,441.0","42,648.0","43,521.0","41,832.0","43,057.0","44,810.0","42,583.0","42,982.0","42,250.0","41,519.0","41,303.0","42,593.0","41,983.0","42,323.0","42,201.0","43,418.0","44,458.0","44,658.0","44,522.0","44,890.0","45,456.0","46,208.0","46,902.0","46,914.0","47,785.0","48,695.0","47,913.0","50,289.0","50,387.0","50,062.0","50,023.0","50,160.0","50,378.0","50,161.0","50,604.0","49,973.0","50,847.0","50,874.0","51,138.0","52,365.0","52,557.0","53,324.0","54,547.0","55,297.0","55,098.0","55,138.0","55,687.0","55,999.0","55,909.0","56,416.0","57,763.0","58,088.0","58,999.0","59,567.0","60,748.0","62,160.0","63,359.0","64,202.0","65,893.0","69,426.0","67,526.0","67,680.0","68,362.0","69,122.0","68,888.0","70,958.0","70,421.0","72,065.0","73,439.0","75,270.0","75,973.0","76,310.0","77,556.0","78,201.0"
"52","31","    Farm","B042RC1","15,980.0","12,355.0","14,098.0","14,935.0","14,486.0","17,972.0","17,924.0","16,436.0","12,707.0","12,132.0","11,615.0","11,502.0","12,228.0","12,227.0","13,104.0","13,932.0","15,015.0","15,397.0","15,148.0","15,654.0","13,714.0","14,516.0","15,974.0","13,045.0","13,010.0","12,398.0","11,732.0","11,537.0","12,860.0","11,663.0","11,788.0","10,685.0","10,922.0","11,279.0","10,692.0","9,971.0","10,193.0","10,364.0","10,879.0","10,917.0","9,949.0","10,517.0","11,049.0","10,688.0","13,326.0","12,977.0","12,142.0","11,244.0","10,869.0","9,861.0","9,360.0","10,084.0","9,643.0","10,618.0","11,009.0","11,326.0","11,548.0","10,870.0","11,044.0","11,532.0","11,861.0","11,079.0","10,668.0","11,264.0","11,403.0","10,829.0","10,679.0","11,127.0","9,873.0","9,514.0","9,295.0","10,439.0","11,431.0","11,962.0","12,207.0","12,518.0","14,857.0","12,675.0","12,304.0","12,238.0","11,927.0","11,144.0","11,959.0","11,535.0","11,605.0","11,237.0","11,786.0","12,000.0","11,565.0","12,549.0","13,142.0"
"53","32","      Proprietors' income with IVA","A043RC1","16,262.0","12,683.0","14,463.0","15,328.0","14,899.0","18,401.0","18,368.0","16,890.0","13,168.0","12,593.0","12,071.0","11,948.0","12,657.0","12,652.0","13,540.0","14,394.0","15,515.0","15,927.0","15,701.0","16,223.0","14,291.0","15,096.0","16,551.0","13,615.0","13,567.0","12,943.0","12,266.0","12,061.0","13,376.0","12,167.0","12,275.0","11,154.0","11,367.0","11,715.0","11,132.0","10,430.0","10,681.0","10,880.0","11,419.0","11,477.0","10,526.0","11,107.0","11,648.0","11,290.0","13,927.0","13,581.0","12,752.0","11,861.0","11,500.0","10,494.0","9,986.0","10,690.0","10,221.0","11,173.0","11,547.0","11,855.0","12,072.0","11,391.0","11,562.0","12,049.0","12,375.0","11,590.0","11,176.0","11,767.0","11,901.0","11,324.0","11,170.0","11,615.0","10,359.0","10,000.0","9,784.0","10,934.0","11,932.0","12,470.0","12,723.0","13,041.0","15,387.0","13,216.0","12,857.0","12,806.0","12,512.0","11,744.0","12,575.0","12,166.0","12,251.0","11,901.0","12,473.0","12,711.0","12,307.0","13,322.0","13,948.0"
"54","33","      Capital consumption adjustment","B044RC1","-282.0","-328.0","-365.0","-393.0","-413.0","-429.0","-444.0","-454.0","-461.0","-461.0","-456.0","-446.0","-429.0","-425.0","-436.0","-462.0","-500.0","-530.0","-553.0","-569.0","-577.0","-580.0","-577.0","-570.0","-557.0","-545.0","-534.0","-524.0","-516.0","-504.0","-487.0","-469.0","-445.0","-436.0","-440.0","-459.0","-488.0","-516.0","-540.0","-560.0","-577.0","-590.0","-599.0","-602.0","-601.0","-604.0","-610.0","-617.0","-631.0","-633.0","-626.0","-606.0","-578.0","-555.0","-538.0","-529.0","-524.0","-521.0","-518.0","-517.0","-514.0","-511.0","-508.0","-503.0","-498.0","-495.0","-491.0","-488.0","-486.0","-486.0","-489.0","-495.0","-501.0","-508.0","-516.0","-523.0","-530.0","-541.0","-553.0","-568.0","-585.0","-600.0","-616.0","-631.0","-646.0","-664.0","-687.0","-711.0","-742.0","-773.0","-806.0"
"55","34","    Nonfarm","A045RC1","20,635.0","19,972.0","19,688.0","20,252.0","21,513.0","22,400.0","23,000.0","23,163.0","22,674.0","22,652.0","22,536.0","22,674.0","23,354.0","24,029.0","25,614.0","25,464.0","26,984.0","27,044.0","27,500.0","27,867.0","28,118.0","28,541.0","28,836.0","29,538.0","29,972.0","29,852.0","29,787.0","29,766.0","29,733.0","30,320.0","30,535.0","31,516.0","32,496.0","33,179.0","33,966.0","34,551.0","34,697.0","35,092.0","35,329.0","35,985.0","36,965.0","37,268.0","37,646.0","37,225.0","36,963.0","37,410.0","37,920.0","38,779.0","39,291.0","40,517.0","40,801.0","40,520.0","40,330.0","40,229.0","39,865.0","39,812.0","40,817.0","41,687.0","42,280.0","43,015.0","43,436.0","44,019.0","44,470.0","44,423.0","44,596.0","45,080.0","45,737.0","46,636.0","48,215.0","49,485.0","50,272.0","50,309.0","50,729.0","51,397.0","51,995.0","53,375.0","54,569.0","54,851.0","55,376.0","56,124.0","57,195.0","57,744.0","58,999.0","58,886.0","60,460.0","62,202.0","63,484.0","63,973.0","64,745.0","65,007.0","65,059.0"
"56","35","      Proprietors' income (without IVA and CCAdj)","B046RC1","22,857.0","20,973.0","21,445.0","22,193.0","22,523.0","23,543.0","23,881.0","22,957.0","22,268.0","21,959.0","22,055.0","22,686.0","23,400.0","24,622.0","27,330.0","27,588.0","29,010.0","27,479.0","27,136.0","27,687.0","28,116.0","28,415.0","28,678.0","29,228.0","30,062.0","29,912.0","30,267.0","29,637.0","29,636.0","30,128.0","30,516.0","31,656.0","32,315.0","33,506.0","34,189.0","34,822.0","34,990.0","35,575.0","35,386.0","36,369.0","37,141.0","37,470.0","37,640.0","37,493.0","37,051.0","37,532.0","37,934.0","39,004.0","39,552.0","40,700.0","40,661.0","40,463.0","40,419.0","40,163.0","39,679.0","39,795.0","40,859.0","41,691.0","42,403.0","43,179.0","43,404.0","44,084.0","44,624.0","44,236.0","44,502.0","45,054.0","45,754.0","46,582.0","48,066.0","49,314.0","50,230.0","50,306.0","50,851.0","51,587.0","52,323.0","53,879.0","54,999.0","55,371.0","56,059.0","56,435.0","57,422.0","58,190.0","59,574.0","59,618.0","61,352.0","63,056.0","64,376.0","64,936.0","65,798.0","65,774.0","65,626.0"
"57","36","      Inventory valuation adjustment","B179RC1","-2,200.0","-756.0","-1,392.0","-1,536.0","-628.0","-812.0","-612.0","412.0","552.0","784.0","524.0","-8.0","-40.0","-592.0","-1,692.0","-2,052.0","-1,904.0","-272.0","536.0","332.0","112.0","192.0","188.0","312.0","-108.0","-96.0","-532.0","64.0","4.0","96.0","-72.0","-224.0","160.0","-352.0","-264.0","-336.0","-456.0","-676.0","-272.0","-604.0","-368.0","-368.0","-120.0","-344.0","-80.0","-72.0","64.0","-136.0","-208.0","-140.0","164.0","56.0","-116.0","32.0","164.0","20.0","24.0","88.0","-24.0","-76.0","68.0","-56.0","-172.0","144.0","48.0","-44.0","-112.0","-68.0","-28.0","-4.0","-104.0","-88.0","-100.0","-96.0","-172.0","-296.0","-196.0","-260.0","-408.0","-32.0","24.0","-180.0","-276.0","-384.0","-428.0","-356.0","-388.0","-480.0","-688.0","-400.0","-172.0"
"58","37","      Capital consumption adjustment","B047RC1","-22.0","-245.0","-365.0","-405.0","-382.0","-331.0","-269.0","-206.0","-146.0","-91.0","-43.0","-4.0","-6.0","-1.0","-24.0","-72.0","-122.0","-163.0","-172.0","-152.0","-110.0","-66.0","-30.0","-2.0","18.0","36.0","52.0","65.0","93.0","96.0","91.0","84.0","21.0","25.0","41.0","65.0","163.0","193.0","215.0","220.0","192.0","166.0","126.0","76.0","-8.0","-50.0","-78.0","-89.0","-53.0","-43.0","-24.0","1.0","27.0","34.0","22.0","-3.0","-66.0","-92.0","-99.0","-88.0","-36.0","-9.0","18.0","43.0","46.0","70.0","95.0","122.0","177.0","175.0","146.0","91.0","-22.0","-94.0","-156.0","-208.0","-234.0","-260.0","-275.0","-279.0","-251.0","-266.0","-299.0","-348.0","-464.0","-498.0","-504.0","-483.0","-365.0","-367.0","-395.0"
"59","38","  Rental income of persons with CCAdj","A048RC1","6,934.0","7,050.0","7,265.0","7,458.0","7,629.0","7,781.0","7,850.0","7,927.0","7,839.0","7,944.0","8,178.0","8,396.0","8,749.0","8,961.0","9,134.0","9,449.0","9,628.0","9,893.0","10,182.0","10,453.0","10,734.0","11,002.0","11,267.0","11,603.0","11,918.0","12,225.0","12,488.0","12,796.0","13,117.0","13,333.0","13,464.0","13,613.0","13,669.0","13,733.0","13,800.0","13,900.0","13,982.0","14,002.0","14,088.0","14,202.0","14,285.0","14,386.0","14,500.0","14,716.0","15,006.0","15,188.0","15,331.0","15,419.0","15,413.0","15,887.0","16,251.0","16,520.0","16,712.0","16,872.0","17,043.0","17,212.0","17,437.0","17,611.0","17,820.0","18,052.0","18,285.0","18,503.0","18,713.0","18,919.0","19,135.0","19,291.0","19,455.0","19,448.0","19,447.0","19,381.0","19,465.0","19,439.0","19,688.0","19,881.0","20,119.0","20,106.0","20,457.0","20,371.0","20,633.0","20,626.0","20,838.0","20,941.0","20,982.0","20,862.0","20,607.0","20,597.0","20,742.0","20,560.0","20,789.0","20,855.0","20,996.0"
