"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","    Gross domestic product","A191RX1","976,980.0","892,773.0","834,907.0","725,831.0","716,413.0","794,351.0","864,955.0","977,869.0","1,027,965.0","992,646.0","1,072,835.0","1,166,875.0","1,366,135.0","1,618,221.0","1,883,146.0","2,035,190.0","2,012,411.0","1,792,214.0","1,776,141.0","1,854,247.0","1,844,708.0","2,005,951.0","2,161,142.0","2,243,868.0","2,347,240.0","2,332,360.0","2,500,302.0","2,549,746.0","2,601,059.0","2,577,628.0","2,762,461.0","2,830,931.0","2,896,880.0","3,072,390.0","3,206,708.0","3,392,314.0","3,610,127.0","3,845,342.0","3,942,523.0","4,133,393.0","4,261,800.0"
"20","2","Business \1\","A195RX1","655,394.0","589,418.0","545,556.0","462,474.0","452,734.0","506,229.0","556,867.0","633,333.0","675,270.0","641,973.0","702,379.0","770,327.0","905,628.0","1,049,090.0","1,162,565.0","1,227,769.0","1,206,270.0","1,195,978.0","1,223,853.0","1,290,293.0","1,277,807.0","1,402,120.0","1,492,692.0","1,538,588.0","1,613,669.0","1,593,543.0","1,722,533.0","1,750,498.0","1,780,345.0","1,748,515.0","1,891,984.0","1,928,133.0","1,965,761.0","2,092,600.0","2,189,228.0","2,327,998.0","2,492,341.0","2,660,999.0","2,711,982.0","2,846,842.0","2,933,981.0"
"21","3","  Nonfarm \2\","A358RX1","606,131.0","542,628.0","488,988.0","409,027.0","401,520.0","464,417.0","504,285.0","590,687.0","621,230.0","589,003.0","643,148.0","718,451.0","848,038.0","988,120.0","1,109,630.0","1,179,482.0","1,157,342.0","1,144,836.0","1,188,095.0","1,240,987.0","1,232,975.0","1,357,592.0","1,459,816.0","1,502,262.0","1,575,441.0","1,551,179.0","1,682,090.0","1,710,835.0","1,744,903.0","1,709,103.0","1,857,095.0","1,889,585.0","1,927,349.0","2,058,918.0","2,155,201.0","2,299,735.0","2,462,583.0","2,638,625.0","2,684,069.0","2,824,824.0","2,910,887.0"
"22","4","  Farm","B359RX1","17,199.0","16,152.0","19,555.0","19,080.0","18,164.0","14,233.0","17,838.0","15,319.0","18,696.0","18,231.0","20,317.0","17,781.0","19,922.0","21,579.0","20,993.0","20,753.0","20,664.0","20,931.0","18,798.0","21,640.0","20,731.0","21,834.0","20,600.0","21,674.0","22,765.0","23,567.0","24,111.0","24,110.0","23,151.0","23,982.0","23,821.0","25,149.0","25,377.0","24,891.0","25,680.0","24,861.0","26,466.0","25,537.0","27,566.0","26,597.0","27,540.0"
"23","5","Households and institutions","A193RX1","117,586.0","115,122.0","111,227.0","106,814.0","105,843.0","107,169.0","108,132.0","109,546.0","110,993.0","110,828.0","113,103.0","117,194.0","121,339.0","127,669.0","129,871.0","135,416.0","139,771.0","142,066.0","150,781.0","160,443.0","170,249.0","183,741.0","195,934.0","207,851.0","220,239.0","232,935.0","251,796.0","267,459.0","281,623.0","297,736.0","314,459.0","335,584.0","349,629.0","368,889.0","383,984.0","399,925.0","419,707.0","438,858.0","457,128.0","480,118.0","501,165.0"
"24","6","  Households","B701RX1","69,413.0","67,242.0","64,280.0","61,117.0","60,704.0","61,895.0","62,379.0","63,025.0","64,002.0","63,596.0","65,079.0","66,767.0","69,105.0","73,589.0","75,102.0","78,746.0","81,968.0","81,944.0","87,099.0","90,838.0","96,680.0","105,461.0","113,507.0","121,201.0","128,740.0","136,566.0","148,457.0","158,131.0","166,725.0","176,115.0","186,235.0","197,270.0","206,456.0","217,937.0","226,896.0","236,008.0","246,872.0","256,781.0","267,081.0","274,553.0","285,923.0"
"25","7","  Nonprofit institutions serving households \3\","B702RX1","45,201.0","46,490.0","47,003.0","46,939.0","46,115.0","45,576.0","46,168.0","47,199.0","47,459.0","48,171.0","48,714.0","52,172.0","54,076.0","54,649.0","54,978.0","56,257.0","56,405.0","60,486.0","63,924.0","71,811.0","75,600.0","79,300.0","82,442.0","85,865.0","90,342.0","94,723.0","100,699.0","106,082.0","111,268.0","117,922.0","124,113.0","135,215.0","139,159.0","146,631.0","152,560.0","159,419.0","168,648.0","178,523.0","186,557.0","204,939.0","214,904.0"
"26","8","General government \4\","A765RX1","172,285.0","180,413.0","183,556.0","181,159.0","191,193.0","215,818.0","230,110.0","269,397.0","256,901.0","277,068.0","282,321.0","295,731.0","363,387.0","555,655.0","912,351.0","1,105,680.0","1,109,505.0","601,514.0","473,934.0","453,908.0","452,237.0","458,518.0","547,958.0","594,141.0","605,294.0","606,055.0","608,413.0","619,875.0","632,930.0","639,282.0","648,059.0","670,495.0","694,209.0","721,298.0","742,814.0","768,373.0","794,224.0","843,916.0","888,731.0","923,613.0","947,160.0"
"27","9","  Federal","A766RX1","38,218.0","40,982.0","39,225.0","37,500.0","46,262.0","61,563.0","68,283.0","112,827.0","97,787.0","110,433.0","112,583.0","123,236.0","187,531.0","378,785.0","734,347.0","929,115.0","929,632.0","435,635.0","307,384.0","283,936.0","271,200.0","271,228.0","357,137.0","398,038.0","399,999.0","390,333.0","381,449.0","377,575.0","376,430.0","365,893.0","362,802.0","369,780.0","377,554.0","393,174.0","396,711.0","400,682.0","403,355.0","429,938.0","457,908.0","465,713.0","467,098.0"
"28","10","  State and local","A767RX1","128,024.0","133,197.0","137,751.0","137,109.0","138,111.0","146,483.0","153,569.0","145,400.0","149,743.0","155,904.0","158,797.0","160,737.0","162,045.0","159,875.0","155,913.0","152,331.0","155,503.0","163,600.0","173,898.0","178,414.0","190,249.0","196,853.0","202,014.0","208,684.0","217,781.0","227,430.0","237,955.0","252,865.0","266,748.0","283,107.0","294,910.0","310,526.0","326,548.0","338,464.0","356,138.0","377,483.0","400,453.0","424,235.0","442,052.0","468,559.0","489,966.0"
"29","11","Residual","A961RX1","72,900.0","46,100.0","38,000.0","15,100.0","5,500.0","200.0","12,400.0","3,500.0","29,100.0","7,300.0","24,200.0","27,700.0","25,500.0","-58,400.0","-267,800.0","-381,500.0","-389,100.0","-115,100.0","-63,100.0","-33,300.0","-42,700.0","-26,300.0","-74,300.0","-93,900.0","-87,800.0","-91,400.0","-74,500.0","-79,900.0","-88,100.0","-98,500.0","-86,400.0","-96,600.0","-105,600.0","-107,600.0","-106,500.0","-105,900.0","-98,400.0","-108,200.0","-122,900.0","-131,800.0","-134,500.0"
"30",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","12","  Gross housing value added","A2009X1","73,209.0","72,822.0","72,421.0","71,864.0","69,838.0","72,029.0","72,007.0","71,927.0","73,032.0","75,597.0","76,728.0","78,746.0","82,612.0","88,489.0","93,208.0","97,088.0","99,288.0","102,209.0","107,550.0","113,238.0","120,778.0","129,243.0","138,853.0","149,301.0","158,055.0","167,631.0","176,948.0","186,322.0","197,650.0","208,870.0","223,422.0","237,183.0","250,515.0","265,932.0","278,924.0","291,613.0","307,056.0","320,863.0","335,614.0","348,274.0","364,608.0"
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","and the 2005 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","chained-dollar estimates are usually not additive. The residual line is the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
