"","Table 3#22# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"34","15","    To persons","B087RU1","1,997.0","1,865.0","2,533.0","1,988.0","1,905.0","1,821.0","1,650.0","1,810.0","2,032.0","2,090.0","1,999.0","2,079.0","4,257.0","2,417.0","1,696.0","1,857.0","1,933.0","1,982.0","1,980.0","1,999.0","1,977.0","1,922.0","2,076.0","2,106.0","2,204.0","2,144.0","2,098.0","2,256.0","2,606.0","2,707.0","2,592.0","2,775.0","2,963.0","2,931.0","2,772.0","2,836.0","3,094.0","3,128.0","2,998.0","3,080.0","3,470.0","3,737.0","3,516.0","3,808.0","4,451.0","4,791.0","4,539.0","4,410.0","4,826.0","4,630.0","4,473.0","4,649.0","4,967.0","4,931.0","4,872.0","5,097.0","6,004.0","5,880.0","5,665.0","5,558.0","6,094.0","5,833.0","5,713.0","5,863.0","6,583.0","6,089.0","5,933.0","6,039.0","6,630.0","6,264.0","6,118.0","6,151.0","6,771.0","6,469.0","7,170.0","6,852.0","7,364.0","7,105.0","7,341.0","8,073.0","9,097.0","9,040.0","9,131.0","9,252.0","10,102.0","10,533.0","10,524.0","10,701.0","11,369.0","11,484.0","11,307.0","11,596.0"
"35","16","    To the rest of the world \3\","W016RU1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","63.0","55.0","62.0","66.0","72.0","69.0","66.0","69.0","81.0","72.0","72.0","74.0","85.0","83.0","77.0","79.0","82.0","80.0","90.0","94.0","93.0","157.0","103.0","100.0","105.0","104.0","145.0","110.0","117.0","124.0","187.0","127.0","126.0","127.0","161.0","143.0","139.0","144.0","149.0","153.0"
"36","17","  Other current transfer payments","W010RU1","582.0","747.0","875.0","712.0","1,031.0","1,148.0","1,586.0","1,454.0","1,719.0","1,884.0","1,784.0","1,541.0","1,417.0","1,504.0","1,202.0","1,299.0","1,235.0","1,355.0","1,211.0","1,334.0","906.0","1,156.0","1,177.0","1,013.0","950.0","1,197.0","1,030.0","1,088.0","984.0","916.0","1,072.0","1,155.0","1,165.0","1,090.0","1,097.0","1,124.0","1,002.0","1,082.0","1,148.0","1,201.0","1,089.0","1,159.0","1,205.0","1,285.0","1,066.0","1,203.0","1,338.0","1,568.0","1,856.0","1,881.0","1,993.0","1,901.0","1,717.0","1,983.0","1,782.0","1,801.0","1,876.0","2,080.0","1,901.0","1,922.0","2,143.0","2,165.0","2,036.0","2,013.0","2,214.0","2,397.0","2,141.0","2,096.0","2,335.0","2,512.0","2,295.0","2,211.0","2,327.0","2,979.0","2,443.0","2,400.0","3,072.0","3,834.0","3,207.0","3,239.0","3,630.0","3,744.0","3,880.0","3,679.0","3,693.0","4,632.0","3,920.0","4,139.0","3,892.0","4,969.0","4,435.0","4,910.0"
"37","18","    Grants-in-aid to state and local governments","B089RU1","120.0","213.0","345.0","273.0","221.0","303.0","387.0","460.0","404.0","383.0","509.0","502.0","435.0","455.0","462.0","487.0","478.0","488.0","468.0","544.0","452.0","481.0","561.0","589.0","412.0","617.0","565.0","603.0","534.0","510.0","596.0","609.0","508.0","539.0","641.0","628.0","529.0","547.0","680.0","676.0","630.0","598.0","770.0","801.0","607.0","698.0","849.0","1,055.0","829.0","807.0","1,101.0","893.0","889.0","962.0","1,043.0","926.0","1,041.0","1,030.0","1,144.0","1,067.0","1,206.0","1,102.0","1,271.0","1,157.0","1,299.0","1,203.0","1,413.0","1,330.0","1,503.0","1,438.0","1,584.0","1,428.0","1,488.0","1,783.0","1,679.0","1,610.0","2,131.0","2,501.0","2,419.0","2,315.0","2,564.0","2,649.0","2,940.0","2,781.0","2,684.0","3,506.0","2,802.0","2,846.0","2,972.0","3,627.0","3,432.0","3,629.0"
"38","19","    To the rest of the world (net) \3\","W017RU1","462.0","534.0","530.0","439.0","810.0","845.0","1,199.0","994.0","1,315.0","1,501.0","1,275.0","1,039.0","982.0","1,049.0","740.0","812.0","757.0","867.0","743.0","790.0","454.0","675.0","616.0","424.0","538.0","580.0","465.0","485.0","450.0","406.0","476.0","546.0","657.0","551.0","456.0","496.0","473.0","535.0","468.0","525.0","459.0","561.0","435.0","484.0","459.0","505.0","489.0","513.0","1,027.0","1,074.0","892.0","1,008.0","828.0","1,021.0","739.0","875.0","835.0","1,050.0","757.0","855.0","937.0","1,063.0","765.0","856.0","915.0","1,194.0","728.0","766.0","832.0","1,074.0","711.0","783.0","839.0","1,196.0","764.0","790.0","941.0","1,333.0","788.0","924.0","1,066.0","1,095.0","940.0","898.0","1,009.0","1,126.0","1,118.0","1,293.0","920.0","1,342.0","1,003.0","1,281.0"
"39","20","Interest payments \1\","A091RU1","1,338.0","1,340.0","1,339.0","1,360.0","1,369.0","1,378.0","1,388.0","1,419.0","1,446.0","1,462.0","1,475.0","1,495.0","1,513.0","1,533.0","1,559.0","1,582.0","1,608.0","1,617.0","1,638.0","1,671.0","1,682.0","1,689.0","1,713.0","1,743.0","1,773.0","1,790.0","1,820.0","1,846.0","1,878.0","1,903.0","1,926.0","1,939.0","1,938.0","1,933.0","1,992.0","2,058.0","2,076.0","2,162.0","2,229.0","2,378.0","2,365.0","2,445.0","2,495.0","2,593.0","2,475.0","2,459.0","2,510.0","2,601.0","2,832.0","2,741.0","2,875.0","2,993.0","3,492.0","3,492.0","3,457.0","3,437.0","3,423.0","3,437.0","3,494.0","3,547.0","3,630.0","3,743.0","3,830.0","3,904.0","3,950.0","4,015.0","4,101.0","4,188.0","4,273.0","4,333.0","4,418.0","4,467.0","4,539.0","4,620.0","4,668.0","4,765.0","4,860.0","5,002.0","5,122.0","5,280.0","5,387.0","5,406.0","5,477.0","5,661.0","5,876.0","6,093.0","6,242.0","6,341.0","6,415.0","6,666.0","6,956.0","7,427.0"
"40","21","  To persons and business \1\","B092RU1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,391.0","3,406.0","3,380.0","3,369.0","3,354.0","3,372.0","3,426.0","3,471.0","3,550.0","3,659.0","3,744.0","3,815.0","3,859.0","3,920.0","3,997.0","4,077.0","4,162.0","4,223.0","4,309.0","4,344.0","4,417.0","4,502.0","4,550.0","4,634.0","4,727.0","4,868.0","4,984.0","5,136.0","5,249.0","5,258.0","5,339.0","5,487.0","5,702.0","5,909.0","6,086.0","6,153.0","6,230.0","6,474.0","6,768.0","7,215.0"
"41","22","  To the rest of the world","B093RU1","6.0","3.0","3.0","4.0","3.0","4.0","6.0","4.0","7.0","5.0","7.0","6.0","6.0","6.0","10.0","9.0","12.0","12.0","12.0","11.0","12.0","12.0","20.0","20.0","20.0","20.0","23.0","23.0","15.0","14.0","14.0","16.0","16.0","20.0","27.0","31.0","34.0","34.0","39.0","47.0","47.0","52.0","51.0","51.0","42.0","23.0","32.0","42.0","52.0","59.0","74.0","96.0","101.0","86.0","77.0","68.0","69.0","65.0","68.0","76.0","80.0","84.0","86.0","89.0","91.0","95.0","104.0","111.0","111.0","110.0","109.0","123.0","122.0","118.0","118.0","131.0","133.0","134.0","138.0","144.0","138.0","148.0","138.0","174.0","174.0","184.0","156.0","188.0","185.0","192.0","188.0","212.0"
"42","23","Subsidies \2\","B096RU1","209.0","306.0","122.0","98.0","140.0","254.0","188.0","233.0","236.0","217.0","179.0","190.0","280.0","369.0","255.0","293.0","409.0","458.0","280.0","301.0","327.0","360.0","266.0","224.0","300.0","239.0","268.0","160.0","188.0","341.0","216.0","153.0","261.0","315.0","186.0","178.0","317.0","263.0","359.0","567.0","355.0","653.0","695.0","193.0","454.0","457.0","787.0","424.0","192.0","155.0","275.0","436.0","179.0","204.0","240.0","523.0","177.0","521.0","395.0","921.0","509.0","259.0","608.0","897.0","410.0","254.0","1,000.0","558.0","585.0","299.0","1,146.0","689.0","625.0","298.0","1,461.0","605.0","552.0","365.0","2,183.0","825.0","730.0","340.0","2,060.0","655.0","582.0","338.0","2,671.0","556.0","561.0","339.0","3,008.0","601.0"
"43","24","    Net federal government saving","A923RU1","4,029.0","-1,162.0","-487.0","3.0","4,733.0","-940.0","-686.0","-2,188.0","309.0","-3,571.0","-2,155.0","-3,110.0","-1,028.0","-705.0","2,706.0","869.0","6,749.0","251.0","-1,020.0","-1,520.0","4,172.0","-1,620.0","-1,639.0","-3,040.0","3,389.0","-2,695.0","-156.0","-4,701.0","1,727.0","-4,228.0","-1,646.0","-3,852.0","393.0","1,007.0","-307.0","-1,659.0","1,956.0","1,425.0","531.0","-2,513.0","1,212.0","1,228.0","-803.0","-4,256.0","-1,880.0","-2,107.0","-3,137.0","-4,910.0","-661.0","1,250.0","-1,575.0","-2,897.0","1,358.0","3,265.0","-861.0","-3,576.0","-1,912.0","1,224.0","-1,010.0","-3,007.0","-1,159.0","2,430.0","-2,021.0","-4,592.0","-816.0","3,668.0","-2,151.0","-2,820.0","-1,203.0","2,137.0","-3,433.0","-4,363.0","-164.0","4,452.0","-4,080.0","-5,677.0","-979.0","4,432.0","-5,163.0","-5,246.0","-3,640.0","-440.0","-6,563.0","-8,848.0","-3,963.0","63.0","-3,320.0","-6,517.0","488.0","5,188.0","-3,990.0","-6,794.0"
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","25","  Gross government investment","A787RU1","555.0","597.0","791.0","850.0","991.0","1,053.0","1,105.0","1,270.0","1,353.0","1,435.0","1,563.0","1,561.0","1,283.0","1,299.0","1,423.0","1,522.0","2,054.0","2,737.0","3,487.0","4,255.0","4,164.0","4,190.0","4,376.0","4,491.0","4,669.0","4,823.0","4,732.0","4,435.0","4,342.0","4,151.0","3,823.0","3,781.0","3,564.0","3,579.0","3,514.0","3,554.0","3,609.0","3,752.0","4,067.0","4,324.0","4,322.0","4,213.0","4,502.0","4,538.0","4,514.0","4,611.0","4,765.0","5,047.0","5,347.0","5,452.0","5,607.0","5,364.0","5,359.0","5,336.0","5,619.0","5,578.0","6,028.0","6,032.0","6,221.0","6,366.0","6,483.0","6,508.0","6,779.0","6,732.0","6,450.0","6,601.0","6,987.0","6,632.0","6,732.0","6,775.0","6,833.0","6,775.0","6,570.0","6,564.0","6,800.0","6,764.0","7,251.0","7,185.0","7,779.0","7,873.0","7,968.0","7,738.0","8,194.0","8,039.0","7,811.0","7,838.0","7,783.0","7,674.0","8,107.0","7,586.0","7,770.0","7,260.0"
"46","26","  Consumption of fixed capital","A918RU1","2,417.0","2,405.0","2,414.0","2,355.0","2,213.0","2,119.0","2,081.0","2,020.0","2,005.0","1,924.0","1,845.0","1,796.0","1,748.0","1,705.0","1,705.0","1,762.0","1,796.0","1,816.0","1,860.0","1,919.0","1,969.0","2,030.0","2,105.0","2,176.0","2,231.0","2,306.0","2,328.0","2,377.0","2,439.0","2,495.0","2,539.0","2,593.0","2,623.0","2,650.0","2,703.0","2,760.0","2,842.0","2,893.0","2,950.0","3,004.0","3,094.0","3,142.0","3,209.0","3,267.0","3,264.0","3,310.0","3,382.0","3,446.0","3,488.0","3,538.0","3,593.0","3,650.0","3,706.0","3,755.0","3,812.0","3,865.0","3,918.0","3,969.0","4,028.0","4,096.0","4,176.0","4,221.0","4,326.0","4,425.0","4,487.0","4,557.0","4,607.0","4,665.0","4,719.0","4,772.0","4,820.0","4,863.0","4,906.0","4,962.0","5,025.0","5,077.0","5,135.0","5,214.0","5,291.0","5,378.0","5,453.0","5,549.0","5,653.0","5,763.0","5,877.0","5,972.0","6,082.0","6,182.0","6,293.0","6,393.0","6,490.0","6,600.0"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. Beginning with 1947, includes receipts from the leasing of federally owned lands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","and mineral deposits.  Beginning with 1960, includes interest receipts.  Prior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","to 1960, interest receipts are included in interest payments (line 20), which",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","are shown net of interest receipts.  Interest payments to persons and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","business includes interest accrued on the actuarial liabilities of defined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","benefit pension plans for federal government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2. Prior to 1959, subsidies (line 23) and the current surplus of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","government enterprises (line 10) are not shown separately; subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","3. Prior to 1960, government social benefits to the rest of the world",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","(line 16) are included in line 19, ""other current transfer payments to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
