"","Table 1#16# Sources and Uses of Private Enterprise Income       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"19","1","    Sources of private enterprise income","W259RC1","90,849.0","85,365.0","97,635.0","110,760.0","112,809.0","115,903.0","118,148.0","134,418.0","139,411.0","145,597.0","146,354.0","163,176.0","168,331.0","177,012.0","193,628.0","207,376.0","224,667.0","248,235.0","268,745.0","277,735.0","301,508.0","324,340.0"
"20","2","Net operating surplus","W260RC1","80,112.0","73,906.0","85,021.0","96,501.0","96,852.0","98,371.0","99,220.0","112,940.0","114,851.0","117,778.0","117,454.0","129,939.0","130,877.0","137,152.0","149,598.0","158,906.0","171,242.0","190,249.0","204,822.0","207,603.0","221,352.0","228,089.0"
"21","3","Income receipts on assets","W261RC1","10,737.0","11,459.0","12,614.0","14,259.0","15,957.0","17,532.0","18,928.0","21,478.0","24,560.0","27,819.0","28,900.0","33,237.0","37,454.0","39,860.0","44,030.0","48,470.0","53,425.0","57,986.0","63,923.0","70,132.0","80,156.0","96,251.0"
"22","4","  Interest","W262RC1","9,085.0","9,905.0","10,847.0","12,010.0","13,612.0","15,244.0","16,486.0","18,588.0","21,204.0","24,189.0","25,822.0","29,855.0","33,664.0","35,815.0","39,536.0","43,585.0","48,046.0","52,204.0","58,267.0","64,142.0","73,160.0","88,204.0"
"23","5","  Dividend receipts from the rest of the world","B3375C1","1,071.0","1,118.0","1,292.0","1,498.0","1,422.0","1,462.0","1,740.0","1,928.0","2,181.0","2,267.0","2,133.0","2,293.0","2,433.0","2,884.0","3,178.0","3,240.0","3,784.0","4,046.0","3,625.0","3,948.0","4,233.0","4,849.0"
"24","6","  Reinvested earnings on U.S. direct investment abroad","B3475C1","581.0","436.0","475.0","751.0","923.0","826.0","702.0","962.0","1,175.0","1,363.0","945.0","1,089.0","1,357.0","1,161.0","1,316.0","1,645.0","1,595.0","1,736.0","2,031.0","2,042.0","2,763.0","3,198.0"
"25","7","    Uses of private enterprise income","W263RC1","90,848.0","85,365.0","97,636.0","110,762.0","112,808.0","115,903.0","118,147.0","134,417.0","139,409.0","145,599.0","146,355.0","163,175.0","168,331.0","177,012.0","193,626.0","207,376.0","224,667.0","248,237.0","268,748.0","277,741.0","301,514.0","324,336.0"
"26","8","Income payments on assets","W264RC1","11,984.0","13,130.0","14,460.0","16,091.0","18,090.0","20,410.0","22,456.0","25,258.0","28,625.0","32,798.0","35,841.0","40,100.0","44,859.0","48,767.0","54,186.0","59,214.0","65,992.0","72,464.0","81,391.0","90,426.0","101,641.0","123,743.0"
"27","9","  Interest and miscellaneous payments \1\","W265RC1","11,593.0","12,701.0","13,962.0","15,586.0","17,633.0","19,920.0","21,976.0","24,722.0","28,090.0","32,260.0","35,286.0","39,436.0","44,206.0","48,038.0","53,464.0","58,410.0","65,082.0","71,388.0","80,263.0","89,211.0","100,281.0","122,291.0"
"28","10","  Dividend payments to the rest of the world","B3376C1","235.0","286.0","308.0","336.0","323.0","327.0","318.0","349.0","368.0","381.0","399.0","431.0","477.0","489.0","507.0","566.0","581.0","715.0","783.0","768.0","865.0","1,013.0"
"29","11","  Reinvested earnings on foreign direct investment in the United States","B3476C1","156.0","143.0","190.0","169.0","134.0","163.0","162.0","187.0","167.0","157.0","156.0","233.0","176.0","240.0","215.0","238.0","329.0","361.0","345.0","447.0","495.0","439.0"
"30","12","Business current transfer payments (net)","B029RC1","708.0","689.0","824.0","1,160.0","1,197.0","1,154.0","915.0","1,297.0","1,651.0","1,823.0","1,703.0","1,658.0","1,742.0","1,901.0","2,117.0","2,529.0","3,004.0","3,485.0","3,392.0","3,628.0","4,183.0","4,798.0"
"31","13","  To persons (net)","B931RC1","371.0","355.0","555.0","873.0","888.0","842.0","567.0","930.0","1,235.0","1,395.0","1,240.0","1,322.0","1,312.0","1,361.0","1,549.0","1,868.0","2,187.0","2,265.0","2,113.0","2,262.0","2,788.0","3,331.0"
"32","14","  To government (net)","W061RC1","337.0","334.0","269.0","287.0","309.0","312.0","348.0","367.0","416.0","428.0","463.0","336.0","430.0","540.0","568.0","661.0","817.0","1,220.0","1,279.0","1,366.0","1,395.0","1,467.0"
"33","15","  To the rest of the world (net)","W237RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"34","16","Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","39,279.0","34,690.0","37,514.0","42,594.0","43,040.0","42,017.0","42,255.0","44,272.0","45,819.0","47,785.0","50,158.0","50,346.0","50,587.0","53,199.0","55,234.0","56,398.0","59,132.0","63,662.0","67,933.0","69,475.0","73,832.0","77,005.0"
"35","17","Rental income of persons with capital consumption adjustment","A048RC1","7,484.0","7,798.0","8,779.0","9,719.0","10,816.0","12,028.0","13,061.0","13,422.0","13,668.0","14,053.0","14,796.0","15,557.0","16,463.0","17,200.0","18,046.0","18,727.0","18,831.0","19,337.0","19,910.0","20,346.0","20,111.0","20,374.0"
"36","18","Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","31,393.0","29,058.0","36,059.0","41,198.0","39,665.0","40,294.0","39,460.0","50,168.0","49,646.0","49,140.0","43,857.0","55,514.0","54,680.0","55,945.0","64,043.0","70,508.0","77,708.0","89,289.0","96,122.0","93,866.0","101,747.0","98,416.0"
"37","19","  Taxes on corporate income","A054RC1","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0"
"38","20","    To government","W025RC1","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,646.0","22,696.0","22,781.0","23,972.0","26,231.0","27,985.0","30,876.0","33,658.0","32,651.0","39,365.0","39,674.0"
"39","21","    To the rest of the world","B930RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","81.0","86.0","109.0","123.0","140.0","170.0","189.0","223.0","248.0","263.0","303.0"
"40","22","  Profits after tax with inventory valuation and capital consumption adjustments","A551RC1","18,972.0","18,855.0","18,134.0","18,639.0","20,266.0","20,007.0","21,836.0","28,127.0","27,653.0","27,717.0","24,893.0","31,787.0","31,898.0","33,055.0","39,948.0","44,137.0","49,553.0","58,224.0","62,241.0","60,967.0","62,119.0","58,439.0"
"41","23","    Net dividends","B056RC1","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0"
"42","24","    Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1","11,936.0","11,617.0","9,296.0","10,069.0","11,706.0","11,121.0","12,554.0","17,649.0","16,373.0","15,975.0","13,327.0","19,217.0","18,532.0","19,154.0","24,921.0","27,901.0","31,359.0","38,019.0","41,571.0","39,457.0","38,584.0","34,200.0"
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1. Includes rent paid by private enterprises to government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
