"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"33","10","    Command-basis gross domestic product","C191RX1","1,972,746.0","1,977,219.0","1,979,969.0","2,018,457.0","2,038,641.0","2,064,037.0","2,076,147.0","2,085,018.0","2,052,296.0","2,036,520.0","2,063,030.0","2,043,856.0","2,125,006.0","2,186,076.0","2,270,324.0","2,317,839.0","2,352,713.0","2,394,103.0","2,437,664.0","2,440,287.0","2,462,994.0","2,462,950.0","2,491,319.0","2,572,827.0","2,620,181.0","2,640,511.0","2,627,108.0","2,583,973.0","2,567,575.0","2,567,127.0","2,600,985.0","2,655,228.0","2,735,235.0","2,776,128.0","2,814,254.0","2,840,738.0","2,830,752.0","2,844,555.0","2,847,025.0","2,887,812.0","2,914,327.0","2,908,477.0","2,932,767.0","2,888,684.0","2,822,092.0","2,837,546.0","2,913,877.0","2,992,241.0","3,039,919.0","3,109,293.0","3,102,522.0","3,115,029.0","3,191,876.0","3,176,243.0","3,181,348.0","3,138,111.0","3,163,233.0","3,225,226.0","3,280,354.0","3,350,858.0","3,413,508.0","3,444,578.0","3,476,737.0","3,488,375.0","3,524,278.0","3,572,427.0","3,641,584.0","3,672,469.0","3,748,586.0","3,789,814.0","3,839,299.0","3,855,491.0","3,956,225.0","4,009,790.0","4,087,420.0","4,182,189.0","4,289,441.0","4,302,682.0","4,340,015.0","4,380,720.0","4,424,682.0","4,424,624.0","4,464,910.0","4,502,062.0","4,594,341.0","4,671,994.0","4,703,235.0","4,724,907.0","4,802,293.0","4,814,931.0"
"34","11","    Command-basis net domestic product \1\","C362RX1","1,802,472.0","1,805,400.0","1,807,217.0","1,847,225.0","1,868,641.0","1,895,126.0","1,907,482.0","1,916,210.0","1,881,275.0","1,864,073.0","1,890,502.0","1,869,890.0","1,953,026.0","2,014,985.0","2,100,798.0","2,147,851.0","2,181,618.0","2,221,875.0","2,264,269.0","2,263,625.0","2,283,854.0","2,280,082.0","2,305,703.0","2,386,432.0","2,431,340.0","2,448,223.0","2,430,131.0","2,381,171.0","2,359,868.0","2,355,676.0","2,387,229.0","2,440,239.0","2,519,907.0","2,558,748.0","2,594,860.0","2,618,927.0","2,604,538.0","2,615,059.0","2,613,766.0","2,652,727.0","2,676,516.0","2,666,400.0","2,687,432.0","2,636,619.0","2,562,109.0","2,573,871.0","2,649,637.0","2,728,127.0","2,775,067.0","2,844,624.0","2,834,681.0","2,844,632.0","2,921,830.0","2,902,279.0","2,904,057.0","2,855,135.0","2,877,214.0","2,937,697.0","2,991,016.0","3,060,173.0","3,120,722.0","3,148,586.0","3,177,119.0","3,184,050.0","3,216,095.0","3,260,957.0","3,327,514.0","3,354,077.0","3,427,915.0","3,465,212.0","3,510,694.0","3,521,505.0","3,619,703.0","3,668,499.0","3,742,062.0","3,833,182.0","3,936,742.0","3,942,815.0","3,973,788.0","4,008,204.0","4,046,085.0","4,038,210.0","4,072,351.0","4,103,320.0","4,191,662.0","4,264,517.0","4,289,184.0","4,304,041.0","4,376,168.0","4,381,855.0"
"35","12","    Command-basis gross national product","CB22RX1","1,980,683.0","1,986,010.0","1,988,922.0","2,028,041.0","2,049,295.0","2,075,223.0","2,087,163.0","2,095,946.0","2,062,626.0","2,046,482.0","2,072,640.0","2,052,401.0","2,134,285.0","2,195,971.0","2,282,150.0","2,329,482.0","2,363,463.0","2,407,191.0","2,451,495.0","2,455,014.0","2,476,676.0","2,476,709.0","2,504,733.0","2,585,913.0","2,633,050.0","2,654,325.0","2,639,241.0","2,596,193.0","2,580,881.0","2,580,390.0","2,614,522.0","2,670,767.0","2,751,252.0","2,791,895.0","2,830,235.0","2,857,136.0","2,849,073.0","2,862,624.0","2,865,506.0","2,903,839.0","2,933,433.0","2,929,188.0","2,952,508.0","2,904,072.0","2,837,939.0","2,853,714.0","2,929,475.0","3,007,699.0","3,055,284.0","3,124,714.0","3,119,240.0","3,132,860.0","3,209,070.0","3,193,825.0","3,199,783.0","3,157,575.0","3,183,953.0","3,244,898.0","3,300,571.0","3,371,581.0","3,434,160.0","3,467,398.0","3,499,842.0","3,515,286.0","3,549,787.0","3,596,948.0","3,666,642.0","3,698,406.0","3,776,837.0","3,816,953.0","3,867,273.0","3,881,425.0","3,986,120.0","4,040,675.0","4,116,042.0","4,208,084.0","4,316,329.0","4,329,613.0","4,366,278.0","4,408,337.0","4,451,988.0","4,451,035.0","4,494,221.0","4,530,526.0","4,623,673.0","4,701,934.0","4,734,111.0","4,755,449.0","4,832,850.0","4,844,263.0"
"36","13","    Command-basis net national product \1\","C027RX1","1,810,659.0","1,814,488.0","1,816,494.0","1,857,160.0","1,879,683.0","1,906,720.0","1,918,896.0","1,927,544.0","1,892,001.0","1,874,421.0","1,900,490.0","1,878,770.0","1,962,667.0","2,025,265.0","2,113,078.0","2,159,957.0","2,192,792.0","2,235,499.0","2,278,686.0","2,278,968.0","2,298,107.0","2,294,414.0","2,319,675.0","2,400,060.0","2,444,748.0","2,462,618.0","2,442,768.0","2,393,892.0","2,373,711.0","2,369,478.0","2,401,318.0","2,456,418.0","2,536,575.0","2,575,153.0","2,611,500.0","2,636,018.0","2,623,658.0","2,633,930.0","2,633,075.0","2,669,484.0","2,696,496.0","2,688,063.0","2,708,078.0","2,652,709.0","2,578,653.0","2,590,749.0","2,665,926.0","2,744,279.0","2,791,117.0","2,860,733.0","2,852,142.0","2,863,250.0","2,939,782.0","2,920,629.0","2,923,287.0","2,875,425.0","2,898,809.0","2,958,197.0","3,012,080.0","3,081,763.0","3,142,231.0","3,172,343.0","3,201,176.0","3,212,069.0","3,242,634.0","3,286,470.0","3,353,582.0","3,381,040.0","3,457,275.0","3,493,413.0","3,539,753.0","3,548,441.0","3,650,749.0","3,700,570.0","3,771,781.0","3,860,062.0","3,964,649.0","3,970,758.0","4,001,030.0","4,036,844.0","4,074,410.0","4,065,608.0","4,102,754.0","4,132,837.0","4,222,077.0","4,295,555.0","4,321,190.0","4,335,694.0","4,407,848.0","4,412,260.0"
"37",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","14","    Disposable personal income","A067RX1","1,312,272.0","1,297,389.0","1,330,750.0","1,311,500.0","1,337,442.0","1,379,140.0","1,401,680.0","1,409,621.0","1,381,938.0","1,388,593.0","1,397,554.0","1,405,357.0","1,513,748.0","1,509,160.0","1,528,085.0","1,537,490.0","1,539,262.0","1,573,537.0","1,591,399.0","1,588,533.0","1,587,714.0","1,607,888.0","1,640,181.0","1,675,391.0","1,695,775.0","1,717,884.0","1,709,703.0","1,703,955.0","1,712,685.0","1,714,307.0","1,732,491.0","1,765,692.0","1,794,461.0","1,834,080.0","1,867,718.0","1,889,607.0","1,908,957.0","1,927,171.0","1,936,904.0","1,966,411.0","1,972,132.0","1,986,102.0","1,996,780.0","1,984,865.0","1,969,849.0","1,983,110.0","2,022,925.0","2,047,707.0","2,065,016.0","2,098,104.0","2,095,120.0","2,110,144.0","2,135,238.0","2,148,635.0","2,152,479.0","2,151,518.0","2,172,486.0","2,205,503.0","2,234,815.0","2,277,906.0","2,299,653.0","2,323,864.0","2,336,029.0","2,356,723.0","2,376,894.0","2,399,043.0","2,425,490.0","2,465,003.0","2,513,370.0","2,581,018.0","2,614,359.0","2,643,856.0","2,675,108.0","2,705,450.0","2,779,451.0","2,835,449.0","2,863,540.0","2,871,058.0","2,905,938.0","2,939,716.0","2,983,591.0","3,006,775.0","3,035,087.0","3,057,059.0","3,109,332.0","3,161,213.0","3,169,025.0","3,190,629.0","3,197,022.0","3,232,315.0"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. In this table, net measures are the corresponding gross measures excluding the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Gross domestic purchases excluding change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","by the sale of goods and services produced; they reflect gains or losses in real income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","resulting from changes in the terms of trade for exports and imports.  For more detail on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","command-basis estimates, see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
