"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"32","12","  Gross national income \2\","A023RX1","1,923,169.0","1,922,101.0","1,925,075.0","1,943,673.0","1,997,231.0","2,043,624.0","2,044,963.0","2,055,142.0","2,014,374.0","2,008,384.0","2,020,021.0","1,990,785.0","2,072,001.0","2,156,997.0","2,240,614.0","2,283,723.0","2,295,101.0","2,337,746.0","2,378,931.0","2,400,714.0","2,415,370.0","2,429,771.0","2,451,874.0","2,526,168.0","2,570,698.0","2,589,505.0","2,571,337.0","2,519,760.0","2,527,016.0","2,531,208.0","2,553,898.0","2,609,392.0","2,680,963.0","2,735,220.0","2,770,777.0","2,792,228.0","2,797,059.0","2,825,244.0","2,828,631.0","2,874,560.0","2,884,541.0","2,883,594.0","2,895,407.0","2,860,016.0","2,799,241.0","2,807,383.0","2,868,590.0","2,928,776.0","2,995,393.0","3,076,288.0","3,052,904.0","3,075,185.0","3,142,472.0","3,141,789.0","3,142,193.0","3,126,160.0","3,134,137.0","3,185,669.0","3,236,611.0","3,313,298.0","3,352,596.0","3,391,791.0","3,426,371.0","3,470,004.0","3,498,027.0","3,547,784.0","3,595,834.0","3,628,017.0","3,690,276.0","3,742,740.0","3,796,076.0","3,830,075.0","3,918,733.0","3,969,636.0","4,023,093.0","4,107,767.0","4,198,127.0","4,225,804.0","4,254,161.0","4,292,729.0","4,317,418.0","4,340,169.0","4,388,220.0","4,431,459.0","4,498,530.0","4,567,352.0","4,627,529.0","4,655,472.0","4,699,641.0","4,730,702.0"
"33","13","  Net domestic product","A362RX1","1,762,675.0","1,758,585.0","1,755,345.0","1,786,803.0","1,817,099.0","1,850,697.0","1,862,235.0","1,863,987.0","1,834,183.0","1,826,395.0","1,848,079.0","1,828,608.0","1,910,204.0","1,974,038.0","2,058,116.0","2,100,489.0","2,130,313.0","2,169,013.0","2,216,223.0","2,218,441.0","2,241,441.0","2,243,043.0","2,257,443.0","2,336,763.0","2,381,280.0","2,397,939.0","2,378,794.0","2,334,189.0","2,317,845.0","2,316,935.0","2,343,110.0","2,391,486.0","2,465,263.0","2,506,947.0","2,541,508.0","2,555,326.0","2,540,257.0","2,560,216.0","2,554,035.0","2,598,004.0","2,613,212.0","2,602,698.0","2,627,359.0","2,592,024.0","2,510,344.0","2,525,115.0","2,588,443.0","2,654,709.0","2,708,535.0","2,781,065.0","2,772,155.0","2,781,575.0","2,849,442.0","2,833,964.0","2,838,572.0","2,795,595.0","2,813,379.0","2,869,281.0","2,919,992.0","2,983,412.0","3,040,104.0","3,073,038.0","3,101,544.0","3,110,192.0","3,144,480.0","3,186,101.0","3,251,744.0","3,272,770.0","3,348,214.0","3,388,061.0","3,434,549.0","3,442,496.0","3,532,764.0","3,580,918.0","3,656,581.0","3,747,264.0","3,844,463.0","3,854,754.0","3,878,270.0","3,908,343.0","3,941,550.0","3,937,811.0","3,968,962.0","3,997,916.0","4,083,105.0","4,154,015.0","4,180,422.0","4,194,121.0","4,260,387.0","4,268,704.0"
"34","14","  Net domestic income \3\","W256RX1","1,740,128.0","1,736,551.0","1,738,435.0","1,757,098.0","1,811,896.0","1,859,309.0","1,860,520.0","1,870,411.0","1,827,918.0","1,821,347.0","1,832,692.0","1,802,629.0","1,884,872.0","1,970,856.0","2,053,414.0","2,095,813.0","2,105,849.0","2,144,929.0","2,184,128.0","2,202,355.0","2,215,379.0","2,226,501.0","2,245,911.0","2,319,332.0","2,361,539.0","2,375,768.0","2,354,557.0","2,297,196.0","2,299,252.0","2,300,122.0","2,319,936.0","2,371,983.0","2,442,210.0","2,495,154.0","2,528,398.0","2,546,829.0","2,545,853.0","2,571,590.0","2,570,887.0","2,617,592.0","2,620,860.0","2,614,388.0","2,623,488.0","2,586,367.0","2,517,794.0","2,521,801.0","2,582,236.0","2,641,843.0","2,708,436.0","2,789,781.0","2,761,280.0","2,780,226.0","2,848,044.0","2,843,654.0","2,839,767.0","2,818,305.0","2,821,228.0","2,871,969.0","2,920,499.0","2,995,336.0","3,031,636.0","3,065,683.0","3,096,394.0","3,132,847.0","3,158,052.0","3,205,621.0","3,249,790.0","3,276,660.0","3,333,502.0","3,383,818.0","3,432,383.0","3,463,782.0","3,545,203.0","3,590,355.0","3,640,837.0","3,724,258.0","3,809,057.0","3,830,174.0","3,852,548.0","3,883,551.0","3,901,744.0","3,918,665.0","3,957,870.0","3,996,009.0","4,057,462.0","4,120,474.0","4,173,840.0","4,195,696.0","4,233,296.0","4,259,442.0"
"35","15","  Net domestic purchases","W367RX1","1,716,234.0","1,715,143.0","1,712,021.0","1,765,486.0","1,811,144.0","1,860,824.0","1,873,747.0","1,878,392.0","1,832,208.0","1,824,261.0","1,853,585.0","1,849,321.0","1,936,211.0","2,004,465.0","2,106,827.0","2,142,819.0","2,168,402.0","2,193,528.0","2,229,320.0","2,230,224.0","2,258,190.0","2,273,874.0","2,304,126.0","2,393,930.0","2,438,326.0","2,460,352.0","2,436,015.0","2,388,398.0","2,370,121.0","2,364,087.0","2,387,712.0","2,433,054.0","2,510,415.0","2,562,080.0","2,591,752.0","2,609,594.0","2,593,402.0","2,604,351.0","2,594,482.0","2,627,119.0","2,642,424.0","2,637,470.0","2,664,595.0","2,633,360.0","2,565,920.0","2,585,662.0","2,648,254.0","2,723,046.0","2,773,065.0","2,849,321.0","2,837,076.0","2,847,036.0","2,904,081.0","2,879,178.0","2,883,953.0","2,829,976.0","2,848,715.0","2,909,964.0","2,971,629.0","3,034,948.0","3,097,886.0","3,118,750.0","3,160,082.0","3,174,491.0","3,202,218.0","3,228,362.0","3,309,708.0","3,321,724.0","3,387,356.0","3,428,412.0","3,481,880.0","3,488,462.0","3,597,636.0","3,630,807.0","3,721,910.0","3,808,667.0","3,917,148.0","3,922,922.0","3,966,885.0","3,992,736.0","4,025,648.0","4,022,254.0","4,062,698.0","4,097,091.0","4,190,863.0","4,262,550.0","4,289,536.0","4,304,792.0","4,380,001.0","4,382,589.0"
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Note. Except as noted in footnotes 1, 2 and 3, chained (2009) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","as the product of the chain-type quantity index and the 2009 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
