"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","2","General public service","G170021",11.4,13.6,15.7,17.9,19.8,23.3,27.2,29,32.3,34.6,37.3,41,43.2,47.1,51.2,54.2,61.8,66,69.9,72.9,78.2,84.7,89.5,96.3,97.2,101.2,104.8,104.8,112.3,119.2,128.4,133.7,145.6,156.3,161.8,173.7,186.6,199.5,206.8,218.5,228,231.9,230,235,237.6
"12","3","National defense","A997RC1",82.6,81.8,82.3,84.4,84.3,88.8,94.3,98.2,104.9,113,122.9,140.8,162.9,184.6,199.6,213.6,230.5,245.8,259.2,274.2,283.5,295.4,310.6,307.5,300.8,294.5,291.1,291.5,292.5,288.5,301.2,308.3,325.1,358.1,408.9,446.8,475.9,500.3,526.1,582.8,613.3,653.2,662.3,650.5,616.4
"13","4","Public order and safety","G170041",10.3,11.8,13.6,15.4,17.1,19.4,22.1,23.9,26.1,28.9,32,35.6,39.9,44.4,48.5,52.6,58.3,63.3,68.7,75.7,84.8,94.2,103.1,113.3,122.1,130.9,140.1,149.2,157.2,167.4,182.3,197.6,214.4,229,237.3,252.5,265.9,281.5,300.4,321.3,328.5,331.5,336,342.1,351.5
"14","5","Economic affairs","G170051",21.7,23.5,26.5,28.8,30.9,35.5,41.1,42.8,46.1,51.3,55.9,64.9,74.7,78.8,85,84.2,92.1,98.5,97.6,94.5,104.3,112.7,117.5,125.6,129.2,135.2,139.4,143.1,150.7,154.1,164,176.1,185.8,200.1,207.4,216.9,226.8,240.6,257.5,273.5,282.5,296.9,288.2,294.8,299.1
"15","6","Housing and community services","G170061",1.2,1.4,1.8,1.8,2,2.1,2.2,2.3,2.3,2.5,2.5,2.9,3.1,3.1,3.2,3.3,3.4,3.8,3.8,4.2,4.8,5.3,5.7,6,6.6,6.2,6,6.4,6.8,7.3,7.9,7.5,8.7,9.3,9.6,9.4,10.6,10,9.9,10.9,10.6,10.6,10.8,11.1,11.8
"16","7","Health","G170071",8.2,9.8,11,12.5,14,15.9,18.1,18.6,20.5,22.8,24.1,27.6,29.6,30.6,32,34.7,37.1,38,40.3,44.3,47.8,52.3,55,57,57.3,60,60.6,60.9,61.5,63.5,69.3,75,78.6,86.2,94.2,99.1,109.2,111.6,124.1,138.5,142,146.5,153.5,160.4,166.3
"17","8","Recreation and culture","G170081",1.7,1.9,2.1,2.4,2.6,3,3.5,3.6,3.9,4.4,4.8,5.2,5.6,6.1,6.4,6.9,7.7,8.2,8.5,9.2,10.2,11.2,12.1,13.1,13.5,14.4,15.1,15.6,16.5,17.5,18.5,20.3,22.1,24.3,24.9,26.3,27.9,30,31.7,33.4,33.6,33.6,32.8,33.3,34.2
"18","9","Education","G170091",40.5,46.7,53.1,58.8,63.7,70.9,81.5,88.3,95.4,102.4,112.5,122.3,132.7,142,150.4,162.7,176.4,190.8,204.9,220,240.2,261.3,276.6,292.9,307.9,323.9,342.4,358.7,377.8,401.3,428.7,463.4,496.4,511.7,533.3,565.8,594.2,626.5,667.2,701.7,713.3,727,729.2,734,739.9
"19","10","Income security","G170101",3.3,4,4.7,5.7,6.5,7.9,8.6,9.6,11,12,13.3,14.6,15.6,16.4,18.3,19.8,21.1,22,23.3,24.9,27.6,30.9,33.8,37.6,39.5,43.2,45.1,46.1,49.4,53.5,57.3,62.3,68.5,76.4,78.2,78.4,83,89.9,85.9,88.1,90.2,91.1,88,88.8,90.9
"20","11","      Federal","A957RC1",100.4,102.3,106.6,112.2,113.9,122.5,132.9,139,149.6,162,176,202.1,231.3,255.7,277.9,292,316.8,336.5,347.8,360.8,380.2,401.8,423.9,430.2,427.7,427.3,427.7,428.4,438.7,436.4,455.6,475.1,505.4,560.3,628.5,681.4,723.4,763.9,798.4,879.8,933.7,1003.9,1006.1,1003.6,963
"21","12","General public service","G170121",3.2,4.2,5.2,5.8,6.1,7.1,7.7,8.2,8.8,8.9,9.7,10.3,10.4,11.6,11.4,11.6,13.4,14.3,14.6,14.9,15.6,18.1,19.9,20.4,19,19.1,20.6,18.5,20.9,20.3,21.8,21.4,25.3,29.1,30.8,37.3,39.4,41.2,43.9,48.6,53.4,57.3,57.7,60.4,56.8
"22","13","National defense","A997RC1",82.6,81.8,82.3,84.4,84.3,88.8,94.3,98.2,104.9,113,122.9,140.8,162.9,184.6,199.6,213.6,230.5,245.8,259.2,274.2,283.5,295.4,310.6,307.5,300.8,294.5,291.1,291.5,292.5,288.5,301.2,308.3,325.1,358.1,408.9,446.8,475.9,500.3,526.1,582.8,613.3,653.2,662.3,650.5,616.4
"23","14","Public order and safety","G170141",0.6,0.7,0.9,1.2,1.3,1.5,1.8,2,2.2,2.4,2.6,2.9,3,3.1,3.6,4,4.4,4.7,5.1,6.2,6.9,7.5,8.6,9.7,11.8,12.4,13.3,14.6,14.6,15.2,17,19.8,22,25.6,28.3,31.4,33.4,35.7,37.7,43.4,46.9,48,49.1,49.4,46.4
"24","15","Economic affairs","G170151",9.7,10.1,11.8,13,13.4,14.8,17.7,18.5,20.4,23.2,25.1,30.1,35.8,36.5,41.4,38.8,43.5,46.6,43.1,37.7,44.4,48.6,49.9,54.4,55.4,58,58.3,58.8,62.6,61.9,64.8,70.3,72.2,80.3,85.8,89.6,90.9,95.6,100.9,106.7,113.9,129.4,116.6,117.7,115.1
"25","16","Housing and community services","G170161",0.2,0.3,0.5,0.5,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.4,0.5,0.4,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.4,0.4,1.1,0.5,0.2,0.4,0.6,0.9,0.9,-0.2,0.5,0.8,0.9,0.5,1.1,0.9,1.1,1.5,1.4,1.7,2,2,2
"26","17","Health","G170171",2.6,3.3,3.7,4.8,5.7,6.3,7.5,8,8.6,9.7,10.4,12.1,13.1,13.8,15.7,17.3,18.2,18.5,19.2,21.1,22.6,24.4,26.4,28.4,30.2,32.4,33.5,34,36.3,37.6,37.8,42.1,46.1,48.4,54.5,55.7,58.3,60.3,64.8,73.2,79.5,86.4,92.5,97.7,99.4
"27","18","Recreation and culture","G170181",0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.3,1.5,1.7,1.8,1.9,2,2,2,2.2,2,2.4,2.5,3.1,3.3,3.6,3.7,3.7,3.8,4,4.3,4.6,4.4,4.5,4.5
"28","19","Education","G170191",0.5,0.6,0.7,0.7,0.7,0.6,0.8,0.8,0.8,0.8,0.9,1,1.2,1.2,1.3,1.5,1.4,1.5,1.6,1.6,1.8,1.9,2.1,2.2,2.3,2.8,3,3.1,3.1,3.3,3.7,4,4.6,5,5.2,5.3,6,5.6,5.4,5.6,6,6.3,6.7,6.8,6.8
"29","20","Income security","G170201",0.8,1,1.1,1.4,1.4,2.1,1.9,2.2,2.7,2.8,3.1,3.5,3.4,3.5,3.5,3.7,3.7,3.4,3.4,3.4,3.7,4,4.4,5.4,5.2,5.6,5.7,5.6,6.1,6.6,6.4,6.9,7.2,9.9,10.9,11.3,14.7,20.7,14.7,14,15,17,14.7,14.6,15.7
"30","21","      State and local","A991RC1",80.4,92.1,104.2,115.4,126.8,144.5,165.6,177.2,193,209.9,229.4,252.8,276.1,297.4,316.7,340,371.8,399.9,428.3,458.9,501.3,546.2,580.1,619,646.5,682.2,716.8,748.1,785.9,835.7,902,969.1,1039.7,1091,1127.1,1187.6,1256.6,1325.9,1411.4,1488.7,1508.4,1518.3,1524.8,1546.1,1584.5
"31","22","General public service","G170221",8.3,9.4,10.5,12,13.7,16.2,19.4,20.8,23.6,25.7,27.6,30.7,32.9,35.6,39.8,42.6,48.3,51.7,55.3,58,62.6,66.5,69.6,75.8,78.2,82.1,84.2,86.3,91.3,98.9,106.6,112.3,120.3,127.3,131,136.4,147.2,158.3,162.9,170,174.6,174.6,172.3,174.5,180.7
"32","23","Public order and safety","G170231",9.8,11.1,12.7,14.2,15.7,17.8,20.3,21.9,24,26.5,29.4,32.7,36.9,41.3,44.9,48.6,53.9,58.7,63.6,69.5,77.9,86.7,94.5,103.6,110.3,118.5,126.7,134.6,142.6,152.2,165.3,177.8,192.4,203.4,209,221.1,232.4,245.8,262.8,277.9,281.6,283.4,286.9,292.7,305
"33","24","Economic affairs","G170241",12,13.3,14.7,15.8,17.5,20.7,23.4,24.3,25.7,28.2,30.8,34.9,38.9,42.2,43.6,45.4,48.6,51.9,54.5,56.8,60,64.1,67.6,71.2,73.8,77.2,81.1,84.3,88,92.2,99.1,105.8,113.6,119.7,121.6,127.3,135.9,145,156.6,166.8,168.6,167.6,171.6,177.2,184.1
"34","25","Housing and community services","G170251",1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,1.9,2.1,2.3,2.5,2.7,2.7,2.7,2.8,2.9,3.1,3.3,3.8,4.3,4.8,5.3,5.6,5.5,5.7,5.8,6.1,6.2,6.4,6.9,7.7,8.2,8.5,8.7,8.9,9.5,9.1,8.8,9.4,9.2,8.9,8.8,9,9.8
"35","26","Health (net)","G170261",5.5,6.5,7.3,7.7,8.3,9.6,10.7,10.6,11.9,13.1,13.7,15.5,16.4,16.8,16.3,17.4,18.9,19.5,21.1,23.2,25.3,28,28.6,28.5,27.1,27.6,27,26.9,25.2,25.9,31.5,32.9,32.5,37.8,39.7,43.4,50.9,51.3,59.3,65.3,62.5,60,61,62.7,66.9
"36","27","  Gross expenditures","Y654RC1",9.1,10.4,12,13.4,15,17.2,19.3,20.6,23,26,29.1,33,37.6,41.5,44.3,46.9,51.1,54.4,58.3,63.7,70.5,78.2,85.8,94,100.4,106.6,112.2,113.7,115.2,119.5,128.3,137,148.8,158.7,164.7,174.5,183.3,192.8,209.3,223.1,229.7,235.5,242.9,252.6,262.1
"37","28","  Less: Sales to other sectors","Y655RC1",3.6,3.9,4.8,5.7,6.7,7.6,8.6,10,11.1,12.9,15.4,17.5,21.2,24.7,28,29.5,32.2,34.9,37.2,40.5,45.2,50.2,57.2,65.5,73.3,79,85.2,86.7,90,93.6,96.9,104.1,116.3,120.9,125,131.1,132.5,141.5,150,157.8,167.2,175.5,181.9,189.9,195.2
"38","29","Recreation and culture","G170271",1.4,1.6,1.7,1.9,2.1,2.4,2.8,2.9,3.1,3.5,3.9,4.2,4.6,5,5.5,5.9,6.7,7.2,7.5,8,9,9.9,10.6,11.4,11.7,12.5,13.1,13.6,14.5,15.3,16.5,17.9,19.6,21.2,21.7,22.8,24.2,26.3,27.9,29.4,29.4,29.1,28.4,28.7,29.7
"39","30","Education","G170281",40,46.1,52.4,58.1,63,70.3,80.7,87.5,94.6,101.5,111.6,121.3,131.6,140.8,149.1,161.3,175,189.3,203.4,218.3,238.4,259.4,274.5,290.7,305.5,321.1,339.4,355.6,374.7,398,425,459.4,491.8,506.7,528.2,560.6,588.2,620.9,661.8,696.1,707.3,720.7,722.5,727.2,733.1
"40","31","Income security","G170291",2.5,3,3.6,4.3,5.1,5.8,6.6,7.4,8.3,9.2,10.1,11,12.2,12.9,14.8,16,17.4,18.6,19.8,21.5,23.9,26.8,29.5,32.2,34.3,37.5,39.4,40.6,43.4,46.9,51,55.4,61.3,66.5,67.3,67.1,68.4,69.3,71.2,74,75.2,74.1,73.3,74.2,75.2
"41",NA,"Government social benefits:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","32","      Government","W063RC1",59.6,72.5,86.2,95.8,109.8,129.9,165.1,179.8,191.7,205.9,230.1,274.4,311.5,346.5,373.6,384.1,406.7,432.4,451.7,480.4,524.6,578.9,654.5,735.7,782.9,820,867,908.8,937.6,960.1,996.1,1049.2,1150.8,1255.8,1326.7,1410.6,1497.5,1600.6,1705.5,1862.8,2117.5,2250.5,2274.8,2325.7,2391.1
"43","33","General public service","G170311",0.2,0.3,0.4,0.4,0.4,0.5,0.8,0.8,0.6,0.4,0.3,0.5,0.4,0.4,0.6,0.4,0.5,0.7,0.6,0.8,0.7,0.8,1.6,2.2,1.5,1.3,0.9,1.4,1.2,1.4,1.4,1.7,1.6,1.6,1.4,1.5,1.2,1.4,1.8,3.6,2.3,2.4,2.4,2.2,1.9
"44","34","Public order and safety","G170321",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2
"45","35","Economic affairs","G170331",0.4,0.4,0.6,0.6,0.5,0.6,0.7,1.1,1.2,2.4,2.3,2.5,2.1,1.6,1.5,1.3,1.4,1.5,1.4,1.5,1.5,1.5,1.5,1.8,1.7,1.7,1.8,1.6,1.7,1.7,1.7,1.7,2.2,2.7,2.5,2.3,2.6,2.9,2.8,3,3.4,3.5,3,2.9,3
"46","36","Housing and community services","G170341",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0,0,0.1,0.3,0.4,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.5,0.5
"47","37","Health","G170351",12.8,14.5,16.6,18.9,22.1,26.3,32.1,36.9,41.9,47.4,54.5,64.2,76,86.5,97.4,107.4,116.4,126.9,137.9,148.7,169.2,192.4,226.6,261.7,289.5,313.4,342,366.8,384.5,391.5,405.1,429.3,488.8,529.9,562.6,615.2,661.1,726.8,781.9,832.5,903.1,950.5,981.7,1013.5,1052.6
"48","38","Recreation and culture","G170361",0,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.8,0.3,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.5
"49","39","Education","G170371",1.9,2.7,3.5,4.3,4.9,5.8,8.3,8.1,7.6,7.8,8.2,9.3,10.3,9.7,10.5,10.5,11,10.9,11.2,11.8,14.1,14.4,15.1,16.7,19.3,19.9,21.8,21.9,23,25.2,26.4,27.1,31.4,34.8,36.3,39.4,41.7,43.6,45.6,52.2,65.5,84.3,88.8,87.2,85.7
"50","40","Income security","G170381",44.2,54.5,65,71.5,81.9,96.5,123.1,132.5,140.1,147.5,164.4,197.4,222.1,248,263.4,263.6,276.9,291.7,299.8,316.9,338.5,369,409,452.7,470.3,483.1,500,516.6,526.6,539.9,561,588.8,626,686.1,723.1,751.5,790,825.1,872.6,970.7,1142.3,1208.7,1197.7,1218.6,1246.6
"51","41","      Federal","W015RC1",46.3,56.4,66.9,73.8,85.7,104.6,134.3,145.6,154.7,165.2,185.8,223.2,254.4,285.4,306.7,312.9,329.4,348.1,360.9,381.9,415.2,451.2,498,555.7,587.7,613.3,649.4,684.5,710,724.4,743.8,777.8,845.7,922.8,973.1,1025.5,1090.9,1196.7,1272.2,1407.4,1624.9,1726.6,1744.4,1785.1,1825.6
"52","42","General public service","G170401",0.1,0.2,0.4,0.4,0.2,0.2,0.6,0.8,0.6,0.4,0.3,0.5,0.4,0,0.2,0.2,0.2,0.3,0.2,0.3,0.1,0.2,1,1.6,0.9,0.7,0.3,0.7,0.4,0.4,0.3,0.5,0.4,0.6,0.7,0.9,0.7,0.7,0.7,1.6,1.5,1.5,1.6,1.5,1.2
"53","43","Public order and safety","G170411",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"54","44","Economic affairs","G170421",0.4,0.4,0.6,0.6,0.5,0.5,0.1,0.2,0.3,0.5,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,1.1,1,1,1.4,1.6,1.8,1.9,2,2,1.8,1.9,2
"55","45","Housing and community services","G170431",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0,0,0.1,0.3,0.4,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.5,0.5
"56","46","Health","G170441",8.2,8.9,9.7,10.6,12.3,14.8,17.7,20.9,24.3,27.9,32.5,39.1,46.6,54.2,61.2,68.4,73.7,79.7,86.3,91.7,104,113.9,124.2,139.6,154.1,168.2,186.7,202.9,215.9,215.9,215.5,224,253.9,271,288.3,314.7,345.5,415.2,444.7,480.3,519.1,539.2,561.6,581.8,597.6
"57","47","Recreation and culture","G170451",0,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.8,0.3,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.5
"58","48","Education","G170461",1.3,2,2.5,3.2,3.7,4.5,6.7,6.4,5.7,5.7,6,6.9,7.7,7,7.6,7.3,7.4,7.1,7.1,7.6,9.4,9.1,9.4,10.6,12.7,12.3,13.1,12.8,13.8,15.4,15.9,15.6,18.4,20.6,21,22.3,23,23.7,24.8,29.9,41.5,58.5,61.9,59.5,57
"59","49","Income security","G170471",36.4,44.8,53.6,59,68.9,84.5,109,117,123.4,130.3,146,175.5,198.5,223.3,236.9,235.6,247.2,259.6,266.1,281,300.6,326.7,362.1,402.6,419,431,448.2,467.1,478.8,491.6,511,536.6,571.7,628.8,661.6,686.1,719.6,754.8,799.6,893.1,1060.2,1124.5,1116.4,1139.2,1166.6
"60","50","      State and local","B109RC1",13.2,16.1,19.3,22,24.1,25.3,30.8,34.1,37,40.8,44.3,51.2,57.1,61.2,66.9,71.2,77.3,84.3,90.7,98.5,109.3,127.7,156.5,180,195.2,206.7,217.6,224.3,227.6,235.8,252.3,271.4,305.1,333,353.6,385,406.6,403.9,433.3,455.4,492.6,523.8,530.4,540.6,565.4
"61","51","General public service","G170491",0.1,0.1,0.1,0.1,0.1,0.3,0.2,0,0,0,0,0,0,0.4,0.4,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.9,1.1,1.2,1.1,1,0.7,0.6,0.5,0.7,1,2,0.9,0.9,0.8,0.6,0.7
"62","52","Public order and safety","G170501",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"63","53","Economic affairs","G170511",0,0,0,0,0,0.2,0.6,0.9,0.9,1.9,1.7,1.7,1.4,1.1,1,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.1,1.1,0.9,1,1.1,1.1,1,1.4,1.6,1.4,1.3,1.2,1.3,1,1.1,1.4,1.5,1.2,1,1
"64","54","Health","G170521",4.6,5.6,6.9,8.3,9.8,11.5,14.4,16,17.5,19.5,22,25.1,29.4,32.3,36.2,39,42.7,47.1,51.6,57,65.2,78.5,102.4,122.1,135.5,145.2,155.3,163.9,168.6,175.6,189.6,205.3,235,258.9,274.4,300.5,315.6,311.6,337.3,352.2,383.9,411.3,420.1,431.7,455
"65","55","Education","G170531",0.6,0.8,1,1.1,1.2,1.3,1.6,1.7,1.9,2.1,2.2,2.4,2.6,2.7,2.9,3.1,3.5,3.9,4,4.2,4.6,5.3,5.7,6,6.6,7.6,8.7,9.1,9.1,9.8,10.5,11.5,13,14.1,15.4,17.1,18.8,19.8,20.8,22.3,24,25.8,26.9,27.7,28.7
"66","56","Income security","G170541",7.9,9.7,11.4,12.4,13,12,14.1,15.5,16.7,17.2,18.4,21.9,23.6,24.7,26.5,28,29.8,32,33.7,35.9,38,42.4,46.9,50.1,51.4,52.1,51.8,49.5,47.9,48.2,50,52.2,54.4,57.3,61.5,65.4,70.4,70.3,73,77.6,82.2,84.2,81.3,79.4,80
"67",NA,"Grants-in-aid to state and local governments:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","57","      Federal \2\","B089RC1",13.7,18.3,22.1,30.5,33.5,34.9,43.6,49.1,54.8,63.5,64,69.7,69.4,66.3,67.9,72.3,76.2,82.4,78.4,85.7,91.8,104.4,124,141.7,155.7,166.8,174.5,181.5,188.1,200.8,219.2,233.1,261.3,287.2,321.7,332.2,343.4,340.8,359,371,458.1,505.3,472.5,444.4,450
"69","58","General public service","G170561",0.1,0.2,0.2,2.9,7.4,6.5,6.5,7.6,8.6,8.3,7.2,7.2,4.9,5.2,5.3,5,5.1,6.5,0.8,1,0.6,0.7,0.9,0.8,0.9,1.1,1,2.1,2.4,2.4,3.6,2.1,2.4,2.5,12.5,3,3.1,2.2,2.6,1.8,1.6,1.9,1.7,1.7,3.4
"70","59","National defense","G170571",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.6,0.7,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.5,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.7
"71","60","Public order and safety","G170581",0,0.1,0.2,0.4,0.5,0.6,0.7,0.7,0.6,0.5,0.5,0.5,0.4,0.3,0.2,0.2,0.3,0.4,0.5,0.4,0.4,0.4,0.7,1.1,1.1,1.1,1.2,1.3,2.5,3.5,3.9,4.5,4.9,3.8,3.4,4,5.4,5.8,5.3,5.1,5.9,6.7,6.7,7.6,7.6
"72","61","Economic affairs","G170591",1.5,1.7,2.3,3.4,3.7,3.6,6.3,7.5,9.1,14.9,12.5,11.2,9.7,6.6,6.3,6,6.2,6.3,6.2,6.4,6.6,6.9,7.1,7.1,7.2,7.8,7.9,7.2,7.4,7.4,7.6,7.8,8.4,9.3,9.7,10.9,10.5,10.5,9.6,10.3,12.4,14.5,16.9,14.4,11.3
"73","62","  Transportation","G170641",0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1
"74","63","  Space","G170651",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","64","  Other economic affairs","W695RC1",1.5,1.7,2.3,3.4,3.7,3.6,6.3,7.5,9.1,14.8,12.4,11.2,9.7,6.5,6.3,6,6.1,6.3,6.1,6.4,6.5,6.9,7.1,7,7.2,7.8,7.8,7.2,7.4,7.3,7.6,7.8,8.4,9.3,9.7,10.9,10.5,10.5,9.6,10.3,12.2,14.4,16.7,14.2,11.2
"76","65","    General economic and labor affairs","G170601",0.8,0.9,1.4,2.3,2.3,2.2,5.1,6,7.5,13,10.3,8.6,6.7,3.8,3.8,3.3,3.4,3.4,3.4,3.3,3.4,3.4,3.5,3.8,3.8,4.3,4.3,4.1,4.3,4.3,4.4,4.6,4.7,5.5,5.2,6.1,5.2,4.8,3.9,3.7,5.2,5.1,6,5.1,4.9
