"","Table 3#15#6# Real Government Consumption Expenditures and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"35","28","General public service","W646RX1",179.5,182.5,189,199.5,195.3,192.5,193.6,193.2,192,191.2,199.6,193.4,183.7,180.5,183.2
"36","29","Public order and safety","W650RX1",254.1,258.5,268,274.7,270.8,270.9,273,277.4,285.6,289.5,293.3,286.7,282,281.7,291.9
"37","30","Economic affairs","W655RX1",290.8,301,315.8,321.6,321.8,315.2,304.5,302.3,300.5,296.5,304.1,296.6,285.2,279.6,284.3
"38","31","  Transportation","W660RX1",237.5,245.5,257.5,261,261,256,245.5,241.6,235.5,232.5,238.7,236,228.1,223.4,226
"39","32","  Other economic affairs","W665RX1",54.1,56.3,59.2,61.3,61.4,59.8,59.4,60.9,65,64.1,65.4,60.6,57.1,56.2,58.3
"40","33","Housing and community services","W666RX1",50.1,48.1,52,56,56.8,55.9,54.5,59.9,58.7,57.9,58.8,59.8,52.2,47.7,47.7
"41","34","Health (net)","W671RX1",56,53.8,51.5,59.9,63.9,66.3,72.1,70.7,77.9,79.4,80.9,77.6,74.1,75.3,79.9
"42","35","  Gross expenditures","Y650RX1",193.1,197.4,206.8,216.2,217.6,220.5,222.6,225.4,236.7,241.7,248.1,248.4,247.6,252.4,258.5
"43","36","  Less: Sales to other sectors","Y651RX1",136.9,143.5,155.6,156.3,153.6,154.2,150.6,154.7,158.8,162.3,167.2,170.8,173.6,177.2,178.6
"44","37","Recreation and culture","W672RX1",32.8,34.9,36.9,38.4,36.8,36.2,36.3,35.8,37.1,37,38.1,36.4,33.5,33,33.1
"45","38","Education","W673RX1",709.4,736.9,760.3,768.6,768.2,776.8,780.1,792.9,808.1,815.1,820,796.4,779,771.3,757.5
"46","39","  Elementary and secondary","W674RX1",567.9,587.6,601.5,613.7,616.8,618.8,620.2,630.4,635.8,636,635.7,613.8,593.3,578.7,562.9
"47","40","  Higher","W675RX1",115.1,121.1,128.8,125,121.8,128.1,129.8,133,142.7,149.4,153.6,152.4,157.2,164.4,165.9
"48","41","  Libraries and other","W677RX1",27,28.6,29.9,30.4,30.4,30.3,30.5,29.8,29.7,29.6,30.8,30.2,28.8,28.8,29.5
"49","42","Income security","W678RX1",72.7,75.7,81.1,86,84.3,80.8,79,77.1,76.3,76,76.7,74.1,71.3,70.6,70.8
"50","43","Residual","W687RX1",-9.8,-11.3,-12.3,-10.5,-7.8,-4.7,-2.6,-1.6,-0.7,0,-0.2,-0.2,-0.3,-0.7,0
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Note. Government consumption expenditures and gross investment is net of sales to other sectors.  Thus, growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","in the prices or quantities of sales to other sectors may partially, exactly, or more than offset the growth in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","the prices or quantities of gross consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","    The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
