"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","    Motor vehicles and parts","DMOTRC1",37.4,34.5,43.2,49.4,54.4,48.2,52.6,68.2,79.8,89.2,90.2,84.4,93,100,122.9,147.2,170.1,187.5,188.2,202.2,207.8,205.1,185.7,204.8,224.7,249.8,255.7,273.5,293.1,320.2,350.7,363.2,383.3,401.3,401.5,409.3,410,395,400.6,339.6,317.1,342,363.5,395.1,417.7,447.8
"12","5","    Furnishings and durable household equipment","DFDHRC1",27.6,28.2,29.9,33.5,38,40.9,42.6,47.2,53.4,59,65.3,67.8,71.5,71.8,79.8,88.8,94.6,103.5,109.5,115.2,121.4,120.9,118.8,124.3,131.4,140.5,146.7,153.5,160.5,173.6,191.2,208.1,214.9,225.9,235.2,254.3,271.3,283.6,283.5,268.7,244.3,250.4,260.7,271.1,280.9,287.5
"13","6","    Recreational goods and vehicles","DREQRC1",16.7,17.9,19.2,22.6,25.3,26.6,30.4,34.2,37.7,41.7,45.8,46.5,49.9,51.3,58.7,67.8,74.1,83,91.8,99.9,103.9,105.6,107.7,111,123.5,140.3,153.7,164.9,174.6,191.4,210.9,230.9,234.9,244.8,259.2,284.1,305,324.1,335.8,329.3,303.8,312.7,321,334.8,348.7,361.6
"14","7","    Other durable goods","DODGRC1",8.7,9.4,10.1,11,12.9,14.5,16.5,19.1,21.1,23.5,25.1,27.6,29.6,29.9,33.7,38.3,41.6,47.5,52.5,57.8,61.3,65.5,64.9,68,72,76.5,79.6,84.3,87.3,94.2,102.7,110.4,108.4,113.4,121.7,132.1,141,153.5,164.8,164.6,158.2,165.6,180.2,191.1,202,205.5
"15","8","  Nondurable goods","DNDGRC1",214.2,228.8,239.7,257.4,286.1,321.4,349.2,377.7,408.4,450.2,511.6,573.4,625.4,646.3,678.8,721.5,757.2,774.2,814.3,862.3,929.5,994.2,1020.3,1055.2,1090.8,1139.4,1179.8,1241.4,1291.2,1329.4,1431.2,1540.3,1583.7,1613.2,1704,1820.4,1953.1,2079.7,2176.9,2273.4,2175.1,2292.1,2471.1,2549.8,2601.9,2666.2
"16","9","    Food and beverages purchased for off-premises consumption","DFXARC1",95.4,103.5,107.1,114.5,126.7,143,156.6,167.3,179.8,196.1,218.4,239.2,255.3,267.1,277,291.1,303,316.4,324.3,342.8,365.4,391.2,403,404.5,413.5,432.1,443.7,461.9,474.8,487.4,515.5,540.6,564,575.1,599.6,632.6,668.2,700.3,737.3,772.9,770,788.9,829.1,854.9,872.2,888.6
"17","10","    Clothing and footwear","DCLORC1",44.3,45.5,49,53.5,59.2,62.4,66.9,72.2,79.3,89.3,96.4,103,113.2,116.7,126.4,137.6,146.8,157.2,167.7,178.2,190.4,195.2,199.1,211.2,219.1,227.4,231.2,239.5,247.5,257.8,271.1,280.8,277.9,278.8,285.3,297.5,310.7,320.2,323.7,319.5,306.5,320.6,338.9,353.7,360.7,365.4
"18","11","    Gasoline and other energy goods","DGOERC1",25,26.3,27.6,29.4,34.3,43.8,48,53,57.8,61.5,80.4,101.9,113.4,108.4,106.5,108.2,110.5,91.2,96.4,99.9,110.4,124.2,121.1,125,126.9,129.2,133.4,144.7,147.7,132.4,146.5,184.5,178,167.9,196.4,232.7,283.8,319.7,345.5,389.1,284.5,333.4,409.6,415.5,408.3,398.3
"19","12","    Other nondurable goods","DONGRC1",49.5,53.6,55.9,60,65.8,72.1,77.7,85.2,91.5,103.3,116.5,129.3,143.5,154,168.8,184.6,196.9,209.4,225.9,241.4,263.3,283.6,297.1,314.5,331.4,350.6,371.4,395.2,421.3,451.8,498,534.4,563.9,591.4,622.7,657.6,690.4,739.6,770.4,791.9,814.2,849.2,893.5,925.7,960.7,1013.9
"20","13","Services","DSERRC1",299.8,328.9,358.9,395.6,434.5,480.5,541.4,603.9,676.3,762.6,851.6,954.8,1068.1,1174.6,1312.7,1434.5,1585.1,1702.8,1835.8,2009.6,2169,2334.3,2462.7,2652.4,2828.7,2994.5,3168.6,3350.4,3554,3794.3,4020.3,4339.5,4577.9,4785.5,5044,5359.8,5713.8,6068.2,6388.9,6637.9,6648.5,6839.4,7092.8,7341.3,7633.2,7961.7
"21","14","  Household consumption expenditures (for services)","DHCERC1",290.4,318.4,347.2,382.8,420.8,465,524.4,584.9,655.7,739.6,825.4,924.8,1034,1136.7,1272,1389.1,1537.2,1650.2,1780.1,1946.3,2101,2258.5,2382.6,2564.5,2738.6,2896.7,3066.3,3240.4,3448.4,3670.5,3882,4181.5,4398.8,4587.1,4838.5,5153.4,5503.6,5829,6140.2,6355.8,6372.5,6564,6817.8,7052.8,7327.5,7633.7
"22","15","    Housing and utilities","DHUTRC1",101,109.4,120,131.2,143.5,158.6,176.5,194.7,217.8,244.3,273.4,312.5,352.1,387.5,421.2,457.5,500.6,537,571.6,614.4,655.2,696.5,735.2,771.1,814.9,863.3,913.7,962.4,1009.8,1065.5,1123.1,1198.6,1287.5,1333.6,1394.1,1469.1,1583.6,1682.4,1758.2,1839.1,1881,1909,1959.9,2009,2086.3,2166
"23","16","    Health care","DHLCRC1",42.1,47.7,53.7,59.8,67.2,76.1,89,101.8,115.7,131.2,148.8,171.7,201.9,225.2,253.1,276.5,302.2,330.2,366,410.1,451.2,506.2,555.8,612.8,648.8,680.5,719.9,752.1,790.9,832,863.6,918.4,996.6,1082.9,1154.6,1240.1,1322.3,1394.2,1481.8,1556.5,1627.4,1690.7,1764.7,1854.7,1920.3,1997.2
"24","17","    Transportation services","DTRSRC1",18,20,22.4,24.5,26.1,28.5,32,36.2,41.4,45.2,50.7,55.4,59.8,61.7,68.9,80,90.1,95,103.1,114.2,121.8,126.4,123.7,133.6,146.1,161.9,177.9,195,214.3,227.6,244.1,263.5,264.7,258.2,265.5,276.6,289.4,302.1,312.2,311.7,289.7,292.9,308.1,319.9,332.6,344.9
"25","18","    Recreation services","DRCARC1",12.9,14,15.1,16.3,18.3,20.9,23.7,26.5,29.6,32.9,36.7,40.8,47.1,52.5,59.4,66.1,74,80.4,87.3,99.2,110.7,121.8,127.2,139.8,153.4,164.7,181.1,195.6,208.3,220.2,238.1,254.4,262.3,271.4,289.2,312.1,328.9,351.9,375.8,384.5,376,385.1,400.6,418.4,436,444.6
"26","19","    Food services and accommodations","DFSARC1",37.5,41.6,43.8,48.9,54.8,60.6,68.8,77.8,85.7,97.1,110.9,121.7,133.9,142.5,153.6,164.9,174.3,186.7,204.4,225.8,242.6,262.7,273.4,286.3,298.4,308.3,316.1,326.6,343.4,361.8,380.3,408.8,419.7,436.3,461.9,496.4,530.6,566.3,595.6,612.5,600.3,617.7,649.5,685,714.7,755.5
"27","20","    Financial services and insurance","DIFSRC1",28.5,31.1,34.1,38.3,41.5,45.9,54,59.3,67.8,80.6,87.6,95.6,102,116.3,145.9,156.6,188.1,199.8,205.3,219.8,238.4,247.4,266.8,295.1,332.6,346.9,366.4,392.3,429.2,467.3,509.1,566.3,552.8,562.6,588.5,635.3,689.6,724.2,768.5,771.5,719,763.2,795.8,788.4,826.7,885.1
"28","21","    Other services","DOTSRC1",50.5,54.6,58.1,63.7,69.3,74.4,80.3,88.6,97.7,108.3,117.2,127.1,137.2,150.9,169.9,187.5,207.9,221.2,242.4,262.8,281.1,297.5,300.5,325.7,344.4,371.2,391.2,416.4,452.3,496,523.7,571.5,615.3,642.2,684.7,723.8,759.1,807.9,848,880.1,879.2,905.4,939.3,977.4,1010.9,1040.4
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1",9.4,10.5,11.7,12.8,13.8,15.5,17,19,20.6,23,26.1,30,34.1,38,40.8,45.4,47.9,52.6,55.7,63.3,68,75.9,80.1,87.9,90.1,97.8,102.3,110,105.6,123.8,138.2,158,179.1,198.3,205.5,206.4,210.3,239.2,248.8,282.1,276,275.4,275,288.5,305.6,328
"30","23","    Gross output of nonprofit institutions \2\","DNPERC1",34,38.1,42.8,47.4,51.8,58.8,67.2,76.3,85.2,96.7,109.4,126.1,145.7,163.8,179.2,194.4,209.3,227.3,246.9,275.5,301.2,334.4,362.9,396.4,418.7,440.1,458.5,483.1,502.6,542.5,576.3,621.6,676.4,737.1,774.6,819,868.5,932.2,983.1,1040.9,1072.6,1105.9,1139.6,1196.1,1242.9,1302.5
"31","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1",24.6,27.6,31.1,34.5,38.1,43.3,50.2,57.3,64.5,73.6,83.2,96.1,111.5,125.8,138.5,149,161.4,174.7,191.2,212.2,233.2,258.6,282.8,308.5,328.7,342.3,356.2,373.1,397,418.7,438.1,463.6,497.4,538.7,569.1,612.6,658.2,693,734.4,758.8,796.5,830.5,864.6,907.6,937.2,974.5
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  PCE excluding food and energy \4\","DPCCRC1",470.1,502.7,549.5,607.1,670,721.5,799.5,897.2,1001.3,1126.4,1243.8,1357,1505.1,1625.6,1822.1,2014,2220.2,2403.4,2582.4,2810,3018.1,3211.5,3331.1,3579.8,3815.6,4062.5,4288.8,4536.5,4811.7,5158.2,5519.1,5929.7,6211.5,6495.5,6809.2,7226.6,7652.3,8083.4,8457.4,8628.1,8577.4,8858.5,9231.8,9605,9984.2,10412.8
"34","26","  Energy goods and services \5\","DNRGRC1",39,41.5,44.3,47.8,54.4,67.5,76.7,85.6,95.6,103.7,127.4,158.4,177.1,181.2,187.3,193.1,199.5,178.6,185.4,194.1,209.3,223,226.1,231.4,241.9,246.4,251.7,269.7,274.2,257.4,272.4,322.1,327.6,313.5,356.8,400.8,473.6,520.4,555.7,612.7,499.6,554.8,628.4,623.3,628,628.9
"35","27","  Market-based PCE \6\","DPCMRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2783.2,3012.2,3237.6,3453.8,3572.1,3794,4004.3,4233.7,4449.8,4697.7,4951.7,5234.6,5595,6003.3,6276.6,6518.6,6853.2,7282,7747.8,8181.2,8576.7,8815.4,8705.5,9013,9463.7,9839.4,10182.1,10544
"36","28","  Market-based PCE excluding food and energy \6\","DPCXRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2274.3,2476.1,2663.6,2840.3,2943.7,3158.7,3349.5,3555.7,3754.9,3966.6,4203.1,4490.1,4807.4,5140.9,5385.3,5630.3,5897.1,6248.9,6606.4,6961,7284,7430.3,7436.3,7669.7,8006.6,8361.6,8682.3,9026.8
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
