"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"29","22","Government consumption expenditures and gross investment","A822CX1",301.2,295,289.6,288.2,287.3,293.8,300.3,301.9,305.5,314.5,320.3,326.4,329.5,335.6
"30","23","  Federal","A823CX1",166.3,156.1,146.1,141.5,136.5,137.4,138.1,138.4,141.4,145,148.4,154.8,161.8,167.8
"31","24","    National defense","A824CX1",131,120.3,108.1,100.6,95.5,94.6,93.7,93.2,94.1,94.9,97.4,101.2,107.5,115.3
"32","25","    Nondefense","A825CX1",35.8,36.1,38.1,40.9,41,42.8,44.5,45.2,47.3,50.2,51,53.7,54.3,52.3
"33","26","  State and local","A829CX1",135.3,139.2,143.5,146.7,150.9,156.4,162.1,163.4,164,169.4,171.9,171.6,168.1,168.3
"34","27","Residual","A960CX1",-3.3,-1.7,-1.1,-0.1,1.4,2.7,4,0.8,-1.9,-1.2,1.1,6.9,5.9,3.7
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note. Chained (1972) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","index rebased with the reference year 1972 equal to 100 and of the 1972 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
