"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","  Farm","B359RA3",24.871,25.562,26.908,26.911,26.617,26.016,31.001,29.587,31.2,30.103,32.783,31.752,41.942,44.039,28.691,38.889,47.897,45.968,46.482,41.429,47.126,50.537,50.64,58.69,51.71,62.878,50.019,57.933,64.803,61.651,64.42,76.408,70.757,73.704,81.813,87.503,92.574,93.273,78.482,86.259,100,101.507,96.277,90.781,103.778,95.841
"12","5","Households and institutions","B193RA3",31.786,32.399,33.855,35.228,36.474,38.005,39.357,39.927,40.286,42.04,43.515,45.003,45.975,47.275,48.78,50.222,51.589,53.271,55.477,58.422,60.733,62.69,64.067,65.847,69.128,71.351,73.494,74.977,77.253,79.87,82.137,85.362,87.304,88.719,90.508,92.771,95.59,96.945,97.05,99.799,100,100.881,101.668,102.23,103.764,105.132
"13","6","  Households","B701RA3",31.799,32.583,34.191,35.663,36.914,38.624,39.78,40.388,40.457,42.798,44.178,45.726,46.398,46.881,47.992,49.42,51.362,52.509,54.197,56.42,58.087,59.236,60.292,61.905,64.735,67.82,70.196,71.651,73.626,75.581,78.659,82.23,84.994,85.695,88.003,91.475,96.064,98.426,97.716,100.502,100,100.483,101.007,100.729,102.368,104.096
"14","7","  Nonprofit institutions serving households \3\","B702RA3",31.702,31.994,33.175,34.373,35.606,36.839,38.497,39.004,39.821,40.641,42.256,43.644,45.079,47.672,49.805,51.264,51.731,54.241,57.252,61.313,64.621,67.84,69.711,71.745,75.71,76.603,78.387,79.908,82.646,86.288,87.286,89.975,90.658,93.157,94.166,94.661,94.945,94.88,96.127,98.826,100,101.428,102.575,104.28,105.67,106.55
"15","8","General government \4\","B765RA3",59.859,60.158,60.297,60.27,60.601,61.839,62.812,63.393,64.098,65.367,66.157,67.19,67.701,68.545,69.173,70.232,72.416,74.426,76.295,78.469,80.426,82.465,83.327,83.701,83.917,84.013,84.152,84.338,84.974,85.919,86.694,88.114,89.702,91.396,92.533,93.196,94.05,94.833,96.175,98.182,100,100.622,100.211,99.843,99.698,100.138
"16","9","  Federal","B766RA3",82.281,79.654,76.801,73.946,71.917,72.027,71.855,72.147,72.543,73.62,73.891,75.222,76.602,78.14,80.239,82.444,85.26,87.464,90.321,92.144,93.637,95.352,95.951,94.427,92.888,90.334,87.478,85.438,83.99,83.12,82.509,82.974,83.331,84.758,87.018,88.371,89.589,90.336,91.634,95.118,100,103.418,104.515,104.49,102.479,102.414
"17","10","  State and local","B767RA3",47.036,49.135,51.149,52.927,54.792,56.786,58.512,59.29,60.205,61.623,62.75,63.622,63.61,64.044,63.794,64.194,66.045,67.969,69.314,71.69,73.904,76.117,77.113,78.431,79.506,80.89,82.489,83.763,85.415,87.237,88.673,90.544,92.706,94.524,95.127,95.459,96.138,96.938,98.301,99.609,100,99.326,98.215,97.689,98.401,99.068
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009A3",31.966,33.068,34.662,36.347,37.581,39.476,40.779,41.246,41.907,43.733,44.986,46.805,47.855,48.848,50.163,51.544,54.25,55.893,57.475,59.358,60.536,61.764,63.138,64.868,67.068,69.783,72.291,73.56,75.288,77.037,79.739,82.588,85.124,85.464,86.523,89.442,93.55,95.959,96.427,99.253,100,101.417,103.254,103.933,105.407,106.912
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
