"","Table 5#9#6B# Real Gross Government Fixed Investment by Type, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"35","28","      Net purchases of used structures","B841RX1",1.4,-1.7,-1.6,0.1,-0.3,-2,-3.2,-1.4,0,1.1,0.3,1.5,-0.5,-0.3,-0.5
"36","29","  State and local","A842RX1",269.9,284.7,300.8,313.2,313.9,308,296.2,296.5,292.5,291.9,289.8,279.5,260.9,242.5,231.6
"37","30","    New","A843RX1",264.1,279.2,299.8,306.3,306.4,301.2,291.2,291.5,285.8,285,283,273.1,255.3,237.2,226.4
"38","31","      Residential","W147RX1",6.4,5.6,6.3,6.5,6.4,6.4,6.1,4.2,4.7,4.6,5.7,7.7,6.2,4.7,4.4
"39","32","      Office","W193RX1",22.4,24.4,27,29,28,27.8,25.8,20,20.5,21,21.3,20.9,19.5,17.4,15.8
"40","33","      Commercial","W194RX1",0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.4
"41","34","      Health care","W195RX1",4.3,4.2,4.4,5.4,5.3,5.3,5.5,4.8,5.6,5.9,6.1,6.1,6.4,6.7,6.3
"42","35","      Educational","W148RX1",69.6,74.3,80.4,83.1,84.4,84.1,83.4,88.8,86.3,88.2,82.8,72.7,69.4,63.1,56
"43","36","      Public safety","W196RX1",6.5,6.4,6.1,5.6,4.9,4.8,4.5,3.9,4.5,4.6,4.7,4.5,4.5,4.4,3.9
"44","37","      Amusement and recreation","W197RX1",7.3,8.6,9.2,9.1,7.9,7.7,7.7,6.3,7.1,7.4,7.7,7.2,6.3,6.1,5.4
"45","38","      Transportation","W198RX1",20.1,25.4,27,27.9,28.3,26.6,23.5,18.4,18.6,19.3,21.4,21.2,19.6,18.9,19.4
"46","39","      Power","W199RX1",5,5.9,5.8,6,8.8,7.2,7.6,9,11.7,10.2,11.2,10,8.6,8.4,9.3
"47","40","      Highways and streets","W149RX1",92.8,95.2,102.4,98.3,95.8,94.9,91.3,92.6,82.5,80.1,80.4,80.7,77.2,72.8,71.6
"48","41","      Sewer systems","W150RX1",13.9,13.1,14.7,16.3,17.1,17.6,17.4,22.3,21.8,22,21.1,21.6,19.6,17.8,17.5
"49","42","      Water systems","W168RX1",13.1,12.6,13.9,15.5,15.6,15.5,15.1,18.8,17.5,17.2,16.8,16.5,13.6,12.7,12.3
"50","43","      Conservation and development","W169RX1",3.3,4,3.6,3.1,3,3.3,3.1,2.8,3.6,3.5,3.1,3,3,3,3
"51","44","      Other \5\","W200RX1",0.2,0.4,0.2,0.8,1.2,0.5,0.3,0.5,1.2,0.5,0.1,0.5,0.9,0.9,0.8
"52","45","    Net purchases of used structures","B870RX1",5.8,5.6,1.8,6.8,7.3,6.8,5.2,5.3,6.7,6.9,6.8,6.4,5.6,5.3,5.3
"53","46","Equipment","Y054RX1",77.3,79.8,83.1,92.5,98,105.4,111.4,122.5,131,147.2,148.3,151,143.4,140.3,132.9
"54","47","  Federal","Y058RX1",46.8,47.3,49.7,58.6,63.7,71.1,76.6,84.9,87.7,101.7,103.7,108.8,103.4,100.9,92.2
"55","48","    National defense","Y050RX1",37,38.3,41.4,48,52.6,59,62.7,68.6,72.3,84.4,86,89.7,85.3,82.6,76.1
"56","49","      Aircraft","B874RX1",5.8,6.8,7.9,9.2,9.2,11.1,13.9,14.1,13.5,13.8,13.5,16.8,20,19.9,22
"57","50","      Missiles","B875RX1",3.2,3,3.7,3.7,3.8,4.4,4.2,4.7,4.5,4.4,5.1,5.5,4.8,6.4,6.2
"58","51","      Ships","B876RX1",8.7,8.3,9.1,10.8,11.7,11.8,11.3,11.7,11,11.3,11.1,11.5,10.9,11,11.4
"59","52","      Vehicles","B877RX1",1.8,2,2.1,2.9,3.4,3,4.2,5.3,6.5,9.5,9.2,9.5,7,5.5,3.6
"60","53","      Electronics","Y051RX1",2.5,2.8,2.9,3.4,4.2,4.9,5.8,7.4,9.6,13,13.2,12.7,10.6,9.4,7.3
"61","54","      Other equipment","B879RX1",16.2,16.3,16.4,19,21.2,24.6,23.8,25.7,27.4,32.4,33.9,33.6,31.9,30.2,25.4
"62","55","    Nondefense","Y066RX1",9.4,8.8,8.4,10.5,11.1,12.1,13.9,16.1,15.4,17.3,17.7,19.1,18.2,18.3,16
"63","56","  State and local","Y070RX1",30.9,32.6,33.3,34,34.3,34.2,34.8,37.8,43.3,45.5,44.5,42.2,39.9,39.3,40.7
"64","57","Intellectual property products \2\","Y055RX1",123.3,127.2,133.5,140.4,150.4,157.9,164.1,168.7,173.6,177.2,179.8,183.2,183.3,183.1,177.2
"65","58","  Federal","Y059RX1",105.4,108,113.4,119.9,129.1,135.6,140.8,143.7,147.2,149.3,151.1,153.9,153.8,153,146.3
"66","59","    National defense","Y052RX1",46,45.7,48,53.1,59.8,65.3,68.9,70.8,73.6,73.6,71.8,71.1,70.3,69.6,63.6
"67","60","      Software","Y053RX1",6.3,6.2,5.9,5.8,5.6,5.9,6.1,6.3,6.6,6.9,6.8,7.3,7.7,7.7,7.7
"68","61","      Research and development","Y076RX1",39.4,39.2,42,47.2,54.1,59.4,62.8,64.4,67,66.7,65,63.8,62.6,61.9,56
"69","62","    Nondefense","Y067RX1",59.3,62.3,65.4,66.8,69.3,70.2,71.9,72.9,73.6,75.7,79.3,82.8,83.5,83.4,82.8
"70","63","      Software","Y068RX1",11.4,12.2,12.8,11.5,11.6,12,12.9,13.5,14.4,15.2,15,16,16.9,17.3,17.3
"71","64","      Research and development","Y069RX1",47.9,50,52.5,55.3,57.8,58.3,59.1,59.5,59.2,60.5,64.3,66.7,66.7,66.2,65.5
"72","65","  State and local","Y071RX1",17.9,19.2,20,20.5,21.4,22.4,23.3,25,26.4,27.8,28.7,29.3,29.5,30.1,31
"73","66","    Software","Y072RX1",8.6,9.2,9.4,9.2,9.7,10.4,10.9,11.3,11.7,12.2,12.2,12.3,12.9,13.5,14
"74","67","    Research and development","Y073RX1",9.3,9.9,10.5,11.3,11.7,12,12.4,13.7,14.7,15.6,16.5,17.1,16.6,16.7,17.1
"75","68","Residual","A967RX1",-12.7,-13.3,-15.8,-13.6,-11.5,-8.3,-4.8,-3.6,-1,-0.1,0.1,0.1,0.2,-0.1,0.3
"76",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","69","  Government enterprise gross fixed investment","A882RX1",83.1,82.9,88.9,96.5,104.2,98.3,94.3,96.5,98.8,100.6,104.5,106.4,95.1,89,88.9
"78","70","    Federal","A883RX1",9.2,6.4,6.1,6.2,7.4,6.2,7.9,7.7,7.2,8.1,7.6,9.5,7.9,6.9,6.3
"79","71","      Structures","B884RX1",5.4,2.2,3.2,2.9,3.4,1.9,2.8,2.7,2.4,3.8,3.1,4.7,3.1,2.2,2.2
"80","72","      Equipment","Y074RX1",2.4,1.8,1.1,1.5,2.1,2.1,2.8,2.6,2.3,1.6,1.9,2,1.9,1.7,1.2
"81","73","      Intellectual property products","Y075RX1",2,2.2,2.2,2,2,2.2,2.3,2.4,2.5,2.7,2.6,2.8,2.9,3,3
"82","74","    State and local","A886RX1",72.8,76.4,82.9,90.5,97,92.3,86.4,88.8,91.5,92.6,96.9,96.9,87.2,82.1,82.6
"83","75","      Structures","B887RX1",65.7,69.9,75.9,81.2,85.5,80.9,76,78.4,81.1,80.5,83.5,84.1,75.2,70.6,70.8
"84","76","      Equipment","Y077RX1",7.1,6.9,7.5,9.4,11.1,10.9,9.9,10,10,11.6,12.9,12.4,11.5,11,11.3
"85","77","      Intellectual property products","Y078RX1",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2. Structures, software, and research and development include compensation of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","employees engaged in new own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","structures, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","index and the 2009 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","difference between the first line and the sum of the most detailed lines, excluding the lines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","in the addenda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
