"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"22","11","    Command-basis net domestic product \1\","C362RX1",4385.8,4364.6,4500.5,4739.5,4998.3,4878.7,4849.7,5129.7,5350.4,5651.9,5785.1,5642.5,5786.1,5648.5,5953,6433.3,6706.6,6918.3,7119.7,7416.6,7682.4,7786.6,7760.8,8044.8,8272.4,8619,8828.5,9165.4,9595.9,10051.4,10492.6,10846.1,10924.6,11108.5,11392.2,11804,12145.9,12424.1,12593.1,12343.8,12050.4,12357.9,12514.3,12831.5,13150.4,13478.7
"23","12","    Command-basis gross national product","CB22RX1",4851.2,4856.1,5012.3,5269.8,5566.9,5486.9,5469.6,5772,6021.7,6348.6,6540.8,6442.5,6608.3,6518.5,6844.3,7348.2,7650.1,7896.3,8148.2,8496,8807.9,8971.2,8979.1,9290.7,9555.3,9931,10199.9,10598.3,11088.4,11622.6,12173.8,12642.5,12827.5,13070.3,13432,13934.6,14356.2,14689.9,14997.4,14854.4,14569.8,14942.2,15162.6,15501.1,15865.1,16234.7
"24","13","    Command-basis net national product \1\","C027RX1",4415.8,4394.3,4534,4775.7,5048.8,4935.1,4893.1,5183.1,5410.7,5712,5866.8,5721.6,5856,5721.8,6024.8,6501.1,6752.5,6948.3,7149.8,7454.2,7721.9,7839.6,7807.6,8089.6,8317.4,8651.8,8867.4,9207.5,9627.2,10075,10527.1,10891.8,10987.3,11166.5,11470.3,11904.8,12247.1,12495.8,12722.6,12515.7,12201.4,12560.1,12750.5,13045.5,13359.1,13673
"25",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","14","    Disposable personal income","A067RX1",3264.4,3413.2,3570.4,3741.2,3968.6,3923.6,4020,4144,4274.8,4470.5,4557.8,4590.5,4705.6,4803.3,4971,5314,5476.2,5687.8,5811,6083.9,6268.7,6393.5,6438.4,6714.2,6823.6,7010.7,7245.8,7476.1,7751.3,8208.1,8477.7,8902.2,9148.7,9431.6,9690.1,10035.7,10189.4,10595.4,10820.6,10987.3,10942.5,11055.1,11331.2,11676.2,11650.8,11943.3
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. In this table, net measures are the corresponding gross measures excluding the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2. Gross domestic purchases excluding change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","by the sale of goods and services produced; they reflect gains or losses in real income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","resulting from changes in the terms of trade for exports and imports.  For more detail on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","command-basis estimates, see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
