"","Table 1#16# Sources and Uses of Private Enterprise Income       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","  Interest","W262RC1",88.2,106.5,117.1,131.2,159.2,197.2,221.9,227.5,251.1,298.3,366.1,456.5,597.5,690.3,713.6,779.9,853.6,898.2,964.3,1085.8,1266,1285,1226.5,1122.4,1092.6,1182.9,1377.2,1420.1,1537.8,1624.5,1718,2022.8,1954.4,1680.7,1592.4,1803.7,2238.6,2822.6,3230.3,2762.6,2102.6,1936.7,1909,1837.9,1755.2
"12","5","  Dividend receipts from the rest of the world","B3375C1",4.8,5,6.1,6.5,8.6,11.6,8.6,11.7,14.1,14.7,19.9,21.5,20.7,23.9,19.5,19.7,21,27.9,27.9,45.1,47.9,43.7,41.4,44.7,39.5,59.7,58.6,69.1,80,83.2,92.5,86.2,87.2,92.7,101,135.6,363.3,186,249,316.4,237.2,248,298.6,321.7,286.8
"13","6","  Reinvested earnings on U.S. direct investment abroad","B3475C1",3.2,3.6,3.7,5.2,9,8.8,9.3,9.3,9.6,14.3,22.7,22.4,17.3,12.8,21.6,26.5,25.8,20.8,31,26.5,27.6,37.3,34,33.6,49.5,44.9,68.8,70.3,75.5,63.5,84.8,116.9,96.1,112.6,149,192.5,20.4,247.8,261.4,265.6,260.9,336.6,345.7,322.7,370.2
"14","7","    Uses of private enterprise income","W263RC1",324.3,338.4,375.2,423.6,496.3,543.6,601.3,656.6,734.9,856.2,975.4,1081.1,1310.3,1414.2,1524.4,1748.8,1882,1932.1,2079.8,2327.2,2577,2621.1,2564.3,2532.1,2603.1,2865.1,3209.8,3438.4,3735.2,3908.5,4130.5,4559.2,4542.6,4396.3,4504,5019.1,5804.4,6748.7,7064.2,6542.3,5832.9,6107,6363.8,6660.8,6838.7
"15","8","Income payments on assets","W264RC1",123.8,149.3,164.5,183.7,221.3,275.6,312.6,321.5,360.4,424.4,517.7,652.3,840.8,967.7,1009.2,1125.6,1222.9,1293.4,1373.9,1528.6,1758.1,1778.9,1676.2,1550.5,1517.6,1625.5,1848.2,1905.4,2079.4,2226.3,2348.9,2747.2,2645.1,2320.2,2233.3,2436.9,3015.3,3758.4,4268.1,3854.2,3004.4,2796.7,2786.7,2738.2,2678.8
"16","9","  Interest and miscellaneous payments \1\","W265RC1",122.3,147.7,162.6,181.5,218.7,272.6,309.3,317.1,355.7,418.2,509.7,643.9,832.4,963.6,1003.2,1116.1,1214.2,1284.2,1363,1514,1749.7,1774.1,1677.1,1545.2,1505.6,1599,1813.8,1868,2031.5,2182.3,2293.6,2690.4,2632.2,2273.6,2149.9,2313.8,2870.7,3580.8,4111,3679,2863.5,2607.3,2564.3,2495.7,2424.8
"17","10","  Dividend payments to the rest of the world","B3376C1",1,1.1,1.4,1.6,1.8,1.9,2.1,2.7,3.1,3.5,3.9,4.7,5.3,7.5,7.4,7.4,9.2,10,11.2,13.2,16.3,18.7,17.1,16.6,18.9,21.5,25.8,28.7,32.8,41,51,56.9,46.5,44.8,68.9,73.3,102.5,108.1,108.6,135.9,119,126.6,143.7,144.8,154
"18","11","  Reinvested earnings on foreign direct investment in the United States","B3476C1",0.4,0.4,0.6,0.6,0.9,1.1,1.2,1.7,1.6,2.6,4.1,3.6,3.1,-3.4,-1.3,2.2,-0.5,-0.7,-0.3,1.4,-7.9,-13.9,-18.1,-11.4,-6.9,5.1,8.6,8.7,15.2,3,4.3,-0.1,-33.7,1.8,14.5,49.8,42.1,69.5,48.5,39.4,21.9,62.8,78.7,97.7,100.1
"19","12","Business current transfer payments (net)","B029RC1",4.8,4.4,4.2,4.8,5.7,6.8,9,9.1,8.1,10.4,12.8,14,16.9,19.3,21.7,29.2,34.1,36,33.3,32.8,38.3,39.2,38.9,39.7,39.4,40.7,45,52.6,50.1,64.1,67.8,85.3,99.1,80.7,76.3,81.4,93.9,82.6,98.6,114.4,124.9,128.5,131.5,106.7,120.6
"20","13","  To persons (net)","B931RC1",3.3,2.9,2.7,3.1,3.9,4.7,6.8,6.7,5.1,6.5,8.2,8.6,11.2,12.4,13.8,19.7,22.3,22.9,20.2,20.6,23.2,22.2,17.6,16.3,14.1,13.3,18.7,22.9,19.4,26,34,42.4,46.8,34.2,26.3,16.8,25.7,21.5,30.6,36.6,38.7,43,50.2,43.1,42.3
"21","14","  To government (net)","W061RC1",1.5,1.4,1.5,1.7,1.8,2.1,2.2,2.4,3,3.9,4.5,5.4,5.7,6.9,7.9,9.4,11.8,13,13.1,12.2,15.1,17,21.3,23.6,25.6,27.9,24.9,30.7,29.8,34.3,36.5,41.9,43.9,46.2,48.3,52.4,53.4,58.3,62,70.6,88.5,87.2,89.2,71.9,89
"22","15","  To the rest of the world (net)","W237RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.3,-0.4,1.4,-1,0.8,3.8,-2.6,1,8.5,0.2,1.7,12.2,14.8,2.8,6,7.2,-2.3,-1.7,-7.9,-8.3,-10.8
"23","16","Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",77,77.8,83.9,95.1,112.5,112.2,118.2,131,144.5,166,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.8,341.9,354.4,356,402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871,900.1,962.1,979,1053.7,979.2,1026.5,973,1032.7,1143.7,1260.2,1336.6
"24","17","Rental income of persons with capital consumption adjustment","A048RC1",20.4,20.7,21.9,22.8,23.3,23.3,22.5,20.6,16.2,16.9,16.6,19.7,25.4,26.1,27.5,27.9,29.5,21.9,20.2,25.1,24.4,31.4,42,64.3,93.6,117.5,129.2,147,152,169.9,183.1,187.7,207.5,217.3,238,255.4,238.4,207.5,189.4,262.1,333.7,402.8,485.3,533,595.8
"25","18","Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",98.4,86.2,100.6,117.2,133.4,125.7,138.9,174.3,205.8,238.6,249,223.6,247.5,229.9,279.8,337.9,354.5,324.4,366,414.9,414.2,417.2,451.3,475.3,522,621.9,703,786.1,865.8,804.1,830.2,781.2,754,907.2,1056.4,1283.3,1477.7,1646.5,1529,1285.1,1397,1746.4,1816.6,2022.8,2106.9
"26","19","  Taxes on corporate income","A054RC1",40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.4,445.5,309.1,269.4,370.6,379.1,454.8,474.3
"27","20","    To government","W025RC1",39.7,34.4,37.7,41.9,49.3,51.8,50.9,64.2,73,83.5,88,84.8,81.1,63.1,77.2,94,96.5,106.5,127.1,137.2,141.5,140.6,133.6,143.1,165.4,186.7,211,223.6,237.1,239.2,248.8,254.7,193.5,181.3,231.8,292,395.9,454.3,420.7,281.1,246,346.3,349.6,422.7,440.2
"28","21","    To the rest of the world","B930RC1",0.3,0.4,0.4,0.5,0.7,1,0.7,1.1,1.4,1.4,2,2.4,3.2,3.4,3.4,3.5,2.9,3.2,3.4,4.5,4.6,4.8,5,5.5,5.7,6.4,6.9,7.8,8.3,9.2,10,10.4,9.8,11,12,14.1,16.5,19.1,24.8,28,23.5,24.3,29.5,32.1,34.1
"29","22","  Profits after tax with inventory valuation and capital consumption adjustments","A551RC1",58.4,51.5,62.5,74.9,83.4,72.9,87.2,109.1,131.3,153.7,159,136.4,163.2,163.4,199.1,240.4,255.1,214.7,235.5,273.2,268.2,271.7,312.7,326.6,351,428.8,485.2,554.6,620.3,555.7,571.4,516.1,550.7,714.8,812.6,977.3,1065.3,1173.1,1083.5,976,1127.5,1375.9,1437.5,1568,1632.6
"30","23","    Net dividends","B056RC1",24.2,24.3,25,26.8,29.9,33.2,33,39,44.8,50.8,57.5,64.1,73.8,77.7,83.5,90.8,97.5,106.2,112.3,129.9,158,169.1,180.5,189.5,205.3,236,259,303.5,339.5,357.1,347.9,384.7,370.6,400.2,434,564.1,580.5,726,818.9,808.6,574.6,564,703.7,857.1,959.6
"31","24","    Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1",34.2,27.2,37.5,48,53.5,39.7,54.3,70,86.6,102.9,101.4,72.3,89.4,85.6,115.7,149.5,157.5,108.5,123.2,143.3,110.2,102.7,132.2,137.1,145.6,192.8,226.2,251.1,280.9,198.7,223.5,131.4,180.2,314.7,378.6,413.2,484.8,447.1,264.6,167.3,552.9,811.9,733.9,710.9,673
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Includes rent paid by private enterprises to government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
