"","Table 7#19# Comparison of Income and Outlays of Nonprofit Instit","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"31","24","  Transfer payments to nonprofit institutions \4\","W426RC1",25.4,26.9,26.3,28,32.5,34.4,42.2,47.5,55.1,59.3,60.3,62.6,63.9,68.8,78.5,90.3,92.4,83.7,89.7,86.4,"91.7","94.3"
"32","25","  Capital consumption adjustment \9\","W429RC1",-3.4,-3.4,-3.5,-3.7,-3.5,-3.4,-4.1,-4.3,-4.8,-5.1,-5.2,-5.5,-6.3,-7.6,-9,-10.3,-11,-10.4,-9.5,-9.9,".....","....."
"33","26","Plus: Gross output of nonprofit institutions and current transfer payments not recorded by the IRS","W451RC1",25.9,28.1,31.7,32.6,34.4,34,37.1,38.1,41.2,44.7,44.3,45.6,48.5,51.8,53.3,57.5,50.4,53.4,50,51.3,".....","....."
"34","27","  Religious organizations \5\","W453RC1",26.2,27.7,31.2,32.1,34,34.3,37.8,39.2,43.3,47,47.7,48.8,52.4,55,56.8,61.2,54.9,58.6,54.1,55.8,".....","....."
"35","28","  Other organizations","W454RC1",1.2,1.2,1.3,1.4,1.4,1.8,1.7,1.8,1.7,1.6,1.7,2,2,2,2.1,2.3,2.5,2.7,2.9,3.1,".....","....."
"36","29","  Adjustment for other accounting differences \10\","W452RC1",-1.5,-0.8,-0.8,-0.9,-1.1,-2,-2.4,-2.9,-3.8,-3.9,-5.1,-5.2,-5.8,-5.3,-5.7,-6,-7,-7.8,-6.9,-7.5,".....","....."
"37","30","Equals: IRS-derived gross output of nonprofit institutions and current transfer payments","W455RC1",435.4,465.6,487.8,522.7,525.8,611.8,626.4,669.3,733.9,805.4,875.3,911.7,968.9,1033.8,1120.3,1131.2,1202,1248.9,1273.8,1330,".....","....."
"38","31","Gross output of nonprofit institutions, NIPAs \11\","DNPERC1",396.4,418.7,440.1,458.5,483.1,502.6,542.5,576.3,621.6,676.4,737.1,774.6,819,868.5,932.2,983.1,1040.9,1072.6,1105.9,1139.6,"1,196.1","1,242.9"
"39","32","Plus: Nonprofit institution current transfer payments, NIPAs \12\","W419RC1",23.2,26.2,28.6,28.7,33.5,36.7,43.7,48.8,51.7,58.7,61.9,65.6,69.8,77.3,80.6,87.8,92.3,94.5,104.1,106.2,"110.3","111.7"
"40","33","Equals: BEA-derived gross output of nonprofit institutions and current transfer payments","W456RC1",419.5,445,468.6,487.2,516.6,539.3,586.2,625.1,673.3,735.2,799,840.2,888.8,945.8,1012.8,1071,1133.2,1167,1210,1245.7,"1,306.4","1,354.6"
"41","34","    Gap, IRS less BEA gross output of nonprofit institutions and current transfer payments","W457RC1",15.8,20.6,19.1,35.5,9.1,72.4,40.2,44.2,60.6,70.2,76.3,71.4,80.1,88.1,107.5,60.3,68.8,81.9,63.8,84.3,".....","....."
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. For 1996, includes an adjustment to account for some classes of tax-exempt institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","not included in the IRS statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Primarily reflects adjustment for differences between IRS and BEA in sector definitions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","and in treatment of scholarships and fellowships.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Includes activities of nonprofit institutions serving business, unrelated sales, secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","sales, and sales to business, government, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","4. Includes grants and allocations made by nonprofit institutions that indirectly support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","households through the support of other nonprofit institutions, plus their payments to affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","5. Reflects partial coverage in the IRS statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","6. Consists of imputed interest received for depositor and insurance services, net insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","settlements, and capital consumption adjustment for rental income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","7. Estimates of income and outlays of nonprofit institutions serving households",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","are provided in table 2.9.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","8. Equals table 2.9, line 68.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","9. IRS-reported capital consumption allowance less BEA-estimated consumption of fixed capital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","for structures and for equipment and software of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","10. Consists primarily of financial services furnished without payment for depositor and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","insurance services, less expenditures for computer software investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","11. Equals table 2.9, line 58.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","12. Equals table 2.9, line 78.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
