"","Table.3.8..Current.Surplus.of.Government.Enterprises......................................................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46"
"13","7","State and local","B115RC1",1.2,1.3,1.4,1.6,1.6,1.7,1.6,1.5,1.5,1.5,1.5,1.4,1.6,1.5,0.9,0.4,0.4,0.3,0.3,-0.3,-1.2,-2.4,-1.6,-0.2,1.5,3.2,2.8,3.1,4.8,6.5,6.7,7.1,7.7,9,9,12,13.9,12.3,10.2,10.4,7.7,4,2.5,-0.6,-2.5
"14","8","  Water and sewerage","L312181",0.1,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0,-0.3,-0.6,-0.9,-0.9,-1.1,-1.4,-1.8,-1.8,-1.2,-0.4,0.4,0.7,1.2,1.8,1.9,2,2.3,2.4,2.9,3.5,4.3,5.1,5.3,5.8,6.4,6.1,5.8,6.3,7.1,7.8
"15","9","  Gas and electricity","L312191",0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.8,0.9,0.9,1,1.1,1.2,1.3,1.3,1.2,1.5,1.8,2.2,3,3.2,3.4,4.1,4.8,5.1,5.4,5.7,5.9,6.1,6.2,6.6,6.7,6.8,7.5,8.2,8.5,8.8,7.8,6.5,6.1
"16","10","  Toll facilities","L312201",0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.7,0.9,1,1,1.2,1.2,1.4,1.5,1.7,1.6,1.7,1.7,1.7,1.8,2,2.2,2.4,2.6,2.2,1.8,1.7,1.6
"17","11","  Liquor stores","L312211",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,0.9,1,1
"18","12","  Air and water terminals","L312221",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.5,0.7,0.8,0.9,1,1.1,1.3,1.3,1.5,1.6,1.7,1.8,2.1,2.5,2.6,2.8,3,2.7,2.4,2.4,2.4
"19","13","  Housing and urban renewal","L312231",0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0,0.2,0.2,0.1,0.1,0.1,-0.1,-0.3,-0.3,0.4,0.8,0.3,0.1,-0.8,-1.9,-2.2,-2.1,-1.9,-1.5,-1.4,-1.7,-2.5,-1.4,-1.5,-4,-6.6,-7,-8.7,-10.4,-11.4,-13.1,-14.3
"20","14","  Public transit","L312241",-0.1,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.4,-0.5,-0.7,-1,-1.4,-1.7,-1.6,-1.8,-2,-2.5,-2.9,-4.1,-4.7,-5.6,-6.1,-6.5,-7.4,-8,-8.3,-8.7,-9.6,-10.7,-11.2,-11.6,-12.6,-13.1,-13.5,-14.1,-15.1,-16.4,-17.8,-19.4,-19.8,-21.8,-23.7
"21","15","  Other \2\","L312251",0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,0,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.8,1,1.4,2.1,2.9,3.9,4.6,5.1,6.3,7.2,7.6,7.8,8.4,9.5,10.6,11.5,12.4,13,13.1,13.2,13.1,13.4,14.6,15.6,16.6
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1. Consists largely of the Bonneville Power Administration, other electric power agencies, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","insurance agencies other than those insuring deposits in financial institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2. Consists of lotteries, gaming administered by Indian tribal governments, off-track betting,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","local parking, and miscellaneous activities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
