"","Table.6.19A..Corporate.Profits.After.Tax.by.Industry......................................................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20"
"56","50","      Local utilities and public services, n.e.c.","B3279C0","32","26","16","23","34","28","28","21","23","15","21","22","24","20","38","29","22","18","52"
"57","51","  Wholesale trade","B3249C0","353","23","-104","-163","129","261","280","428","360","184","354","426","654","543","538","571","582","1543","1705"
"58","52","  Retail trade and automobile services","B3250C0","575","159","-83","-299","111","364","414","567","505","307","504","583","838","827","895","879","937","2083","2310"
"59","53","  Finance, insurance, and real estate","A3251C0","1478","620","391","293","406","139","193","583","612","812","841","949","1027","1100","1271","1548","1448","2005","1871"
"60","54","    Banking","A3252C0","937","762","664","571","533","417","458","510","556","534","552","605","646","625","741","846","887","1043","1036"
"61","55","    Security and commodity brokers, and services","B3256C0","182","-187","-214","-45","-97","4","-18","21","-51","-11","12","0","-1","-5","6","14","21","13","-1"
"62","56","    Credit agencies (other than banks) and holding and other investment companies","B3255C0","84","-58","-58","-64","-91","-158","-133","-148","-115","-81","-60","0","19","95","82","69","60","102","168"
"63","57","    Insurance carriers","B3257C0","199","109","118","160","414","216","166","340","317","393","346","333","285","324","298","410","286","471","202"
"64","58","    Insurance agents, brokers, and service","B3258C0","29","22","24","25","20","23","20","20","19","18","20","20","24","16","14","15","13","33","44"
"65","59","    Real estate","B3259C0","47","-28","-143","-354","-373","-363","-300","-160","-114","-41","-29","-9","54","45","130","194","181","343","422"
"66","60","  Services","A3261C0","156","111","-7","-136","-73","26","39","61","62","35","64","82","126","173","257","270","265","487","441"
"67","61","    Hotels and other lodging places","B3262C0","10","-4","-24","-34","-30","-23","-23","-24","-23","-30","-23","-11","-7","13","47","53","54","84","75"
"68","62","    Personal services","B3263C0","32","26","15","3","12","22","23","25","23","10","15","16","21","27","32","36","32","50","55"
"69","63","    Business services","B3264C0","47","42","17","5","5","24","25","27","27","23","33","29","37","30","36","40","43","71","81"
"70","64","    Miscellaneous repair services","B3266C0","5","4","2","2","2","5","3","4","3","2","1","2","5","6","5","5","4","6","10"
"71","65","    Motion pictures","B3267C0","49","42","-2","-86","-43","-2","8","19","23","28","30","39","56","80","107","109","100","179","135"
"72","66","    Amusement and recreation services","B3268C0","5","-5","-14","-21","-15","-1","2","7","7","2","6","5","9","7","12","15","27","56","38"
"73","67","    Other services","A3269C0","8","6","-1","-5","-4","1","1","3","2","0","2","2","5","10","18","12","5","41","47"
"74","68","      Health services","B3270C0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"75","69","      Legal services","B3271C0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"76","70","      Educational services, n.e.c.","B3272C0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"77","71","      Social services and membership organizations","B3273C0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"78","72","Rest of the world \1\","A3274C0","232","137","-4","-34","-2","60","159","104","272","301","324","266","391","378","372","423","342","691","986"
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","1. Consists of receipts by all U.S. residents, including both corporations and persons, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","their incorporated foreign affiliates, and earnings of unincorporated foreign affiliates,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","net of corresponding payments.  Receipts by U.S. residents of their share of reinvested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","earnings of their incorporated foreign affiliates are not included from 1930 to 1936;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","corresponding payments are not included from 1930 to 1939.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
