"","Table.6.20A..Net.Corporate.Dividend.Payments.by.Industry..................................................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20"
"59","53","  Finance, insurance, and real estate","A3351C0","832","614","503","299","135","-42","-331","294","311","303","295","218","214","387","394","412","442","485","461"
"60","54","    Banking","A3352C0","411","392","339","250","137","167","172","172","178","188","196","208","212","200","215","237","265","270","292"
"61","55","    Security and commodity brokers, and services","B3356C0","5","6","5","5","4","4","4","19","-1","6","3","12","6","-1","-5","-2","-3","5","-2"
"62","56","    Credit agencies (other than banks) and holding and other investment companies","B3355C0","0","-81","-91","-90","-94","-352","-691","-84","-77","-60","-87","-176","-176","66","25","36","29","33","18"
"63","57","    Insurance carriers","B3357C0","60","42","44","9","5","3","20","5","4","28","35","16","1","-5","21","-10","6","-26","-50"
"64","58","    Insurance agents, brokers, and service","B3358C0","16","15","16","8","7","8","10","9","10","11","10","12","13","8","9","8","7","11","15"
"65","59","    Real estate","B3359C0","340","240","190","117","76","128","154","173","197","130","138","146","158","119","129","143","138","192","188"
"66","60","  Services","A3361C0","88","79","52","35","21","33","32","69","77","60","60","65","71","61","80","79","86","138","130"
"67","61","    Hotels and other lodging places","B3362C0","6","4","2","1","0","0","-1","0","0","2","4","4","5","5","8","8","9","17","15"
"68","62","    Personal services","B3363C0","11","7","5","3","2","2","3","5","5","6","7","7","7","7","8","10","10","13","11"
"69","63","    Business services","B3364C0","37","24","13","16","11","17","16","25","29","21","22","25","23","15","18","18","19","25","28"
"70","64","    Miscellaneous repair services","B3366C0","3","2","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1"
"71","65","    Motion pictures","B3367C0","17","33","26","10","5","7","6","26","28","21","15","18","24","26","35","32","34","59","53"
"72","66","    Amusement and recreation services","B3368C0","11","8","4","2","1","3","4","8","9","6","6","6","8","4","5","6","10","17","16"
"73","67","    Other services","A3369C0","3","1","1","2","2","3","3","4","5","3","5","4","3","4","5","4","3","6","6"
"74","68","      Health services","B3370C0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"75","69","      Legal services","B3371C0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"76","70","      Educational services, n.e.c.","B3372C0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"77","71","      Social services and membership organizations","B3373C0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"78","72","Rest of the world \1\","A3374C0","232","137","-4","-34","-2","60","159","104","122","247","184","234","231","225","238","293","228","425","689"
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","1. Consists of receipts by all U.S. residents of dividends paid by their incorporated foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","affiliates and of earnings of their unincorporated foreign affiliates, net of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","payments.  Estimates for 1929 include reinvested earnings of incorporated affiliates.  For",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","other years, reinvested earnings are included in undistributed profits in table 6.21A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
