"","Table.3.18B..Relation.of.Federal.Government.Current.Receipts.and.Expenditures.in.the.National.Income.and.Product.Accounts.to.the.Budget..Fiscal.Years.and.Quarters........................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38"
"11","4","        Contributions received by Federal employee retirement plans \2\","M318041","1.4","1.5","1.8","2","2.1","2.2","2.3","2.6","2.8","3","3.2","3.5","3.7","4","4.2","4.4","4.6","4.8","4.7","4.7","4.6","4.5","4.5","4.6",4.8,4.8,4.7,4.6,4.5,4.4,4.3,4.5,4.8,4.7,4.6,4.6,4.6
"12","5","        Capital transfers received \3\","M318051","3","3.5","3.6","3.7","5.4","4.9","5","4.6","5.2","7.3","5.2","5.3","6.3","6.7","7.8","5.9","5.8","6.3","6.8","7.3","7.3","8.6","11.3","11",11,12.3,15.1,14.6,17.1,19.7,23.9,27.6,28.8,28.2,26.3,21.7,24.7
"13","6","        Financial transactions","M318061","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"14","7","        Other \4\","M318071","-0.4","0","0","-0.2","0.2","0.1","-0.1","0","-0.1","0","0.1","0.1","-0.1","0.1","0.1","-1","-1","-0.1","0.5","-0.1","0.3","-0.1","-0.1","-0.1",-0.1,-0.2,-0.2,-0.2,0.7,0.8,2.6,3.5,4.3,4.2,5.2,5.4,6.2
"15","8","Less: Netting and grossing differences","M318081","-3.7","-4.6","-4.5","-4","-5.3","-5.4","-4.5","-5.1","-6.5","-8.7","-9.1","-12.2","-13.1","-18.1","-28.6","-30.2","-34.9","-40.7","-44.3","-42.8","-45.8","-49.7","-45.9","-57.8",-57.9,-64.1,-62.1,-63.3,-62.8,-69.5,-64.5,-65.7,-70.6,-69.9,-77,-84.9,-89
"16","9","        Supplementary medical insurance premiums","M318091",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-3.9","-4.3","-4.9","-5.6","-5.7","-6.5","-8.8","-11.6","-11.6","-12.2",-13.2,-15.3,-17.8,-20.2,-20,-20.4,-20.7,-21.6,-21.9,-23.8,-26,-28.4,-32.1
"17","10","        Interest receipts","W704MC1","-2.5","-2.5","-2.5","-2.7","-3","-3.1","-3","-3.3","-4.1","-4.7","-5.7","-7.1","-8.4","-11","-14.4","-15.3","-16.6","-17.6","-22.4","-17.7","-19","-17.3","-17","-23.3",-18.4,-16.1,-12.2,-11.7,-14.5,-13.1,-11.8,-12.9,-14.3,-12.6,-11.1,-11.1,-8.8
"18","11","        Current surplus of government enterprises","W705MC1","0.5","0.4","1","1.6","1.3","1.4","2.2","3","3.1","2.9","2.7","2","3.5","3.3","2.1","2.8","3.4","2.9","1.7","1.5","2.4","1","4.9","2.6",1.1,0.5,1.8,-0.3,1.9,-0.2,0,-0.3,1.3,6.5,1.1,-2.1,-0.2
"19","12","        Other \5\","M318111","-1.7","-2.6","-3","-3","-3.6","-3.7","-3.7","-4.9","-5.5","-6.9","-6.1","-7.1","-8.2","-10.4","-12.5","-13.5","-16.8","-20.4","-17.8","-20","-20.4","-21.8","-22.2","-24.9",-27.3,-33.2,-34,-31.2,-30.1,-35.8,-31.9,-31,-35.7,-40,-41.1,-43.3,-47.8
"20","13","Plus: Timing differences","M318121","3.1","-1.2","-2.9","-0.2","0.3","2.5","1.3","-3.6","6.3","0.5","3.4","3.9","-4.9","-6.9","-8.4","7.4","7.5","-0.7","2.2","0","-0.5","3.6","2.6","2",-0.8,2.5,2.2,2.2,1.8,5.5,1.1,-3.9,-13.2,6.7,-25.6,23.1,4.9
"21","14","        Taxes on corporate income","M318131","2.2","-2.4","-3.1","1.8","-0.9","0.8","0.2","-3.8","4.8","-0.8","1.4","1.6","-5.1","-4.2","-10.9","5.6","4.5","-0.3","2.3","2.4","-0.4","2.3","3.9","0.6",-3.1,4,-1.1,3,0.4,3,-3.6,0.2,-12.6,7.1,-24,27.4,5.1
"22","15","        Federal and State unemployment insurance taxes","M318141","0","0","0","-0.1","0.5","0.4","0.1","-0.1","0.6","0.3","0.4","0.1","0.1","0.1","0.4","1.7","-0.1","0","0.6","-1.1","0.6","0.9","-0.2","0.2",0.6,0.4,0.7,0,-0.1,-0.4,-0.1,0.5,0.4,-0.2,1,-0.6,-0.1
"23","16","        Withheld personal income tax and social security contributions","M318151","0.9","1.1","0.2","-1.7","0.8","1.2","1","0.2","1","0.9","1.6","2","-0.4","-3.1","2.6","0.2","4.3","0.9","1.1","0.8","0.1","0.7","0.7","0.4",0.8,-0.1,0.5,0,2.5,1.5,1.4,1.8,0.9,0.3,-1.1,-2.7,1.1
"24","17","        Excise taxes","M318161","0","0","0","-0.4","-0.1","-0.1","-0.1","-0.2","-0.2","-0.1","-0.1","-0.1","0.3","-0.1","-0.7","-0.2","-1.3","-1.2","-1.8","-2.1","-1.7","-0.8","-1.2","0.6",0,-2.6,1.8,-1,-1.1,1.3,3.5,-6.7,-2.1,-0.6,-1.5,-1.1,-1.4
"25","18","        Other","M318171","0","0.1","0.1","0.1","0.1","0.2","0.1","0.2","0","0.3","0.2","0.3","0.2","0.3","0.2","0","0","0","0","0","0.9","0.5","-0.7","0.2",0.9,0.8,0.3,0.2,0.1,0.1,0,0.2,0.2,0.2,0,0.2,0.2
"26","19","Equals: Federal Government current receipts, national income and product accounts","M318181","156.3","186","189.7","186.4","206.2","232.5","262.9","274.7","304","355.1","405.3","472.4","517.5","601.9","624.5","627.6","695.2","761.3","801.6","883.2","940","1029.2","1062.2","1096.7",1129.7,1201.9,1300.9,1395.9,1492.7,1626.4,1753.5,1850.3,2041.2,2027.1,1865,1855.1,1934.9
"27",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","20","Budget outlays","M318191","178.8","184.5","196.6","211.4","231.9","246.5","268.4","324.6","365.6","401.9","450.8","493.2","579","660.5","728.4","795.9","841.8","936.9","989.9","1002.2","1062.6","1144","1251.8","1323.8",1380.8,1409.5,1461.9,1515.8,1560.5,1601.2,1652.6,1701.9,1789.1,1863,2011,2159.9,2292.2
"29","21","Less: Coverage differences","M318201","16.1","10.4","8.5","3.7","4.6","-0.4","-1.5","7.2","12.6","14.3","22.2","24.5","29.5","24.4","29.9","21","31.2","44.7","38","27","32.1","39.9","74.4","95.5",17.9,-14.2,-6.8,-16.7,-5.6,-28.1,-10.1,-5,2,-2.2,16.4,26.2,36.5
"30","22","        Geographic \6\","M318211","0.5","0.5","0.6","0.7","0.9","1.2","1.3","2.1","2.8","3.1","3.5","3.9","4.4","4.6","5","4.8","5.1","5.4","5.5","5.4","5.7","6.2","7.3","7.1",6.7,7,7.5,7.8,8.3,8.6,8.7,9.7,10.5,10.8,11.6,11.9,11.8
"31","23","        Federal employee retirement plan transactions \2\","M318221","2.1","2.6","2.6","3","3.1","3.6","4.3","4.6","5.4","4.3","6","6.2","6.5","7.6","7.5","7","6.8","-24","-26.2","-26.8","-27.3","-28.6","-28.6","-30.8",-32.7,-32,-30.5,-28.7,-26.8,-31.6,-31.3,-32.1,-31.7,-31.5,-33.7,-32.5,-32.8
"32","24","          Interest received","M318231","-0.7","-0.8","-1.2","-1","-1.5","-1.6","-1.8","-2.1","-2.5","-2.8","-3.2","-3.8","-4.7","-5.7","-7.5","-9.3","-11","-14.1","-17.3","-19.3","-22.2","-25.1","-28","-30.7",-33.3,-35.6,-36.9,-39.6,-41.4,-43.1,-44.8,-46.9,-46.6,-49.1,-49.9,-49,-47.4
"33","25","          Contributions received (employer)","M318241","-1.5","-1.5","-1.9","-2.7","-3.2","-3.9","-4.8","-6.7","-7.9","-10.8","-11.2","-12.9","-15.8","-18.4","-19.8","-20.9","-21.1","-49.3","-51.2","-52.2","-53.2","-54","-54.5","-57.8",-58.9,-58.3,-57.8,-57.3,-56,-62,-62.1,-62.6,-64.7,-66.2,-69.9,-76.8,-83
"34","26","          Benefits paid","M318251","4.3","4.9","5.7","6.7","7.8","9","10.9","13.4","15.7","18","20.3","22.9","26.9","31.7","34.8","37.2","38.9","39.4","42.3","44.6","48.1","50.5","53.8","57.6",59.5,61.8,64.1,68.1,70.5,73.4,75.5,77.3,79.6,83.7,86,93.1,97.4
"35","27","          Administrative expenses","M318261","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
"36","28","        Financing disbursements from credit programs \7\","M318271",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",-1.2,1.3,-2.3,-4.3,-11.7,-20.7,-11,-15.4,-17.1,-23.3,-15.7,-7.3,2.9
"37","29","        Other differences in funds covered \8\","M318281","-1.8","-2.2","-2.7","-3.6","-4.2","-6.2","-8.6","-15.7","-16.2","-17.2","-19.5","-22.6","-26.1","-34.5","-32.3","-28.2","-26.3","-8.6","-2.5","-1.6","-0.3","-0.3","-0.4","-0.3",0.1,-0.4,-0.5,0.3,0.2,0.6,1.3,2.8,2.5,4.5,4.6,8.3,3.1
"38","30","        Net investment \9\","M318291","2.8","0.5","-1.1","-3.2","-4.5","-3.7","-3.2","-1.5","1.1","1.9","1.5","4.6","5.9","7.4","9.2","14","18.3","25.2","28.2","30.7","22.9","20.5","20.5","17.8",13.4,8.1,0,-2.1,-0.9,-9.3,-7.6,-5.7,-6,-7.9,-1.4,1.9,6.2
"39","31","        Capital transfers paid \10\","M318301","5.2","6.1","5.6","5.5","5.8","6.3","7.1","8.3","9.9","11.3","11.3","13.5","16","16.5","14.8","15.2","16.9","18.8","20.8","18.9","19.5","19.5","20.7","21.4",21.8,23.2,24.7,27.2,27.7,28.9,28.2,31.3,35.1,39.8,44.1,45.5,46.3
"40","32","        Financial transactions","M318311","8.2","3.2","3.7","2.4","3.5","1.2","4.9","11.5","11","12.4","20.6","20.1","25.2","30.8","28.7","15.6","13.7","29.6","14.2","1.8","11.9","23.3","55.9","80.1",9.5,-21.6,-5.9,-9.4,-2.3,6.4,7.1,6.1,9,6.2,6.7,-1.7,-1.1
"41","33","          Loan disbursements less loan repayments and sales","M318321","7.7","3.2","3.6","2.4","3.3","1.2","4.8","11.7","10.9","12.7","21.3","20.2","25.7","29.5","26.8","19.5","15.6","26","12.6","-0.1","0.1","12.1","5.5","12.9",4.5,6.4,2.2,14.8,12.6,20.5,12.9,19.7,9.7,15.4,12.2,2,5.2
"42","34","          Deposit insurance","B1069C1","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9","1.3","1.5","2.3","0.7","-3.8","-1.7","1.6","23.8","57.9","69.6",5.5,-22.8,-2,-14.8,-7.7,-9.9,-3.1,-3.2,-2.2,-0.8,0.6,0.9,0.2
"43","35","          Net purchases of foreign currency","M318341","0.7","0.3","0.3","0.2","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"44","36","          Other","M318351","-0.2","-0.3","-0.3","-0.3","0.1","0","0","-0.3","0.1","-0.3","-0.6","-0.2","-0.5","0.4","0.7","-5.4","-4.1","2.9","5.4","3.5","10.2","-12.6","-7.5","-2.4",-0.5,-5.2,-6,-9.4,-7.1,-4.2,-2.7,-10.4,1.6,-8.4,-6.1,-4.7,-6.6
"45","37","        Net purchases of nonproduced assets","M318361","-0.6","-0.1","0","-0.7","0.2","-2.4","-6","-1.6","-1","-1.4","-0.9","-1.5","-2.4","-7.6","-2.2","-7.3","-3.3","-1.7","-1.9","-1.4","-0.1","-0.7","-1","0.2",0.2,0.2,0.2,-7.4,-0.1,-11,-5.3,-1.7,-0.3,-0.9,0.3,0.1,0.1
"46","38","          Outer Continental Shelf","M318371","-0.9","-0.3","-0.2","-0.9","0","-2.5","-6.3","-1.9","-1.3","-1.6","-1.2","-1.9","-2.8","-7.8","-2.4","-7.5","-3.4","-1.9","-2.1","-1.6","-1.3","-0.9","-1.1","0",0,0,0,0,0,-0.2,-0.5,0,-0.2,0,0,-0.2,0
"47","39","          Land and other \11\","M318381","0.3","0.2","0.1","0.2","0.3","0.1","0.3","0.3","0.3","0.2","0.4","0.4","0.4","0.2","0.2","0.2","0.1","0.3","0.2","0.2","1.2","0.2","0.1","0.2",0.2,0.2,0.2,-7.4,-0.1,-10.8,-4.9,-1.6,0,-0.9,0.3,0.3,0.1
"48","40","        Other \12\","M318391","-0.3","-0.1","-0.1","-0.4","-0.2","-0.3","-1.1","-0.4","-0.3","-0.2","-0.4","0.3","0","-0.4","-0.8","-0.1","0","0","0","0","-0.2","-0.1","-0.1","-0.1",0,-0.1,-0.1,0,0,0,-0.1,0,0,0,0,0,0
"49","41","Less: Netting and grossing differences","M318401","-3.7","-4.6","-4.5","-4","-5.3","-5.4","-4.5","-5.1","-6.5","-8.7","-9.1","-12.2","-13.1","-18.1","-28.6","-30.2","-34.9","-40.7","-44.3","-42.8","-45.8","-49.7","-45.9","-57.8",-57.9,-64.1,-62.1,-63.3,-62.8,-69.5,-64.5,-65.7,-70.6,-69.9,-77,-84.9,-89
"50","42","        Supplementary medical insurance premiums","M318411",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-3.9","-4.3","-4.9","-5.6","-5.7","-6.5","-8.8","-11.6","-11.6","-12.2",-13.2,-15.3,-17.8,-20.2,-20,-20.4,-20.7,-21.6,-21.9,-23.8,-26,-28.4,-32.1
"51","43","        Interest receipts","W706MC1","-2.5","-2.5","-2.5","-2.7","-3","-3.1","-3","-3.3","-4.1","-4.7","-5.7","-7.1","-8.4","-11","-14.4","-15.3","-16.6","-17.6","-22.4","-17.7","-19","-17.3","-17","-23.3",-18.4,-16.1,-12.2,-11.7,-14.5,-13.1,-11.8,-12.9,-14.3,-12.6,-11.1,-11.1,-8.8
"52","44","        Current surplus of government enterprises","W707MC1","0.5","0.4","1","1.6","1.3","1.4","2.2","3","3.1","2.9","2.7","2","3.5","3.3","2.1","2.8","3.4","2.9","1.7","1.5","2.4","1","4.9","2.6",1.1,0.5,1.8,-0.3,1.9,-0.2,0,-0.3,1.3,6.5,1.1,-2.1,-0.2
"53","45","        Other \5\","M318431","-1.7","-2.6","-3","-3","-3.6","-3.7","-3.7","-4.9","-5.5","-6.9","-6.1","-7.1","-8.2","-10.4","-12.5","-13.5","-16.8","-20.4","-17.8","-20","-20.4","-21.8","-22.2","-24.9",-27.3,-33.2,-34,-31.2,-30.1,-35.8,-31.9,-31,-35.7,-40,-41.1,-43.3,-47.8
"54","46","Plus: Timing differences","M318441","-1.6","-0.8","-0.3","0","-0.6","2.4","-0.2","-0.4","1","1.8","1.4","3.2","-1.7","-1.4","-2","0.1","3.3","-0.4","-2","9.6","-0.6","-2.6","9.2","1.1",-3,-2,-10.7,3.2,9.9,-5.4,-0.7,-4.7,-5.6,14.3,-6.7,-2.6,3.8
"55","47","        Purchases (increase in payables net of advances)","M318451","-2.5","-1.4","-0.6","-0.3","-1.1","2.1","-1","-0.4","0.8","1.4","0.6","1.8","-1.8","-0.4","-1.9","-1","-0.1","-1.3","-0.2","5.7","3.8","-4.1","3.8","3.6",-2,1.3,-0.3,4.1,7.4,-0.9,0.1,0.9,-3.1,0.5,-1.6,-2.2,1.1
"56","48","        Interest payments","M318461","0.2","0.1","0","0","-0.1","0","-0.1","0","-0.1","-0.2","-0.3","-0.5","-0.7","-0.9","-1.1","-0.8","-1.3","-1.2","-1.7","0.9","-1.6","-0.8","-1.3","-4.5",-1.5,0.9,0.5,-0.3,0.6,-1.6,-1.3,0.2,-1.1,-0.1,-1,-1.7,-1.5
"57","49","        Current transfer payments","M318471","0.4","0.1","0.3","0.2","0.3","0.5","0.9","-0.4","0.3","0.6","0.7","1.6","0.6","0.4","0.6","0.5","3.1","0","0.1","2.6","-1.2","1.4","2.9","0.2",1.9,-0.3,-4.9,-0.1,3.6,-0.6,-0.6,-1.2,-5.4,5.2,0.7,0.2,2.6
"58","50","        Subsidies","W708MC1","0.2","0.3","0","0.1","0.3","-0.3","0","0.4","0","0","0.4","0.5","0.2","-0.4","0.4","1.3","1.6","2.1","-0.2","0.4","-1.6","0.9","3.8","1.8",-1.4,-4,-6,-0.5,-1.7,-2.3,1.2,-4.6,4,8.7,-4.8,1.1,1.5
"59","51","Equals: Federal Government current expenditures, national income and product accounts","M318491","164.8","177.9","192.3","211.7","232","254.8","274.1","322.2","360.5","398.2","439","484.1","561","652.9","725.1","805.3","848.9","932.4","994.1","1027.6","1075.7","1151.2","1232.5","1287.1",1417.8,1485.8,1520.1,1599.1,1638.9,1693.5,1726.5,1767.8,1852,1949.3,2064.9,2216,2348.5
"60",NA,"      Net Federal Government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","52","Budget surplus or deficit (-) (1-20)","M318501","-25.2","3.2","-2.8","-23","-23.2","-14.3","-3.5","-43.6","-65.6","-45","-48.8","-27.3","-59","-57.9","-110.7","-195.4","-178.2","-203.2","-221.1","-148.4","-154.3","-153.3","-220.5","-269.5",-290.3,-255.1,-203.2,-164,-107.5,-21.9,69.2,125.5,236.2,128.2,-157.8,-377.6,-412.1
"62","53","Plus: Net investment (30)","M318511","2.8","0.5","-1.1","-3.2","-4.5","-3.7","-3.2","-1.5","1.1","1.9","1.5","4.6","5.9","7.4","9.2","14","18.3","25.2","28.2","30.7","22.9","20.5","20.5","17.8",13.4,8.1,0,-2.1,-0.9,-9.3,-7.6,-5.7,-6,-7.9,-1.4,1.9,6.2
"63","54","Less: Net capital transfers received (5-31)","M318521","-2.1","-2.6","-2","-1.8","-0.4","-1.4","-2","-3.7","-4.7","-4","-6.1","-8.1","-9.7","-9.8","-7","-9.2","-11","-12.5","-14","-11.6","-12.2","-10.9","-9.3","-10.4",-10.8,-10.9,-9.6,-12.6,-10.7,-9.2,-4.3,-3.6,-6.3,-11.6,-17.8,-23.7,-21.6
"64","55","      Federal employee retirement plans (4-23)","M318531","-0.8","-1.2","-0.8","-1","-1","-1.4","-1.9","-2","-2.6","-1.4","-2.7","-2.7","-2.7","-3.6","-3.3","-2.6","-2.2","28.7","30.9","31.5","31.9","33.1","33.1","35.3",37.4,36.8,35.2,33.2,31.3,36.1,35.7,36.6,36.4,36.2,38.3,37.1,37.4
"65","56","      Other coverage differences (3+6+7-22-28-29-32-37-40)","M318541","-6.3","-1","-1.2","1.8","0.3","7.1","10","4.8","4.6","4.1","-2.7","0.6","-0.4","8.3","3.2","15.4","11.2","-23.3","-13.2","-2.9","-15.3","-26.8","-60","-85.2",-13.4,15.5,3.2,15.4,9,19.9,5,5.2,3.2,10.4,1.3,-2.4,-6.9
"66","57","      Timing differences (46-13)","M318551","-4.7","0.4","2.6","0.2","-0.9","-0.1","-1.5","3.3","-5.3","1.3","-2","-0.7","3.2","5.5","6.4","-7.3","-4.1","0.3","-4.2","9.6","-0.1","-6.2","6.6","-1",-2.2,-4.5,-12.9,1,8.1,-10.9,-1.8,-0.7,7.6,7.6,18.8,-25.7,-1.2
"67","58","Equals: Federal Government saving, national income and product accounts (19-51)","M318561","-8.5","8.1","-2.6","-25.4","-25.8","-22.2","-11.2","-47.5","-56.5","-43.2","-33.7","-11.7","-43.5","-51","-100.7","-177.6","-153.7","-171.1","-192.5","-144.4","-135.7","-122","-170.3","-190.5",-288.1,-283.9,-219.2,-203.2,-146.1,-67.1,27,82.4,189.2,77.8,-199.9,-361,-413.6
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Consists largely of contributions for social insurance by residents of U.S. territories and Puerto Rico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. These transactions are included in the NIPA personal sector.  Beginning with October 2002, the transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","include the Uniformed Services Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","3. Consists of estate and gift taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","4. Beginning with 1996, consists largely of Universal Service Fund receipts; prior to 1996 consisted largely of U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Treasury receipts from sales of foreign currencies to Government agencies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","5. Includes proprietary receipts that are netted against outlays in the budget and that are classified as receipts in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","NIPAs.  Also includes some transactions that are not reflected in the budget data but that are added to both receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","and expenditures in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","6. Consists largely of social benefits, subsidies, and grants-in-aid to residents of U.S. territories and Puerto Rico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","7. Consists of transactions (not included in the budget totals) that record all cash flows arising from post-1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","direct loan obligations and loan guarantee commitments.  Many of these flows are for new loans or loan repayments;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","consequently, related entries are included in ``Loan disbursements less loan repayments and sales.''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
