"","Table.5.10..Capital.Transfers..Net.","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76","NA..77"
"11","5","    Less: Capital transfers paid to the rest of the world (net) \2\","AD10RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.2","7.2","5.1","0.1","0.7","1.1","0.4","0","0.2","0","4.2","0","0",0.2,1.9,0.2
"12","6","    Less: Federal investment grants to State and local governments \3\","AD11RC1",".....",".....",".....",".....",".....",".....",".....",".....","0.1","0.1","0.1","0.1","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.3","0.4","0.4","0.4","0.5","0.6","0.6","0.7","0.8","1.3","2.3","3.1","2.5","2.7","2.9","3.5","4","4","4.3","4.2","5.9","5.8","5.1","5.8","5.8","5.8","7.7","9.4","10.4","11","11.7","14.2","16.3","15.4","14.4","15.4","17.7","19.4","20","19","19.6","19.9","20.8","21.2","22.4","23.8","24.8","27.3","28.2","28.9","28.8","31.9","36.2","40.8",44.6,45.5,46.3
"13","7","    Less: Investment grants to business \4\","AD12RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.2","0","0","0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0","0",0,0.2,0
"14","8","  State and local","AD06RC1","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.2","0.3","0.2","0.2","0.3","0.2","0.2","0.2","0.2","0.2","0.3","0.4","0.5","0.6","0.7","0.7","0.8","0.8","1","1.1","1.6","2.7","3.5","3","3.3","3.5","4.1","4.7","4.7","5.1","5.1","6.8","6.8","6.2","7","7.3","7.3","9.2","11","12","13.1","13.7","16.2","18.6","17.8","16.9","18","20.1","22","23","22.3","23.1","23.4","25","25.8","26.9","28.6","29.9","32.4","33.9","35.3","36","39.9","43.7","48.6",52.1,51.5,51.9
"15","9","    Estate and gift taxes paid by persons","S210201","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.4","0.4","0.4","0.5","0.6","0.6","0.6","0.7","0.8","0.8","0.9","1","1.1","1.1","1.2","1.4","1.5","1.5","1.6","1.7","2.1","2","2","2.3","2.4","2.6","2.5","2.4","2.6","3","3.4","3.5","3.5","4.2","4.6","4.5","4.7","5.1","5.1","5.6","6.4","7.2","7.9","7.5","7.8",7.4,6,5.6
"16","10","    Federal investment grants to State and local governments \3\","AD11RC1",".....",".....",".....",".....",".....",".....",".....",".....","0.1","0.1","0.1","0.1","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.3","0.4","0.4","0.4","0.5","0.6","0.6","0.7","0.8","1.3","2.3","3.1","2.5","2.7","2.9","3.5","4","4","4.3","4.2","5.9","5.8","5.1","5.8","5.8","5.8","7.7","9.4","10.4","11","11.7","14.2","16.3","15.4","14.4","15.4","17.7","19.4","20","19","19.6","19.9","20.8","21.2","22.4","23.8","24.8","27.3","28.2","28.9","28.8","31.9","36.2","40.8",44.6,45.5,46.3
"17","11","Capital transfers received by the rest of the world (net)","AD13RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-0.3","-0.4","-0.5","-0.3","6.6","4.5","0.5","1.3","1.7","1.1","0.6","1","0.8","4.9","0.8","1.1",1.4,3.3,1.7
"18","12","  Capital transfers received from U.S. government (net)","AD10RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.2","7.2","5.1","0.1","0.7","1.1","0.4","0","0.2","0","4.2","0","0",0.2,1.9,0.2
"19","13","  Less: Migrants' transfers received by persons (net) \5\","AD14RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.3","0.4","0.5","0.5","0.6","0.7","-0.5","-0.6","-0.6","-0.7","-0.6","-0.8","-0.7","-0.7","-0.8","-1.1",-1.2,-1.4,-1.5
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Beginning with October 2002, consists of payments to the Uniformed Services Retiree Health Care Fund to amortize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","the unfunded liability.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Consists of forgiveness of debts owed by foreign governments to the U.S. Government, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","the December 1999 transfer to the Republic of Panama of the U.S. Government's assets in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Panama Canal Commission.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Consists of Federal Government investment grants for highways, transit, air and water transportation,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and water treatment plants.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Consists of maritime construction subsidies paid by the Federal Government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","5. Consists of immigrants' transfers from the rest of the world, net of emigrants' transfers to the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
