"","Table.1.6.8..Contributions.to.Percent.Change.in.the.Gross.Domestic.Purchases.Price.Index..................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76"
"11","3","  Durable goods","A003RS2","-0.51","-0.79","-0.76","-0.18","0.34","-0.04","0.05","0.31","0.02","-0.07","0.07","0.56","0.96","0.33","0.36","0.17","0.23","0.7","0.44","0.11","0.06","0.65","0.08","-0.07","-0.19","-0.04","0.22","0.34","0.16","0.14","-0.04","0.02","0.04","0.03","0.04","-0.08","-0.04","0.14","0.29","0.25","0.19","0.31","0.1","0.13","0.55","0.75","0.47","0.39","0.51","0.57","0.67","0.51","0.29",0.15,0.12,0.09,0.09,0.25,0.13,0.15,0.07,0.11,0.05,0.08,0.16,0.05,-0.09,-0.19,-0.23,-0.21,-0.14,-0.16,-0.21,-0.31,-0.16
"12","4","    Motor vehicles and parts","A165RS2","-0.1","-0.15","-0.11","-0.12","0.1","-0.04","0.01","0.07","0.09","-0.05","0","0.24","0.35","0.02","0.03","0.01","0.22","0.24","0.22","0.12","0.01","0.21","0.14","-0.07","-0.12","0.04","0.18","0.23","0.13","0.17","-0.07","0.02","0.06","0.03","0.03","-0.03","-0.03","0.05","0.13","0.08","0.1","0.19","0.02","0.03","0.24","0.33","0.27","0.24","0.28","0.29","0.26","0.24","0.15",0.1,0.11,0.09,0.11,0.18,0.07,0.12,0.01,0.09,0.06,0.13,0.16,0.14,0.07,0.01,-0.04,0.02,0.02,0.02,-0.02,-0.1,-0.04
"13","5","    Furniture and household equipment","A166RS2","-0.39","-0.61","-0.58","-0.04","0.25","0.01","0.02","0.23","-0.06","-0.03","0.03","0.25","0.49","0.29","0.25","0.14","0","0.35","0.2","-0.03","0.06","0.36","-0.07","-0.01","-0.05","-0.06","0.03","0.08","0.01","-0.03","0.02","-0.01","-0.03","-0.01","-0.01","-0.04","-0.01","0.05","0.11","0.1","0.07","0.06","0.04","0.06","0.23","0.28","0.12","0.09","0.14","0.18","0.21","0.19","0.11",0.01,-0.01,-0.02,-0.04,0,0,-0.01,-0.02,-0.03,-0.04,-0.06,-0.02,-0.1,-0.15,-0.18,-0.18,-0.2,-0.14,-0.19,-0.18,-0.18,-0.12
"14","6","    Other","A167RS2","-0.01","-0.03","-0.07","-0.03","-0.01","-0.02","0.01","0","-0.01","0.01","0.03","0.06","0.12","0.02","0.09","0.03","0","0.11","0.02","0.02","-0.02","0.07","0.01","0.01","-0.02","-0.01","0.02","0.02","0.02","-0.01","0.01","0.01","0.01","0.01","0.02","-0.01","0","0.03","0.05","0.06","0.02","0.06","0.03","0.04","0.08","0.13","0.08","0.06","0.08","0.11","0.21","0.09","0.04",0.04,0.02,0.02,0.02,0.06,0.07,0.05,0.07,0.05,0.03,0.01,0.02,0.01,0,-0.02,-0.01,-0.03,-0.01,0.01,-0.01,-0.03,0
"15","7","  Nondurable goods","A004RS2","-1.97","-5.6","-5.63","-0.25","4.08","1.47","0.12","1.37","-1.96","-0.65","0.34","3","5.13","3.45","1.61","1.29","3.23","4.96","2.24","-1.22","0.15","2.73","0.36","-0.14","0.1","-0.19","0.42","0.89","0.73","0.18","0.42","0.17","0.23","0.32","0.35","0.49","0.88","0.63","1","1.2","1.29","0.81","0.84","1.94","3.57","2.03","0.99","1.47","1.61","2.5","2.84","1.91","0.69",0.51,0.54,0.48,-0.08,0.72,0.7,0.99,1.15,0.65,0.32,0.21,0.14,0.23,0.42,0.27,0,0.47,0.75,0.29,0.11,0.39,0.64
"16","8","    Food","A168RS2","-1.26","-3.78","-3.56","-0.01","2.4","1.67","0.03","0.69","-1.6","-0.26","0.14","1.94","3.2","2.31","0.49","0.54","2.26","3.21","1.05","-0.79","0.15","1.74","0.42","-0.31","0.04","-0.25","0.13","0.51","0.62","0","0.21","0.14","0.18","0.2","0.28","0.28","0.59","0.22","0.5","0.66","0.82","0.43","0.59","1.39","1.84","1.09","0.45","0.82","1.14","1.24","1.11","0.95","0.44",0.26,0.38,0.22,0.31,0.35,0.36,0.53,0.51,0.37,0.13,0.16,0.17,0.22,0.27,0.22,0.17,0.18,0.21,0.27,0.18,0.18,0.28
"17","9","    Clothing and shoes","A169RS2","-0.41","-1.15","-1.64","0.17","1.27","-0.15","0.01","0.4","-0.19","-0.19","0.09","0.7","1.29","0.76","0.82","0.59","0.65","0.66","0.48","-0.33","-0.06","0.56","-0.11","-0.01","0.01","-0.02","0.11","0.08","0.02","0.04","0.07","0.03","0.02","0.05","0.04","0.05","0.13","0.2","0.27","0.27","0.19","0.15","0.1","0.17","0.32","0.17","0.14","0.17","0.08","0.08","0.14","0.11","0.05",0.04,0.01,0.07,-0.03,0.11,0.12,0.05,0.12,0.07,0.03,-0.02,-0.06,-0.08,-0.05,0,-0.06,-0.05,-0.04,-0.06,-0.08,-0.07,-0.01
"18","10","    Gasoline, fuel oil, and other energy goods","A173RS2","-0.11","-0.41","-0.09","-0.1","0.25","-0.04","0.11","0.08","-0.07","-0.14","0","0.17","0.17","0.07","0.03","0","0.09","0.35","0.41","0.05","0.03","0.08","0.05","0.11","0.05","0.03","0.09","0.14","-0.04","0.04","0.06","0","0.02","0.01","-0.02","0.09","0.06","0.09","0.05","0.08","0.04","0.04","0.03","0.25","0.94","0.21","0.14","0.2","0.12","0.88","1.17","0.46","-0.17",-0.12,-0.03,0.01,-0.54,0.07,0.02,0.17,0.28,-0.03,-0.01,-0.02,0,0.02,0.12,0,-0.22,0.12,0.44,-0.06,-0.11,0.27,0.32
"19","11","    Other","A172RS2","-0.19","-0.26","-0.34","-0.3","0.16","-0.02","-0.03","0.19","-0.1","-0.07","0.11","0.18","0.48","0.3","0.27","0.16","0.23","0.74","0.3","-0.15","0.02","0.35","0","0.07","0.01","0.05","0.09","0.16","0.12","0.08","0.08","0.01","0.01","0.06","0.06","0.07","0.1","0.12","0.19","0.19","0.23","0.18","0.12","0.13","0.46","0.56","0.26","0.27","0.26","0.3","0.41","0.39","0.37",0.33,0.17,0.18,0.18,0.18,0.21,0.25,0.24,0.24,0.18,0.08,0.03,0.07,0.08,0.04,0.11,0.22,0.14,0.15,0.12,0.01,0.05
"20","12","  Services","A005RS2","-0.77","-2.08","-3.26","-2.52","-0.73","0.42","0.57","1.02","0.26","0.03","0.18","0.64","1.09","0.92","0.78","0.57","0.94","1.34","1.2","0.6","0.61","0.97","0.83","1.04","0.66","0.54","0.64","0.69","0.65","0.68","0.66","0.47","0.48","0.38","0.5","0.5","0.72","0.79","1.13","1.37","1.47","1.55","1.22","1.31","2.29","2.49","2.05","2.22","2.24","2.35","3.11","3.13","2.49",2.07,1.72,1.48,1.52,1.23,1.7,1.66,1.75,1.62,1.54,1.25,1.1,1.14,1.09,1.04,0.83,0.84,1.03,1.26,1.06,1.21,1.25
"21","13","    Housing","A174RS2","-0.33","-0.72","-1.51","-1.59","-1.22","0.05","0.23","0.45","0.31","0","0.03","0.16","0.2","0.05","0.05","0.07","0.15","0.27","0.42","0.24","0.25","0.33","0.31","0.39","0.25","0.12","0.15","0.16","0.18","0.15","0.14","0.13","0.11","0.11","0.1","0.09","0.14","0.18","0.23","0.3","0.39","0.42","0.33","0.39","0.36","0.6","0.59","0.74","0.62","0.7","0.84","0.93","0.77",0.56,0.49,0.56,0.55,0.45,0.45,0.42,0.47,0.34,0.29,0.28,0.28,0.31,0.31,0.29,0.32,0.28,0.31,0.39,0.38,0.25,0.25
"22","14","    Household operation","A186RS2","-0.17","-0.27","-0.29","-0.18","0.01","0.03","0.02","0.11","-0.08","0.02","0.04","0.09","0.2","0.27","0.21","0.14","0.06","0.09","0.1","0.06","0.07","0.09","0.13","0.1","0.04","0.05","0.05","0.08","0.12","0.11","0.12","0.04","0.03","0.04","0.04","0.03","0.04","0.06","0.11","0.12","0.15","0.25","0.18","0.17","0.39","0.36","0.35","0.28","0.23","0.26","0.42","0.5","0.47",0.29,0.22,0.13,0.06,-0.02,0.06,0.1,0.07,0.14,0.09,0.1,0.07,0.05,0.08,0.07,-0.03,0,0.07,0.18,-0.03,0.14,0.08
"23","15","      Electricity and gas","A175RS2","-0.03","-0.04","-0.05","-0.03","-0.04","-0.03","-0.03","-0.03","0","-0.01","-0.01","-0.01","-0.01","0","0","-0.01","-0.03","0","0.02","0.02","0","0","0.01","0.02","0.01","0.03","0.01","0.01","0.04","0.03","0.05","0.01","0","0","0","0","0","0.01","0.01","0.03","0.06","0.1","0.07","0.09","0.24","0.25","0.17","0.19","0.13","0.19","0.32","0.29","0.27",0.18,0.1,0.05,-0.01,-0.03,0.02,0.05,0.03,0.05,0.03,0.05,0.01,0,0.04,0.04,-0.05,-0.01,0.08,0.16,-0.08,0.11,0.06
"24","16","      Other household operation","A176RS2","-0.13","-0.22","-0.24","-0.15","0.04","0.06","0.05","0.14","-0.08","0.03","0.05","0.1","0.21","0.27","0.22","0.15","0.09","0.1","0.08","0.04","0.07","0.09","0.11","0.08","0.02","0.02","0.04","0.07","0.07","0.08","0.07","0.02","0.03","0.05","0.04","0.03","0.03","0.06","0.1","0.09","0.09","0.15","0.11","0.09","0.14","0.12","0.17","0.09","0.1","0.07","0.1","0.21","0.2",0.12,0.12,0.09,0.08,0.01,0.04,0.05,0.04,0.09,0.05,0.05,0.06,0.04,0.04,0.03,0.02,0,0,0.02,0.05,0.04,0.02
"25","17","    Transportation","A177RS2","-0.02","-0.11","-0.18","-0.14","0.05","0.05","-0.01","-0.01","0.01","0.01","-0.04","0.04","0.11","0.03","-0.01","0.02","0.08","0.17","0.17","0.16","0.08","0.15","0.1","0.11","0.06","0.04","0.05","0.08","0.07","0.06","0.05","0.06","0.04","0.01","0.03","0.05","0.05","0.08","0.09","0.14","0.18","0.18","0.09","0.09","0.17","0.23","0.21","0.16","0.15","0.2","0.33","0.25","0.11",0.1,0.11,0.07,0.06,0.11,0.13,0.13,0.1,0.08,0.1,0.13,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.05,0.03,0.08,0.06
"26","18","    Medical care","A494RS2","0.01","-0.22","-0.35","-0.02","0.13","0.14","0.07","0.07","0.05","-0.01","0.07","0.05","0.13","0.13","0.09","0.09","0.17","0.21","0.11","-0.02","0.02","0.04","0.13","0.14","0.11","0.07","0.05","0.12","0.11","0.09","0.12","0.1","0.09","0.08","0.12","0.13","0.19","0.24","0.31","0.3","0.34","0.31","0.27","0.23","0.46","0.59","0.53","0.57","0.55","0.5","0.67","0.79","0.74",0.61,0.55,0.38,0.28,0.34,0.61,0.7,0.67,0.57,0.55,0.5,0.43,0.39,0.28,0.26,0.26,0.24,0.29,0.37,0.26,0.37,0.4
"27","19","    Recreation","A490RS2","-0.03","-0.09","-0.1","-0.11","0.02","0.03","0.04","0.07","0.03","-0.01","0.01","0.06","0.07","0.09","0.14","0.06","0.11","0.14","0.06","0.02","0.02","0.05","0.04","0.05","0.05","0.04","0.04","0.05","0.05","0.03","0.04","0.03","0.03","0.03","0.04","0.04","0.05","0.05","0.08","0.07","0.07","0.07","0.04","0.05","0.1","0.11","0.07","0.07","0.08","0.1","0.11","0.11","0.08",0.07,0.08,0.07,0.07,0.06,0.07,0.09,0.11,0.11,0.07,0.07,0.05,0.06,0.08,0.08,0.06,0.08,0.1,0.09,0.08,0.07,0.07
"28","20","    Other","A178RS2","-0.23","-0.67","-0.83","-0.49","0.28","0.13","0.23","0.32","-0.06","0.03","0.07","0.25","0.36","0.35","0.3","0.19","0.38","0.47","0.34","0.14","0.16","0.31","0.11","0.25","0.16","0.21","0.3","0.2","0.12","0.23","0.17","0.12","0.17","0.1","0.17","0.15","0.26","0.19","0.31","0.45","0.33","0.32","0.32","0.38","0.83","0.6","0.31","0.4","0.61","0.58","0.73","0.55","0.31",0.43,0.27,0.29,0.5,0.28,0.37,0.23,0.32,0.38,0.45,0.18,0.2,0.26,0.28,0.29,0.16,0.18,0.18,0.2,0.33,0.29,0.39
"29","21","Gross private domestic investment","A006RS2","-0.58","-0.81","-0.83","-0.27","-0.02","-0.06","0.1","0.86","-0.33","-0.07","0.3","1","1.07","0.22","0.1","0.11","0.92","2.68","1.35","0.17","0.33","1.59","0.29","0.02","0.1","0.22","0.95","0.54","0.03","0.14","0.08","-0.04","0.01","-0.05","0.09","0.26","0.34","0.43","0.58","0.75","0.65","0.76","0.68","0.93","1.7","1.88","0.83","1.25","1.48","1.71","1.71","1.63","0.88",-0.04,0.12,0.18,0.36,0.31,0.37,0.38,0.3,0.2,-0.05,0.16,0.19,0.17,-0.07,-0.06,-0.19,-0.01,0.18,0.16,0.09,0.24,0.47
"30","22","  Fixed investment","A007RS2","-0.54","-0.79","-0.9","-0.1","0.3","0.03","0.08","0.82","0.13","-0.05","0.26","0.82","0.81","0.19","0.12","0.15","0.87","2.27","1.32","0.3","0.35","1.35","0.36","0.12","0.11","0.25","0.91","0.54","0.04","0.14","0.08","-0.04","0.01","-0.04","0.09","0.26","0.32","0.41","0.58","0.73","0.64","0.75","0.67","0.9","1.59","1.87","0.86","1.23","1.44","1.64","1.68","1.61","0.92",-0.03,0.09,0.21,0.39,0.29,0.4,0.37,0.3,0.21,-0.04,0.16,0.19,0.17,-0.04,-0.04,-0.15,0,0.19,0.17,0.1,0.25,0.47
"31","23","    Nonresidential","A008RS2","-0.47","-0.56","-0.55","-0.08","0.17","0.06","-0.01","0.62","0.06","-0.07","0.16","0.51","0.64","0.11","0.06","0.11","0.66","1.44","0.86","0.23","0.19","0.9","0.21","0.08","0.09","0.13","0.76","0.52","0.05","0.12","0.04","-0.05","0","0","0.05","0.12","0.16","0.27","0.36","0.43","0.5","0.49","0.35","0.42","1.08","1.48","0.59","0.74","0.78","1.02","1.15","1.27","0.73",-0.11,-0.03,0.1,0.2,0.1,0.24,0.23,0.21,0.16,-0.08,0.01,0.05,0.02,-0.13,-0.15,-0.26,-0.16,-0.01,-0.04,-0.02,0.02,0.12
"32","24","      Structures","A009RS2","-0.27","-0.35","-0.39","0.02","0.01","0.09","0","0.34","-0.05","-0.03","0.04","0.18","0.23","0.1","0.02","0.06","0.3","0.7","0.39","-0.01","0.04","0.39","0.09","0.07","-0.04","0.07","0.33","0.18","-0.06","0.02","0","-0.02","0.03","0.03","0.05","0.11","0.14","0.12","0.19","0.25","0.25","0.29","0.27","0.3","0.55","0.46","0.18","0.31","0.37","0.49","0.44","0.69","0.42",-0.13,0.04,0.1,0.08,0.06,0.15,0.14,0.11,0.06,0,0.08,0.09,0.12,0.07,0.11,0.14,0.09,0.12,0.16,0.12,0.09,0.13
"33","25","      Equipment and software","A010RS2","-0.2","-0.21","-0.16","-0.1","0.16","-0.03","-0.01","0.28","0.11","-0.04","0.13","0.33","0.42","0.01","0.04","0.05","0.36","0.74","0.47","0.24","0.15","0.51","0.12","0.01","0.13","0.05","0.43","0.35","0.11","0.1","0.05","-0.03","-0.03","-0.03","0","0.01","0.02","0.15","0.18","0.19","0.25","0.2","0.08","0.12","0.54","1.02","0.41","0.43","0.41","0.53","0.71","0.58","0.31",0.02,-0.07,-0.01,0.12,0.04,0.09,0.09,0.1,0.1,-0.08,-0.07,-0.04,-0.09,-0.2,-0.26,-0.4,-0.25,-0.12,-0.2,-0.14,-0.06,-0.01
"34","26","        Information processing equipment and software","A679RS2","-0.05","-0.04","-0.01","-0.02","0.03","0","0","0","0","0","0.01","0.02","0.02","0","0","0","0.12","0.09","0.02","0","0.01","0.04","-0.01","0","0.01","0.01","0.02","0.04","0.01","0.01","-0.01","-0.01","-0.02","-0.04","-0.02","-0.03","-0.07","-0.02","-0.01","0.01","0.01","-0.04","-0.04","0.01","0.03","0.11","0.02","-0.02","-0.09","-0.02","0.01","0.06","0.03",-0.08,-0.13,-0.11,-0.09,-0.08,-0.04,-0.07,-0.08,-0.05,-0.17,-0.13,-0.14,-0.17,-0.3,-0.31,-0.42,-0.29,-0.14,-0.22,-0.16,-0.12,-0.11
"35","27","          Computers and peripheral equipment","B935RS2",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-0.01","-0.01","-0.02","-0.04","-0.02","-0.03","-0.08","-0.05","-0.04","-0.02","-0.03","-0.07","-0.06","-0.01","-0.06","-0.02","-0.04","-0.04","-0.14","-0.07","-0.11","-0.07","-0.06",-0.12,-0.16,-0.13,-0.11,-0.12,-0.05,-0.05,-0.07,-0.07,-0.11,-0.12,-0.09,-0.15,-0.25,-0.25,-0.3,-0.26,-0.14,-0.18,-0.11,-0.08,-0.06
"36","28","          Software \1\","B985RS2",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0","0","0","0","0","0","0","0","0","0","0","-0.01","0","0","0.01","0.01","0","0","-0.01","0.01","0.01","0.01","0.01",0,-0.01,-0.01,-0.02,0,-0.01,-0.04,-0.03,0,-0.08,-0.01,-0.03,-0.01,-0.03,-0.04,-0.04,0.02,0.05,0.01,-0.03,-0.03,-0.03
"37","29","          Other","A937RS2","-0.05","-0.04","-0.01","-0.02","0.03","0","0","0","0","0","0.01","0.02","0.02","0","0","0","0.12","0.09","0.02","0","0.01","0.04","-0.01","0","0.01","0.01","0.02","0.04","0.01","0.01","0","0","0","0.01","0.01","0","0.01","0.03","0.03","0.03","0.04","0.04","0.03","0.02","0.08","0.12","0.06","0.01","0.06","0.05","0.12","0.12","0.08",0.05,0.04,0.03,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0,-0.01,-0.01,-0.03,-0.02,-0.08,-0.06,-0.05,-0.05,-0.02,-0.01,-0.02
"38","30","        Industrial equipment","A680RS2","-0.07","-0.06","-0.05","0","0.09","0.01","0","0.12","0.01","0","0.05","0.07","0.03","0","0.01","0.01","0.1","0.15","0.15","0.08","0.06","0.2","0.01","0.05","0.03","0.07","0.19","0.15","0.05","0.04","0.03","-0.01","0","0.01","0.02","0.03","0.05","0.09","0.08","0.07","0.1","0.08","0.04","0.05","0.19","0.39","0.16","0.17","0.17","0.21","0.28","0.2","0.1",0.04,0.02,0.03,0.07,0.07,0.07,0.06,0.08,0.05,0.03,0.02,0.03,0.06,0.04,0.01,0.01,0.01,0.01,0.01,0,0.01,0.03
"39","31","        Transportation equipment","A681RS2","-0.09","-0.06","-0.05","-0.08","0.04","-0.02","0.01","0.06","0.08","-0.01","0.04","0.17","0.29","0.01","0.03","0.03","0.05","0.27","0.15","0.1","0.04","0.13","0.1","-0.06","0.07","-0.03","0.17","0.08","0.02","0.03","0","0","-0.02","-0.01","-0.01","0","0","0.03","0.05","0.06","0.08","0.08","0.04","0.02","0.17","0.18","0.11","0.14","0.18","0.18","0.2","0.13","0.07",0.02,0.02,0.05,0.1,0.02,0.02,0.05,0.04,0.06,0.03,0.01,0.04,-0.01,0.03,0.03,-0.01,0.02,0,-0.01,0.01,0.04,0.06
"40","32","        Other equipment","A862RS2","0","-0.04","-0.05","0","0.01","-0.02","-0.02","0.09","0.01","-0.03","0.02","0.07","0.07","0.01","0.01","0.01","0.09","0.23","0.15","0.06","0.04","0.14","0.01","0.03","0.02","0.01","0.05","0.08","0.04","0.02","0.02","0","0.01","0.01","0.01","0.01","0.04","0.05","0.05","0.05","0.05","0.07","0.04","0.03","0.15","0.34","0.12","0.15","0.15","0.16","0.22","0.19","0.12",0.03,0.03,0.03,0.04,0.03,0.04,0.06,0.06,0.04,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01
"41","33","    Residential","A011RS2","-0.07","-0.23","-0.35","-0.02","0.13","-0.02","0.09","0.2","0.07","0.02","0.1","0.31","0.17","0.08","0.06","0.05","0.21","0.83","0.46","0.08","0.15","0.45","0.15","0.04","0.02","0.12","0.15","0.01","-0.01","0.02","0.04","0.01","0.01","-0.04","0.04","0.14","0.16","0.14","0.22","0.29","0.14","0.26","0.32","0.48","0.51","0.38","0.27","0.49","0.66","0.62","0.53","0.34","0.19",0.09,0.13,0.11,0.19,0.19,0.16,0.14,0.1,0.05,0.04,0.15,0.14,0.15,0.09,0.11,0.11,0.17,0.19,0.2,0.11,0.23,0.34
"42","34","  Change in private inventories","A014RS2","-0.04","-0.02","0.06","-0.18","-0.32","-0.09","0.02","0.04","-0.47","-0.02","0.03","0.18","0.26","0.03","-0.02","-0.04","0.05","0.41","0.03","-0.13","-0.02","0.24","-0.06","-0.1","-0.01","-0.02","0.05","0","-0.01","0","0","0","0","-0.01","0","0","0.02","0.02","0","0.02","0.01","0.02","0.01","0.03","0.11","0.01","-0.02","0.02","0.04","0.08","0.03","0.02","-0.05",-0.02,0.03,-0.03,-0.03,0.02,-0.04,0.01,-0.01,-0.01,-0.01,0,0,0,-0.02,-0.02,-0.04,-0.02,-0.01,0,0,-0.01,0.01
