"","Table.1.3.5..Gross.Value.Added.by.Sector..................................................................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76","NA..77"
"11","5","Households and institutions","A193RC1",8.8,8.3,7.5,6.4,5.7,5.6,5.7,5.9,6.4,6.4,6.6,6.8,7.3,8.2,9,10,10.8,11.5,12.9,14.3,15.7,17.4,19.5,21.7,24.2,26.3,29,31.5,34.1,37,40.1,43.9,46.7,50.4,53.6,56.9,61,65.8,70.9,76.5,84.3,91.4,100.9,109.9,120,131.7,145.4,158.1,172.8,193.8,217.4,249.9,283.7,315.3,344,376.2,406,438,478.4,525.1,569.6,618.9,660.7,697.9,732,771.3,815.5,852.2,895.8,949.7,1012.3,1080.7,1160.4,1227.3,1267.1,1353.5
"12","6","  Households","B701RC1",7.4,6.9,6.1,5.1,4.5,4.4,4.4,4.6,5,5,5.1,5.3,5.6,6.4,7,7.8,8.4,8.7,9.6,10.5,11.4,12.8,14.4,16.2,18.1,19.8,21.8,23.7,25.5,27.6,29.8,32.3,34.3,36.7,38.8,40.8,43.3,45.9,48.8,51.6,55.6,59.4,65.1,70.3,76,82.5,90.3,98.1,107.3,120.4,135,155.5,176.8,195.7,211.7,230.2,249.6,267.4,287.6,312.8,337,362.9,383.4,397.2,413.7,439.5,463.3,484.7,509.6,538,576.4,615.6,662,687.7,696.9,751.3
"13","7","  Nonprofit institutions serving households \3\","B702RC1",1.5,1.5,1.4,1.3,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.6,1.8,2,2.2,2.4,2.8,3.4,3.9,4.2,4.6,5.1,5.5,6.1,6.6,7.1,7.8,8.6,9.4,10.3,11.7,12.4,13.6,14.8,16.1,17.7,19.9,22.1,25,28.7,32,35.7,39.5,44,49.2,55.1,60,65.6,73.4,82.5,94.4,106.9,119.6,132.4,146,156.4,170.6,190.8,212.4,232.6,256,277.3,300.7,318.3,331.7,352.1,367.5,386.2,411.7,435.9,465.1,498.4,539.6,570.3,602.2
"14","8","General government \4\","A765RC1",5.2,5.4,5.5,5.2,5.5,6.5,6.9,8.3,8.1,8.8,8.9,9.1,11.2,18.4,31.6,40.8,45.2,32.9,27.9,27.3,28.4,28.7,35.8,40.5,42.2,43.5,45.8,49.2,52.5,55.8,58.3,62,66,70.7,75.5,81.1,86.7,96.9,107.2,119,130,143.6,156.4,169.4,183.3,201.4,224.5,243.5,264.6,287.5,313,348.6,385.3,419,445.4,485.2,523.5,556.1,591.2,630.1,671.5,721.6,765.9,799.4,829.3,857,881.6,908,936.7,970.3,1012.7,1069.6,1126.4,1201.8,1276.3,1339.7
"15","9","  Federal","A766RC1",1.1,1.1,1.1,1.1,1.4,2,2.1,3.9,3.4,3.9,3.9,4,5.9,12.8,25.7,34.8,38.7,25.5,19.1,17.1,17.3,16.9,22.6,26.1,26.6,26.5,27.6,28.8,29.9,31.1,31.9,33.1,34.4,36.5,38.4,40.7,42.4,47.3,51.7,56.4,60,64.1,67.8,71.6,74,79.6,87.3,93.8,102.1,109.7,117.6,131.3,147.4,161.3,171.3,192.1,205.1,212.6,223.4,234.9,246.6,258.9,275,282.1,286.3,286.2,284.7,288.6,290.9,293.1,300.9,315.4,325.7,352.9,382.6,408.2
"16","10","  State and local","A767RC1",4.1,4.2,4.3,4.1,4.1,4.6,4.8,4.4,4.6,4.9,5,5.1,5.3,5.6,5.9,6.1,6.5,7.4,8.8,10.2,11.1,11.8,13.2,14.4,15.5,16.9,18.2,20.4,22.6,24.7,26.5,28.9,31.6,34.2,37.1,40.4,44.2,49.6,55.5,62.5,70,79.5,88.6,97.9,109.3,121.8,137.1,149.7,162.6,177.8,195.4,217.3,237.9,257.7,274.1,293.1,318.4,343.5,367.8,395.2,424.9,462.6,490.9,517.3,543,570.7,596.9,619.3,645.8,677.2,711.8,754.2,800.8,848.9,893.7,931.4
"17",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","11","  Gross housing value added","A2009C1",9.7,9.4,8.8,7.8,6.8,6.4,6.5,6.6,7,7.5,7.6,7.8,8.3,9.2,9.7,10.2,10.6,11.1,12.1,13.5,14.9,16.5,18.5,20.8,23.2,25.3,27.1,29.1,31.5,33.9,36.9,39.9,42.8,46,48.9,51.6,54.9,58.2,62.1,65.9,71.3,76.7,83.9,91.1,98.3,106.8,117.2,126.6,140.3,155.2,172.5,199.4,228.4,255.4,277.4,301.1,332.9,359.5,385.5,415.5,443.8,478.1,508.5,531,549.1,582,613.3,638,667.7,700.2,747.8,794.3,849.8,876.7,875.5,933.1
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","and rental income of persons for tenant-occupied housing owned by nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
