"","Table.3.7..Government.Current.Transfer.Receipts...........................................................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76","NA..77"
"11","5","    Other \1\","B1042C1","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.2","0.2","0.1","0.1","0.2","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2",0.2,0.2,0.3,0.3,0.4,0.5,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.9,1,1,1.3,1.7,2.1,2.6,2.4,3,3.2,4.3,5,3.5,5.2,4.5,5.3,5.5,6.5,7.3,7.4,8.9,8.5,8.7,10,11,10.7,11.6,12.5,10.5,11.7,13.4
"12","6","  State and local (net)","W076RC1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2",0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.6,0.6,0.7,0.9,1.1,1.2,1.4,1.6,1.9,2.2,2.5,2.9,3.2,3.6,4.2,4.4,6.7,4.9,5.4,6.4,7.1,7.9,9.2,10.5,12,13.5,15.2,17.7,22.1,23,28.8,31.4,32.6,34.1,35.5
"13","7","    Fines","S230561",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.9,1,1.1,1.3,1.4,3.6,1.7,1.8,2,2.3,2.4,2.8,3.5,4.2,4.9,5.6,6.1,6.6,7.2,7.9,8.8,9.4,10.1,10.9
"14","8","    Net insurance settlements","W098RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,-0.2,-0.4,-0.2,0,0,0,0.3,-0.1,0,0,0,-0.1,0.2,0.1,0,0.7,-0.1,-0.2,-1.5
"15","9","    Other \2\","S230571",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.7,0.8,0.9,1,1.2,1.4,1.6,1.7,2,2.1,2.4,2.6,2.8,3.3,3.5,3.8,4.4,4.8,5.6,6.1,7.1,7.8,8.6,9.6,11.7,15.4,15.7,20.9,21.9,23.3,24.2,26.1
"16","10","From persons","W062RC1","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.2","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.5","0.6","0.6",0.3,0.3,0.5,0.5,0.5,0.6,0.6,0.8,1,1,1.1,1.3,1.5,1.8,1.8,2.1,2.5,3,3.5,3.9,4.3,5,6,7.1,8.1,9.2,10.4,12,13.2,14.8,16.5,18.4,22.6,26,28.5,30.9,32.6,34.9,38.2,40.6,44.7,50,54.2,58.2,62.1,68.6
"17","11","  Federal \3\","B233RC1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0","0",0,0,0,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.7,1,1,1.2,1.3,2,2.8,3.1,3.4,3.9,4.1,5,5.6,6.1,7.1,7.9,8.6,9.8,10.8,10.9,10.8,11,12.5
"18","12","  State and local","B246RC1","0.3","0.3","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.5","0.5",0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.7,0.9,1,1.1,1.2,1.4,1.7,1.7,2,2.4,2.9,3.3,3.7,4.1,4.7,5.7,6.4,7.2,8.1,9.2,10.6,11.2,12,13.4,14.9,18.7,21.9,23.5,25.2,26.5,27.8,30.3,31.9,34.9,39.2,43.3,47.5,51.1,56
"19","13","    Fines","S210661",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",0.2,0.1,0.2,0.3,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,0.9,0.7,0.8,1,1.2,1.4,1.6,1.9,2.2,2.8,3.2,3.7,4.2,4.6,5.3,5.4,5.7,6.2,6.7,7.2,8.1,8.2,8.5,8.7,8.7,9.2,9.8,10.7,11.9,13.2,14.1,15.2,16.3
"20","14","    Other \4\","S210671",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,1,1.1,1.4,1.7,1.9,2.1,2.2,2.5,2.9,3.2,3.5,4,4.6,5.4,5.7,6.4,7.2,8.3,11.5,13.8,15.3,16.7,17.8,19,21.1,22.1,24.1,27.4,30.2,33.4,35.9,39.7
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Consists largely of fines and of fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Consists largely of donations.  Beginning with 1997, includes settlements",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","of lawsuits with tobacco companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Consists of fines, immigration fees, certain penalty taxes, and excise taxes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","paid by nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Consists largely of donations and other miscellaneous transfers, including",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","unclaimed bank deposits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
