"","Table.6.5D..Full.Time.Equivalent.Employees.by.Industry","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8"
"81","75","      Ambulatory health care services","N4375C0",3907,3967,4027,4136,4261,4411,4542
"82","76","      Hospitals","N4390C0",3427,3475,3524,3740,3861,3924,3971
"83","77","      Nursing and residential care facilities","N4391C0",2209,2267,2325,2412,2459,2498,2523
"84","78","      Social assistance","N4392C0",1642,1742,1831,1979,2056,2110,2163
"85","79","    Arts, entertainment, and recreation","N4393C0",1363,1418,1493,1587,1603,1579,1613
"86","80","      Performing arts, spectator sports, museums, and related activities","N4394C0",378,392,413,415,415,409,410
"87","81","      Amusements, gambling, and recreation industries","N4395C0",985,1026,1081,1173,1188,1170,1203
"88","82","    Accommodation and food services","N4396C0",8118,8381,8626,8325,8356,8471,8491
"89","83","      Accommodation","N4397C0",1551,1614,1659,1688,1640,1634,1457
"90","84","      Food services and drinking places","N4398C0",6567,6767,6967,6637,6716,6838,7034
"91","85","    Other services, except government","N4399C0",5283,5407,5489,5629,5768,5789,5843
"92","86","  Government","A4376C0",18703,18849,19128,19474,19818,19973,20014
"93","87","    Federal","A4377C0",4207,4167,4198,4107,4135,4179,4131
"94","88","      General government","A4378C0",3416,3370,3416,3342,3379,3436,3409
"95","89","        Civilian","B4379C0",1845,1821,1869,1794,1802,1834,1817
"96","90","        Military \8\","B4380C0",1571,1549,1547,1548,1577,1602,1592
"97","91","      Government enterprises","B4381C0",791,797,782,765,756,743,722
"98","92","    State and local","A4382C0",14496,14682,14930,15367,15683,15794,15883
"99","93","      General government","A4383C0",13581,13762,14000,14394,14661,14765,14842
"100","94","        Education","B4384C0",7234,7372,7572,7647,7803,7855,7893
"101","95","        Other \9\","B4385C0",6347,6390,6428,6747,6858,6910,6949
"102","96","      Government enterprises \9\","B4386C0",915,920,930,973,1022,1029,1041
"103","97","Rest of the world \10\","A4387C0",-401,-441,-388,-536,-536,-566,-572
"104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","1. Full-time equivalent employees equals the number of employees on full-time schedules plus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","the number of employees on part-time schedules converted to a full-time basis.  The number",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","of full-time equivalent employees in each industry is the product of the total number of",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","employees and the ratio of average weekly hours per employee for all employees to average",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","weekly hours per employee on full-time schedules.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","2. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","3. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","4. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","5. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","6. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","7. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","8. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","9. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","10. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA
