"","Table.5.8.6B..Real.Gross.Government.Fixed.Investment.by.Type..Chained.Dollars.............................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9"
"30","24","        Power","W189RX1","0.1","0.1","0.1","0.1","0.2","0.3","0.8","0.8"
"31","25","        Highways and streets","W190RX1","0.5","0.5","0.5","0.6","0.5","0.5","0.5","0.7"
"32","26","        Conservation and development","W191RX1","1.9","1.9","2.1","2","2.2","2.4","2.5","2.1"
"33","27","        Other \4\","W192RX1","0.7","0.7","0.7","0.7","0.7","0.6","0.8","0.7"
"34","28","      Net purchases of used structures","B841RX1","-0.5","0.8","0.8","-1.2","-0.9","0","-0.2","-1.2"
"35","29","  State and local","A842RX1","155.8","155.6","167","176","186","193.5","194.3","192.8"
"36","30","    New","A843RX1","152.6","151.7","162.9","172","185","188.8","189.2","187.8"
"37","31","      Residential","W147RX1","4.9","4.7","4.8","4.2","4.8","5","4.4","4.3"
"38","32","      Office","W193RX1","12.4","13.2","14.1","15.4","17.2","18.6","18.3","17.1"
"39","33","      Commercial","W194RX1","0.2","0.3","0.3","0.2","0.3","0.3","0.3","0.2"
"40","34","      Health care","W195RX1","3.6","3.5","3.1","3","3.2","3.9","4.6","5.2"
"41","35","      Educational","W148RX1","38.1","37.9","42.8","45.7","49.2","50.9","50.1","50.1"
"42","36","      Public safety","W196RX1","4.5","4.5","4.7","4.6","4.4","4.2","3.8","3.4"
"43","37","      Amusement and recreation","W197RX1","5.2","5.1","5.3","6.2","6.8","6.8","6.1","5.4"
"44","38","      Transportation","W198RX1","11.6","10.9","12","15.1","16.2","16.4","16.8","16.6"
"45","39","      Power","W199RX1","3.3","2.6","3.3","3.9","4","4","5.8","5.4"
"46","40","      Highways and streets","W149RX1","47.8","48.7","51.7","53.1","56.8","54.5","53.7","54"
"47","41","      Sewer systems","W150RX1","10.4","9.5","9.5","8.9","10.2","10.9","11.2","11.8"
"48","42","      Water systems","W168RX1","8.3","8.4","8.9","8.5","9.3","10.5","11","11"
"49","43","      Conservation and development","W169RX1","2","2","2.3","2.8","2.4","2.1","2.1","3.1"
"50","44","      Other \5\","W200RX1","0.3","0.4","0.2","0.3","0.2","0.6","0.9","0.3"
"51","45","    Net purchases of used structures","B870RX1","3.3","3.9","4.1","4.1","1","4.7","5","5"
"52","46","Equipment and software \2\","A871RX1","92.4","101.1","110.7","115.2","120.9","128.6","134.3","146.4"
"53","47","  Federal","A872RX1","56.3","59.9","64.8","66.2","69.1","76.1","80.3","89.7"
"54","48","    National defense","A873RX1","38.9","40.1","42.5","43.8","46.4","52.6","56.7","64.4"
"55","49","      Aircraft","B874RX1","6.3","6.4","6.6","7.8","9.1","10.4","10.3","14.1"
"56","50","      Missiles","B875RX1","2.8","3.2","2.8","2.7","3.4","3.2","3.3","3.8"
"57","51","      Ships","B876RX1","6.2","6.5","6.9","6.6","7.2","8.6","9.3","9"
"58","52","      Vehicles","B877RX1","1.3","1.5","1.6","1.8","1.9","2.5","3","2.7"
"59","53","      Electronics and software","B878RX1","8.2","8.7","9.7","10.1","10","10.5","11.3","12.5"
"60","54","      Other equipment","B879RX1","14.1","13.9","14.8","14.9","14.9","17.3","19.4","22.4"
"61","55","    Nondefense","B880RX1","17.5","19.8","22.3","22.3","22.7","23.5","23.6","25.3"
"62","56","  State and local","B881RX1","36.1","41.2","45.9","49","51.7","52.5","53.9","56.6"
"63","57","Residual","A967RX1","-1.2","-0.4","0","-0.2","0.1","0.2","-0.3","-2.1"
"64",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"65","58","  Government enterprise gross fixed investment","A882RX1","52.2","53.3","58.2","59.7","63.3","68.3","72.9","72.3"
"66","59","    Federal","A883RX1","5.6","7.1","7.8","6.9","5.8","5.7","6.6","6.6"
"67","60","      Structures","B884RX1","2.4","2.6","2.9","2.5","2.3","1.8","2.2","2.2"
"68","61","      Equipment and software","B885RX1","3.3","4.5","4.8","4.4","3.5","3.8","4.4","4.5"
"69","62","    State and local","A886RX1","46.7","46.2","50.4","52.8","57.5","62.6","66.3","65.7"
"70","63","      Structures","B887RX1","41.5","39.7","42.9","45.5","49.7","52.9","55.8","54.8"
"71","64","      Equipment and software","B888RX1","5.3","6.5","7.5","7.3","7.8","9.8","10.6","11"
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","structures, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Note. Chained (2000) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","index and the 2000 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","difference between the first line and the sum of the most detailed lines, excluding the lines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","in the addenda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
