"","Table.6.11A..Employer.Contributions.for.Employee.Pension.and.Insurance.Funds.by.Industry.and.by.Type","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20"
"49","40","        Federal military \2\","B1593C0","38","40","41","42","40","44","49","54","57","60","64","70","62","52","56","61","78","123","166"
"50","41","        State and local","S121000","72","78","86","95","110","119","127","137","144","151","157","163","175","194","210","218","235","255","275"
"51","42","    Private insurance funds","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"52","43","      Group insurance","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"53","44","        Group health insurance","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"54","45","        Group life insurance","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"55","46","      Workers' compensation","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"56","47","      Supplemental unemployment","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"57","48","  Employee contributions for publicly administered government employee retirement plans","B4941C0","76","81","86","89","93","95","102","110","123","135","147","162","181","279","385","421","450","452","476"
"58","49","    Federal civilian","B4947C0","29","30","31","32","30","30","32","34","37","39","42","50","66","159","257","282","295","262","246"
"59","50","    State and local","S251200","47","51","55","57","63","65","70","76","86","96","105","112","115","120","128","139","155","190","230"
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","1. Consists of civil service, foreign service, Public Health Service officers, Tennessee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Valley Authority, and several small retirement programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2. Includes the Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Note. Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
