"","Table.5.4.2B..Contributions.to.Percent.Change.in.Real.Private.Fixed.Investment.in.Structures.by.Type......................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8"
"31","23","  Other structures","W004RW2",0.52,0.07,0.27,-0.43,-1.41,-0.31,0.04
"32","24","    Religious","C309RW2",0.1,0.07,0.04,0,-0.03,0,-0.1
"33","25","    Educational and vocational","W044RW2",0.12,-0.08,0.23,0.09,-0.01,-0.03,-0.18
"34","26","    Lodging","W045RW2",0.29,0.09,-0.06,-0.39,-0.66,-0.13,0.15
"35","27","    Amusement and recreation","W046RW2",-0.04,0.11,-0.2,-0.2,-0.07,0.01,0.04
"36","28","    Transportation","W047RW2",0.15,-0.14,0.01,0,-0.07,-0.08,0.03
"37","29","      Air","W048RW2",0.02,0.02,0.07,0.01,-0.09,-0.05,-0.02
"38","30","      Land \3\","W049RW2",0.13,-0.16,-0.06,-0.02,0.03,-0.03,0.05
"39","31","    Farm","C316RW2",0.05,0.09,0.1,-0.14,0.05,-0.12,0
"40","32","    Other \4\","W050RW2",0,-0.06,0.12,-0.15,-0.14,0.06,0.06
"41","33","    Brokers' commissions on sale of structures","C321RW2",0.02,0.01,0.02,-0.02,-0.04,-0.01,0.01
"42","34","    Net purchases of used structures","E322RW2",-0.18,-0.01,0,0.38,-0.44,0,0.03
"43","35","Residential","A012RW2",4.43,3.48,0.41,0.21,2.81,5.42,6.92
"44","36","  Permanent site","A943RW2",3.17,2.55,0.29,0.21,1.43,3.79,4.94
"45","37","    Single-family structures","A944RW2",3.21,2.26,0.36,0.05,1.23,3.68,4.76
"46","38","    Multifamily structures","C292RW2",-0.04,0.3,-0.07,0.16,0.2,0.11,0.17
"47","39","  Other structures","A863RW2",1.26,0.93,0.12,0,1.38,1.63,1.98
"48","40","    Manufactured homes","A945RW2",0.2,-0.12,-0.51,-0.3,-0.12,-0.2,-0.03
"49","41","    Dormitories","C295RW2",0.02,0.04,0,0.02,-0.01,0.02,-0.03
"50","42","    Improvements","A946RW2",0.08,0.51,0.39,0.2,0.81,0.78,0.55
"51","43","    Brokers' commissions on sale of structures","A758RW2",1.05,0.53,-0.05,0.11,0.86,1.05,1.38
"52","44","    Net purchases of used structures","A759RW2",-0.11,-0.03,0.28,-0.02,-0.16,-0.02,0.11
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA
"54","45","  Private fixed investment in new structures \5\","W040RW2",5.81,2.81,2.9,-1.19,-4.47,2.9,6.11
"55","46","    Nonresidential structures","A771RW2",2.33,-0.18,2.72,-1.31,-6.59,-1.49,0.68
"56","47","    Residential structures","A756RW2",3.48,2.98,0.17,0.12,2.11,4.39,5.43
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA
