"","Table.1.3.1..Percent.Change.From.Preceding.Period.in.Real.Gross.Value.Added.by.Sector.....................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76"
"11","5","Households and institutions","A193RL1",-2.1,-3.4,-4,-0.9,1.2,0.9,1.3,1.3,-0.1,2,3.6,3.6,5.4,1.9,4.4,3.3,1.2,6,6.4,6.2,8,6.8,6.3,6.1,5.9,8.2,6.3,5.4,5.8,5.7,6.8,4.3,5.6,4.1,4.1,5,4.6,4.2,4.9,4.3,1.7,4.2,4,3.4,3.7,4,1.5,1.3,4.6,4.4,5.2,3.2,3.3,2.9,3.3,1.8,2.6,3.8,4.7,4.1,3.5,2.9,2,2.5,2,2.4,1.3,2.7,2.7,3.2,3.7,2.7,1.9,-0.4,4.1
"12","6","  Households","B701RL1",-3.1,-4.5,-4.9,-0.7,1.9,0.7,1,1.5,-0.5,2.3,2.6,3.5,6.6,2.2,5,4.1,-0.7,6.1,4.2,6.5,9.2,7.8,7,6.4,6.3,8.9,6.6,5.6,5.7,5.8,6.1,4.8,5.7,4.2,4,4.6,4.1,4.1,2.7,4.1,2.3,4.6,4.2,3.5,4.3,2.7,1.7,0.9,6,4.5,6.4,3.2,1.8,1.9,3.5,2.4,1.3,2.7,3.8,3.2,2.5,3,1,1,3.3,1.8,1.2,2.4,1.8,4.8,4.2,3.1,-0.1,-1.3,6.5
"13","7","  Nonprofit institutions serving households \3\","B702RL1",3,1.2,-0.3,-1.7,-1,1.4,2.4,0.5,1.6,1.1,7.3,3.8,1.2,0.7,2.4,0.4,7.5,5.8,12.7,5.3,4.9,4,4.2,5.3,4.9,6.4,5.4,4.9,6,5.3,9,2.8,5.3,4,4.4,5.7,5.8,4.4,9.9,4.8,0.7,3.6,3.6,3.1,2.6,6.2,1.1,2,2.2,4.1,3.3,3.3,5.8,4.4,3,0.9,4.8,5.5,6,5.4,5.1,2.7,3.4,4.5,0.4,3.1,1.5,3,4,1.1,3,2.2,4.5,0.7,1.1
"14","8","General government \4\","A765RL1",4.7,1.8,-1.3,5.5,12.9,6.6,17.1,-4.6,7.9,1.9,4.7,22.9,53,64.3,21.2,0.4,-45.7,-21.2,-4.2,-0.3,1.4,19.5,8.4,1.8,0.1,0.4,1.8,2.1,1,1.3,3.4,3.5,3.9,3,3.4,3.4,6.2,5.3,3.9,2.5,0.4,0.2,-0.2,0.4,2,1.6,0.9,1,1.9,1.1,1.4,0.5,1,0.6,1.2,2.9,2.5,2.2,2.6,2.4,2.6,1,0.3,0.2,0,0.1,0.2,0.8,1.1,1,1.7,1.8,1.9,1.4,0.8
"15","9","  Federal","A766RL1",7.2,-4.1,-4.5,23.4,33.1,10.9,65.2,-13.3,13,2,9.4,52.3,102,93.9,26.6,0.1,-53.1,-29.4,-7.6,-4.4,0,31.5,11.4,0.4,-2.5,-2.3,-1.1,-0.3,-2.8,-0.8,1.9,2.1,4.1,0.9,1,0.7,6.6,6.5,1.7,0.3,-4.3,-4.6,-4.9,-3.7,-0.3,-0.6,0.2,0.3,1.3,-0.1,1.6,1.5,1.6,2.3,2.3,2.8,1.8,2.6,1.2,1.2,1.8,0.6,-2.1,-1.9,-3.3,-3.8,-2.7,-1.9,-1.1,-0.8,0.9,0.5,2,2.6,0.9
"16","10","  State and local","A767RL1",4,3.4,-0.5,0.7,6.1,4.8,-5.3,3,4.1,1.9,1.2,0.8,-1.3,-2.5,-2.3,2.1,5.2,6.5,2.6,6.6,3.5,2.6,3.3,4.4,4.4,4.6,6.3,5.5,6.1,4.1,5.3,5.2,3.7,5.2,6,6.1,5.9,4.2,6,4.6,4.4,4.1,3.5,3.5,3.6,3,1.3,1.5,2.3,1.8,1.4,-0.1,0.6,-0.4,0.6,2.9,2.9,1.9,3.4,3.1,3,1.3,1.7,1.4,1.7,2,1.6,2,2.1,1.8,2.1,2.4,1.9,0.9,0.8
"17",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","11","  Gross housing value added","A2009L1",-0.4,-0.5,-0.6,-3,2.9,-0.1,-0.3,1.5,3.7,1.4,2.6,4.8,7.3,5.5,4.2,2.3,2.4,5,5.2,6.6,7,7.4,7.6,5.9,6.2,5.6,5.3,6.2,5.8,7.1,6.3,5.7,6.2,4.9,4.5,5.3,4.5,4.6,3.6,4.6,3.2,4.5,4.7,3.6,4.8,3.1,1.4,2.5,4.4,3.9,6.2,4,2.7,2.2,3.2,3.9,1.9,2.4,3,2.3,2.5,3.4,1.4,0.6,3.1,2.2,0.9,2,1.2,4.3,3.5,2.6,-0.7,-2.8,5.2
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
