"","Table.3.18A..Relation.of.Federal.Government.Current.Receipts.and.Expenditures.in.the.National.Income.and.Product.Accounts.to.the.Consolidated.Cash.Statement..Fiscal.Years.and.Quarters","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37"
"17","9","Less: Netting and grossing differences","L318091",".....",".....",0.1,0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.1,-0.2,-0.3,-0.2,-0.2,-0.2,0,-0.2,-0.1,-0.2,-0.1,-0.1,-0.3,-0.3,-0.2,-0.4,-0.4,-0.3,-0.2,-0.2,-0.1,-0.1,-0.3,-0.4,-0.3,-0.5,-0.6
"18","10","        Current surplus of government enterprises \5\","W700LC1",".....",".....",0.1,0,0.1,0,0.1,0,0.1,0.1,0.2,0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.2,0.2,0.2,0.1
"19","11","        Interest receipts \6\","W701LC1",".....",".....",0,0,-0.3,-0.3,-0.3,-0.4,-0.3,-0.3,-0.3,-0.4,-0.3,-0.4,-0.4,-0.5,-0.4,-0.4,-0.4,-0.5,-0.4,-0.4,-0.5,-0.4,-0.4,-0.5,-0.4,-0.5,-0.4,-0.5,-0.5,-0.6,-0.5,-0.6,-0.6,-0.7
"20","12","        Other \7\","L318111",".....",".....",0,0.2,0,0.2,0,0.1,0,0.1,0,0.1,0,0.1,0.1,0.3,0.2,0.2,0.1,0.3,0.2,0.1,0,0.2,0,0,0,0.2,0.1,0.3,0.1,0.2,-0.1,0.1,-0.2,0
"21","13","Plus: Timing differences","L318121",".....",".....",0.8,1.8,-1.4,-0.7,-0.1,0.8,-1.8,-0.1,0.7,2.2,-0.4,-0.1,0,1.5,-0.5,0.3,0.7,2.1,-1.8,-0.2,0.6,1.7,-0.6,-1.2,0.5,2.3,0.1,-4.5,-0.3,2.4,-0.9,-7.3,0.9,1.8
"22","14","        Taxes on corporate income","L318131",".....",".....",1.3,1.4,-1.9,-1.1,0.5,0.8,-2.2,-0.7,1.4,2,-1.5,-0.5,1.1,1.5,-1.7,0,1.7,1.9,-1.7,-0.6,1.5,1.6,-1.5,-1.2,1.4,2.1,-1.2,-3.4,1.5,1.9,-1.3,-7.2,1.4,2.2
"23","15","        Federal and State unemployment insurance taxes","L318141",".....",".....",-0.2,-0.1,0.3,0,-0.2,-0.1,0.4,0,-0.2,-0.1,0.7,0.1,-0.2,-0.1,0.1,0.1,-0.2,-0.1,0.1,0,-0.2,-0.1,0.4,0,-0.3,-0.1,0.4,0,-0.2,-0.1,0.3,-0.1,-0.2,-0.1
"24","16","        Withheld personal income tax and social security contributions","L318151",".....",".....",-0.2,0.4,0.1,0.3,-0.3,0.1,0.1,0.3,-0.3,0.2,0.4,0.1,-0.6,-0.1,1.1,0,-0.5,0.1,-0.1,0.1,-0.5,0.1,0.4,0.1,-0.2,0.1,1.3,-1.4,-1.3,0.6,0.9,0,-0.2,-0.3
"25","17","        Excise taxes","L318161",".....",".....",-0.1,0.1,0.1,0.1,-0.2,0.1,-0.1,0.2,-0.1,0.1,-0.1,0.2,-0.2,0.1,-0.1,0.2,-0.2,0.2,-0.1,0.3,-0.2,0.1,0.1,-0.1,-0.5,0.2,-0.4,0.3,-0.2,0.1,-0.7,0,-0.1,0
"26","18","        Other","L318171",".....",".....",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","19","Equals: Federal Government current receipts, national income and product accounts","L318181",".....",".....",21.3,20.3,23.7,26.7,22.7,20.8,22.2,26.9,23.4,23,25.1,29.9,25,23.6,27,31.8,27.1,25.9,27.6,32.2,26.9,25.1,29.3,35.6,28.8,27.3,32.3,40,33.2,32.4,36.3,40.7,36,33.8
"28",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","Cash payments to the public","L318191",".....",".....",24.4,23.9,22,24.1,24.2,24.5,23.4,27.4,26.7,27.2,25.9,27.9,28.5,29.6,26.5,29.1,31,30.6,28.7,30.1,30.9,30.6,28.3,32.6,33.1,34,34.6,36.2,41.3,38.8,36.7,38.4,45.1,43.5
"30","21","Less: Coverage differences","L318201",".....",".....",2.8,2.8,2,2.3,2.6,2.3,2.1,3.2,4.9,3.5,2.9,2.9,3.7,3.1,1.7,2.9,3.6,4.1,2.4,2.8,2.8,3.4,1.6,4.8,2.1,3.7,3.9,2.9,4.8,3.5,-0.3,0,5.2,4.3
"31","22","        Geographic \8\","L318211",".....",".....",0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"32","23","        Federal employee retirement plan transactions \2\","L318221",".....",".....",0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.3,0.1,0.3,0.1,0.3,0.2,0.3,0.2,0.3,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.3,0.6,0.3,0.5,0.4,0.7,0.4,0.7,0.3
"33","24","          Interest received","L318231",".....",".....",0,-0.1,0,-0.1,0,-0.1,0,-0.1,0,-0.1,0,-0.2,0,-0.2,0,-0.2,0,-0.2,0,-0.2,0,-0.2,0,-0.2,0,-0.2,0,-0.3,0,-0.3,0,-0.3,0,-0.3
"34","25","          Contributions received (employer)","L318241",".....",".....",-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.3,-0.3,-0.3,-0.3,-0.4
"35","26","          Benefits paid","L318251",".....",".....",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1,1.1
"36","27","          Administrative expenses","L318261",".....",".....",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","28","        District of Columbia","L318271",".....",".....",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"38","29","        Federal Home Loan banks and Federal Land banks","L318281",".....",".....",0.5,0.3,-0.6,0.1,-0.1,0.1,-0.7,0.4,0.4,0.4,-0.4,0.7,0.5,0.3,-1.1,0.8,1.1,0.6,-0.5,0.5,0.3,0.3,-0.3,1,0.5,0.2,0,1.2,0.8,-0.6,-2,-1.2,0.6,0.3
"39","30","        Net investment \9\","L318291",".....",".....",1.4,1,0.9,0.8,1,0.9,1.3,1.2,1.4,1.5,1.5,1.4,1.6,1.4,1,1,1.3,0.8,0.8,0.8,0.9,0.8,0.5,0.5,0.6,0.5,0.8,0.6,1,1,1,0.7,1.1,0.8
"40","31","        Capital transfers paid \10\","L318301",".....",".....",1,0.9,0.5,0.6,0.8,0.8,0.5,0.6,0.9,0.9,0.6,0.7,0.9,1,0.6,0.7,1.1,1.2,0.7,0.8,1.3,1.3,0.8,0.8,1.2,1.2,0.8,0.9,1.3,1.3,0.8,0.7,1.3,1.4
"41","32","        Financial transactions","L318311",".....",".....",0.1,0.7,1,0.6,0.9,0.6,0.8,0.9,2.1,0.9,1.3,0.5,0.7,0.8,1,0.4,0.2,1.5,1.2,0.7,0.3,1.1,0.6,1.9,-0.4,2,2.2,0.2,1.4,1.7,-0.4,-0.7,2.1,1.3
"42","33","          Loan disbursements less loan repayments and sales \11\","L318321",".....",".....",-0.1,0.5,0.7,0.3,0.6,0.3,0.5,0.5,1.9,0.7,1,0.2,0.4,0.6,0.7,0,0,1.2,1.3,0.4,0.1,0.8,0.4,1.6,-0.3,1.7,2,0.1,1.6,1.7,-0.4,-0.8,1.7,1.2
"43","34","          Net purchases of foreign currency","L318331",".....",".....",0.3,0.2,0.3,0.3,0.2,0.3,0.4,0.4,0.2,0.3,0.3,0.4,0.3,0.2,0.3,0.4,0.2,0.3,0,0.4,0.2,0.2,0.2,0.3,-0.1,0.3,0.2,0.1,-0.2,0.1,0,0,0.4,0.1
"44","35","        Other \12\","L318341",".....",".....",-0.5,-0.4,-0.1,-0.1,-0.3,-0.4,-0.2,-0.2,-0.2,-0.4,-0.4,-0.7,-0.3,-0.6,-0.2,-0.3,-0.5,-0.4,-0.4,-0.5,-0.5,-0.4,-0.6,0.2,-0.3,-0.7,-0.7,-0.4,-0.5,-0.5,-0.6,-0.1,-0.7,-0.1
"45","36","Less: Netting and grossing differences","L318351",".....",".....",0.1,0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.1,-0.2,-0.3,-0.2,-0.2,-0.2,0,-0.2,-0.1,-0.2,-0.1,-0.1,-0.3,-0.3,-0.2,-0.4,-0.4,-0.3,-0.2,-0.2,-0.1,-0.1,-0.3,-0.4,-0.3,-0.5,-0.6
"46","37","        Current surplus of government enterprises \5\","W702LC1",".....",".....",0.1,0,0.1,0,0.1,0,0.1,0.1,0.2,0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.2,0.2,0.2,0.1
"47","38","        Interest receipts \6\","W703LC1",".....",".....",0,0,-0.3,-0.3,-0.3,-0.4,-0.3,-0.3,-0.3,-0.4,-0.3,-0.4,-0.4,-0.5,-0.4,-0.4,-0.4,-0.5,-0.4,-0.4,-0.5,-0.4,-0.4,-0.5,-0.4,-0.5,-0.4,-0.5,-0.5,-0.6,-0.5,-0.6,-0.6,-0.7
"48","39","        Other \7\","L318371",".....",".....",0,0.2,0,0.2,0,0.1,0,0.1,0,0.1,0,0.1,0.1,0.3,0.2,0.2,0.1,0.3,0.2,0.1,0,0.2,0,0,0,0.2,0.1,0.3,0.1,0.2,-0.1,0.1,-0.2,0
"49","40","Plus: Timing differences","L318381",".....",".....",-0.3,0.5,0.6,-0.1,0,0.2,0.8,-0.4,0.5,0.2,1,0.4,0,-0.3,0.9,0,-0.2,0.2,0.4,0.6,-0.2,0,0.2,0.8,-0.6,0.3,0,0.1,-0.6,-0.2,0.1,0.1,-0.5,0.4
"50","41","        Purchases (increase in payables net of advances) \13\","L318391",".....",".....",0,0.3,-0.1,0,0.2,0.1,0.1,-0.1,0.2,0.2,0,-0.1,0,0.2,-0.2,-0.5,0.1,0.2,-0.2,-1.3,0.9,0.4,-0.2,-0.2,-0.1,0.3,-0.4,-0.1,-0.3,0.2,-0.9,0.3,-1.6,0.4
"51","42","        Interest payments","L318401",".....",".....",0.4,0.2,0.1,-0.2,-0.1,0.2,-0.2,0.3,-0.3,0.7,0.5,-0.1,0.4,0.1,0.3,0.1,0.3,0.3,0.3,0.1,0.3,0.1,0.3,0.1,0.1,0.4,0.2,0.1,0.5,0.3,0.2,-0.3,0.7,0.3
"52","43","        Current transfer payments","L318411",".....",".....",0.1,0,0,0,0,0,0,-0.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1
"53","44","        Subsidies","L318421",".....",".....",-0.1,0.1,0,0.1,-0.1,0.1,0,0,0,0,-0.1,0.3,0,-0.1,0,0.2,0.2,-0.3,0.1,0.5,-0.1,-0.1,0.1,0.1,0.1,0,-0.1,0.1,0.3,-0.3,-0.2,0,0.3,0
"54","45","        Checks outstanding and certain other accounts","L318431",".....",".....",-0.7,-0.1,0.5,0,0,-0.2,0.8,-0.3,0.4,-0.7,0.6,0.3,-0.5,-0.5,0.8,0.2,-0.8,0,0.3,1.4,-1.2,-0.4,0,0.7,-0.8,-0.4,0.3,0,-1.1,-0.3,0.8,0,0,-0.5
"55","46","Equals: Federal Government current expenditures, national income and product accounts","L318441",".....",".....",21.1,21.5,20.6,21.8,21.7,22.7,22.3,23.9,22.5,24.2,24.3,25.6,24.9,26.2,25.9,26.3,27.3,26.9,26.9,28.2,28.2,27.4,27.2,29,30.6,30.8,30.9,33.4,35.9,35.4,37.5,38.8,39.8,40.1
"56",NA,"      Net Federal Government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","47","Consolidated cash budget surplus or deficit (-) (1-20)","L318451",".....",".....",-3,-4.5,3.8,4.4,-0.8,-3.9,1.4,1,-3.3,-5.9,0.3,3.1,-2.5,-6.6,1.7,3.4,-3.6,-6.1,1.6,3.3,-3.9,-6.3,2.4,5.1,-3.9,-8.1,-1.3,10,-6.7,-7.7,1.4,11.5,-9.2,-10.9
"58","48","Plus: Net investment (30)","L318461",".....",".....",1.4,1,0.9,0.8,1,0.9,1.3,1.2,1.4,1.5,1.5,1.4,1.6,1.4,1,1,1.3,0.8,0.8,0.8,0.9,0.8,0.5,0.5,0.6,0.5,0.8,0.6,1,1,1,0.7,1.1,0.8
"59","49","Less: Net capital transfers received (5-31)","L318471",".....",".....",-0.7,-0.6,-0.1,0,-0.4,-0.3,0,0,-0.4,-0.5,-0.1,0,-0.4,-0.5,-0.1,0,-0.6,-0.7,-0.1,0,-0.7,-0.7,-0.1,0,-0.5,-0.6,-0.1,0.1,-0.7,-0.7,-0.1,0.3,-0.6,-0.8
"60","50","      Federal employee retirement plans (4-23)","L318481",".....",".....",0,0.1,0,0.1,0.1,0.1,0,0.1,0,0.1,-0.1,0.1,-0.1,0.1,-0.1,0.1,-0.1,0.1,-0.1,0,-0.1,0,-0.2,0,-0.2,0,-0.3,-0.1,-0.2,-0.1,-0.4,-0.1,-0.3,0
"61","51","      Other coverage differences (3+6+7+8-22-28-29-32-35)","L318491",".....",".....",-0.1,-0.5,-0.3,-0.3,-0.4,-0.2,0.2,-0.5,-2.2,-0.9,-0.4,-0.4,-0.4,-0.3,0.2,-0.9,-0.6,-1.7,-0.3,-0.8,-0.1,-0.7,0.4,-3,0.3,-1.6,-1.4,-0.7,-1.7,-0.3,3.1,2.6,-1.9,-1.7
"62","52","      Timing differences (40-13)","L318501",".....",".....",-1.1,-1.3,2,0.6,0.1,-0.6,2.6,-0.3,-0.3,-2,1.5,0.6,-0.1,-1.7,1.4,-0.2,-0.9,-1.9,2.2,0.8,-0.8,-1.7,0.8,2,-1.2,-2,-0.1,4.6,-0.3,-2.6,0.9,7.4,-1.5,-1.4
"63","53","Equals: Net Federal Government saving, national income and product accounts (19-46)","L318511",".....",".....",0.2,-1.2,3.1,4.9,1,-1.8,-0.1,3,0.9,-1.2,0.8,4.3,0.1,-2.7,1.1,5.4,-0.2,-1,0.7,4,-1.3,-2.4,2,6.5,-1.7,-3.5,1.4,6.6,-2.7,-3,-1.2,2,-3.8,-6.3
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. Consists largely of contributions for social insurance by residents of U.S. territories, Puerto Rico, and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. These transactions are included in the NIPA personal sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","3. Consists of estate and gift taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","4. Consists largely of sales of land, receipts from offshore oil leases, and U.S. Treasury receipts from sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","foreign currencies to Government agencies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","5. Prior to 1959, the current surplus of government enterprises is not included in current receipts; the current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","surplus of government enterprises is included in current expenditures, which are shown net of the current surplus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","of government enterprises.  For fiscal year 1959, the estimate represents the last two quarters of the fiscal year.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","6. Prior to 1960, interest receipts are not included in current receipts; interest receipts are included in current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","expenditures, which are shown net of interest receipts. For fiscal year 1960, the estimate represents the last two",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","quarters of the fiscal year.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","7. Includes proprietary receipts that are netted against outlays in the cash budget and classified as receipts in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","the NIPAs.  Also includes some transactions that are not reflected in the cash budget data but are added to both",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","receipts and expenditures in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","8. Consists largely of social benefits, subsidies, and grants-in-aid to residents of U.S. territories, Puerto Rico,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","and the Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","9. Net investment is gross investment less consumption of fixed capital for government enterprises and general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","10. Consists of investment grants to State and local governments and maritime construction subsidies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","11. Also includes the financial transactions of deposit insurance funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","12. Consists largely of offshore oil leases and purchases of land, certain purchases of foreign currency from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","U.S. Treasury by Government agencies, net expenditures of foreign currencies, grants to the District of Columbia,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","and net purchases of silver and minor coin metal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
