"","Table 4# National Income and Disposition of Personal Income     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11",NA,"  Compensation of employees"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","20","    Total","A033RC1",51.1,46.9,39.8,31.1,29.6,34.3,37.4,42.9,48,45,48.1,52.2,64.8,85.3,109.6,121.3,123.3,119.6,130.1,142,141.9,155.3,181.4,196.2,210.2,209.2,225.7,244.5,257.5,259.5,281,296.4,305.3,327.1,345.2,370.7,399.5,442.7,475.1,524.3,577.6,617.2,658.9,725.1,811.2,890.2,949.1,1059.3,1180.5,1336.1,1500.8,1651.8,1825.8,1925.8,2042.6,2255.6,2424.7,2570.1,2750.2,2967.2,3145.2,3338.2,3445.2,3635.4,3801.4,3997.2,4193.3,4390.5,4661.7,5019.4,5357.1,5782.7,5942.1,6091.2,6325.4,6650.3,7030.3
"13","30","    Wage and salary accruals","A034RC1",50.5,46.2,39.2,30.5,29,33.7,36.7,42,46.1,43,46,49.9,62.1,82.1,105.8,116.7,117.5,112,123.1,135.6,134.7,147.3,171.6,185.6,199,197.3,212.2,229,240,241.3,259.8,272.9,280.5,299.4,314.9,337.8,363.8,400.3,429,472,518.3,551.6,584.5,638.8,708.8,772.3,814.8,899.7,994.2,1121.2,1255.8,1377.6,1517.5,1593.7,1684.6,1855.1,1995.5,2114.8,2270.7,2452.9,2596.3,2754,2823,2964.5,3089.2,3249.8,3435.7,3623.2,3874.7,4182.7,4471.4,4829.2,4942.8,4980.9,5127.7,5377.1,5664.8
"14","40","    Supplements to wages and salaries","A038RC1",0.7,0.7,0.6,0.6,0.5,0.6,0.7,1,1.8,2,2.2,2.3,2.7,3.2,3.8,4.5,5.8,7.6,7,6.4,7.1,8,9.8,10.5,11.2,11.9,13.5,15.5,17.6,18.2,21.1,23.6,24.8,27.8,30.4,32.9,35.7,42.3,46.1,52.3,59.3,65.7,74.4,86.4,102.5,118,134.3,159.6,186.4,214.9,245,274.2,308.3,332.1,358,400.5,429.2,455.3,479.5,514.2,548.9,584.2,622.3,670.9,712.2,747.5,757.7,767.3,787,836.7,885.7,953.4,999.3,1110.3,1197.7,1273.2,1365.5
"15",NA,"  Proprietors' income with IVA and CCAdj."," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","50","    Farm","B042RC1",5.8,4,3.1,1.8,2.3,2.7,5,4,5.7,4.1,4.1,4.1,6.1,9.7,11.6,11.5,11.8,14.2,14.4,16.7,12,12.9,15.3,14.3,12.1,11.7,10.6,10.5,10.4,12.3,10,10.5,11,11,10.8,9.6,11.8,12.8,11.5,11.5,12.6,12.7,13.2,16.8,28.9,23.2,21.7,17,15.7,19.6,21.8,11.3,18.7,13.1,6,20.6,20.8,22.6,28.7,26.8,33,31.9,26.7,34.5,31.2,33.9,22.7,37.3,34.2,29.4,28.6,22.7,19.7,10.6,29.2,36.2,30.2
"17","60","    Nonfarm","A045RC1",8.4,7,5.3,3.3,3.1,4.4,5.2,6.4,6.9,6.6,7.1,8.2,10.6,13.7,16.7,18,19,21.4,20.2,22.6,22.7,24.7,27.4,28.8,30,30.6,33.7,35.4,37.4,37.8,40.6,40.3,42.2,44.4,45.7,49.8,52.1,55.4,58.4,62.8,64.7,65.7,71.6,79.1,84.6,89.9,97.8,115.2,130,147.1,158.3,162.8,164.3,163.3,186.5,222.7,241.5,253.1,273.5,314.7,330.3,348.7,350.4,393,422.6,439.4,469.5,505.9,541.8,598.4,649.7,705.7,752.2,757.8,782.1,874.9,940.4
"18","70","  Rental income of persons with CCAdj.","A048RC1",6.2,5.5,4.5,3.6,2.9,2.6,2.6,2.8,3,3.6,3.8,3.9,4.5,5.5,6.1,6.5,6.7,7.1,7.2,7.9,8.2,9.2,10.1,11.2,12.5,13.5,13.9,14.2,14.6,15.4,16.2,17.1,17.9,18.8,19.5,19.6,20.2,20.8,21.2,20.9,21.2,21.4,22.4,23.4,24.3,24.3,23.7,22.3,20.7,22.1,23.8,30,38,38.8,37.8,40.2,41.9,33.5,33.5,40.6,43.1,50.7,60.3,78,95.6,119.7,122.1,131.5,128.8,137.5,147.3,150.3,167.4,152.9,133,127,72.8
"19","80","  Corporate profits with IVA and CCAdj.","A051RC1",10.8,7.5,2.9,-0.2,-0.1,2.5,4,6.2,7.1,5,6.6,9.8,15.5,20.6,24.9,24.9,20.3,17.8,23.7,31.2,29.1,36,41.2,39.3,39.7,38.8,49.5,48.5,48.4,43.5,55.7,53.8,54.9,63.3,69,76.5,87.5,93.2,91.3,98.8,95.4,83.6,98,112.1,125.5,115.8,134.8,163.3,192.4,216.6,223.2,201.1,226.1,209.7,264.2,318.6,330.3,319.5,368.8,432.6,426.6,437.8,451.2,479.3,541.9,600.3,696.7,786.2,868.5,801.6,851.3,817.9,767.3,886.3,993.1,1182.6,1330.7
"20","90","  Net interest and miscellaneous payments","W255RC1",4.6,4.8,4.8,4.5,4,4,4.1,3.8,3.7,3.6,3.6,3.3,3.3,3.2,2.9,2.4,2.3,1.9,2.5,2.6,2.9,3.2,3.7,4.1,4.7,5.6,6.2,6.9,8,9.5,9.6,10.6,12.5,14.2,15.2,17.4,19.6,22.4,25.5,27.1,32.7,39.1,43.9,47.9,55.2,70.8,81.6,85.5,101.1,115,138.9,181.8,232.3,271.1,285.3,327.1,341.3,366.8,366.4,385.3,432.1,442.2,418.2,388.5,365.7,366.4,367.1,376.2,415.6,487.1,495.4,559,566.3,520.9,524.7,485.1,483.4
"21","100","  Taxes on production and imports less subsidies \1\","W254RC1",6.8,7,6.6,6.5,6.8,7.2,7.5,8.3,8.7,8.6,8.5,9.2,10.7,11.2,12,12.8,14.1,15.7,17.9,19.4,20.6,22.4,24,26.7,29,29,31.7,33.9,36,36.8,40,43.4,45,48.2,51.2,54.6,57.8,59.3,64.2,72.3,79.4,86.7,95.9,101.4,112.1,121.7,131,141.5,152.8,162.2,171.9,190.9,224.5,226.4,242.5,269.3,287.3,298.9,317.7,345.5,372.1,398.7,430.2,453.9,467,513.5,524.2,546.8,579.1,604.4,629.8,664.6,673.3,724.4,759.3,819.4,865.1
"22","110","  Business current transfer payments","B029RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.7,0.7,0.7,0.7,0.9,1.2,1.3,1.2,1,1.4,1.7,1.9,1.8,1.8,1.9,2,2.2,2.7,3.1,3.6,3.5,3.8,4.3,4.9,4.5,4.3,4.9,6,7.1,9.4,9.5,8.4,10.6,13,14.4,17.6,20.1,22.5,30.1,34.8,36.6,33.8,34,39.2,39.4,39.9,42.4,40.7,43.3,46.9,53.1,49.9,64.7,67.4,87.1,92.8,84.3,83.8,85.5,74.2
"23","120","  Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9,0.8,0.9,1.4,1.3,1.3,1,0.9,1.2,1,0,-0.2,0.5,-0.4,-0.9,-3.2,-1.8,-2.6,-1.9,-2.6,-4.8,-4.9,-4,-3.1,-1.9,0.8,1.3,1.2,2.5,4.9,1.6,5.7,7.6,7.2,8.6,11.4,12.7,12.6,10.3,10.1,5.3,-1.4,0.9,1.7,-5,-15.4
"24","130","  Addendum: Corporate profits after tax without IVA and CCAdj.","A055RC1",9.2,3.4,-0.1,-1.9,1.2,2.3,3.3,5.5,5.9,3.4,6.2,7.6,10.7,10.6,11.5,11.5,9.3,15.8,20.7,23.5,19.4,25.3,22.2,20.8,21.4,21.7,27.8,28.5,27.7,24,30,28.8,28.7,32.9,35.7,40.9,49.1,52.8,50.6,52.8,51.4,46.2,54.7,65.5,84.9,95,93.9,114.4,136,161.3,181.9,166.3,159.4,132,153.3,171.1,158,136.3,187.2,244.4,237.7,264.1,284.4,312.4,346.1,383.3,455.6,501.4,552.1,470,517.2,508.2,503.8,575.8,664.8,844.2,1119.4
"25",NA,"Disposition of personal income"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","140","  Personal income","A065RC1",85.1,76.3,65.3,49.9,46.9,53.7,60.4,68.7,74.1,68.4,72.9,78.5,96.1,123.5,152.2,166,171.7,178.6,191,209.8,207.1,229,258,275.4,291.9,294.5,316.1,339.6,358.7,369,392.8,411.5,429,456.7,479.6,514.6,555.7,603.9,648.3,712,778.5,838.8,903.5,992.7,1110.7,1222.6,1335,1474.8,1633.2,1837.7,2062.2,2307.9,2591.3,2775.3,2960.7,3289.5,3526.7,3722.4,3947.4,4253.7,4587.8,4878.6,5051,5362,5558.5,5842.5,6152.3,6520.6,6915.1,7423,7802.4,8429.7,8724.1,8881.9,9163.6,9731.4,10239.2
"27","150","  Less: Personal current taxes","W055RC1",1.7,1.6,1,0.7,0.8,0.9,1.1,1.3,1.9,1.9,1.5,1.7,2.3,4.9,16.7,17.7,19.4,17.2,19.8,19.2,16.7,18.9,27.1,32,33.2,30.2,32.9,36.6,38.9,38.5,42.3,46.1,47.3,51.6,54.6,52.1,57.7,66.4,73,87,104.5,103.1,101.7,123.6,132.4,151,147.6,172.3,197.5,229.4,268.7,298.9,345.2,354.1,352.3,377.4,417.4,437.3,489.1,505,566.1,592.8,586.7,610.6,646.6,690.7,744.1,832.1,926.3,1027,1107.5,1235.7,1237.3,1051.8,1001.1,1049.8,1203.1
"28","160","  Equals: Disposable personal income","A067RC1",83.4,74.7,64.3,49.2,46.1,52.8,59.3,67.4,72.2,66.6,71.4,76.8,93.8,118.6,135.4,148.3,152.2,161.4,171.2,190.6,190.4,210.1,231,243.4,258.6,264.3,283.3,303,319.8,330.5,350.5,365.4,381.8,405.1,425.1,462.5,498.1,537.5,575.3,625,674,735.7,801.8,869.1,978.3,1071.6,1187.4,1302.5,1435.7,1608.3,1793.5,2009,2246.1,2421.2,2608.4,2912,3109.3,3285.1,3458.3,3748.7,4021.7,4285.8,4464.3,4751.4,4911.9,5151.8,5408.2,5688.5,5988.8,6395.9,6695,7194,7486.8,7830.1,8162.5,8681.6,9036.1
"29","170","  Less: Personal outlays","A068RC1",79.6,71.6,61.8,49.7,46.8,52.3,56.7,63.1,67.9,65.3,68.2,72.4,82.3,90,100.8,109.7,121.2,145.9,163.8,177.3,180.9,195,211.5,222.9,237.1,244.3,263.6,277.2,292.8,302.2,323.9,338.8,349.6,371.3,391.8,421.7,455.1,493.1,520.9,572.2,621.4,666.2,721.2,791.9,875.6,958,1061.9,1180.2,1310.4,1465.8,1634.4,1807.5,2001.8,2150.4,2374.8,2597.3,2829.3,3016.7,3216.9,3475.8,3734.5,3986.4,4140.1,4385.4,4627.9,4902.4,5157.3,5460,5770.5,6119.1,6536.4,7025.6,7354.5,7645.3,7987.7,8507.2,9070.9
"30","180","  Equals: Personal saving","A071RC1",3.8,3.1,2.5,-0.5,-0.7,0.5,2.6,4.3,4.3,1.3,3.2,4.4,11.5,28.6,34.6,38.7,31.1,15.5,7.4,13.4,9.5,15.1,19.5,20.5,21.5,20,19.7,25.8,27,28.3,26.7,26.7,32.2,33.8,33.3,40.8,43,44.4,54.4,52.8,52.5,69.5,80.6,77.2,102.7,113.6,125.6,122.3,125.3,142.5,159.1,201.4,244.3,270.8,233.6,314.8,280,268.4,241.4,272.9,287.1,299.4,324.2,366,284,249.5,250.9,228.4,218.3,276.8,158.6,168.5,132.3,184.7,174.9,174.3,-34.8
"31","190","  Saving as a percentage of disposable personal income","A072RC1",4.5,4.1,3.9,-0.9,-1.5,1,4.3,6.3,6,2,4.5,5.7,12.2,24.1,25.6,26.1,20.4,9.6,4.3,7,5,7.2,8.4,8.4,8.3,7.6,6.9,8.5,8.5,8.6,7.6,7.3,8.4,8.3,7.8,8.8,8.6,8.3,9.5,8.4,7.8,9.4,10.1,8.9,10.5,10.6,10.6,9.4,8.7,8.9,8.9,10,10.9,11.2,9,10.8,9,8.2,7,7.3,7.1,7,7.3,7.7,5.8,4.8,4.6,4,3.6,4.3,2.4,2.3,1.8,2.4,2.1,2,-0.4
"32","200","  Real disposable personal income \2\","A067RX1",712.7,666.8,643.5,558.4,542.3,594.5,652.2,733.6,758.6,715.5,774.9,826.5,950.7,1069.9,1119.9,1160.7,1145.3,1132.7,1090.3,1148.4,1155.8,1260,1297.3,1339.4,1404.5,1422.1,1516.7,1589.7,1628.5,1642.6,1715.5,1759.7,1819.2,1908.2,1979.1,2122.8,2253.3,2371.9,2475.9,2588,2668.7,2781.7,2907.9,3046.5,3252.3,3228.5,3302.6,3432.2,3552.9,3718.8,3811.2,3857.7,3960,4044.9,4177.7,4494.1,4645.2,4791,4874.5,5082.6,5224.8,5324.2,5351.7,5536.3,5594.2,5746.4,5905.7,6080.9,6295.8,6663.9,6861.3,7194,7333.3,7562.2,7729.9,8010.8,8104.6
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Prior to 1959, the current surplus of government enterprises is not available separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","the current surplus of government enterprises is included in taxes on production and imports less subsidies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2. Real disposable personal income in billions of chained (2000) dollars.  Derived by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","deflation using the implicit price deflator for personal consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","CCAdj. Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
