"","Table 5#8#5A# Gross Government Fixed Investment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"11","4","          Nondefense","A798RC1",0.2,0.2,0.3,0.3,0.5,0.8,1.1,1,0.9,0.9,0.8,0.8,1.4,1,0.8,0.5,0.6,0.4,0.8,1,1.4,1.6,1.5,1.6,1.4,1.2,0.9,1.2,1.4,1.6,1.7,2,2.4,2.9,3.5,4.2,4.7,4.9,4.2,3.8,3.6,3.8,4.2,4.5,4.9,5.6,6.5,7.3,8,9.8,10.2,12,13,12.7,14.5,15.7,16.9,17.5,19.4,18.6,20.3,22.6,24.8,27.2,28.1,25.4,27.3,29.1,28.3
"12","5","        State and local","A799RC1",2.6,2.9,2.6,1.8,1.3,1.8,1.6,2.9,2.6,3,3.4,2.8,2.2,1.5,0.9,0.7,0.8,1.6,2.8,4,5.3,5.9,7,7.3,7.9,9.2,10,11.3,12.5,13.5,13.9,13.9,15,15.9,17.5,19,20.8,23.1,25.3,27.7,28.3,28.7,30.1,30.6,33.2,39.6,43.6,43.8,42.8,49.5,56.8,64,65,64.8,66.4,75,84.4,92.8,98.4,106.3,114.7,127.2,132.1,134.3,135.7,143,154,163.8,178.9
"13","6","Structures \2\","A760RC1",2.6,2.9,2.7,1.9,1.7,2.3,2.3,3.7,3.3,3.6,3.9,3.7,6.3,12.1,7,3.3,2.5,1.7,3,4.6,6.3,7,9.5,11.1,11.7,12.1,12,13.4,14.9,16.5,16.9,16.6,18,18.6,19.9,21.1,22.8,25.1,26.5,28.5,29,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65,65.7,72.5,81.1,89,95.5,99,102,112.6,117,119.7,120.8,124.9,134.4,144.7,155
"14","7","  Federal","A801RC1",0.2,0.2,0.3,0.3,0.5,0.6,0.8,1,1,0.9,0.8,1.2,4.2,10.7,6.2,2.7,1.8,0.3,0.5,1,1.5,1.6,3.1,4.4,4.4,3.6,2.7,3,3.4,4,4,3.9,4.2,4.1,4,3.8,3.9,4.1,3.4,3.3,3.4,3.4,4.3,4.5,5.2,5.6,6.4,6.7,7.4,8.6,8.8,10.3,10.9,10.7,11.5,12,13.6,14.8,16.7,14.2,13.2,14.1,13.8,15.5,16.3,16.2,17.1,17.9,15.5
"15","8","    National defense","A808RC1",0,0,0.1,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.6,3.6,10.3,5.8,2.5,1.7,0.3,0.2,0.4,0.4,0.5,2,3.3,3.3,2.7,2.1,2.1,2.3,2.6,2.5,2.2,2.4,2,1.6,1.3,1.1,1.3,1.2,1.2,1.5,1.3,1.8,1.8,2.1,2.2,2.3,2.1,2.4,2.5,2.5,3.2,3.2,4,4.8,4.9,6.2,6.8,7.7,7.4,6.4,6.1,4.6,5.2,5.1,5.7,6.3,6.7,5.7
"16","9","      New","A814RC1",0,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.7,3.6,10.3,5.9,2.5,1.7,0.6,0.4,0.5,0.4,0.5,2,3.3,3.3,2.7,2.3,2.1,2.2,2.4,2.5,2.1,2.2,1.8,1.6,1.3,1.3,1.3,1.3,1.4,1.6,1.3,1.6,1.5,1.8,2,2.6,2.4,2.4,2.5,2.5,3.2,3.2,4,4.8,4.9,6.2,6.8,7.7,7.4,6.4,6.1,4.6,5.2,5.1,5.7,6.3,6.7,5.7
"17","10","        Buildings","A815RC1",0,0,0,0,0,0,0,0.1,0.1,0,0,0.2,1.5,3.8,2.6,1.4,0.8,0.4,0.1,0.2,0.2,0.2,1,1.7,1.8,1.5,0.7,0.5,0.7,0.8,0.8,0.6,0.7,0.4,0.3,0.3,0.3,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.5,0.6,0.8,0.7,0.7,0.7,0.8,1.1,1.3,1.6,2,2,2.6,2.5,2.7,2.5,2.4,2.6,2.3,2,1.9,2,1.9,2,1.8
"18","11","          Residential","B816RC1",0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.2,0.4,0.7,0.2,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.5,0.3,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.3,0.4,0.5,0.6,0.6,0.5,0.5,0.5,0.7,0.7,0.9,1.2,1.2,1.5,1.6,1.9,1.7,1.7,1.8,1.2,1.1,1.2,1.4,1.4,1.4,1.4
"19","12","          Industrial","B817RC1",0,0,0,0,0,0,0,0,0,0,0,0.2,1.3,3.4,1.9,1.2,0.8,0.1,0.1,0.2,0.2,0.2,1,1.7,1.8,1.5,0.7,0.5,0.5,0.4,0.3,0.3,0.4,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.2,0.3,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.8,0.8,1.1,1,0.8,0.8,0.7,0.8,1.1,0.9,0.7,0.6,0.6,0.6,0.5
"20","13","        Military facilities \3\","B818RC1",0,0,0.1,0,0,0.1,0,0,0,0.1,0.2,0.5,2.1,6.5,3.3,1.1,0.9,0.2,0.3,0.2,0.2,0.2,1,1.6,1.5,1.2,1.5,1.6,1.6,1.6,1.7,1.5,1.5,1.4,1.3,1,1,1.1,1.1,1.1,1.2,1,1.1,1,1.3,1.4,1.8,1.7,1.7,1.8,1.8,2.2,2,2.3,2.8,3,3.6,4.3,5,4.9,4,3.5,2.4,3.2,3.2,3.8,4.4,4.7,3.9
"21","14","      Net purchases of used structures","B819RC1",0,0,0,0,0,0,0,0.1,0.1,0.1,0,-0.1,0,0,-0.1,0,0,-0.3,-0.2,-0.1,-0.1,0,0,0,0,0,-0.1,0,0.1,0.2,0.1,0.1,0.2,0.2,0,0,-0.2,-0.1,-0.1,-0.1,-0.1,0,0.2,0.3,0.3,0.2,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","15","    Nondefense","A830RC1",0.1,0.2,0.2,0.3,0.5,0.6,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.4,0.2,0.2,0,0.3,0.7,1.1,1.2,1.1,1.1,1.1,0.9,0.6,0.9,1.1,1.4,1.5,1.7,1.9,2.1,2.3,2.5,2.8,2.8,2.2,2.1,1.9,2.1,2.5,2.7,3.1,3.4,4.1,4.6,5,6.1,6.3,7.1,7.7,6.8,6.7,7,7.3,8,9,6.8,6.9,8,9.2,10.3,11.2,10.5,10.8,11.2,9.8
"23","16","      New","A831RC1",0.1,0.2,0.2,0.3,0.5,0.6,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.2,0.2,0.3,0.5,0.8,1.1,1.2,1.1,1.1,1.1,0.9,0.8,0.9,1.1,1.2,1.5,1.7,1.9,2.1,2.3,2.5,2.7,2.8,2.2,2.1,1.9,2,2.5,2.7,3.1,3.4,4.1,4.6,5.1,6.1,6.4,7.1,7.6,6.8,6.8,7,7.1,6.9,8.1,7.4,7.3,8.2,9.5,10.6,10.9,10.9,11.4,11.3,10.2
"24","17","        Buildings","A832RC1",0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.4,0.4,0.4,0.5,0.7,0.9,1,0.9,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.8,1,1.3,1.4,1.6,1.8,2.1,2.3,1.9,2.1,2.4,2.5,2.4,3.1,2.7,2.6,3.4,4.4,4.6,4.5,3.8,4.6,4.7,4.7
"25","18","          Residential","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","19","          Industrial","B834RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.1,0.9,1,0.9,0.8,0.6,0.5,0.5,0.5,0.5,0.7,0.9,0.9,0.8,0.9,0.7,0.4
"27","20","          Educational \4\","B835RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","21","          Hospital","B836RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1
"29","22","          Other \5\","B837RC1",0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.8,0.8,0.7,0.3,0.3,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.6,0.6,0.7,0.7,0.8,0.6,0.8,1,1.2,1.3,1.9,1.6,1.5,2.2,3.1,3.2,2.9,2.4,2.9,3.1,3.2
"30","23","        Highways and streets \6\","B838RC1",0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.3
"31","24","        Conservation and development","B839RC1",0.1,0.1,0.1,0.1,0.3,0.4,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.2,0.1,0.2,0.4,0.6,0.8,0.9,0.9,0.9,0.8,0.7,0.6,0.7,0.8,0.9,1,1,1.2,1.3,1.3,1.4,1.5,1.7,1.5,1.4,1.2,1.4,1.6,1.8,2,2.2,2.6,2.8,3.1,3.9,3.9,4.3,4.4,4.1,4,3.8,3.8,3.7,4,3.6,3.7,3.7,3.6,4.5,4.2,4.4,4.2,3.8,3.4
"32","25","        Other \7\","B840RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.7,0.6,0.8,0.9,1.3,1.2,1.8,2.3,2.3,2.4,1.9
"33","26","      Net purchases of used structures","B841RC1",0,0,0,0,0,0,0,0.1,0.1,0.1,0,-0.1,0,0,-0.1,0,0,-0.3,-0.2,-0.1,-0.1,0,0,0,0,0,-0.1,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.1,-0.1,0,0.1,0,-0.1,0.1,0.3,1.1,0.9,-0.5,-0.4,-0.2,-0.4,-0.3,0.3,-0.5,-0.6,-0.1,-0.4
"34","27","  State and local","A842RC1",2.4,2.7,2.4,1.6,1.2,1.6,1.5,2.8,2.4,2.8,3.1,2.6,2.1,1.4,0.8,0.6,0.7,1.4,2.5,3.6,4.9,5.4,6.4,6.7,7.3,8.5,9.3,10.4,11.5,12.5,12.8,12.7,13.8,14.5,16,17.2,19,21,23,25.2,25.6,25.8,27,27.1,29.1,34.7,38.1,38.1,36.9,42.8,49,55.1,55.4,54.2,54.2,60.5,67.6,74.2,78.8,84.8,88.7,98.5,103.2,104.2,104.5,108.7,117.3,126.8,139.5
"35","28","    New","A843RC1",2.3,2.6,2.4,1.5,1.1,1.6,1.4,2.7,2.3,2.7,3.1,2.4,2,1.4,0.7,0.6,0.7,1.4,2.5,3.5,4.8,5.2,6.3,6.6,7.1,8.3,8.9,10,11.1,12.1,12.3,12.2,13.3,14,15.4,16.5,18,20,22.1,24.2,24.7,24.8,25.9,26.1,28.1,33.7,37.2,37.2,36,42,48.1,54,54.3,53.1,52.9,59,65.8,72.2,76.6,82.5,86,95.4,99.9,101.1,101.5,105.8,114.2,123.9,136.6
"36","29","      Buildings","A844RC1",0.6,0.6,0.5,0.3,0.1,0.3,0.3,0.6,0.5,0.6,1,0.6,0.5,0.4,0.1,0.1,0.1,0.3,0.6,1.1,1.9,2.2,2.9,2.9,3,3.3,3.7,3.8,4.3,4.5,4.3,4.5,4.9,5,5.3,5.8,6.4,7.6,9,9.5,10.2,9.8,10.3,10.4,11.7,13.5,15.1,14.6,13.3,14.7,16.3,18.4,18.5,18.7,19,20.6,23.8,27.1,28.2,31.3,34.8,38.8,42.6,43.6,43.1,44.7,52.4,57.9,64.5
"37","30","        Residential","B845RC1",0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0,0,0,0.1,0.2,0.1,0.3,0.3,0.6,0.6,0.5,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.6,0.7,0.4,0.5,0.5,0.6,0.7,0.7,0.9,1,1,0.7,0.8,0.8,1.1,1,1.2,1.2,1.6,1.8,2.2,2.1,2.4,2.4,2.6,2.7,2.8,2.9,2.9,3.4,3.6,4,3.8,3.4,4.1,4.4,4.6
"38","31","        Industrial","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","        Educational \8\","B847RC1",0.4,0.4,0.3,0.1,0,0.1,0.2,0.4,0.3,0.3,0.5,0.2,0.2,0.1,0.1,0,0.1,0.1,0.2,0.6,0.9,1.1,1.5,1.6,1.7,2.1,2.4,2.5,2.8,2.9,2.6,2.8,3,3,3.5,3.8,4.3,5.3,6,6,5.9,5.6,5.5,5.7,6.6,7.3,7.4,7,6,6.5,7.1,7.9,7.3,7,6.9,7.8,9.1,10.4,10.6,12.8,14.7,16,19.1,20.3,19.1,20.3,25.8,28.6,33.5
"40","33","        Hospital","B848RC1",0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0,0.1,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,0.8,1.1,1.5,1.7,1.6,1.5,1.7,2,1.9,1.9,1.7,1.7,1.8,1.9,2,2,2.1,2.4,2.7,3,3.2,3,3.1,3,3.3
"41","34","        Other \5\","B849RC1",0.1,0.1,0.2,0.1,0,0.1,0.1,0.2,0.1,0.2,0.3,0.2,0.1,0,0,0,0,0,0.1,0.2,0.4,0.4,0.4,0.3,0.4,0.5,0.7,0.7,0.8,0.8,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.8,2.1,2.8,2.4,2.9,3.1,3.4,4.3,5.1,5,4.6,5.5,5.9,6.8,7,7.7,8,8.7,10.4,12.1,12.7,13.5,15,16.9,17.2,16.3,17,18,19.5,21.9,23.1
"42","35","      Highways and streets \9\","B851RC1",1.3,1.5,1.3,0.9,0.8,0.9,0.8,1.3,1.2,1.4,1.3,1.3,1,0.7,0.4,0.4,0.4,0.7,1.3,1.6,2,2.1,2.3,2.6,3,3.6,3.8,4.3,4.8,5.4,5.7,5.3,5.7,6.2,6.9,7,7.4,8.2,8.3,9.1,9,9.7,10.4,10.1,10.2,11.8,12.8,12,12.1,13.7,16.6,17.8,17.7,16.8,17.4,21,23.3,24.9,26.7,28.7,28.5,31.9,32.2,32.2,34,37,37.3,39.1,42.3
"43","36","      Conservation and development","B857RC1",0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.5,0.7,0.7,0.6,0.5,0.8,1.2,1,1.1,1.3,1.4,1.6,1.7,1.7,1.7,2,2,1.8,1.7,1.7,1.9,2.2,2.4,2.2
"44","37","      Sewer systems","B858RC1",0.1,0.1,0.1,0.1,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0,0,0,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.9,1.1,0.9,1.3,1.2,1.3,1.1,1.6,1.3,1.5,1.8,2,2.4,3.4,3.7,4.2,4,5.1,5.6,6.6,5.9,5.6,5,5.9,6,6.8,8.1,8.5,8.5,9.1,9.2,9.6,9,8.1,8.2,9.2,9.5
"45","38","      Water systems","B859RC1",0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.9,1,1.3,1.1,1.3,1.5,1.3,1.1,1,1.1,1.1,1.4,2,1.9,1.7,2.2,2.5,3.2,3.1,3.2,2.8,3.4,3.9,4.7,5.3,5.3,5.5,6.1,6.3,5.6,5,5.2,5,6.2,7.6
"46","39","      Other \7\","B860RC1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.4,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.5,0.6,0.7,0.8,0.9,0.8,1,1.1,1.3,1.4,1.8,2,2.1,2.1,1.9,2.1,2.4,3.2,2.9,3.7,4.3,5.7,6.3,6.8,8.1,7.7,7.4,6.6,7.2,7,6.6,7,6.8,7.5,7.8,8.4,8.8,8.8,9.1,9.2,10.5
"47","40","    Net purchases of used structures","B870RC1",0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.9,1,1,1,0.9,1,1.1,1,1,1,0.9,1,0.9,0.8,1,1.1,1.1,1.2,1.3,1.5,1.7,2,2.2,2.3,2.7,3.2,3.3,3.2,3,3,3.1,2.9,2.9
"48","41","Equipment and software \2\","A871RC1",0.3,0.2,0.3,0.2,0.2,0.4,0.5,0.4,0.5,0.5,0.6,0.6,4.5,16.4,32.1,33.4,21.6,1.8,1.6,2.4,3.4,2.8,8.1,11.2,12.3,10.4,9,9.5,9.5,10,12.4,11.7,13.3,14.7,13.7,13.6,12.7,14.7,16.5,15.1,14.3,14.4,10.5,11,12.5,15.9,18.6,21.5,23.2,25.6,30.7,34.9,40.5,47.3,57.1,66.8,77.7,84.2,88.8,87.2,95.7,103.1,103.3,103.4,98.2,96.4,98.4,100.2,97.1
"49","42","  Federal","A872RC1",0,0,0.1,0,0.1,0.3,0.3,0.3,0.3,0.3,0.4,0.4,4.4,16.3,32,33.3,21.5,1.6,1.3,2,2.9,2.3,7.5,10.6,11.7,9.7,8.2,8.6,8.4,8.9,11.4,10.4,12.1,13.3,12.2,11.8,10.8,12.6,14.3,12.6,11.6,11.5,7.4,7.5,8.4,11,13.1,15.8,17.3,18.9,22.9,26,31,36.7,44.9,52.4,60.9,65.6,69.1,65.6,69.7,74.4,74.4,73.3,67,62.1,61.7,63.2,57.7
"50","43","    National defense","A873RC1",0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,3.6,15.7,31.5,33,21,1.2,0.8,1.6,2.6,1.9,7.1,10.1,11.4,9.4,8,8.4,8.2,8.7,11.2,10.1,11.5,12.5,11,10.2,8.9,10.5,12.3,10.9,9.9,9.8,5.7,5.7,6.6,8.9,10.7,13.2,14.4,15.3,18.9,21.1,25.7,30.8,37.1,43.8,51.3,56.1,58.8,53.9,56.3,59.8,58.8,56.3,50.1,47.2,45.1,45.4,39.2
"51","44","      Aircraft","B874RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.3,2.3,3.6,3.4,3.7,3.7,4.8,6.1,7.5,8.4,10.1,10.9,13.4,17.9,17.6,13.5,12.2,12,9.2,8.3,9.3,10.5,9,9.2,5.8
"52","45","      Missiles","B875RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,1.7,1.3,1.4,1.2,1.1,1.8,2.3,2.8,3.4,4.6,5.7,6.6,7.9,8.7,7.8,8.8,11.2,10.8,10.6,7.9,5.7,4.7,4.1,2.9
