"","Table 4# National Income and Disposition of Personal Income     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241"
"25","130","  Addendum: Corporate profits after tax without IVA and CCAdj.","A055RC1",21.2,20,19.8,21.7,22.9,24.1,23.8,23,21,18.6,19.2,18.8,19.3,23.1,28,30.8,25.6,21.8,19.9,21.6,20.9,20,20.2,22.2,22.9,22.8,22.3,17.5,20.1,20.8,22.1,23.8,27,27.4,28,29.1,28.2,28.9,27.6,29.2,29.5,28.2,27.6,25.3,21.6,22,24.5,27.9,29.8,32.5,29.2,28.6,31.5,29.2,27.9,26.8,26.2,27.6,29.3,31.6,32.2,32.2,33.2,34,33.6,35.5,36.4,37.4,40.6,40.5,41.6,41,46.8,48.5,49.1,51.9,53.1,53.3,52.9,51.9,49.6,49.6,50.6,52.9,51.5,52.6,52.8,54.3,53.8,52.1,50.4,49.4,46.9,46.6,47.3,44.3,51,53,56.5,58.2,62.1,62.9,65.7,71.2,82.2,84.5,84.7,88.1,92.8,95.3,101.4,90.3,80,85.4,102.3,107.9,113.2,114.3,115.1,115.1,126.6,135.4,141.1,140.7,144,160.7,165.2,175.1,176.2,182.5,186.5,182.3,183.9,153.8,161.8,165.7,169.8,154.9,158.7,154.3,133,134.1,132.3,128.7,131.1,150.9,163,167.9,176.6,177.3,164.9,165.5,153.5,156.3,159.5,162.8,131.6,133.4,135.9,144.3,162.8,186.5,195.4,204,225.3,243.4,248.9,260.2,251.4,238,225.8,235.6,253.8,265.2,267.4,269.9,283.8,280,283.3,290.5,317.4,325.7,285.6,320.8,328.8,342.9,343.5,369,346.2,376.9,397.5,412.6,437.7,455.4,462.8,466.5,492.8,499.9,498.9,513.8,529.4,548.2,570.4,560.4,478.9,471,469.2,460.8,499.3,510,515.1,544.5,514.6,512.2,502.3,503.7,532.1,537.1,473.6,472.4,518.9,553.6,589.5,641.3,625.3,622.2,672.7,738.9,810.3,841.7,827.7,897.1,1091.3,1115.5,1096.9,1173.7,1283.7,1335.4
"26",NA,"Disposition of personal income"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","140","  Personal income","A065RC1",187.6,185.7,193.7,197,202.3,208.3,214.3,214.4,208.3,207,206.3,207,221.6,222.4,231.3,240.7,249.6,256.9,260.1,265.5,267.5,271.4,278.2,284.3,289,293,293.1,292.4,292.4,291.9,294,299.4,305.3,313.2,320.5,325.5,330.9,336.7,341.6,349.2,353.3,357.8,362.1,361.5,362,364.3,372.6,377.2,383.8,392.4,394.6,400.3,406.7,411.2,413.4,414.7,418.8,424.8,431.8,440.6,447.4,454.8,459.4,465.2,470.2,475,482,491.3,500.8,510,519.4,528.1,538.6,547.8,561.7,574.8,586.9,596.5,609.6,622.8,633.3,640.4,654.1,665.4,684.7,704.2,722,737.2,751.2,769.2,789.5,804,814.7,836.1,848.2,856.1,876.1,898.6,911.3,928,956.1,972.3,998.6,1043.8,1064.8,1094.6,1122.6,1161,1177.8,1203.9,1241.8,1267.1,1284,1314.2,1351.9,1390.1,1425.6,1453.5,1491.5,1528.5,1561,1606.6,1652.4,1712.8,1750.7,1811.9,1866.5,1921.7,1979.1,2021.9,2088.5,2159.2,2228.2,2246.8,2322.8,2433.7,2492.2,2544.9,2645.9,2682.1,2711.6,2758.2,2796.7,2834.7,2871.5,2923.3,2980,3068,3166,3255.3,3338.6,3397.9,3464,3505.6,3536.5,3600.6,3659.1,3698,3746.2,3786.2,3847.3,3900.6,3973,4068.6,4139.6,4208.2,4292.6,4374.5,4506.2,4558.5,4608.8,4677.8,4778.8,4860.8,4924.5,4950.2,4965.7,5025.5,5071.7,5140.9,5238,5321,5382.5,5506.5,5419.5,5542.3,5579.6,5692.8,5668.9,5813.7,5891,5996.5,6072.3,6119.2,6174.6,6243,6371.1,6490.5,6566,6654.6,6773.1,6847,6956.7,7083.7,7247.1,7376,7485.8,7583,7658.4,7728.8,7823.7,7998.8,8266.2,8372.3,8514.4,8565.8,8688.7,8719.9,8733.1,8754.8,8814.7,8892,8895.4,8925.5,8998.2,9111.3,9203.6,9341.3,9497.7,9640.5,9767.9,10019.4,10048.8,10161.5,10262.7,10483.7,10721.4,10901
"28","150","  Less: Personal current taxes","W055RC1",19.2,19.5,19.7,20.8,21.2,18.9,18.2,18.4,17.8,17,16.3,15.8,16.6,17.6,18.9,22.5,24.4,26.4,27.8,29.6,30.9,31.8,32.3,33.1,33.4,33.4,33.2,32.9,30.2,30,30,30.5,31.4,32.4,33.4,34.2,35.4,36.2,36.9,37.9,38.6,39,39.2,38.8,38.2,37.7,38.9,39.4,40.8,42,42.7,43.7,45.3,46,46.5,46.4,46.5,46.9,47.4,48.1,49.4,50.9,52.3,53.6,54.1,54.3,54.6,55.2,53.8,49.7,51.6,53.2,57,58.4,57,58.3,61.5,65.6,67.9,70.6,71.2,70.9,73.8,75.9,78.6,81.7,91.9,95.9,102.6,105.7,104.1,105.6,104.6,105.5,100.7,101.5,98.3,100.7,102.3,105.5,119.8,123.4,124.3,127.1,126.4,129.2,134.1,140,142.8,148.9,154.9,157.6,158,121.1,152.8,158.5,162.1,169,175.8,182.4,188.4,195.3,198.2,208.1,211.7,222.8,236,247,253.4,261.8,274.6,285,284.2,291.6,301.6,318.2,330.3,342.1,356.3,352.1,351.9,359.1,349.5,356,350.3,359,344.9,355.1,360.7,370,383.6,395.5,431.8,388.1,421.1,428.5,425.8,428.9,438.9,455.5,450.3,511.2,488.5,506.5,501.1,496.9,505.7,516.3,551.3,565.1,570,578.2,580.6,592.7,598.8,598.9,578.5,583.7,588,596.4,586.6,604.9,613.9,636.9,617.9,641.2,655.3,672.1,670.2,695.6,693.5,703.4,721.4,742.9,747.5,764.4,796.6,833.9,838.5,859.4,895.7,910.4,935.9,963.3,991.2,1018.3,1037.7,1061,1071.7,1090.2,1115.5,1152.5,1207,1231.1,1248,1256.6,1296.6,1312.3,1110.3,1230,1063.2,1050.3,1050,1043.8,1022.7,1023.7,942.6,1015.4,1016,1033.4,1061.6,1088.2,1157.9,1191.8,1215,1247.6,1332.6,1378.6
"29","160","  Equals: Disposable personal income","A067RC1",168.4,166.2,174,176.2,181.1,189.3,196.1,196,190.5,190,190,191.2,205,204.8,212.4,218.2,225.2,230.6,232.4,235.8,236.7,239.6,246,251.2,255.6,259.6,259.9,259.4,262.2,262,264,269,273.9,280.7,287.2,291.3,295.5,300.4,304.7,311.3,314.7,318.9,322.9,322.7,323.8,326.6,333.6,337.8,343,350.5,352,356.6,361.4,365.2,366.9,368.3,372.3,377.9,384.4,392.5,398,403.8,407.1,411.6,416.1,420.7,427.4,436.1,447.1,460.3,467.8,474.8,481.7,489.4,504.7,516.5,525.3,530.9,541.7,552.2,562.2,569.5,580.3,589.5,606.2,622.5,630.2,641.3,648.6,663.5,685.4,698.4,710.1,730.5,747.5,754.6,777.8,797.9,809,822.5,836.4,848.9,874.3,916.7,938.4,965.4,988.5,1021,1035,1055,1086.9,1109.5,1126,1193.2,1199.1,1231.5,1263.5,1284.5,1315.8,1346.1,1372.5,1411.3,1454.3,1504.6,1538.9,1589,1630.5,1674.8,1725.8,1760.2,1813.9,1874.2,1944,1955.2,2021.2,2115.5,2161.9,2202.8,2289.6,2330.1,2359.7,2399.1,2447.2,2478.7,2521.2,2564.3,2635.1,2712.9,2805.3,2885.4,2955,3002.4,3032.2,3117.5,3115.4,3172.2,3233.4,3269.1,3307.2,3330.7,3397.1,3389.4,3484.5,3562.1,3638.5,3711.3,3786.9,3858.2,3954.9,3993.4,4038.8,4099.5,4198.2,4268.1,4325.7,4351.3,4387.1,4441.8,4483.7,4544.5,4651.4,4716.1,4768.6,4869.6,4801.6,4901.1,4924.3,5020.8,4998.7,5118.1,5197.5,5293.1,5350.9,5376.3,5427.1,5478.6,5574.5,5656.6,5727.5,5795.3,5877.4,5936.7,6020.8,6120.5,6255.9,6357.7,6448.1,6522.1,6586.7,6638.6,6708.2,6846.2,7059.2,7141.2,7266.4,7309.3,7392.1,7407.6,7622.8,7524.8,7751.5,7841.7,7845.4,7881.7,7975.5,8087.6,8261,8326,8481.6,8607.1,8706.3,8931.2,8890.9,8969.7,9047.7,9236.1,9388.8,9522.4
"30","170","  Less: Personal outlays","A068RC1",158.1,161.9,165.6,169.7,172.7,176.5,179.5,180.4,179.2,181,180.4,183,185.7,189.7,203.6,201.1,212.4,208.1,210.8,214.8,216.2,220.5,223.2,231.5,235.3,237.3,238.2,237.7,239.7,242.5,245.2,249.9,256.3,261.6,266.1,270.3,272.1,274.9,278.2,283.7,288.3,290.6,295.3,297,296.6,299.4,304.4,308.3,315.9,322.1,327.6,329.9,333.6,339.7,339.8,342,342.6,347.5,350.5,357.9,363.3,369.1,373.2,379.7,383.6,387.9,395.3,400.3,410.1,418.4,427.7,430.5,441.3,448.7,458.1,472.2,482.8,488.3,497.6,503.6,508.2,517.9,524.9,532.6,550.9,565.1,581.9,591.2,603.9,616,626.7,639.2,650.7,660.9,673.2,680.2,699.6,714.1,727.1,743.9,761.8,780.9,799.8,825,849.9,866,884.9,901.6,918.7,947.8,977.4,987.9,1015.5,1044.5,1079.1,1108.3,1141.8,1161.6,1191.4,1225.9,1262.7,1291.8,1323.9,1363.2,1394.9,1454.2,1486.7,1527.3,1563.8,1605.5,1661.3,1706.8,1759.2,1761.2,1819.7,1890.1,1950.2,1984.6,2027.5,2044.9,2086.6,2116.4,2167.1,2231.5,2274,2341,2414.5,2469.6,2517.2,2578.9,2620.5,2672.5,2748.5,2798.6,2869.7,2900.4,2945.6,2978.6,3050.8,3091.8,3124,3191.3,3258.9,3293.4,3376.1,3437.6,3506.8,3582.7,3640.9,3708.1,3769,3820.1,3905.6,3960.9,4027.8,4051.3,4066.7,4124.1,4170,4199.8,4292,4342.3,4418.5,4488.7,4529.2,4596.9,4659.8,4725.7,4795.4,4859.3,4941.2,5013.7,5048.1,5123.3,5196.8,5260.9,5338,5433.6,5492.6,5576,5663.7,5706,5816.1,5896.2,5964.2,6072.3,6167.6,6272.5,6346.3,6489.5,6593.2,6716.6,6888,6970,7076.3,7168.1,7253.5,7318.8,7361.2,7484.4,7526.1,7620.5,7692.4,7742.4,7826.4,7913.7,8067,8143.5,8302.7,8438.7,8565.1,8722.3,8838.5,9000.4,9180.3,9264.5,9418.5,9577
"31","180","  Equals: Personal saving","A071RC1",10.3,4.3,8.4,6.5,8.4,12.8,16.6,15.6,11.3,9,9.6,8.2,19.3,15.1,8.8,17.1,12.8,22.5,21.6,21.1,20.4,19.1,22.8,19.7,20.3,22.2,21.8,21.7,22.5,19.5,18.8,19.1,17.5,19.1,21.1,21,23.4,25.5,26.5,27.7,26.5,28.2,27.7,25.8,27.3,27.2,29.2,29.5,27.1,28.4,24.4,26.7,27.8,25.5,27,26.3,29.8,30.4,33.9,34.5,34.7,34.7,33.9,31.9,32.6,32.7,32.1,35.8,37,41.9,40.1,44.4,40.4,40.7,46.6,44.3,42.5,42.6,44.1,48.5,53.9,51.6,55.3,57,55.3,57.4,48.3,50.2,44.7,47.5,58.7,59.2,59.4,69.6,74.4,74.5,78.2,83.7,81.9,78.5,74.6,68,74.5,91.6,88.5,99.4,103.6,119.4,116.3,107.2,109.4,121.5,110.5,148.6,120,123.2,121.7,122.9,124.4,120.2,109.8,119.5,130.3,141.4,144,134.8,143.8,147.5,162,154.6,152.6,167.4,184.9,194,201.6,225.4,211.6,218.3,262.2,285.1,273.1,282.7,280.1,247.2,247.2,223.3,220.6,243.3,288.2,306.5,334.5,330,283.7,318.9,245.7,271.8,287.7,290.5,256.4,238.9,273,198.1,225.6,268.7,262.4,273.7,280,275.5,314,285.3,269.7,279.5,292.6,307.2,297.8,300,320.4,317.7,313.7,344.7,359.4,373.8,350.1,380.9,272.4,304.3,264.5,295.1,203.3,258.8,256.3,279.4,302.9,253,230.3,217.6,236.5,223,234.9,219.2,213.7,230.6,204.7,224.3,291.7,285.4,280.5,249.6,240.4,149.1,115,129.7,171.2,171.3,190.1,141.2,138.6,88.7,261.6,40.5,225.4,221.2,153,139.3,149.1,173.9,194,182.5,178.9,168.3,141.2,208.9,52.5,-30.8,-132.6,-28.5,-29.7,-54.6
"32","190","  Saving as a percentage of disposable personal income","A072RC1",6.1,2.6,4.8,3.7,4.6,6.8,8.5,8,5.9,4.7,5,4.3,9.4,7.4,4.1,7.8,5.7,9.8,9.3,8.9,8.6,8,9.3,7.8,7.9,8.6,8.4,8.4,8.6,7.4,7.1,7.1,6.4,6.8,7.3,7.2,7.9,8.5,8.7,8.9,8.4,8.9,8.6,8,8.4,8.3,8.8,8.7,7.9,8.1,6.9,7.5,7.7,7,7.4,7.1,8,8,8.8,8.8,8.7,8.6,8.3,7.8,7.8,7.8,7.5,8.2,8.3,9.1,8.6,9.3,8.4,8.3,9.2,8.6,8.1,8,8.1,8.8,9.6,9.1,9.5,9.7,9.1,9.2,7.7,7.8,6.9,7.2,8.6,8.5,8.4,9.5,10,9.9,10.1,10.5,10.1,9.5,8.9,8,8.5,10,9.4,10.3,10.5,11.7,11.2,10.2,10.1,11,9.8,12.5,10,10,9.6,9.6,9.5,8.9,8,8.5,9,9.4,9.4,8.5,8.8,8.8,9.4,8.8,8.4,8.9,9.5,9.9,10,10.7,9.8,9.9,11.5,12.2,11.6,11.8,11.4,10,9.8,8.7,8.4,9,10.3,10.6,11.3,11,9.4,10.2,7.9,8.6,8.9,8.9,7.8,7.2,8,5.8,6.5,7.5,7.2,7.4,7.4,7.1,7.9,7.1,6.7,6.8,7,7.2,6.9,6.9,7.3,7.2,7,7.6,7.7,7.9,7.3,7.8,5.7,6.2,5.4,5.9,4.1,5.1,4.9,5.3,5.7,4.7,4.2,4,4.2,3.9,4.1,3.8,3.6,3.9,3.4,3.7,4.7,4.5,4.3,3.8,3.6,2.2,1.7,1.9,2.4,2.4,2.6,1.9,1.9,1.2,3.4,0.5,2.9,2.8,2,1.8,1.9,2.2,2.3,2.2,2.1,2,1.6,2.3,0.6,-0.3,-1.5,-0.3,-0.3,-0.6
"33","200","  Real disposable personal income \2\","A067RX1",1096,1072.8,1102.8,1089.7,1107.3,1145.3,1168.4,1171.9,1147.6,1151.4,1158.1,1165.7,1252.8,1245.4,1264.8,1277.4,1276.9,1297.5,1305.9,1308.5,1308.1,1323.9,1349.7,1376,1395,1414.5,1408.7,1399.8,1407.5,1407.4,1422.7,1450.6,1471.9,1506.9,1535.3,1552.7,1568.4,1583.9,1590.6,1615.9,1618.9,1629.5,1637.5,1628.2,1613.2,1623.7,1656.8,1677.1,1688.6,1721,1719.5,1733.2,1753.2,1761.8,1762.8,1761.2,1777.6,1804.6,1829.2,1865.4,1883.4,1904.1,1914.7,1930.4,1946,1964.3,1986.4,2019.6,2060.6,2116.8,2144.6,2169.4,2193.3,2217.4,2278.4,2324.3,2345.9,2351.7,2381.3,2408.6,2445,2464.5,2488.1,2506.1,2549.8,2592.3,2597.1,2613.7,2617.5,2643.5,2696.6,2716.1,2729.4,2777.4,2814.6,2804.4,2863.6,2904.6,2916.4,2946.8,2965,2991.5,3053.6,3175,3210.5,3240.3,3258.3,3297.6,3246.6,3219.9,3231.1,3217.3,3205.7,3354.6,3309.1,3342,3390.9,3417.5,3448,3473,3479.7,3517.4,3570.6,3642.1,3663.5,3706.3,3737.6,3768.3,3811.7,3785.2,3807.2,3841.5,3869.4,3800,3839,3920.8,3905.7,3915,4003.1,4012.8,4013.3,4041.9,4059.3,4066.2,4100.4,4132.7,4191.6,4286.5,4385.5,4467,4539.8,4583.9,4580,4673.4,4640.4,4688,4744.2,4793.8,4813.6,4813.4,4854.6,4802.3,4887.3,4954.1,5016.9,5061.3,5103.3,5149.2,5216.3,5199.1,5224.9,5259.9,5307.9,5338.7,5343.6,5306.6,5310.5,5347.1,5359.6,5389.4,5473.9,5514.6,5537.4,5619.2,5512.1,5590.2,5597.4,5677.2,5629.9,5733.1,5770.8,5850.9,5886.4,5881.7,5912.1,5943.3,6010,6059.8,6111.3,6142.5,6201.3,6251.9,6323.3,6406.6,6543.4,6638.6,6710.9,6763,6812.9,6822.1,6856,6955.6,7109.7,7157.5,7249.3,7259.6,7283,7252.1,7452.2,7346,7549.9,7585.2,7555.5,7559.3,7591.7,7685.7,7804.8,7837.3,7912.4,7958.8,8013.3,8158.8,8076.6,8085.8,8074.1,8183.3,8276.8,8311.9
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Prior to 1959, the current surplus of government enterprises is not available separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","the current surplus of government enterprises is included in taxes on production and imports less subsidies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Real disposable personal income in billions of chained (2000) dollars.  Derived by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","deflation using the implicit price deflator for personal consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
