"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"58","38","  Rental income of persons with CCAdj","A048RC1","20,896.0","21,074.0","22,183.0","23,143.0","23,904.0","24,048.0","23,367.0","22,085.0","19,625.0","20,884.0","22,643.0","28,494.0","36,459.0","38,050.0","38,165.0","40,030.0","41,851.0","33,827.0","34,184.0","40,232.0","42,414.0","49,804.0","61,581.0","84,619.0","114,089.0","142,914.0","154,567.0","170,440.0","176,548.0","191,468.0","208,156.0","215,275.0","232,371.0","218,738.0","204,163.0","198,383.0","178,210.0","146,520.0","143,746.0","231,617.0","305,935.0","350,194.0"
"59","39","    Rental income of persons (without CCAdj)","B049RC1","21,832.0","22,076.0","23,332.0","24,454.0","25,465.0","25,952.0","25,635.0","24,601.0","22,559.0","24,425.0","26,807.0","33,370.0","41,927.0","43,884.0","44,066.0","46,078.0","47,989.0","40,238.0","40,891.0","47,211.0","49,638.0","57,205.0","69,029.0","92,082.0","121,858.0","150,960.0","162,983.0","179,055.0","185,464.0","200,706.0","217,884.0","225,624.0","243,351.0","230,016.0","216,152.0","211,753.0","193,030.0","162,763.0","160,304.0","247,819.0","321,007.0","364,863.0"
"60","40","    Capital consumption adjustment","B050RC1","-936.0","-1,002.0","-1,149.0","-1,311.0","-1,561.0","-1,904.0","-2,268.0","-2,516.0","-2,934.0","-3,541.0","-4,164.0","-4,876.0","-5,468.0","-5,834.0","-5,901.0","-6,048.0","-6,138.0","-6,411.0","-6,707.0","-6,979.0","-7,224.0","-7,401.0","-7,448.0","-7,463.0","-7,769.0","-8,046.0","-8,416.0","-8,615.0","-8,916.0","-9,238.0","-9,728.0","-10,349.0","-10,980.0","-11,278.0","-11,989.0","-13,370.0","-14,820.0","-16,243.0","-16,558.0","-16,202.0","-15,072.0","-14,669.0"
"61","41","  Corporate profits with IVA and CCAdj","A051RC1","94,471.0","82,506.0","96,074.0","111,426.0","124,505.0","115,126.0","133,310.0","161,605.0","191,843.0","218,427.0","225,354.0","201,423.0","223,268.0","205,716.0","259,831.0","318,607.0","332,545.0","314,126.0","367,842.0","426,618.0","425,562.0","434,449.0","457,275.0","496,227.0","543,704.0","628,226.0","716,185.0","801,501.0","884,833.0","812,421.0","856,273.0","819,222.0","784,166.0","872,192.0","977,784.0","1,246,931.0","1,456,085.0","1,608,312.0","1,510,640.0","1,248,385.0","1,361,988.0","1,800,123.0"
"62","42","    Corporate profits with IVA","A052RC1","85,501.0","74,440.0","88,295.0","101,614.0","115,403.0","109,555.0","134,998.0","165,626.0","194,812.0","222,427.0","231,996.0","211,409.0","219,116.0","191,107.0","226,554.0","264,629.0","257,485.0","253,022.0","306,860.0","367,749.0","374,105.0","398,795.0","430,313.0","471,580.0","515,002.0","586,595.0","666,012.0","743,808.0","815,853.0","738,631.0","776,560.0","755,662.0","720,767.0","762,781.0","892,191.0","1,195,148.0","1,609,459.0","1,784,687.0","1,691,120.0","1,315,478.0","1,456,263.0","1,780,402.0"
"63","43","      Profits before tax (without IVA and CCAdj)","A053RC1","91,371.0","80,992.0","92,879.0","108,224.0","134,972.0","147,776.0","145,542.0","179,739.0","210,510.0","246,136.0","272,134.0","253,542.0","243,742.0","198,612.0","233,999.0","268,608.0","257,464.0","245,961.0","323,099.0","389,923.0","390,453.0","411,687.0","425,386.0","474,401.0","519,023.0","599,031.0","684,296.0","740,737.0","801,763.0","722,888.0","780,514.0","772,471.0","712,723.0","765,347.0","903,474.0","1,229,403.0","1,640,158.0","1,822,720.0","1,738,355.0","1,359,934.0","1,455,672.0","1,819,468.0"
"64","44","        Taxes on corporate income","A054RC1","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,267.0","445,465.0","309,029.0","272,388.0","411,072.0"
"65","45","        Profits after tax (without IVA and CCAdj)","A055RC1","51,394.0","46,235.0","54,714.0","65,883.0","84,999.0","94,991.0","93,896.0","114,451.0","136,069.0","161,278.0","182,118.0","166,352.0","159,403.0","132,113.0","153,351.0","171,077.0","158,058.0","136,286.0","192,658.0","248,293.0","244,385.0","266,263.0","286,795.0","325,713.0","347,989.0","405,890.0","466,458.0","509,268.0","556,342.0","474,522.0","521,730.0","507,379.0","509,427.0","573,011.0","659,707.0","923,310.0","1,227,774.0","1,349,453.0","1,292,890.0","1,050,905.0","1,183,284.0","1,408,396.0"
"66","46","          Net dividends","B056RC1","24,239.0","24,307.0","25,027.0","26,836.0","29,907.0","33,219.0","32,960.0","39,014.0","44,769.0","50,793.0","57,520.0","64,070.0","73,756.0","77,714.0","83,464.0","90,807.0","97,552.0","106,180.0","112,312.0","129,919.0","157,974.0","169,062.0","180,683.0","188,027.0","202,930.0","235,723.0","254,404.0","297,722.0","331,205.0","351,454.0","337,397.0","377,873.0","370,918.0","399,256.0","424,861.0","550,335.0","557,320.0","704,778.0","794,497.0","786,856.0","620,015.0","737,340.0"
"67","47","          Undistributed profits (without IVA and CCAdj)","B057RC1","27,155.0","21,928.0","29,687.0","39,047.0","55,092.0","61,772.0","60,936.0","75,437.0","91,300.0","110,485.0","124,598.0","102,282.0","85,647.0","54,399.0","69,887.0","80,270.0","60,506.0","30,106.0","80,346.0","118,374.0","86,411.0","97,201.0","106,112.0","137,686.0","145,059.0","170,167.0","212,054.0","211,546.0","225,137.0","123,068.0","184,333.0","129,506.0","138,509.0","173,755.0","234,846.0","372,975.0","670,454.0","644,675.0","498,393.0","264,049.0","563,269.0","671,056.0"
"68","48","      Inventory valuation adjustment","B058RC1","-5,870.0","-6,552.0","-4,584.0","-6,610.0","-19,569.0","-38,221.0","-10,544.0","-14,113.0","-15,698.0","-23,709.0","-40,138.0","-42,133.0","-24,626.0","-7,505.0","-7,445.0","-3,979.0","21.0","7,061.0","-16,239.0","-22,174.0","-16,348.0","-12,892.0","4,927.0","-2,821.0","-4,021.0","-12,436.0","-18,284.0","3,071.0","14,090.0","15,743.0","-3,954.0","-16,809.0","8,044.0","-2,566.0","-11,283.0","-34,255.0","-30,699.0","-38,033.0","-47,235.0","-44,456.0","591.0","-39,066.0"
"69","49","    Capital consumption adjustment","A059RC1","8,970.0","8,066.0","7,779.0","9,812.0","9,102.0","5,571.0","-1,688.0","-4,021.0","-2,969.0","-4,000.0","-6,642.0","-9,986.0","4,152.0","14,609.0","33,277.0","53,978.0","75,060.0","61,104.0","60,982.0","58,869.0","51,457.0","35,654.0","26,962.0","24,647.0","28,702.0","41,631.0","50,173.0","57,693.0","68,980.0","73,790.0","79,713.0","63,560.0","63,399.0","109,411.0","85,593.0","51,783.0","-153,374.0","-176,375.0","-180,480.0","-67,093.0","-94,275.0","19,721.0"
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","1. Prior to 1959, subsidies (line 20) and the current surplus of government enterprises (line 25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","are not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
