"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","    Wage and salary disbursements","A576RC1","50,460.0","46,214.0","39,157.0","30,514.0","29,027.0","33,734.0","36,722.0","41,954.0","46,139.0","43,013.0","45,985.0","49,860.0","62,085.0","82,098.0","105,577.0","116,942.0","117,479.0","112,035.0","123,082.0","135,515.0","134,779.0","147,229.0","171,533.0","185,658.0","199,065.0","197,263.0","212,151.0","229,026.0","239,951.0","241,317.0","259,842.0","272,855.0","280,519.0","299,358.0","314,851.0","337,788.0","363,757.0","400,321.0","429,009.0","471,972.0","518,333.0"
"22","4","      Private industries","A132RC1","45,499.0","41,035.0","33,873.0","25,522.0","23,864.0","27,637.0","30,195.0","34,059.0","38,615.0","34,755.0","37,744.0","41,396.0","51,895.0","66,122.0","78,960.0","83,974.0","82,577.0","91,335.0","105,569.0","116,495.0","113,952.0","124,596.0","142,348.0","152,312.0","164,651.0","162,358.0","175,555.0","190,224.0","198,938.0","197,195.0","213,788.0","223,673.0","228,048.0","243,011.0","254,825.0","272,863.0","293,847.0","321,932.0","342,526.0","375,283.0","412,733.0"
"23","5","      Government","B202RC1","4,961.0","5,179.0","5,284.0","4,992.0","5,163.0","6,097.0","6,527.0","7,895.0","7,524.0","8,258.0","8,241.0","8,464.0","10,190.0","15,976.0","26,617.0","32,968.0","34,902.0","20,700.0","17,513.0","19,020.0","20,827.0","22,633.0","29,185.0","33,346.0","34,414.0","34,905.0","36,596.0","38,802.0","41,013.0","44,122.0","46,054.0","49,182.0","52,471.0","56,347.0","60,026.0","64,925.0","69,910.0","78,389.0","86,483.0","96,689.0","105,600.0"
"24","6","    Supplements to wages and salaries","A038RC1","658.0","653.0","618.0","576.0","545.0","597.0","654.0","994.0","1,830.0","2,021.0","2,164.0","2,310.0","2,740.0","3,198.0","3,796.0","4,503.0","5,759.0","7,609.0","6,969.0","6,409.0","7,127.0","8,023.0","9,819.0","10,526.0","11,229.0","11,893.0","13,544.0","15,465.0","17,586.0","18,230.0","21,147.0","23,554.0","24,784.0","27,786.0","30,366.0","32,882.0","35,748.0","42,334.0","46,134.0","52,342.0","59,278.0"
"25","7","      Employer contributions for employee pension and insurance funds","B040RC1","650.0","646.0","613.0","568.0","541.0","590.0","642.0","752.0","800.0","822.0","860.0","934.0","1,024.0","1,190.0","1,468.0","1,966.0","2,296.0","2,543.0","3,038.0","3,405.0","3,778.0","4,650.0","5,725.0","6,383.0","7,019.0","7,281.0","8,370.0","9,797.0","11,218.0","11,881.0","13,292.0","14,304.0","15,174.0","16,604.0","17,961.0","20,250.0","22,655.0","25,488.0","28,115.0","32,392.0","36,524.0"
"26","8","      Employer contributions for government social insurance","B039RC1","8.0","7.0","5.0","8.0","4.0","7.0","12.0","242.0","1,030.0","1,199.0","1,304.0","1,376.0","1,716.0","2,008.0","2,328.0","2,537.0","3,463.0","5,066.0","3,931.0","3,004.0","3,349.0","3,373.0","4,094.0","4,143.0","4,210.0","4,612.0","5,174.0","5,668.0","6,368.0","6,349.0","7,855.0","9,250.0","9,610.0","11,182.0","12,405.0","12,632.0","13,093.0","16,846.0","18,019.0","19,950.0","22,754.0"
"27","9","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","14,055.0","10,923.0","8,374.0","5,066.0","5,311.0","7,037.0","10,138.0","10,392.0","12,520.0","10,584.0","11,116.0","12,257.0","16,638.0","23,352.0","28,263.0","29,402.0","30,820.0","35,689.0","34,479.0","39,222.0","34,622.0","37,486.0","42,651.0","43,070.0","42,013.0","42,274.0","44,263.0","45,863.0","47,825.0","50,189.0","50,326.0","50,707.0","53,199.0","55,304.0","56,522.0","59,351.0","63,903.0","68,248.0","69,848.0","74,190.0","77,508.0"
"28","10","    Farm","B042RC1","5,659.0","3,897.0","3,034.0","1,750.0","2,224.0","2,580.0","4,894.0","3,947.0","5,638.0","4,011.0","4,023.0","4,065.0","6,026.0","9,688.0","11,543.0","11,438.0","11,824.0","14,211.0","14,342.0","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0"
"29","11","    Nonfarm","A045RC1","8,396.0","7,026.0","5,340.0","3,316.0","3,087.0","4,457.0","5,244.0","6,445.0","6,882.0","6,573.0","7,093.0","8,192.0","10,612.0","13,664.0","16,720.0","17,964.0","18,996.0","21,478.0","20,137.0","22,518.0","22,633.0","24,614.0","27,348.0","28,757.0","29,844.0","30,525.0","33,547.0","35,275.0","37,275.0","37,767.0","40,282.0","40,059.0","41,950.0","44,087.0","45,512.0","49,570.0","51,874.0","55,230.0","58,206.0","62,530.0","64,675.0"
"30","12","  Rental income of persons with capital consumption adjustment","A048RC1","6,182.0","5,476.0","4,510.0","3,636.0","2,889.0","2,573.0","2,622.0","2,748.0","3,042.0","3,554.0","3,777.0","3,909.0","4,487.0","5,533.0","6,109.0","6,439.0","6,724.0","7,092.0","7,177.0","7,797.0","8,089.0","9,073.0","10,039.0","11,152.0","12,357.0","13,382.0","13,776.0","14,068.0","14,472.0","15,236.0","16,018.0","16,960.0","17,730.0","18,605.0","19,332.0","19,433.0","19,949.0","20,522.0","20,906.0","20,626.0","20,896.0"
"31","13","  Personal income receipts on assets","W210RC1","12,468.0","11,726.0","10,301.0","8,385.0","7,398.0","8,033.0","8,282.0","9,761.0","10,039.0","8,423.0","9,053.0","9,300.0","9,776.0","9,454.0","9,662.0","9,912.0","10,559.0","12,273.0","13,909.0","15,106.0","16,034.0","18,554.0","19,079.0","19,851.0","21,584.0","23,244.0","25,671.0","28,204.0","30,595.0","31,865.0","34,603.0","37,883.0","40,132.0","44,085.0","47,892.0","53,751.0","59,380.0","64,074.0","69,028.0","75,158.0","84,135.0"
"32","14","    Personal interest income","A064RC1","6,667.0","6,258.0","6,235.0","5,841.0","5,360.0","5,466.0","5,438.0","5,238.0","5,379.0","5,258.0","5,287.0","5,284.0","5,345.0","5,200.0","5,216.0","5,295.0","5,959.0","6,699.0","7,588.0","8,070.0","8,796.0","9,716.0","10,509.0","11,291.0","12,698.0","13,962.0","15,193.0","16,924.0","18,853.0","20,299.0","22,033.0","24,517.0","26,231.0","29,058.0","31,656.0","35,557.0","39,175.0","43,404.0","47,518.0","51,623.0","59,896.0"
"33","15","    Personal dividend income","B703RC1","5,801.0","5,468.0","4,066.0","2,544.0","2,038.0","2,567.0","2,844.0","4,523.0","4,660.0","3,165.0","3,766.0","4,016.0","4,431.0","4,254.0","4,446.0","4,617.0","4,600.0","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0"
"34","16","  Personal current transfer receipts","A577RC1","1,189.0","1,221.0","2,348.0","1,745.0","1,691.0","1,752.0","1,976.0","3,081.0","1,975.0","2,399.0","2,518.0","2,681.0","2,656.0","2,664.0","2,489.0","3,107.0","5,642.0","10,550.0","10,820.0","10,252.0","11,212.0","13,972.0","11,411.0","11,882.0","12,516.0","14,314.0","15,684.0","16,827.0","19,527.0","23,466.0","24,239.0","25,740.0","29,450.0","30,392.0","32,209.0","33,504.0","36,178.0","39,617.0","48,014.0","56,094.0","62,304.0"
"35","17","    Government social benefits to persons","A063RC1","791.0","869.0","1,921.0","1,274.0","1,274.0","1,347.0","1,584.0","2,687.0","1,600.0","2,142.0","2,237.0","2,394.0","2,306.0","2,322.0","2,102.0","2,674.0","5,142.0","10,122.0","10,428.0","9,881.0","10,857.0","13,417.0","10,538.0","10,994.0","11,674.0","13,747.0","14,754.0","15,592.0","18,132.0","22,226.0","22,917.0","24,428.0","28,089.0","28,843.0","30,341.0","31,317.0","33,913.0","37,504.0","45,752.0","53,306.0","58,973.0"
"36","18","      Social security \1\","W823RC1",".....",".....",".....",".....",".....",".....",".....",".....","1.0","10.0","14.0","35.0","88.0","130.0","165.0","209.0","273.0","378.0","463.0","552.0","664.0","954.0","1,872.0","2,177.0","2,979.0","3,633.0","4,915.0","5,652.0","7,321.0","8,478.0","10,175.0","11,130.0","12,614.0","14,298.0","15,245.0","16,018.0","18,067.0","19,786.0","21,122.0","24,598.0","26,382.0"
"37","19","      Medicare \2\","W824RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,008.0","4,699.0","5,890.0","6,695.0"
"38","20","      Medicaid","W729RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,881.0","2,720.0","3,997.0","4,551.0"
"39","21","      Unemployment insurance","W825RC1",".....",".....",".....",".....",".....",".....",".....",".....","2.0","393.0","435.0","534.0","358.0","350.0","81.0","67.0","558.0","2,600.0","1,591.0","1,270.0","2,247.0","1,489.0","886.0","1,075.0","1,084.0","2,324.0","1,598.0","1,575.0","1,948.0","4,244.0","2,853.0","3,079.0","4,401.0","3,182.0","3,061.0","2,776.0","2,365.0","1,913.0","2,237.0","2,207.0","2,327.0"
"40","22","      Veterans' benefits","W826RC1","558.0","599.0","1,576.0","782.0","555.0","444.0","471.0","1,881.0","584.0","524.0","541.0","546.0","516.0","506.0","521.0","953.0","2,865.0","5,504.0","6,196.0","5,515.0","4,900.0","7,675.0","4,580.0","4,322.0","4,074.0","4,057.0","4,366.0","4,324.0","4,474.0","4,568.0","4,492.0","4,488.0","4,853.0","4,573.0","4,750.0","4,632.0","4,849.0","4,822.0","5,547.0","5,852.0","6,612.0"
"41","23","      Other","W827RC1",".....",".....",".....",".....","719.0","903.0","1,113.0","806.0","1,013.0","1,215.0","1,247.0","1,279.0","1,344.0","1,336.0","1,335.0","1,445.0","1,446.0","1,638.0","2,178.0","2,544.0","3,046.0","3,299.0","3,200.0","3,420.0","3,537.0","3,733.0","3,875.0","4,041.0","4,389.0","4,936.0","5,397.0","5,731.0","6,221.0","6,790.0","7,285.0","7,891.0","8,632.0","8,094.0","9,427.0","10,762.0","12,406.0"
"42","24","    Other current transfer receipts, from business (net)","B931RC1","398.0","352.0","427.0","471.0","417.0","405.0","392.0","394.0","375.0","257.0","281.0","287.0","350.0","342.0","387.0","433.0","500.0","428.0","392.0","371.0","355.0","555.0","873.0","888.0","842.0","567.0","930.0","1,235.0","1,395.0","1,240.0","1,322.0","1,312.0","1,361.0","1,549.0","1,868.0","2,187.0","2,265.0","2,113.0","2,262.0","2,788.0","3,331.0"
"43","25","  Less: Contributions for government social insurance, domestic","A061RC1","74.0","73.0","70.0","71.0","63.0","69.0","72.0","312.0","1,473.0","1,617.0","1,752.0","1,870.0","2,334.0","2,892.0","3,778.0","4,347.0","5,340.0","6,618.0","5,564.0","4,616.0","4,890.0","5,482.0","6,634.0","6,923.0","7,106.0","8,074.0","9,091.0","9,987.0","11,413.0","11,384.0","13,834.0","16,444.0","17,005.0","19,117.0","21,669.0","22,387.0","23,416.0","31,336.0","34,867.0","38,695.0","44,127.0"
"44","26","Less: Personal current taxes","W055RC1","1,729.0","1,571.0","1,003.0","728.0","812.0","900.0","1,067.0","1,295.0","1,922.0","1,858.0","1,487.0","1,686.0","2,310.0","4,888.0","16,737.0","17,663.0","19,442.0","17,210.0","19,790.0","19,205.0","16,733.0","18,912.0","27,055.0","32,005.0","33,242.0","30,160.0","32,859.0","36,591.0","38,886.0","38,548.0","42,289.0","46,068.0","47,250.0","51,555.0","54,552.0","52,069.0","57,664.0","66,378.0","72,961.0","86,987.0","104,506.0"
"45","27","Equals: Disposable personal income","A067RC1","83,209.0","74,569.0","64,235.0","49,123.0","45,986.0","52,757.0","59,255.0","67,323.0","72,150.0","66,519.0","71,374.0","76,761.0","93,738.0","118,519.0","135,381.0","148,295.0","152,201.0","161,420.0","171,082.0","190,480.0","190,240.0","209,943.0","230,843.0","243,211.0","258,416.0","264,136.0","283,139.0","302,875.0","319,657.0","330,371.0","350,052.0","365,187.0","381,559.0","404,858.0","424,951.0","462,253.0","497,835.0","537,402.0","575,111.0","624,700.0","673,821.0"
"46","28","Less: Personal outlays","A068RC1","79,598.0","71,621.0","61,844.0","49,651.0","46,762.0","52,262.0","56,746.0","63,127.0","67,877.0","65,248.0","68,211.0","72,413.0","82,307.0","89,965.0","100,806.0","109,677.0","121,163.0","145,890.0","163,815.0","177,256.0","180,887.0","195,019.0","211,499.0","222,862.0","237,148.0","244,324.0","263,598.0","277,226.0","292,802.0","302,186.0","323,953.0","338,858.0","349,679.0","371,396.0","391,834.0","421,708.0","455,132.0","493,134.0","520,935.0","572,223.0","621,357.0"
"47","29","  Personal consumption expenditures","DPCERC1","77,388.0","70,139.0","60,673.0","48,712.0","45,943.0","51,458.0","55,927.0","62,182.0","66,834.0","64,264.0","67,205.0","71,286.0","81,068.0","89,003.0","99,902.0","108,652.0","119,984.0","144,310.0","161,990.0","175,027.0","178,497.0","192,229.0","208,532.0","219,526.0","233,077.0","240,000.0","258,764.0","271,671.0","286,863.0","296,186.0","317,704.0","331,795.0","342,185.0","363,336.0","382,713.0","411,454.0","443,811.0","480,893.0","507,783.0","558,001.0","605,124.0"
"48","30","  Personal interest payments \3\","B069RC1","1,532.0","875.0","664.0","524.0","464.0","482.0","499.0","610.0","706.0","667.0","704.0","799.0","904.0","659.0","439.0","420.0","437.0","672.0","943.0","1,275.0","1,566.0","2,038.0","2,229.0","2,555.0","3,187.0","3,410.0","3,983.0","4,563.0","4,867.0","4,991.0","5,457.0","6,242.0","6,517.0","6,963.0","7,935.0","8,941.0","9,945.0","10,679.0","11,147.0","12,184.0","13,990.0"
"49","31","  Personal current transfer payments","W211RC1","678.0","607.0","507.0","415.0","355.0","322.0","320.0","335.0","337.0","317.0","302.0","328.0","335.0","303.0","465.0","605.0","742.0","908.0","882.0","954.0","824.0","752.0","738.0","781.0","884.0","914.0","851.0","992.0","1,072.0","1,009.0","792.0","821.0","977.0","1,097.0","1,186.0","1,313.0","1,376.0","1,562.0","2,005.0","2,038.0","2,243.0"
"50","32","    To government","W062RC1","335.0","301.0","228.0","198.0","164.0","160.0","158.0","159.0","162.0","164.0","151.0","150.0","156.0","180.0","216.0","248.0","269.0","247.0","219.0","276.0","318.0","314.0","349.0","369.0","410.0","437.0","430.0","488.0","567.0","574.0","320.0","342.0","476.0","543.0","530.0","602.0","578.0","778.0","982.0","1,039.0","1,128.0"
"51","33","    To the rest of the world (net)","B070RC1","343.0","306.0","279.0","217.0","191.0","162.0","162.0","176.0","175.0","153.0","151.0","178.0","179.0","123.0","249.0","357.0","473.0","661.0","663.0","678.0","506.0","438.0","389.0","412.0","474.0","477.0","421.0","504.0","505.0","435.0","472.0","479.0","501.0","554.0","656.0","711.0","798.0","784.0","1,023.0","999.0","1,115.0"
"52","34","Equals: Personal saving","A071RC1","3,611.0","2,948.0","2,391.0","-528.0","-776.0","495.0","2,509.0","4,196.0","4,273.0","1,271.0","3,163.0","4,348.0","11,431.0","28,554.0","34,575.0","38,618.0","31,038.0","15,530.0","7,267.0","13,224.0","9,353.0","14,924.0","19,344.0","20,349.0","21,268.0","19,812.0","19,541.0","25,649.0","26,855.0","28,185.0","26,099.0","26,329.0","31,880.0","33,462.0","33,117.0","40,545.0","42,703.0","44,268.0","54,176.0","52,477.0","52,464.0"
"53","35","  Personal saving as a percentage of disposable personal income","A072RC1","4.3","4.0","3.7","-1.1","-1.7","0.9","4.2","6.2","5.9","1.9","4.4","5.7","12.2","24.1","25.5","26.0","20.4","9.6","4.2","6.9","4.9","7.1","8.4","8.4","8.2","7.5","6.9","8.5","8.4","8.5","7.5","7.2","8.4","8.3","7.8","8.8","8.6","8.2","9.4","8.4","7.8"
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","36","  Personal income excluding current transfer receipts, millions of chained (2005) dollars \4\","W875RX1","796,775.0","744,278.0","699,555.0","606,786.0","589,865.0","649,299.0","712,579.0","793,138.0","841,763.0","788,268.0","848,528.0","906,292.0","1,051,949.0","1,209,486.0","1,372,743.0","1,412,779.0","1,384,842.0","1,310,770.0","1,274,885.0","1,336,414.0","1,321,995.0","1,433,892.0","1,539,966.0","1,612,183.0","1,686,455.0","1,677,242.0","1,791,743.0","1,887,109.0","1,924,369.0","1,915,778.0","2,011,267.0","2,072,327.0","2,124,476.0","2,239,858.0","2,324,571.0","2,462,702.0","2,622,039.0","2,777,896.0","2,881,985.0","3,030,663.0","3,166,562.0"
"56",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","37","    Total, millions of chained (2005) dollars \4\","A067RX1","791,637.0","740,801.0","714,516.0","619,614.0","601,360.0","659,957.0","723,681.0","814,753.0","842,382.0","794,731.0","860,965.0","918,194.0","1,055,846.0","1,187,208.0","1,242,028.0","1,286,501.0","1,269,717.0","1,258,832.0","1,211,372.0","1,276,419.0","1,284,711.0","1,400,928.0","1,442,228.0","1,488,986.0","1,561,237.0","1,582,316.0","1,689,273.0","1,771,510.0","1,814,480.0","1,832,137.0","1,912,643.0","1,963,054.0","2,029,785.0","2,128,591.0","2,208,455.0","2,367,614.0","2,513,556.0","2,646,127.0","2,762,168.0","2,887,851.0","2,979,927.0"
"58",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","38","      Current dollars","A229RC0","683","605","517","393","366","417","465","525","559","512","545","581","703","879","990","1,072","1,088","1,142","1,187","1,299","1,275","1,384","1,496","1,550","1,620","1,627","1,713","1,800","1,866","1,897","1,976","2,020","2,077","2,170","2,245","2,408","2,562","2,733","2,894","3,112","3,324"
"60","39","      Chained (2005) dollars","A229RX0","6,495","6,014","5,755","4,959","4,784","5,218","5,682","6,356","6,532","6,115","6,571","6,950","7,915","8,803","9,083","9,296","9,074","8,903","8,405","8,705","8,611","9,236","9,348","9,487","9,784","9,744","10,221","10,531","10,594","10,521","10,798","10,860","11,047","11,408","11,666","12,336","12,933","13,460","13,898","14,386","14,699"
"61","40","  Population (midperiod, thousands)","B230RC0","121,878","123,188","124,149","124,949","125,690","126,485","127,362","128,181","128,961","129,969","131,028","132,122","133,402","134,860","136,739","138,397","139,928","141,389","144,126","146,631","149,188","151,684","154,287","156,954","159,565","162,391","165,275","168,221","171,274","174,141","177,130","180,760","183,742","186,590","189,300","191,927","194,347","196,599","198,752","200,745","202,736"
"62",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","41","    Disposable personal income, current dollars","A067RP1",".....","-10.4","-13.9","-23.5","-6.4","14.7","12.3","13.6","7.2","-7.8","7.3","7.5","22.1","26.4","14.2","9.5","2.6","6.1","6.0","11.3","-0.1","10.4","10.0","5.4","6.3","2.2","7.2","7.0","5.5","3.4","6.0","4.3","4.5","6.1","5.0","8.8","7.7","7.9","7.0","8.6","7.9"
"64","42","    Disposable personal income, chained (2005) dollars","A067RL1",".....","-6.4","-3.5","-13.3","-2.9","9.7","9.7","12.6","3.4","-5.7","8.3","6.6","15.0","12.4","4.6","3.6","-1.3","-0.9","-3.8","5.4","0.6","9.0","2.9","3.2","4.9","1.4","6.8","4.9","2.4","1.0","4.4","2.6","3.4","4.9","3.8","7.2","6.2","5.3","4.4","4.6","3.2"
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
