"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","Gross domestic product","A191RX1","1,770,691.0","1,767,976.0","1,766,523.0","1,793,310.0","1,821,809.0","1,855,345.0","1,865,320.0","1,868,184.0","1,842,240.0","1,835,512.0","1,856,103.0","1,838,679.0","1,912,998.0","1,971,217.0","2,048,351.0","2,084,390.0","2,110,731.0","2,145,746.0","2,188,503.0","2,192,210.0","2,214,268.0","2,216,709.0","2,231,561.0","2,305,276.0","2,348,408.0","2,366,180.0","2,351,793.0","2,314,567.0","2,303,523.0","2,306,413.0","2,332,418.0","2,379,125.0","2,447,657.0","2,488,149.0","2,521,394.0","2,535,472.0","2,523,902.0","2,543,752.0","2,540,555.0","2,582,070.0","2,597,939.0","2,591,671.0","2,616,638.0","2,589,110.0","2,519,019.0","2,534,480.0","2,593,867.0","2,654,348.0","2,708,036.0","2,776,430.0","2,773,119.0","2,782,827.0","2,845,268.0","2,831,971.0","2,836,599.0","2,800,224.0","2,816,858.0","2,869,554.0","2,915,929.0","2,975,288.0","3,028,654.0","3,062,094.0","3,090,408.0","3,097,917.0","3,138,407.0","3,177,733.0","3,237,567.0","3,262,180.0","3,335,397.0","3,373,705.0","3,419,548.0","3,429,028.0","3,513,250.0","3,560,919.0","3,633,182.0","3,720,836.0","3,812,167.0","3,824,857.0","3,850,012.0","3,881,205.0","3,915,396.0","3,916,211.0","3,947,455.0","3,977,573.0","4,059,545.0","4,128,472.0","4,156,717.0","4,174,727.0","4,240,478.0","4,252,828.0"
"21","2","Less: Exports of goods and services","A020RX1","85,247.0","84,172.0","79,900.0","70,848.0","67,616.0","61,296.0","62,737.0","60,525.0","67,767.0","67,186.0","61,574.0","53,302.0","52,424.0","53,056.0","54,431.0","58,842.0","61,784.0","67,865.0","69,532.0","68,879.0","72,544.0","64,570.0","59,472.0","59,880.0","58,867.0","59,233.0","61,607.0","59,577.0","56,905.0","65,080.0","62,990.0","65,890.0","68,339.0","66,745.0","71,124.0","71,444.0","74,835.0","79,878.0","82,538.0","86,240.0","91,863.0","89,140.0","86,642.0","84,050.0","75,707.0","76,066.0","76,308.0","76,070.0","81,099.0","83,798.0","86,459.0","84,147.0","94,686.0","100,703.0","98,161.0","100,195.0","99,508.0","98,124.0","97,592.0","100,609.0","100,363.0","109,994.0","103,844.0","101,600.0","103,980.0","116,149.0","109,944.0","115,462.0","122,537.0","124,563.0","123,603.0","127,288.0","113,556.0","134,876.0","127,152.0","136,366.0","133,971.0","139,843.0","134,586.0","139,027.0","141,711.0","140,422.0","137,005.0","140,908.0","145,002.0","147,889.0","156,583.0","154,587.0","136,035.0","166,531.0"
"22","3","Plus: Imports of goods and services","A021RX1","50,985.0","51,967.0","46,088.0","48,573.0","54,774.0","56,945.0","59,918.0","58,945.0","57,178.0","56,345.0","54,048.0","54,860.0","56,393.0","59,507.0","73,433.0","73,571.0","73,573.0","71,135.0","65,113.0","63,411.0","70,768.0","70,401.0","74,707.0","81,405.0","79,399.0","83,517.0","83,199.0","79,107.0","74,538.0","81,243.0","76,342.0","77,066.0","81,620.0","86,248.0","87,699.0","90,877.0","94,692.0","94,200.0","95,018.0","90,657.0","97,868.0","98,632.0","96,731.0","97,063.0","98,508.0","102,718.0","101,158.0","106,451.0","109,195.0","114,477.0","115,553.0","112,617.0","116,885.0","117,763.0","114,298.0","108,907.0","108,377.0","109,698.0","116,963.0","119,744.0","123,389.0","126,082.0","127,681.0","129,242.0","126,250.0","129,223.0","132,503.0","132,069.0","131,945.0","134,915.0","138,535.0","142,282.0","137,159.0","153,346.0","153,976.0","161,492.0","165,659.0","169,777.0","179,293.0","181,297.0","184,158.0","182,680.0","185,071.0","194,829.0","206,314.0","209,465.0","222,056.0","220,185.0","199,416.0","238,757.0"
"23","4","Equals: Gross domestic purchases","A712RX1","1,726,446.0","1,726,501.0","1,725,225.0","1,771,740.0","1,814,043.0","1,862,059.0","1,873,237.0","1,878,735.0","1,838,153.0","1,831,309.0","1,858,721.0","1,855,065.0","1,933,895.0","1,995,910.0","2,089,312.0","2,119,425.0","2,141,834.0","2,164,516.0","2,196,882.0","2,199,436.0","2,225,919.0","2,241,025.0","2,270,106.0","2,353,036.0","2,395,980.0","2,418,576.0","2,399,639.0","2,359,901.0","2,347,236.0","2,345,580.0","2,369,250.0","2,413,132.0","2,484,701.0","2,534,102.0","2,562,876.0","2,580,551.0","2,568,047.0","2,579,783.0","2,573,342.0","2,604,606.0","2,620,558.0","2,619,366.0","2,646,515.0","2,622,863.0","2,565,879.0","2,585,793.0","2,644,355.0","2,712,270.0","2,762,481.0","2,834,041.0","2,827,861.0","2,838,046.0","2,890,555.0","2,868,854.0","2,873,630.0","2,827,555.0","2,844,996.0","2,902,360.0","2,958,434.0","3,017,527.0","3,076,365.0","3,098,908.0","3,138,727.0","3,151,386.0","3,186,061.0","3,211,332.0","3,285,108.0","3,301,648.0","3,365,862.0","3,405,175.0","3,457,238.0","3,465,510.0","3,566,542.0","3,600,614.0","3,686,638.0","3,770,555.0","3,871,819.0","3,880,462.0","3,924,089.0","3,951,446.0","3,985,362.0","3,986,594.0","4,026,174.0","4,061,187.0","4,150,719.0","4,220,206.0","4,248,984.0","4,268,483.0","4,342,205.0","4,349,468.0"
"24","5","Plus: Exports of goods and services, command basis \1\","C020RX1","140,131.0","146,814.0","144,117.0","128,121.0","121,403.0","108,070.0","107,233.0","101,800.0","112,258.0","109,862.0","99,884.0","85,517.0","82,974.0","83,763.0","84,929.0","91,814.0","98,584.0","111,495.0","117,214.0","116,609.0","119,732.0","105,890.0","96,698.0","96,948.0","95,642.0","95,885.0","99,084.0","95,086.0","89,959.0","102,327.0","98,872.0","103,273.0","107,075.0","104,465.0","111,092.0","111,620.0","116,676.0","124,659.0","128,839.0","135,396.0","144,637.0","140,521.0","135,986.0","131,108.0","116,021.0","115,621.0","115,613.0","115,300.0","121,743.0","125,649.0","130,315.0","127,634.0","143,560.0","151,786.0","147,973.0","149,902.0","149,406.0","149,103.0","147,637.0","152,990.0","152,081.0","164,590.0","154,890.0","151,189.0","154,462.0","172,072.0","162,141.0","169,391.0","179,500.0","181,750.0","180,975.0","187,619.0","170,573.0","201,043.0","188,838.0","200,400.0","199,014.0","207,462.0","200,255.0","208,694.0","215,556.0","212,028.0","204,773.0","209,531.0","214,883.0","221,349.0","229,106.0","224,642.0","198,728.0","240,412.0"
"25","6","Less: Imports of goods and services, command basis \1\","C021RX1","57,282.0","61,769.0","56,829.0","60,639.0","69,065.0","71,163.0","72,783.0","70,470.0","67,039.0","65,747.0","63,235.0","64,306.0","67,356.0","72,171.0","90,041.0","92,859.0","97,424.0","98,842.0","92,917.0","89,734.0","95,880.0","93,430.0","96,724.0","103,355.0","99,859.0","103,779.0","102,556.0","97,185.0","92,180.0","100,746.0","95,297.0","96,152.0","100,231.0","105,421.0","106,659.0","110,160.0","114,025.0","113,263.0","113,671.0","108,825.0","116,666.0","116,884.0","113,109.0","111,813.0","109,924.0","112,971.0","110,808.0","116,758.0","119,481.0","125,582.0","126,994.0","124,460.0","128,556.0","128,924.0","125,187.0","118,445.0","117,862.0","119,030.0","126,444.0","129,104.0","130,829.0","133,481.0","134,349.0","136,191.0","133,824.0","137,397.0","141,408.0","140,847.0","141,426.0","144,815.0","147,821.0","151,641.0","146,838.0","162,741.0","163,780.0","172,400.0","176,710.0","181,289.0","189,313.0","191,004.0","193,201.0","190,015.0","190,798.0","198,839.0","209,691.0","212,270.0","223,145.0","219,770.0","197,958.0","234,866.0"
"26","7","Equals: Command-basis gross domestic product \1,2\","C191RX1","1,806,713.0","1,810,232.0","1,813,170.0","1,847,583.0","1,868,032.0","1,895,125.0","1,905,811.0","1,914,968.0","1,884,259.0","1,869,041.0","1,893,852.0","1,875,437.0","1,950,967.0","2,007,394.0","2,085,927.0","2,126,066.0","2,155,867.0","2,192,171.0","2,230,482.0","2,231,672.0","2,251,233.0","2,248,834.0","2,273,772.0","2,348,670.0","2,392,111.0","2,410,125.0","2,396,757.0","2,355,739.0","2,340,335.0","2,340,343.0","2,371,164.0","2,421,998.0","2,495,573.0","2,533,450.0","2,568,038.0","2,591,317.0","2,580,427.0","2,591,790.0","2,593,025.0","2,629,983.0","2,653,531.0","2,647,711.0","2,669,424.0","2,628,221.0","2,564,808.0","2,577,587.0","2,648,050.0","2,719,379.0","2,766,882.0","2,832,501.0","2,828,360.0","2,838,518.0","2,909,094.0","2,892,179.0","2,894,266.0","2,852,733.0","2,873,092.0","2,929,856.0","2,978,470.0","3,042,862.0","3,099,573.0","3,128,450.0","3,156,753.0","3,162,678.0","3,201,280.0","3,243,515.0","3,304,007.0","3,333,688.0","3,405,390.0","3,441,303.0","3,486,249.0","3,498,374.0","3,589,657.0","3,637,868.0","3,708,082.0","3,795,874.0","3,892,597.0","3,901,550.0","3,933,716.0","3,969,356.0","4,006,669.0","4,004,402.0","4,038,606.0","4,070,618.0","4,155,137.0","4,225,633.0","4,252,231.0","4,271,353.0","4,342,406.0","4,352,503.0"
"27","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1","11,001.0","11,747.0","11,806.0","13,018.0","13,807.0","14,352.0","14,841.0","14,228.0","14,324.0","13,874.0","13,728.0","12,788.0","13,725.0","14,450.0","16,360.0","16,231.0","15,728.0","17,974.0","18,570.0","19,268.0","18,038.0","18,469.0","18,171.0","18,069.0","17,860.0","18,722.0","17,333.0","17,699.0","18,430.0","18,339.0","18,506.0","20,412.0","21,064.0","21,353.0","21,680.0","22,057.0","23,914.0","23,491.0","24,165.0","21,922.0","24,842.0","26,300.0","25,533.0","21,470.0","21,957.0","21,756.0","21,551.0","21,784.0","22,125.0","22,600.0","24,318.0","25,872.0","26,327.0","26,340.0","26,997.0","27,549.0","28,842.0","27,943.0","28,817.0","29,586.0","29,077.0","31,278.0","31,615.0","35,272.0","34,109.0","33,684.0","34,638.0","35,854.0","38,205.0","37,440.0","38,233.0","37,003.0","40,888.0","42,079.0","40,333.0","38,195.0","39,388.0","39,700.0","40,024.0","41,714.0","41,416.0","40,511.0","43,093.0","43,088.0","44,943.0","46,678.0","48,056.0","47,978.0","50,091.0","51,431.0"
"28","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1","3,550.0","3,501.0","3,419.0","4,039.0","3,825.0","3,864.0","4,518.0","3,988.0","4,649.0","4,543.0","4,720.0","4,774.0","5,019.0","5,165.0","5,258.0","5,313.0","5,656.0","5,711.0","5,610.0","5,465.0","5,211.0","5,575.0","5,600.0","5,806.0","5,797.0","5,774.0","5,956.0","6,242.0","5,956.0","5,901.0","5,816.0","5,840.0","6,044.0","6,567.0","6,698.0","6,685.0","6,736.0","6,549.0","6,843.0","6,897.0","6,936.0","6,885.0","7,029.0","7,039.0","7,097.0","6,595.0","6,927.0","7,289.0","7,701.0","8,116.0","8,602.0","9,114.0","10,169.0","9,828.0","9,685.0","9,267.0","9,382.0","9,463.0","9,833.0","10,131.0","9,701.0","9,864.0","9,941.0","10,059.0","10,160.0","10,667.0","11,136.0","11,515.0","11,690.0","11,977.0","11,985.0","12,676.0","12,843.0","13,100.0","13,473.0","13,884.0","14,146.0","14,427.0","15,390.0","15,825.0","15,835.0","15,773.0","15,643.0","16,431.0","17,470.0","18,635.0","19,136.0","19,367.0","21,466.0","23,959.0"
"29","10","Equals: Command-basis gross national product \1,3\","CB22RX1","1,814,164.0","1,818,478.0","1,821,558.0","1,856,563.0","1,878,015.0","1,905,613.0","1,916,134.0","1,925,207.0","1,893,934.0","1,878,373.0","1,902,861.0","1,883,450.0","1,959,673.0","2,016,679.0","2,097,029.0","2,136,984.0","2,165,940.0","2,204,434.0","2,243,442.0","2,245,476.0","2,264,060.0","2,261,727.0","2,286,343.0","2,360,934.0","2,404,174.0","2,423,073.0","2,408,134.0","2,367,195.0","2,352,808.0","2,352,781.0","2,383,854.0","2,436,570.0","2,510,593.0","2,548,236.0","2,583,019.0","2,606,689.0","2,597,605.0","2,608,732.0","2,610,348.0","2,645,009.0","2,671,437.0","2,667,126.0","2,687,928.0","2,642,652.0","2,579,668.0","2,592,748.0","2,662,674.0","2,733,874.0","2,781,307.0","2,846,984.0","2,844,076.0","2,855,276.0","2,925,252.0","2,908,691.0","2,911,578.0","2,871,016.0","2,892,553.0","2,948,336.0","2,997,454.0","3,062,317.0","3,118,949.0","3,149,864.0","3,178,426.0","3,187,891.0","3,225,228.0","3,266,531.0","3,327,508.0","3,358,027.0","3,431,905.0","3,466,766.0","3,512,497.0","3,522,700.0","3,617,702.0","3,666,846.0","3,734,941.0","3,820,184.0","3,917,838.0","3,926,823.0","3,958,350.0","3,995,245.0","4,032,249.0","4,029,140.0","4,066,056.0","4,097,275.0","4,182,610.0","4,253,677.0","4,281,151.0","4,299,964.0","4,371,031.0","4,379,976.0"
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Command-basis net domestic product \4\","C362RX1","1,660,949.0","1,666,440.0","1,670,654.0","1,707,003.0","1,728,175.0","1,756,403.0","1,767,439.0","1,777,018.0","1,744,718.0","1,728,537.0","1,753,884.0","1,734,306.0","1,812,071.0","1,869,547.0","1,949,745.0","1,989,802.0","2,018,772.0","2,054,277.0","2,091,822.0","2,090,458.0","2,108,036.0","2,102,527.0","2,125,565.0","2,200,295.0","2,242,095.0","2,257,510.0","2,240,676.0","2,195,002.0","2,175,901.0","2,173,281.0","2,202,643.0","2,253,067.0","2,327,109.0","2,364,057.0","2,397,559.0","2,419,427.0","2,405,531.0","2,414,866.0","2,413,576.0","2,449,993.0","2,472,440.0","2,463,805.0","2,483,763.0","2,437,601.0","2,368,054.0","2,378,647.0","2,449,820.0","2,522,668.0","2,570,760.0","2,637,920.0","2,632,339.0","2,641,393.0","2,713,677.0","2,694,354.0","2,694,646.0","2,649,101.0","2,668,101.0","2,724,687.0","2,773,032.0","2,837,446.0","2,893,645.0","2,920,964.0","2,947,238.0","2,950,199.0","2,986,934.0","3,027,524.0","3,087,002.0","3,114,246.0","3,185,457.0","3,219,115.0","3,261,928.0","3,270,254.0","3,360,666.0","3,405,974.0","3,473,863.0","3,559,950.0","3,654,811.0","3,658,584.0","3,686,461.0","3,718,079.0","3,751,382.0","3,743,775.0","3,773,973.0","3,802,029.0","3,884,757.0","3,952,810.0","3,975,174.0","3,989,761.0","4,058,239.0","4,063,440.0"
