"","Table 5#7#5B# Private Inventories and Domestic Final Sales by In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"43","23","      Nondurable goods industries","N804RC1",".....",".....",".....","89,470.0","90,899.0","91,482.0","93,270.0","95,668.0","96,262.0","96,426.0","96,169.0","97,580.0","98,628.0","98,151.0","101,742.0","103,996.0","107,502.0","107,770.0","108,827.0","112,995.0","113,224.0","116,611.0","116,524.0","115,843.0","116,739.0","117,697.0","121,193.0","121,835.0","121,935.0","119,883.0","122,502.0","126,997.0","128,904.0","128,737.0","128,447.0","131,551.0","136,704.0","137,307.0","141,762.0","143,526.0","145,628.0","150,228.0","151,856.0","158,019.0","160,610.0","164,284.0","173,918.0","186,764.0","191,297.0","199,198.0","193,180.0","173,278.0","172,380.0","172,736.0","167,608.0","178,720.0","180,135.0","181,657.0","198,557.0","213,638.0","225,241.0","229,565.0","234,329.0"
"44","24","    Nonmerchant wholesale trade","N805RC1",".....",".....",".....","42,716.0","42,299.0","42,181.0","42,344.0","43,178.0","42,974.0","42,444.0","42,231.0","42,528.0","42,897.0","44,335.0","45,865.0","47,202.0","48,882.0","50,322.0","51,673.0","52,511.0","50,988.0","49,755.0","47,019.0","44,766.0","44,333.0","45,209.0","45,969.0","46,067.0","46,821.0","45,333.0","45,652.0","47,158.0","48,278.0","49,845.0","52,194.0","53,007.0","56,325.0","56,303.0","58,947.0","60,868.0","61,756.0","62,580.0","62,208.0","60,839.0","61,867.0","62,427.0","63,497.0","65,959.0","73,176.0","79,616.0","77,181.0","68,945.0","62,617.0","59,375.0","56,767.0","56,796.0","59,683.0","59,213.0","62,592.0","66,603.0","74,198.0","75,333.0","77,589.0"
"45","25","    Final sales of domestic business \2\","A809RC1",".....",".....",".....","465,574.0","471,696.0","477,253.0","488,158.0","492,217.0","496,635.0","506,627.0","514,436.0","525,803.0","530,965.0","539,976.0","548,494.0","557,175.0","568,563.0","577,580.0","582,933.0","588,338.0","592,801.0","598,367.0","596,784.0","602,975.0","602,300.0","604,565.0","608,566.0","608,486.0","613,169.0","621,594.0","638,936.0","646,196.0","654,396.0","662,249.0","672,333.0","683,423.0","695,183.0","708,732.0","721,662.0","727,484.0","743,354.0","752,285.0","756,982.0","769,587.0","780,312.0","791,337.0","799,607.0","806,968.0","803,350.0","810,327.0","804,751.0","782,517.0","775,765.0","769,793.0","772,820.0","772,867.0","776,982.0","787,027.0","794,120.0","811,993.0","816,507.0","825,432.0","841,334.0"
"46","26","    Final sales of goods and structures of domestic business \2\","A810RC1",".....",".....",".....","270,488.0","274,261.0","276,892.0","284,311.0","285,419.0","286,605.0","292,680.0","298,505.0","306,654.0","308,324.0","314,242.0","318,312.0","322,530.0","328,067.0","332,996.0","335,600.0","336,960.0","338,204.0","342,002.0","340,244.0","344,562.0","340,637.0","338,947.0","340,469.0","337,717.0","340,450.0","344,609.0","357,684.0","361,617.0","363,852.0","368,179.0","374,686.0","380,236.0","386,528.0","395,553.0","403,540.0","402,844.0","414,930.0","418,796.0","418,988.0","424,345.0","428,458.0","435,042.0","437,757.0","439,222.0","432,666.0","435,022.0","430,885.0","411,618.0","408,032.0","404,450.0","405,955.0","401,411.0","402,062.0","405,919.0","410,142.0","423,068.0","424,580.0","427,691.0","438,700.0"
"47",NA,"  Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","27","    Private inventories to final sales","A811RC2",".....",".....",".....","2.76","2.74","2.73","2.69","2.70","2.69","2.64","2.59","2.55","2.56","2.54","2.55","2.57","2.56","2.56","2.57","2.59","2.57","2.52","2.49","2.40","2.40","2.40","2.41","2.45","2.47","2.42","2.38","2.39","2.42","2.45","2.45","2.46","2.48","2.43","2.44","2.48","2.45","2.47","2.51","2.49","2.50","2.50","2.51","2.57","2.67","2.75","2.74","2.59","2.51","2.47","2.41","2.44","2.48","2.46","2.52","2.57","2.68","2.68","2.65"
"49","28","    Nonfarm inventories to final sales","A812RC2",".....",".....",".....","2.47","2.45","2.44","2.41","2.42","2.42","2.38","2.36","2.32","2.33","2.32","2.32","2.35","2.34","2.35","2.36","2.37","2.34","2.30","2.27","2.19","2.19","2.19","2.20","2.22","2.24","2.20","2.15","2.16","2.18","2.20","2.22","2.23","2.25","2.21","2.22","2.25","2.24","2.27","2.29","2.28","2.28","2.28","2.28","2.34","2.43","2.49","2.48","2.35","2.28","2.24","2.19","2.21","2.24","2.23","2.27","2.30","2.39","2.40","2.38"
"50","29","    Nonfarm inventories to final sales of goods and structures","A813RC2",".....",".....",".....","4.24","4.21","4.21","4.14","4.17","4.20","4.13","4.06","3.98","4.01","3.98","4.01","4.06","4.05","4.07","4.10","4.13","4.10","4.02","3.98","3.83","3.87","3.91","3.94","4.01","4.04","3.97","3.83","3.86","3.92","3.96","3.98","4.01","4.05","3.97","3.96","4.07","4.00","4.07","4.13","4.13","4.14","4.14","4.17","4.30","4.50","4.64","4.63","4.47","4.33","4.27","4.17","4.26","4.33","4.32","4.40","4.42","4.60","4.63","4.56"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","1. Inventories are as of the end of the quarter.  The quarter-to-quarter change in inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","calculated from current-dollar inventories in this table is not the current-dollar change in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","private inventories component of GDP.  The former is the difference between two inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","stocks, each valued at its respective end-of-quarter prices.  The latter is the change in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","physical volume of inventories valued at average prices of the quarter.  In addition, changes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","calculated from this table are at quarterly rates, whereas, the change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. Quarterly totals at monthly rates.  Final sales of domestic business equals final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","domestic product less gross output of general government, gross value added of nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","institutions, compensation paid to domestic workers, and imputed rental of owner-occupied nonfarm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","housing. It includes a small amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
