"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"17","9","    Change in private inventories \1\","A355RC1",2.4,1.3,2.5,-0.5,1.1,0.7,0.9,1.3,0.3,-3.9,0.5,-4,-0.8,3.4,2.1,9.8,4.6,9.7,7.9,2.1,2.4,-2.1,0.6,3.7,3.8,3,2.9,-3.6,-3.7,-3.8,-2.6,-0.2,2.4,4.1,2.7,4.4,4.3,2,0.3,1.9,0.7,2.1,2.2,-3,-6.2,-5.5,-1,1.6,3.3,6.3,-0.6,2.5,9.1,0.5,1.6,-4.6,-5.5,-1.4,3.8,3,5.4,2.4,4.7,1.1,2.7,3.1,3.3,1.4,3.7,3.5,4.7,3.3,9,5.8,7.2,3,9.5,9.3,10.2,11.1,6.7,2.3,4.3,6.1,3,6,2.9,6.3,6,4,7.1
"18","10","  Nondurable goods","A356RC1",76.5,77.6,77.1,85.1,86.3,89.6,91,89.4,84.8,82.5,79.8,80.6,84.2,81.9,86.8,89.4,96.4,96.2,96.3,99.4,98.1,97.1,102.7,100.8,99.4,99.5,97.9,100.3,101.6,100.5,102,102.8,105.2,105.6,108,110.8,111.7,112.9,116,115.1,118,118,120.6,117.3,121.7,122,125.3,126.5,125.1,126.5,128.4,130.4,132.2,134.5,134.6,131.9,137.4,137.7,137.6,139.4,141.7,142,141.4,142.9,146.3,145.1,148,149.7,151.5,153.4,155.8,158.2,160.2,164.1,166.1,175.6,178.8,180.2,181.3,186.3,191.6,188.9,191.6,190.1,199,205.1,206.3,203.4,212,216.4,217.3
"19","11","    Final sales","A334RC1",78.5,80.2,82.5,83.2,83.8,84.5,84.8,84.7,84.6,83.8,81.6,81.3,81.4,82.4,84.8,85.2,90.6,91.2,94.5,96.8,95.7,96.6,97.7,99.3,99.3,98.9,98.5,98.7,99.9,100.1,101.5,103,103.8,105.1,106.4,107.9,109.7,111.3,112.8,114.8,116.6,117.4,120.1,118.8,119.5,120.8,122.8,122.8,124.5,125.5,127.5,128.8,130.1,131.8,131.9,133.2,134.4,134.5,134.7,136.4,137.7,139,139.9,140.7,142.1,143.4,145.6,146,150.2,152.4,155.8,156.6,157.6,161.4,164,171,174.4,177.2,179.7,180.8,182.9,184.9,186.6,187.8,193.6,196.9,201.6,203.7,206.5,211.2,214.2
"20","12","    Change in private inventories \1\","A357RC1",-1.9,-2.6,-5.4,2,2.5,5.1,6.2,4.7,0.1,-1.3,-1.8,-0.7,2.8,-0.5,2.1,4.2,5.8,5.1,1.8,2.6,2.4,0.5,5,1.5,0.1,0.6,-0.6,1.6,1.7,0.4,0.5,-0.2,1.4,0.5,1.6,2.9,2.1,1.6,3.2,0.3,1.4,0.6,0.6,-1.5,2.2,1.2,2.5,3.7,0.6,1,1,1.6,2.1,2.7,2.7,-1.3,3,3.2,2.9,3,4,3,1.5,2.3,4.1,1.7,2.4,3.7,1.4,1,0,1.7,2.6,2.7,2.1,4.6,4.4,3,1.6,5.4,8.7,4,5,2.3,5.4,8.1,4.8,-0.3,5.4,5.2,3.1
"21","13","Services \2\","A341RC1",93.5,95,95.7,95.7,96.8,99.9,102.2,104.6,106.8,108,107.1,107.1,108.6,110.8,111.9,116.5,125.6,131.1,137.5,140.4,143.9,149.8,152.6,156,159.7,162.8,163.3,164.7,164.1,164,166.3,168.3,171.3,171.5,175.9,178.9,180.4,184.9,185.3,191.8,195.7,198,201,206.8,205.1,210.6,212.8,216.2,218,223.8,227.3,231.1,231.3,236,237.9,242.9,243.5,250,251.5,257.3,263.4,269.5,272.3,276.5,279.6,283.6,288.6,294.5,300.3,305.8,309.8,313.6,318.3,325.6,333.2,343.4,348.5,359.6,367.2,375,386.8,392.6,400.2,410.3,423.6,434,444.1,454.6,460.1,473.6,484.8
"22","14","Structures","A755RC1",20.4,20.8,23.5,26.9,27.6,29.8,30.6,29.9,29,29,29.9,31.7,33.4,36.3,39.3,39.4,40.2,39.5,39.1,39.4,40.4,41.2,41.6,43,44.2,44.4,44.1,44.3,44.8,45.9,47.4,48.6,50.8,52,52.2,51.9,53.3,54.7,55.4,55.3,55.6,55.5,55.6,55.5,54.5,54.1,56,59.4,62.4,63.7,63.1,61,62.9,61.4,61.3,62.1,63.2,61.9,63.6,65.8,66.2,68.1,68.6,68.5,69.2,72.4,74.1,74.9,77.7,78.2,78.6,79.3,80.6,84,85.8,88.3,89.8,88.5,88.1,85.8,86.1,88.1,90.2,94,96.7,99.2,100,104,107.3,108.8,110.2
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,35.1,35.1,36,41.9,44.4,43.4,45.5,45.6,42.8,47.1
"25","16","  Gross domestic product excluding motor vehicle output","A962RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,785.1,787.2,801.9,816.7,837.9,859.7,875.9,890.7,915.2,933.3,949.2
"26","17","  Final sales of computers \3\","BB01RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","18","  Gross domestic product excluding final sales of computers","BB00RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
