"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","2","Personal consumption expenditures","DPCERY2",2.29,1.44,2.37,3.81,3.08,-0.52,1.4,3.51,2.66,2.77,1.48,-0.22,0.95,0.86,3.65,3.43,3.32,2.62,2.01,2.64,1.86,1.34,0.1,2.27,2.37,2.57,1.81,2.35,2.48,3.5,3.68,3.44,1.85,1.85,1.97,2.3,2.35,1.98,1.6,-0.39,-1.32,1.44,1.53
"12","3","  Goods","DGDSRY2",0.95,0.24,1.27,1.97,1.57,-1.12,0.2,2.08,1.28,1.22,0.47,-0.74,0.34,0.19,1.74,1.97,1.41,1.49,0.48,0.98,0.66,0.16,-0.51,0.78,1.02,1.29,0.73,1.09,1.16,1.61,1.9,1.29,0.77,0.99,1.12,1.09,1.01,0.8,0.71,-0.59,-0.69,0.99,0.87
"13","4","    Durable goods","DDURRY2",0.35,-0.24,0.86,1.11,0.96,-0.6,0.02,1.08,0.81,0.49,-0.05,-0.7,0.08,-0.01,1.1,1.18,0.86,0.86,0.18,0.53,0.2,-0.04,-0.46,0.45,0.6,0.66,0.34,0.63,0.69,1.03,1.13,0.79,0.49,0.69,0.6,0.65,0.52,0.39,0.42,-0.41,-0.41,0.53,0.6
"14","5","      Motor vehicles and parts","DMOTRY2",0.14,-0.39,0.64,0.52,0.37,-0.64,-0.02,0.66,0.39,0.18,-0.23,-0.45,0.07,0.08,0.59,0.57,0.48,0.3,-0.17,0.23,-0.01,-0.06,-0.42,0.25,0.18,0.21,-0.06,0.17,0.23,0.36,0.33,0.12,0.18,0.19,0.1,0.05,-0.02,-0.11,0.05,-0.38,-0.17,0.05,0.19
"15","6","      Furnishings and durable household equipment","DFDHRY2",0.06,0,0.12,0.27,0.28,-0.01,-0.14,0.16,0.23,0.14,0.1,-0.1,-0.05,-0.1,0.19,0.22,0.12,0.18,0.1,0.08,0.11,-0.03,-0.05,0.07,0.1,0.1,0.09,0.09,0.09,0.16,0.23,0.19,0.1,0.15,0.12,0.16,0.12,0.09,0.01,-0.08,-0.15,0.13,0.09
"16","7","      Recreational goods and vehicles","DREQRY2",0.11,0.12,0.06,0.27,0.19,0.01,0.12,0.16,0.12,0.12,0.09,-0.07,0.04,0.01,0.24,0.28,0.19,0.27,0.22,0.18,0.08,0.04,0.06,0.11,0.26,0.29,0.28,0.31,0.31,0.4,0.45,0.38,0.22,0.27,0.29,0.35,0.33,0.33,0.3,0.09,-0.04,0.27,0.26
"17","8","      Other durable goods","DODGRY2",0.03,0.04,0.04,0.05,0.12,0.05,0.06,0.1,0.06,0.06,-0.01,-0.09,0.01,0,0.08,0.11,0.07,0.11,0.04,0.04,0.01,0.01,-0.05,0.02,0.05,0.05,0.03,0.07,0.05,0.1,0.13,0.1,-0.02,0.07,0.09,0.09,0.1,0.09,0.05,-0.04,-0.06,0.07,0.06
"18","9","    Nondurable goods","DNDGRY2",0.61,0.48,0.41,0.86,0.6,-0.52,0.18,1,0.47,0.72,0.51,-0.03,0.26,0.2,0.64,0.79,0.55,0.63,0.3,0.45,0.46,0.2,-0.05,0.33,0.42,0.63,0.4,0.46,0.46,0.58,0.77,0.5,0.28,0.3,0.52,0.44,0.49,0.41,0.29,-0.18,-0.28,0.46,0.27
"19","10","      Food and beverages purchased for off-premises consumption","DFXARY2",0.27,0.27,0.12,0.19,-0.17,-0.19,0.17,0.46,0.14,-0.04,0.12,0.09,-0.03,0.16,0.2,0.16,0.22,0.15,-0.05,0.18,0.08,0.14,-0.01,-0.03,0.05,0.17,0.03,0.06,0.05,0.07,0.21,0.12,0.06,0.01,0.07,0.06,0.17,0.15,0.08,-0.05,-0.07,0.13,0.08
"20","11","      Clothing and footwear","DCLORY2",0.09,-0.05,0.18,0.31,0.31,-0.08,0.1,0.19,0.21,0.4,0.22,0.11,0.23,0.06,0.24,0.29,0.16,0.26,0.13,0.1,0.18,-0.02,0,0.18,0.14,0.18,0.13,0.15,0.1,0.18,0.19,0.14,0.03,0.08,0.13,0.12,0.15,0.11,0.08,-0.01,-0.11,0.13,0.07
"21","12","      Gasoline and other energy goods","DGOERY2",0.11,0.1,0.09,0.12,0.14,-0.23,0.07,0.16,0.05,0.05,-0.09,-0.32,-0.05,0.01,0.07,0.08,0.05,0.12,0.04,0.06,0.03,-0.04,-0.02,0.08,0.05,0.03,0.03,0.03,0.04,0.06,0.05,-0.03,0.01,0.03,0.05,0.03,-0.02,-0.06,-0.02,-0.13,0.01,0,-0.12
"22","13","      Other nondurable goods","DONGRY2",0.14,0.17,0.02,0.24,0.32,-0.02,-0.16,0.2,0.07,0.32,0.26,0.08,0.1,-0.02,0.12,0.26,0.13,0.11,0.17,0.11,0.16,0.12,-0.03,0.1,0.18,0.25,0.2,0.22,0.28,0.27,0.32,0.27,0.18,0.18,0.27,0.23,0.19,0.21,0.15,0.02,-0.1,0.2,0.24
"23","14","  Services","DSERRY2",1.34,1.19,1.1,1.84,1.51,0.6,1.2,1.43,1.38,1.56,1.02,0.52,0.62,0.67,1.91,1.47,1.9,1.13,1.53,1.66,1.2,1.18,0.61,1.49,1.35,1.27,1.08,1.26,1.33,1.9,1.78,2.15,1.09,0.86,0.85,1.22,1.34,1.18,0.89,0.21,-0.63,0.46,0.66
"24","15","    Household consumption expenditures (for services)","DHCERY2",1.33,1.14,1.04,1.78,1.5,0.62,1.19,1.37,1.36,1.5,0.98,0.46,0.53,0.5,1.74,1.29,1.81,0.97,1.44,1.48,1.02,0.93,0.43,1.23,1.24,1.16,1.02,1.17,1.43,1.76,1.67,2.03,0.96,0.69,0.77,1.23,1.39,1,0.81,0,-0.66,0.43,0.68
"25","16","      Housing and utilities","DHUTRY2",0.56,0.39,0.45,0.57,0.49,0.48,0.34,0.31,0.3,0.51,0.38,0.35,0.19,0.08,0.27,0.42,0.45,0.26,0.37,0.41,0.31,0.22,0.27,0.25,0.32,0.45,0.33,0.27,0.28,0.37,0.38,0.37,0.33,0.09,0.16,0.28,0.57,0.27,0.08,0.09,0.13,0.12,0.01
"26","17","      Health care","DHLCRY2",0.3,0.23,0.33,0.33,0.35,0.17,0.26,0.24,0.27,0.26,0.19,0.17,0.3,0.02,0.21,0.12,0.22,0.23,0.31,0.31,0.09,0.28,0.17,0.29,0.05,0.08,0.2,0.2,0.3,0.31,0.15,0.32,0.46,0.57,0.22,0.33,0.34,0.19,0.24,0.25,0.21,0.16,0.24
"27","18","      Transportation services","DTRSRY2",0.12,0.06,0.08,0.11,0.03,0.01,0.03,0.1,0.14,0.05,0.06,-0.12,-0.07,-0.04,0.14,0.23,0.21,0.09,0.09,0.13,0.05,0,-0.1,0.1,0.12,0.21,0.17,0.2,0.19,0.11,0.14,0.12,-0.02,-0.07,0.01,0.06,0.02,0,0.02,-0.12,-0.19,0.02,0.01
"28","19","      Recreation services","DRCARY2",0.08,0.05,0.05,0.07,0.11,0.09,0.07,0.1,0.09,0.07,0.07,0.05,0.12,0.07,0.14,0.11,0.12,0.08,0.08,0.18,0.12,0.09,-0.02,0.14,0.14,0.12,0.18,0.11,0.08,0.08,0.12,0.08,0,0.02,0.08,0.14,0.05,0.09,0.1,-0.03,-0.11,0.05,0.08
"29","20","      Food services and accommodations","DFSARY2",0.08,0.13,0,0.3,0.2,-0.04,0.17,0.25,0.11,0.18,0.13,0,0.04,0.03,0.14,0.12,0.06,0.12,0.22,0.26,0.12,0.16,0,0.12,0.1,0.07,0.01,0.03,0.09,0.11,0.1,0.19,-0.01,0.06,0.15,0.17,0.15,0.14,0.06,-0.04,-0.15,0.14,0.17
"30","21","      Financial services and insurance","DIFSRY2",0.04,0.11,0.11,0.18,0.18,0.07,0.29,0.18,0.2,0.17,0.11,0.04,-0.03,0.25,0.53,0.04,0.42,0.14,0.02,-0.01,0.16,0.1,0.29,0.14,0.4,0.04,0.02,0.19,0.18,0.33,0.45,0.54,-0.04,-0.02,0,0.14,0.19,0.14,0.18,-0.06,-0.43,-0.07,0.08
"31","22","      Other services","DOTSRY2",0.15,0.16,0.02,0.22,0.15,-0.16,0.04,0.19,0.24,0.25,0.04,-0.03,-0.02,0.09,0.3,0.24,0.33,0.06,0.35,0.21,0.16,0.09,-0.19,0.2,0.11,0.2,0.1,0.18,0.32,0.45,0.32,0.42,0.24,0.04,0.14,0.12,0.07,0.16,0.14,-0.08,-0.12,0.02,0.09
"32","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRY2",0.02,0.06,0.06,0.07,0.01,-0.02,0.01,0.06,0.02,0.06,0.04,0.05,0.09,0.17,0.17,0.18,0.09,0.15,0.09,0.18,0.18,0.25,0.18,0.26,0.11,0.12,0.07,0.09,-0.1,0.13,0.11,0.12,0.13,0.17,0.09,-0.01,-0.05,0.18,0.08,0.2,0.03,0.02,-0.02
"33","24","      Gross output of nonprofit institutions \2\","DNPERY2",0.18,0.17,0.26,0.23,0.11,0.05,0.15,0.22,0.16,0.24,0.12,0.13,0.19,0.2,0.19,0.18,0.18,0.25,0.21,0.29,0.2,0.33,0.22,0.33,0.16,0.13,0.08,0.17,0.1,0.31,0.22,0.25,0.31,0.39,0.11,0.14,0.11,0.22,0.18,0.22,0.12,0.15,0.09
"34","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRY2",0.16,0.12,0.2,0.16,0.1,0.07,0.14,0.16,0.14,0.18,0.09,0.08,0.1,0.03,0.02,0,0.08,0.1,0.12,0.11,0.02,0.08,0.04,0.07,0.05,0.02,0.02,0.08,0.2,0.17,0.11,0.12,0.18,0.23,0.02,0.15,0.16,0.04,0.11,0.02,0.09,0.13,0.11
"35","26","Gross private domestic investment","A006RY2",0.9,-1.04,1.67,1.87,1.96,-1.31,-2.98,2.84,2.43,2.16,0.61,-2.12,1.55,-2.55,1.45,4.63,-0.17,-0.12,0.51,0.39,0.64,-0.53,-1.2,1.07,1.21,1.94,0.48,1.35,1.95,1.65,1.5,1.19,-1.24,-0.22,0.6,1.57,0.93,0.47,-0.56,-1.66,-3.61,1.96,0.6
"36","27","  Fixed investment","A007RY2",0.9,-0.31,1.1,1.81,1.47,-1.04,-1.71,1.42,2.18,2.04,1.02,-1.21,0.39,-1.21,1.17,2.68,0.89,0.2,0.09,0.53,0.47,-0.32,-0.94,0.79,1.14,1.3,0.94,1.33,1.41,1.7,1.52,1.24,-0.32,-0.7,0.54,1.15,1.05,0.4,-0.33,-1.15,-2.77,0.32,0.81
"37","28","    Nonresidential","A008RY2",0.78,-0.06,0,0.93,1.5,0.09,-1.14,0.52,1.19,1.69,1.23,-0.03,0.74,-0.5,-0.17,2.05,0.82,-0.36,-0.01,0.58,0.61,0.05,-0.57,0.31,0.83,0.91,1.08,1.01,1.33,1.38,1.24,1.2,-0.35,-0.94,0.14,0.63,0.69,0.86,0.73,-0.09,-2.05,0.42,0.84
"38","29","      Structures","A009RY2",0.2,0.01,-0.06,0.12,0.31,-0.09,-0.43,0.09,0.15,0.54,0.53,0.27,0.4,-0.09,-0.57,0.6,0.32,-0.5,-0.11,0.02,0.07,0.05,-0.39,-0.18,-0.02,0.05,0.17,0.16,0.21,0.16,0,0.24,-0.05,-0.58,-0.1,0.03,0.04,0.27,0.46,0.24,-0.85,-0.51,0.12
"39","30","      Equipment and software","A010RY2",0.58,-0.07,0.07,0.81,1.19,0.18,-0.7,0.43,1.04,1.15,0.71,-0.3,0.34,-0.42,0.41,1.45,0.5,0.15,0.1,0.55,0.54,0,-0.18,0.5,0.85,0.86,0.91,0.85,1.12,1.22,1.24,0.96,-0.3,-0.36,0.24,0.6,0.65,0.59,0.26,-0.34,-1.2,0.93,0.72
"40","31","        Information processing equipment and software","A679RY2",0.28,0.19,0.1,0.22,0.27,0.24,-0.01,0.23,0.37,0.54,0.43,0.37,0.38,0.19,0.43,0.74,0.34,0.25,0.19,0.33,0.41,0.16,0.15,0.46,0.4,0.4,0.56,0.67,0.83,0.86,0.9,0.78,-0.02,-0.12,0.3,0.37,0.27,0.32,0.3,0.08,-0.14,0.35,0.23
"41","32","          Computers and peripheral equipment","B935RY2",0.08,0.06,0.08,0.12,0.02,0.08,0,0.09,0.11,0.23,0.18,0.2,0.23,0.12,0.27,0.38,0.19,0.11,0.18,0.1,0.15,-0.01,0.05,0.21,0.18,0.16,0.34,0.35,0.37,0.39,0.37,0.21,0.02,0.04,0.06,0.08,0.07,0.13,0.08,0.05,-0.02,0.16,0.1
"42","33","          Software \4\","B985RY2",0.05,0.05,0.01,0.04,0.03,0.04,0.04,0.02,0.01,0.05,0.07,0.06,0.06,0.06,0.08,0.12,0.1,0.07,0.08,0.12,0.19,0.13,0.11,0.15,0.11,0.09,0.1,0.17,0.31,0.26,0.33,0.23,0.01,0,0.12,0.17,0.11,0.07,0.1,0.07,-0.01,0.05,0.11
"43","34","          Other","A937RY2",0.15,0.08,0.01,0.06,0.22,0.12,-0.05,0.12,0.25,0.26,0.18,0.12,0.09,0.01,0.09,0.23,0.06,0.07,-0.07,0.11,0.07,0.04,-0.01,0.09,0.12,0.15,0.12,0.15,0.14,0.21,0.19,0.35,-0.06,-0.15,0.12,0.12,0.09,0.11,0.11,-0.04,-0.11,0.14,0.02
"44","35","        Industrial equipment","A680RY2",0.13,0.03,-0.16,0.13,0.31,0.14,-0.33,0.01,0.11,0.22,0.15,-0.1,-0.03,-0.18,-0.15,0.24,0.08,-0.01,-0.04,0.08,0.11,-0.1,-0.1,0.03,0.12,0.14,0.16,0.06,0.04,0.07,0.01,0.14,-0.12,-0.1,0,-0.04,0.1,0.1,0.05,-0.05,-0.28,0.08,0.15
"45","36","        Transportation equipment","A681RY2",0.08,-0.34,0.13,0.26,0.35,-0.18,-0.24,0.17,0.36,0.21,0.09,-0.39,-0.05,-0.18,0.18,0.29,0.06,-0.06,-0.08,0.08,-0.14,-0.01,-0.03,0.02,0.22,0.23,0.12,0.06,0.13,0.15,0.29,-0.04,-0.15,-0.14,-0.12,0.19,0.16,0.12,-0.08,-0.31,-0.53,0.36,0.22
"46","37","        Other equipment","A862RY2",0.1,0.06,0,0.19,0.25,-0.02,-0.13,0.01,0.21,0.18,0.04,-0.19,0.05,-0.24,-0.06,0.19,0.01,-0.03,0.04,0.06,0.16,-0.06,-0.2,-0.01,0.11,0.1,0.07,0.05,0.12,0.14,0.04,0.08,-0.01,-0.01,0.06,0.08,0.12,0.05,-0.01,-0.05,-0.25,0.14,0.13
"47","38","    Residential","A011RY2",0.13,-0.26,1.1,0.89,-0.04,-1.13,-0.57,0.9,0.99,0.35,-0.21,-1.17,-0.35,-0.71,1.33,0.64,0.07,0.55,0.1,-0.05,-0.14,-0.37,-0.37,0.47,0.31,0.39,-0.14,0.33,0.08,0.32,0.28,0.05,0.03,0.24,0.4,0.52,0.36,-0.46,-1.05,-1.05,-0.72,-0.11,-0.03
"48","39","  Change in private inventories","A014RY2",0,-0.73,0.58,0.06,0.5,-0.27,-1.27,1.41,0.25,0.12,-0.41,-0.91,1.16,-1.34,0.29,1.95,-1.06,-0.32,0.42,-0.14,0.17,-0.21,-0.26,0.29,0.07,0.63,-0.46,0.02,0.54,-0.05,-0.02,-0.05,-0.92,0.48,0.06,0.42,-0.13,0.07,-0.23,-0.51,-0.84,1.64,-0.21
"49","40","    Farm","B018RY2",-0.14,-0.08,0.23,-0.12,0.09,-0.23,0.41,-0.23,0.31,-0.13,0.1,-0.35,0.51,-0.05,-0.61,0.59,0.04,-0.15,-0.11,-0.05,0.24,0.05,-0.06,0.13,-0.19,0.27,-0.32,0.27,-0.05,-0.02,-0.05,0.01,0.02,-0.02,0.03,0.07,-0.07,-0.03,0.03,0.01,-0.02,0,-0.04
"50","41","    Nonfarm","A015RY2",0.14,-0.65,0.34,0.18,0.4,-0.03,-1.69,1.64,-0.06,0.25,-0.51,-0.56,0.65,-1.29,0.9,1.36,-1.1,-0.16,0.53,-0.09,-0.06,-0.26,-0.2,0.16,0.27,0.36,-0.14,-0.26,0.59,-0.03,0.03,-0.07,-0.93,0.5,0.03,0.35,-0.06,0.1,-0.26,-0.52,-0.82,1.64,-0.17
"51","42","Net exports of goods and services","A019RY2",-0.04,0.34,-0.19,-0.21,0.82,0.75,0.89,-1.08,-0.72,0.05,0.66,1.68,-0.15,-0.6,-1.35,-1.58,-0.42,-0.3,0.16,0.82,0.52,0.43,0.64,-0.05,-0.57,-0.43,0.11,-0.15,-0.32,-1.18,-0.99,-0.85,-0.2,-0.65,-0.45,-0.66,-0.27,-0.06,0.62,1.21,1.11,-0.51,0.05
"52","43","  Exports","A020RY2",0.25,0.56,0.1,0.42,1.12,0.58,-0.05,0.37,0.2,0.82,0.82,0.97,0.12,-0.73,-0.22,0.63,0.23,0.54,0.77,1.24,0.99,0.81,0.63,0.68,0.32,0.85,1.03,0.9,1.3,0.26,0.47,0.91,-0.61,-0.2,0.15,0.9,0.67,0.93,1.03,0.73,-1.18,1.31,0.86
"53","44","    Goods","A253RY2",0.2,0.44,-0.02,0.43,1.01,0.46,-0.16,0.31,0.08,0.68,0.77,0.86,-0.09,-0.67,-0.19,0.46,0.2,0.26,0.56,1.04,0.75,0.56,0.46,0.52,0.23,0.67,0.85,0.68,1.11,0.18,0.29,0.82,-0.48,-0.25,0.12,0.56,0.52,0.68,0.75,0.53,-1.04,1.12,0.67
"54","45","    Services","A646RY2",0.05,0.12,0.11,-0.01,0.11,0.12,0.1,0.05,0.11,0.15,0.06,0.11,0.21,-0.06,-0.03,0.17,0.02,0.28,0.21,0.2,0.24,0.26,0.16,0.16,0.1,0.19,0.19,0.22,0.19,0.08,0.18,0.08,-0.13,0.05,0.03,0.34,0.15,0.25,0.28,0.2,-0.13,0.19,0.19
"55","46","  Imports","A021RY2",-0.29,-0.22,-0.29,-0.63,-0.29,0.18,0.94,-1.45,-0.92,-0.78,-0.16,0.71,-0.27,0.12,-1.13,-2.21,-0.65,-0.84,-0.61,-0.43,-0.48,-0.38,0.02,-0.72,-0.9,-1.28,-0.92,-1.04,-1.62,-1.43,-1.45,-1.76,0.41,-0.46,-0.6,-1.55,-0.95,-0.98,-0.4,0.47,2.29,-1.82,-0.81
"56","47","    Goods","A255RY2",-0.2,-0.15,-0.33,-0.57,-0.34,0.17,0.87,-1.35,-0.84,-0.67,-0.14,0.67,-0.18,0.2,-1.01,-1.83,-0.52,-0.82,-0.39,-0.36,-0.38,-0.26,-0.04,-0.78,-0.85,-1.18,-0.86,-0.94,-1.44,-1.21,-1.31,-1.52,0.39,-0.42,-0.56,-1.29,-0.87,-0.81,-0.37,0.57,2.19,-1.74,-0.78
"57","48","    Services","A656RY2",-0.09,-0.07,0.04,-0.06,0.05,0,0.07,-0.1,-0.07,-0.11,-0.02,0.04,-0.09,-0.08,-0.13,-0.39,-0.13,-0.02,-0.22,-0.07,-0.09,-0.13,0.05,0.06,-0.05,-0.1,-0.06,-0.1,-0.17,-0.22,-0.14,-0.24,0.02,-0.04,-0.04,-0.26,-0.07,-0.18,-0.04,-0.1,0.1,-0.08,-0.03
"58","49","Government consumption expenditures and gross investment","A822RY2",-0.05,-0.55,-0.5,-0.16,-0.08,0.52,0.48,0.1,0.23,0.6,0.37,0.38,0.19,0.35,0.76,0.7,1.41,1.27,0.51,0.26,0.55,0.64,0.22,0.1,-0.16,0,0.11,0.19,0.34,0.38,0.63,0.36,0.67,0.84,0.42,0.26,0.06,0.26,0.25,0.5,0.34,0.14,-0.44
"59","50","  Federal","A823RY2",-0.42,-0.86,-0.85,-0.42,-0.41,0.08,0.03,0,0.19,0.22,0.2,0.39,0.42,0.35,0.63,0.3,0.74,0.55,0.35,-0.16,0.14,0.18,-0.02,-0.16,-0.33,-0.3,-0.2,-0.08,-0.07,-0.07,0.12,0.03,0.24,0.44,0.43,0.28,0.09,0.15,0.09,0.5,0.45,0.37,-0.17
"60","51","    National defense","A824RY2",-0.49,-0.83,-0.97,-0.6,-0.39,-0.05,-0.06,-0.02,0.07,0.05,0.17,0.25,0.38,0.48,0.5,0.35,0.6,0.47,0.35,-0.03,-0.03,0,-0.07,-0.32,-0.31,-0.27,-0.19,-0.06,-0.13,-0.09,0.07,-0.02,0.14,0.28,0.36,0.26,0.07,0.07,0.11,0.36,0.3,0.18,-0.13
"61","52","      Consumption expenditures","A997RY2",-0.33,-0.73,-0.58,-0.43,-0.47,-0.19,-0.14,-0.1,0.05,0.06,0.06,0.19,0.29,0.36,0.31,0.18,0.36,0.27,0.22,0.07,-0.04,-0.04,-0.01,-0.28,-0.2,-0.21,-0.15,-0.06,-0.06,-0.1,0.05,-0.03,0.12,0.22,0.31,0.21,0.04,0.03,0.07,0.25,0.25,0.14,-0.05
"62","53","      Gross investment","A788RY2",-0.15,-0.1,-0.39,-0.18,0.08,0.14,0.08,0.07,0.02,0,0.11,0.06,0.09,0.12,0.19,0.17,0.25,0.2,0.13,-0.1,0.01,0.03,-0.07,-0.04,-0.12,-0.06,-0.03,-0.01,-0.07,0.01,0.02,0.01,0.02,0.06,0.05,0.05,0.03,0.04,0.04,0.11,0.05,0.04,-0.08
"63","54","    Nondefense","A825RY2",0.06,-0.03,0.12,0.18,-0.02,0.13,0.09,0.03,0.12,0.16,0.03,0.14,0.04,-0.13,0.13,-0.05,0.14,0.08,0,-0.12,0.17,0.18,0.05,0.16,-0.02,-0.04,-0.01,-0.02,0.06,0.02,0.04,0.05,0.09,0.15,0.07,0.02,0.02,0.07,-0.02,0.15,0.16,0.19,-0.03
"64","55","      Consumption expenditures","A542RY2",0.1,-0.01,0.1,0.17,-0.03,0.12,0.08,0,0.1,0.09,0.04,0.11,0.04,-0.1,0.08,-0.08,0.11,0.07,-0.04,-0.1,0.15,0.15,0.02,0.12,-0.03,0.02,-0.03,-0.05,0.06,-0.02,0.01,0.08,0.1,0.13,0.06,0.03,0.01,0.05,-0.02,0.12,0.14,0.14,-0.04
"65","56","      Gross investment","A798RY2",-0.04,-0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.02,0.07,-0.01,0.03,0,-0.03,0.05,0.03,0.03,0.01,0.04,-0.03,0.02,0.03,0.03,0.04,0.01,-0.05,0.02,0.03,0,0.03,0.03,-0.03,0,0.03,0,0,0.01,0.02,0,0.02,0.01,0.05,0
"66","57","  State and local","A829RY2",0.37,0.31,0.36,0.26,0.33,0.44,0.45,0.09,0.04,0.38,0.17,-0.01,-0.23,0.01,0.13,0.4,0.67,0.71,0.17,0.42,0.41,0.46,0.24,0.26,0.17,0.3,0.3,0.27,0.41,0.45,0.51,0.33,0.43,0.4,-0.01,-0.02,-0.03,0.11,0.17,0,-0.11,-0.23,-0.28
"67","58","    Consumption expenditures","A991RY2",0.49,0.49,0.44,0.35,0.32,0.42,0.47,0.14,0.19,0.19,0.06,-0.02,-0.04,0.13,0.11,0.17,0.46,0.58,0.11,0.31,0.3,0.3,0.19,0.23,0.19,0.24,0.22,0.17,0.25,0.38,0.34,0.21,0.32,0.32,-0.03,0,0.04,0.07,0.15,-0.02,-0.07,-0.13,-0.12
"68","59","    Gross investment","A799RY2",-0.13,-0.18,-0.08,-0.09,0.01,0.02,-0.02,-0.05,-0.14,0.19,0.11,0.01,-0.2,-0.13,0.03,0.23,0.21,0.14,0.05,0.11,0.11,0.16,0.05,0.03,-0.02,0.06,0.09,0.09,0.16,0.06,0.17,0.12,0.11,0.08,0.02,-0.02,-0.07,0.04,0.02,0.02,-0.05,-0.1,-0.16
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
