"","Table 6#12B# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"22","15","Services","J1813C0",6164,6231,6912,7513,8063,8825,9200,10717,11514,12427,13127,14486,14783,15943,16964,17762,19532,20633,22778,24692,26291,27898
"23","16","  Hotels and other lodging places","B1814C0",252,253,271,277,282,277,278,307,310,298,287,347,297,292,309,321,290,369,424,407,418,371
"24","17","  Personal services","B1815C0",1005,1012,1108,1155,1193,1259,1298,1355,1460,1638,1638,1687,1724,1829,1911,1992,2140,2171,2442,2579,2725,2722
"25","18","  Business services","B1816C0",271,273,365,444,556,661,751,844,930,979,996,1096,1069,1179,1275,1395,1557,1581,1692,1901,2006,2110
"26","19","  Auto repair, services, and parking","B1817C0",277,279,332,399,407,458,509,607,723,683,747,770,879,927,1038,1103,1190,1145,1231,1392,1464,1553
"27","20","  Miscellaneous repair services","B1818C0",307,310,356,373,407,444,488,495,533,563,558,497,517,566,574,640,649,678,769,735,802,904
"28","21","  Motion pictures","B1819C0",65,65,78,88,85,80,98,80,72,50,73,80,76,105,134,134,140,155,160,166,244,197
"29","22","  Amusement and recreation services","B1820C0",134,135,141,139,156,223,249,275,293,258,279,283,319,353,291,320,342,347,402,370,373,251
"30","23","  Health services","J1821C0",2406,2389,2588,2797,3037,3347,3212,4169,4395,4792,5169,5810,5880,6167,6652,6833,7609,8081,8860,9852,10603,11491
"31","24","  Legal services","B1822C0",949,1014,1096,1194,1236,1307,1444,1581,1606,1732,1800,2139,2165,2504,2636,2851,3124,3410,3818,4029,4142,4481
"32","25","  Other \1\","B1823C0",498,501,577,647,704,769,873,1004,1192,1434,1580,1777,1857,2021,2144,2173,2491,2696,2980,3261,3514,3818
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Consists of educational services; social services; museums, botanical and zoological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","gardens; membership organizations and miscellaneous services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
