"","Table 2#3#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"16","9","    Food and beverages purchased for off-premises consumption","DFXARG3",23.936,25.271,25.847,27.079,30.506,35.145,37.787,38.49,40.757,44.657,49.043,53.166,56.954,58.452,59.124,60.9,61.563,63.012,65,66.938,70.469,73.911,76.232,76.817,77.891,79.195,80.912,83.38,84.969,86.037,87.446,89.499,92.13,93.542,95.296,98.255,100,101.688,105.647,112.066,113.495,113.853,118.398
"17","10","    Clothing and footwear","DCLORG3",66.021,68.477,70.911,72.199,74.595,80.129,83.723,86.408,90.096,91.799,93.595,97.027,100.231,101.699,103.091,103.626,105.85,105.414,108.451,111.94,113.578,117.281,119.512,120.402,119.759,117.744,114.993,113.609,113.644,111.576,110.099,108.788,106.632,103.824,101.246,100.905,100,99.592,98.619,97.875,98.718,98.033,99.722
"18","11","    Gasoline and other energy goods","DGOERG3",13.009,13.192,13.407,13.566,14.981,20.834,22.297,23.365,25.033,26.185,35.271,49.045,55.319,52.75,50.711,50.186,50.294,39.485,40.944,41.25,44.906,51.424,50.563,50.178,49.685,49.808,50.475,53.913,53.911,47.001,50.888,65.775,63.487,59.385,69.378,81.545,100,112.928,123.9,146.278,106.517,125.907,159.226
"19","12","    Other nondurable goods","DONGRG3",22.855,23.921,24.837,25.456,26.15,28.723,32.021,33.678,35.629,37.567,40.024,43.679,47.382,51.049,54.565,56.587,58.777,61.117,63.579,66.424,70.094,73.641,77.564,80.484,81.841,82.414,83.874,85.461,86.354,87.979,91.415,93.42,95.588,97.166,97.347,98.505,100,102.184,103.608,106.135,110.791,112.788,114.597
"20","13","Services","DSERRG3",17.324,18.285,19.284,20.102,21.077,22.866,24.834,26.556,28.558,30.777,33.35,36.802,40.555,43.709,46.429,48.846,51.049,53.375,55.409,58.123,60.84,63.808,66.581,69.236,71.294,73.2,75.365,77.473,79.812,81.689,83.509,85.818,88.422,90.801,93.686,96.688,100,103.414,106.981,110.584,112.353,114.465,116.513
"21","14","  Household consumption expenditures (for services)","DHCERG3",16.603,17.531,18.488,19.273,20.198,21.871,23.749,25.409,27.33,29.465,31.914,35.226,38.879,42.082,44.905,47.388,49.631,52.021,54.101,56.857,59.733,62.925,65.925,68.863,71.11,73.081,75.317,77.45,79.758,81.522,83.299,85.516,88.057,90.498,93.565,96.708,100,103.469,107.123,110.854,112.859,115.126,117.161
"22","15","    Housing and utilities","DHUTRG3",18.185,18.977,19.949,20.705,21.634,22.831,24.626,26.409,28.748,30.777,33.266,36.749,40.804,44.566,47.45,49.864,52.49,54.988,56.964,59.22,61.606,64.282,66.415,68.268,70.242,72.055,74.004,76.193,78.269,80.114,82.02,84.79,88.725,91.304,94.172,96.667,100,104.288,107.967,111.798,113.095,113.417,115.005
"23","16","    Health care","DHLCRG3",10.913,11.737,12.342,12.866,13.474,14.753,16.413,17.994,19.494,21.139,23.2,26.009,29.185,32.47,35.441,38.093,40.403,42.806,45.559,49.111,53.429,57.989,62.469,66.861,70.434,73.297,75.97,77.758,79.315,80.811,82.585,84.91,87.759,90.056,93.473,96.927,100,103.053,106.866,109.749,112.725,115.561,117.489
"24","17","    Transportation services","DTRSRG3",20.263,21.829,23.362,24.251,25.324,27.494,30.534,32.811,35.088,37.41,40.737,47.285,53.036,55.974,58.098,60.391,61.583,62.2,64.836,67.866,70.85,73.558,75.577,77.725,80.428,81.409,83.206,84.255,86.122,87.639,88.947,91.616,92.634,93.063,95.06,96.456,100,104.217,106.643,112.467,115.707,118.111,121.393
"25","18","    Recreation services","DRCARG3",22.473,23.51,24.544,25.173,26.067,27.874,29.93,31.411,32.914,34.882,37.186,39.997,42.547,44.866,46.814,48.837,50.945,52.914,54.965,57.074,59.911,63.182,66.467,68.53,70.725,72.235,73.827,76.287,78.753,80.703,83.298,86.522,89.358,91.929,94.755,97.266,100,103.384,106.274,109.555,110.867,112.049,113.909
"26","19","    Food services and accommodations","DFSARG3",18.122,19.461,20.499,21.258,22.711,25.337,27.62,29.447,31.58,34.341,38.048,41.734,45.461,48.061,50.136,52.397,54.65,56.89,59.204,61.75,64.546,67.501,70.196,71.686,73.092,74.375,76.13,78.181,80.499,82.656,84.792,87.162,89.647,91.821,93.775,96.894,100,103.365,107.41,111.62,114.232,115.787,118.781
"27","20","    Financial services and insurance","DIFSRG3",17.749,18.66,19.779,20.991,21.487,23.208,24.926,25.932,27.924,31.609,33.331,35.909,38.623,40.852,44.791,47.623,49.655,52.432,53.824,57.095,59.093,62.045,64.777,69.662,70.439,71.599,74.446,77.453,82.042,83.994,84.833,85.582,85.099,87.439,91.399,96.478,100,102.262,106.822,110.197,110.607,116.833,118.712
"28","21","    Other services","DOTSRG3",18.372,19.258,20.394,21.438,22.699,25.153,26.957,28.641,30.113,31.693,33.993,37.081,40.878,44.059,46.546,48.915,50.697,53.356,54.645,56.932,59.079,61.487,64.425,67.157,69.488,72.091,74.478,76.638,78.785,80.393,82.356,83.94,86.537,89.91,93.232,96.358,100,103.42,106.437,110.877,113.511,116.385,118.692
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",58.741,61.288,64.65,67.295,71.619,81.958,89.546,94.29,100.753,107.406,117.967,129.175,136.036,129.745,120.737,115.96,113.669,110.277,108.474,107.58,101.124,93.224,86.71,79.295,75.345,75.277,75.342,76.694,79.886,85.133,88.159,93.017,97.315,98.099,96.591,96.201,100,102.059,103.546,104.295,101.149,100.071,102.391
"30","23","    Gross output of nonprofit institutions \2\","DNPERG3",15.062,16.045,16.815,17.608,18.735,20.988,23.099,24.893,26.752,28.785,31.674,35.46,39.333,42.395,44.679,46.837,48.715,50.416,52.627,55.728,58.789,61.572,64.43,66.768,68.823,70.802,72.81,74.808,76.723,79.02,81.18,84.378,87.612,90.204,93.109,96.179,100,103.621,106.839,109.591,111.072,113.103,115.617
"31","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",9.822,10.551,11.029,11.577,12.317,13.686,15.103,16.411,17.671,19.074,21.001,23.685,26.723,29.951,32.814,35.353,37.464,39.565,42.07,45.461,49.7,54.116,58.674,63.094,66.605,69.109,71.65,73.825,75.369,76.843,78.741,81.424,84.313,87.495,91.91,96.172,100,104.144,107.976,111.484,114.809,118.068,120.659
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  PCE excluding food and energy \4\","DPCCRG3",23.412,24.51,25.664,26.493,27.505,29.687,32.174,34.13,36.32,38.749,41.569,45.377,49.342,52.526,55.247,57.541,59.724,61.974,64.331,67.12,69.889,72.872,75.709,78.256,80.106,81.875,83.761,85.386,87.022,88.284,89.597,91.154,92.783,94.39,95.823,97.815,100,102.265,104.631,107.02,108.691,110.208,111.805
"34","26","  Energy goods and services \5\","DNRGRG3",13.852,14.181,14.684,15.064,16.363,21.335,23.438,25.01,27.123,28.651,35.727,46.677,52.954,53.879,54.382,55.068,55.649,48.761,49.3,49.677,52.612,57.061,57.313,57.58,58.104,58.331,58.79,61.542,62.188,56.929,59.261,70.146,71.819,67.61,76.21,85.049,100,111.432,119.387,136.645,110.34,121.746,141.684
"35","27","  Market-based PCE \6\","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.519,67.041,70.144,73.565,76.396,78.573,80.448,82.01,83.69,85.318,86.593,87.122,88.355,90.471,92.19,93.209,95.028,97.272,100,102.739,105.34,108.909,109.201,110.857,113.681
"36","28","  Market-based PCE excluding food and energy \6\","DPCXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.511,68.325,71.359,74.642,77.787,80.361,82.465,84.184,85.969,87.374,88.665,89.66,90.772,92.143,93.767,95.163,96.449,98.106,100,102.209,104.304,106.666,108.647,109.763,111.288
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
