"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"18","11","              Sales to other sectors","W109RC1",11.5,12.7,14.4,16.9,19.2,21.4,22.9,25.5,28.9,32.9,38,42.5,48.6,54.3,60.1,64.5,70,75.9,82.1,90,99.8,110.1,122.7,136.3,149.5,162.3,171.5,180.3,188.3,197.8,206.5,224.8,241.3,252.2,265.6,281.5,297.8,312.7,332.1,356.4,378.4,401.1
"19","12","Federal consumption expenditures \1\","A957RC1",98.3,98.6,101.9,107.6,108.8,117.9,129.5,137.1,150.7,163.3,178.9,207.4,238.3,263.3,286.4,309.9,338.3,358,373.7,381.7,398.5,419,438.3,444.1,441.2,440.7,440.1,446.5,457.5,454.6,473.3,496,530.2,590.5,660.3,721.4,765.8,811,848.9,934.6,987.1,1043.4
"20","13","      Gross output of general government","W110RC1",99.7,100,103.4,110,111.6,121.3,132.5,140,154.4,167.8,184.5,213.6,244.4,269.4,292.5,316.5,345.2,364.9,381.6,390.5,407.9,429.3,449.6,455.4,452.2,453.7,450.8,457.7,466.6,464.7,481.8,505.8,539.3,599.8,670.1,732,779.6,823.8,860.9,948.6,1002,1060
"21","14","        Value added","W111RC1",59.9,64,67.7,71.5,73.9,79.6,87.3,93.8,102,109.7,117.6,131.2,147.4,161.2,171.2,192.1,205,212.6,223.3,234.8,246.4,258.8,274.8,282,285.2,285.2,283.6,287.6,290,292.2,300.4,315.1,324.9,351.8,382.9,412,438.7,460.6,486,517.1,551.7,579.1
"22","15","          Compensation of general government employees","B568RC1",44.9,48.3,51.7,55.4,57.4,62,68.4,73.3,79.9,85.8,91.8,102.5,115.1,125.3,132.3,149.4,159,163.1,170.3,178,185.7,193.9,205.9,210.7,210.9,208.9,205.8,209.7,212.1,214.3,220.6,233,242.1,268.4,297.8,323,344.4,360.1,379.7,403.8,434,456.2
"23","16","          Consumption of general government fixed capital \2\","B995RC1",15.1,15.7,16.1,16.1,16.5,17.5,18.9,20.5,22.1,23.9,25.8,28.7,32.3,35.9,38.9,42.7,46.1,49.5,53,56.8,60.7,64.9,69,71.3,74.2,76.3,77.8,77.9,77.9,78,79.8,82.1,82.8,83.5,85.2,89,94.3,100.5,106.3,113.2,117.7,122.9
"24","17","        Intermediate goods and services purchased \3\","W113RC1",39.8,35.9,35.7,38.4,37.7,41.7,45.2,46.2,52.4,58.2,66.9,82.3,97,108.2,121.3,124.5,140.2,152.3,158.3,155.8,161.5,170.5,174.8,173.4,167,168.6,167.2,170.1,176.6,172.4,181.4,190.7,214.4,248,287.2,320,340.8,363.2,374.8,431.5,450.3,480.9
"25","18","          Durable goods","W114RC1",6.8,6.3,4.8,6,5.7,5.4,6.2,6.1,8.3,10,11.9,13.4,16.8,20.1,25.9,28,30.2,32.8,34.9,34.6,33.3,33.1,32.5,30.1,28.1,24.5,22.5,22.5,22.6,22.6,24,24,24.2,25.5,27.9,31.2,32.3,35.7,39,45.9,48.8,51.6
"26","19","          Nondurable goods","W115RC1",10.6,7.4,6.5,7.1,6.2,7.8,7.9,8,9,9.7,11.4,17.4,23,20.6,21.9,16.8,19.5,22.6,17.2,10.5,16.6,16.7,17,16.3,16.8,14.4,14.9,15.5,17.3,17.8,16,20.1,23,24.5,28.3,33.8,40.6,41.8,43.2,53.1,50.1,54.9
"27","20","          Services","W116RC1",22.4,22.2,24.3,25.3,25.8,28.6,31.1,32.1,35.2,38.4,43.6,51.5,57.2,67.5,73.5,79.6,90.5,96.8,106.2,110.7,111.6,120.7,125.3,127.1,122.2,129.6,129.8,132.1,136.7,132,141.4,146.6,167.2,198,231.1,254.9,267.9,285.7,292.7,332.5,351.4,374.5
"28","21","      Less: Own-account investment \4\","W117RC1",0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,1,1.2,1.3,1.5,1.7,2,2.3,2.4,2.7,2.9,3.4,3.7,4,4.1,4.2,4,4.1,4,4,4.1,3.8,3.2,4.1,4.5,4.4,4.5,4.6,4.7,4.7,5.2,5.5,5.9
"29","22","            Sales to other sectors","W118RC1",0.9,0.9,0.9,1.7,2.2,2.8,2.3,2.1,3.1,3.7,4.6,5,4.9,4.6,4.4,4.7,4.6,4.5,5.2,5.8,6,6.6,7.3,7.2,6.8,9,6.5,7.1,5.1,6,4.7,6.6,5,4.9,5.5,6.1,9.1,8.1,7.2,8.8,9.4,10.8
"30","23","    Defense consumption expenditures \1\","A997RC1",78.1,76.5,77.1,79.5,79.4,84.5,90.9,95.8,104.2,112.7,123.8,143.7,167.3,191.1,208.7,232.8,253.7,267.9,283.6,293.5,299.4,308,319.7,315.2,307.5,300.8,297,303.2,304.5,300.3,313,321.8,342,380.7,435.2,481.2,514.8,543.9,575.4,635.7,664.1,698.2
"31","24","      Gross output of general government","W085RC1",78.4,76.8,77.3,80.1,80.5,86.1,92.1,96.4,105,113.6,124.8,145,168.9,193,210,234.5,255.4,269.7,285.7,295.8,301.8,311.2,323.1,319.2,311.8,306.8,300.7,307.2,308,303.5,316,324.9,345.6,384.9,439.7,485.8,520.2,549.6,580.6,641.6,670.1,704.5
"32","25","        Value added","W086RC1",47.9,50.2,52,54.3,55.4,58.8,63.6,67.3,72,77.4,83,92,105.1,116.6,124.1,142.3,152.8,158.9,166.5,172.8,180.7,186.8,197.2,200.2,197.1,194.6,191.5,193.5,192.2,190.4,192.7,198.8,205.2,222.5,243.8,264.2,284.4,298.8,315.7,337.4,359.4,378.1
"33","26","          Compensation of general government employees","B237RC1",34.7,36.6,38.2,40.5,41.4,44.1,47.9,50.3,53.6,57.5,61.7,68.6,78.8,87.4,92.4,107.5,115.3,118.8,123.5,126.9,131.7,134.5,141.8,143,137.7,133.7,129.8,132.3,131.9,130.8,132.7,138.1,144.8,162,182.1,199.4,215.7,225.6,238.3,254.5,273.3,287.6
"34","27","          Consumption of general government fixed capital \2\","B432RC1",13.2,13.6,13.8,13.8,14,14.7,15.7,17.1,18.4,19.9,21.3,23.5,26.3,29.2,31.7,34.8,37.4,40.2,43,45.9,49,52.3,55.3,57.1,59.4,61,61.7,61.2,60.4,59.7,60,60.7,60.5,60.5,61.7,64.8,68.7,73.2,77.4,82.9,86.2,90.5
"35","28","        Intermediate goods and services purchased \3\","W087RC1",30.5,26.6,25.3,25.8,25.1,27.3,28.5,29.1,32.9,36.2,41.8,52.9,63.8,76.4,85.9,92.2,102.7,110.8,119.2,123.1,121.1,124.5,125.9,119.1,114.7,112.2,109.2,113.7,115.8,113,123.3,126.2,140.3,162.4,195.9,221.6,235.8,250.9,264.9,304.2,310.7,326.4
"36","29","          Durable goods","A998RC1",6.5,6.1,4.6,5.7,5.5,5.2,6,5.8,8,9.6,11.3,12.8,16.2,19.6,25.1,27.1,29.3,31.9,33.8,33.5,32,31.6,31,28.4,26.4,22.9,20.9,20.8,20.9,20.9,22.2,22.1,22.3,23.2,25.7,28.8,29.5,32.8,36.1,42.8,45.3,47.7
"37","30","          Nondurable goods","A725RC1",7.6,5.4,4.4,4.7,4.3,5.2,5.1,4.5,4.5,4.9,6.2,10,11.8,11.5,11.3,10.4,10,10.2,10.3,10.6,10.8,11,10.7,9.4,8.5,7.6,6.3,7.6,7.6,7,8.2,10.4,10.3,11.5,13.4,17.1,20.9,22.1,24.1,30.5,24.2,26.2
"38","31","          Services","A489RC1",16.5,15.2,16.3,15.5,15.3,16.9,17.4,18.8,20.4,21.7,24.2,30.2,35.8,45.4,49.5,54.7,63.4,68.7,75.1,79,78.3,81.8,84.3,81.3,79.8,81.7,81.9,85.2,87.3,85.1,92.9,93.6,107.8,127.7,156.8,175.8,185.4,196,204.7,231,241.1,252.6
"39","32","      Less: Own-account investment \4\","W088RC1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,1,1,1.2,1.2,1.5,1.5,1.6,1.6,1.6,1.5,1.6,1.5,1.5,1.4,1.3,1.1,1.5,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.4,2.6
"40","33","            Sales to other sectors","W089RC1",0.2,0.2,0.1,0.5,0.9,1.4,1,0.4,0.6,0.6,0.6,0.9,1.1,1.3,0.6,0.9,0.8,0.8,1,1.2,1,1.8,1.7,2.4,2.6,4.4,2.1,2.6,2,1.7,1.7,1.9,2,2.2,2.4,2.5,3.3,3.6,3.2,3.7,3.6,3.7
"41","34","    Nondefense consumption expenditures \1\","A542RC1",20.2,22.1,24.9,28.2,29.4,33.4,38.7,41.4,46.5,50.6,55.1,63.8,71,72.1,77.7,77.1,84.7,90.1,90.1,88.3,99.1,111,118.6,128.9,133.7,139.9,143.2,143.4,153,154.3,160.3,174.2,188.1,209.8,225.1,240.2,251,267.1,273.5,299,323,345.2
"42","35","      Gross output of general government","W128RC1",21.3,23.2,26.1,29.8,31.2,35.2,40.4,43.6,49.5,54.3,59.7,68.6,75.5,76.4,82.5,82,89.8,95.2,95.9,94.7,106.1,118.1,126.6,136.2,140.4,147,150.1,150.5,158.6,161.2,165.8,180.9,193.7,214.9,230.4,246.2,259.4,274.2,280.3,307,331.9,355.5
"43","36","        Value added","W129RC1",12.1,13.8,15.7,17.2,18.6,20.8,23.7,26.5,30,32.3,34.6,39.2,42.3,44.6,47.1,49.8,52.3,53.7,56.8,62,65.8,72,77.7,81.8,88.1,90.5,92.1,94,97.8,101.8,107.7,116.3,119.7,129.3,139.1,147.8,154.4,161.9,170.4,179.7,192.2,201.1
"44","37","          Compensation of general government employees","W130RC1",10.1,11.7,13.4,14.8,16,18,20.5,23.1,26.3,28.3,30.1,34,36.3,37.9,39.9,41.8,43.6,44.3,46.8,51.1,54,59.3,64,67.7,73.3,75.2,76.1,77.4,80.2,83.5,87.9,94.9,97.3,106.4,115.6,123.6,128.7,134.5,141.4,149.3,160.7,168.6
"45","38","          Consumption of general government fixed capital \2\","B546RC1",1.9,2.1,2.3,2.4,2.5,2.8,3.2,3.4,3.7,4,4.5,5.2,6,6.7,7.3,7.9,8.7,9.3,10,10.9,11.8,12.7,13.6,14.2,14.8,15.3,16,16.6,17.6,18.3,19.8,21.5,22.4,23,23.5,24.2,25.6,27.4,28.9,30.4,31.5,32.5
"46","39","        Intermediate goods and services purchased \3\","W131RC1",9.2,9.3,10.4,12.6,12.6,14.4,16.8,17.1,19.5,22,25.1,29.4,33.2,31.8,35.4,32.2,37.5,41.5,39.1,32.7,40.3,46.1,48.9,54.4,52.3,56.4,58,56.4,60.8,59.4,58.1,64.6,74,85.5,91.3,98.3,105,112.3,109.9,127.3,139.6,154.5
"47","40","          Durable goods","A543RC1",0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.6,0.6,0.9,0.9,1,1,1.1,1.2,1.3,1.5,1.6,1.7,1.7,1.6,1.5,1.7,1.7,1.7,1.8,1.8,1.9,2.3,2.2,2.4,2.8,2.9,2.9,3.2,3.5,3.9
"48","41","          Nondurable goods","A729RC1",3,2,2.1,2.4,1.9,2.6,2.8,3.5,4.4,4.9,5.2,7.4,11.2,9.1,10.6,6.4,9.5,12.4,6.9,-0.1,5.7,5.7,6.3,6.9,8.3,6.9,8.6,7.9,9.7,10.8,7.9,9.7,12.7,13,14.9,16.7,19.7,19.7,19.1,22.7,25.8,28.7
"49","42","            Commodity Credit Corporation inventory change","B826RC1",0.7,-0.4,-0.3,-0.4,-0.7,-0.5,0.3,0.2,0.4,0,0,1.5,0.9,1.7,2.5,-1.8,2.2,6.4,-0.2,-7.1,-0.8,-1.5,0.2,-0.6,-0.2,-0.5,-0.2,-0.3,-0.1,0.2,0.1,0.8,0.8,0.1,-0.1,-1,-0.5,-0.1,-0.1,-0.3,-0.3,-0.1
"50","43","            Other nondurable goods","B828RC1",2.3,2.4,2.4,2.8,2.6,3.1,2.5,3.3,4,4.8,5.2,6,10.3,7.5,8.1,8.2,7.2,6,7.1,7,6.5,7.2,6.1,7.5,8.5,7.3,8.8,8.2,9.8,10.6,7.8,8.9,11.9,12.9,15,17.7,20.3,19.7,19.2,23,26.1,28.8
"51","44","          Services","A544RC1",5.9,7.1,8.1,9.9,10.4,11.7,13.7,13.3,14.7,16.7,19.4,21.3,21.4,22.1,23.9,24.9,27.1,28.1,31.1,31.6,33.3,38.9,41,45.8,42.4,47.9,47.9,46.9,49.4,46.9,48.5,53,59.4,70.3,74.3,79.1,82.5,89.7,87.9,101.5,110.3,121.8
"52","45","      Less: Own-account investment \4\","W136RC1",0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.6,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.7,2,2.2,2.4,2.5,2.6,2.5,2.6,2.5,2.5,2.7,2.5,2.1,2.6,2.4,2.3,2.4,2.6,2.6,2.6,3,3.1,3.3
"53","46","            Sales to other sectors","W137RC1",0.8,0.7,0.8,1.2,1.3,1.4,1.3,1.8,2.5,3.1,4,4.1,3.8,3.4,3.8,3.8,3.8,3.7,4.2,4.7,5,4.8,5.6,4.8,4.2,4.6,4.4,4.6,3.1,4.3,3,4.6,3,2.7,3.1,3.6,5.8,4.4,4.1,5.1,5.7,7.1
"54","47","State and local consumption expenditures \1\","A991RC1",79.8,91.5,102.7,113.2,126,143.7,165.1,179.5,195.9,213.2,233.3,258.4,282.3,304.9,324.1,347.7,381.8,418.1,441.4,471,504.5,547,577.5,606.2,634.2,668.2,701.3,730.2,764.5,808.6,870.6,930.6,994.2,1049.4,1096.5,1139.1,1212,1282.3,1368.9,1448.2,1424.4,1447.2
"55","48","      Gross output of general government","W138RC1",91.9,104.9,117.9,130,144.7,164.5,187.9,204.8,223.7,244.7,269.6,299.3,329.5,358.3,383.7,412.1,452.4,495.3,524.4,561.8,606,659,702.2,744.8,786.6,831.6,876.9,914.3,959.9,1013.1,1086,1163.7,1247.2,1313.7,1373.8,1432.6,1519.9,1607.5,1715.4,1819.2,1817,1860.2
"56","49","        Value added","W139RC1",70,79.5,88.6,97.9,109.3,121.8,137.2,149.7,162.6,177.8,195.4,217.3,237.9,257.7,274.1,293.1,318.4,343.7,368.2,395.8,425.8,463.9,492.8,519.9,546,574.7,601.2,623.7,650.3,680.3,721.2,763.7,814.7,859.6,909.3,947.3,997.7,1051.3,1118.6,1180.5,1208.5,1221.8
"57","50","          Compensation of general government employees","B251RC1",62.6,71.1,79.2,87.7,98,107.7,121.2,133,145.1,158.9,174.3,193,210.1,227.4,243,261.1,284.7,307.6,329.3,354.3,381.4,415.9,441.7,466.6,489.7,515.2,537.7,557.1,580.1,606.4,642.5,679,725,765.8,811.7,842.9,883.3,927.1,981.7,1033.1,1053.9,1063.9
"58","51","          Consumption of general government fixed capital \2\","B986RC1",7.4,8.4,9.4,10.2,11.3,14.1,15.9,16.6,17.5,18.9,21.1,24.3,27.8,30.3,31.2,32,33.7,36.2,39,41.5,44.4,48,51.1,53.4,56.3,59.5,63.4,66.7,70.2,73.9,78.7,84.7,89.7,93.8,97.6,104.4,114.4,124.2,136.9,147.5,154.6,157.9
"59","52","        Intermediate goods and services purchased \3\","W140RC1",21.8,25.4,29.2,32.2,35.4,42.7,50.7,55.2,61.1,66.9,74.3,82,91.6,100.6,109.6,119,134,151.6,156.2,166,180.2,195.2,209.4,224.9,240.6,256.8,275.8,290.6,309.6,332.8,364.8,400,432.5,454.1,464.6,485.2,522.1,556.2,596.8,638.7,608.5,638.4
"60","53","          Durable goods","B989RC1",1.3,1.6,1.9,2.2,2.5,2.9,3.3,3.6,4,4.4,4.9,5.3,6.1,6.7,7.2,7.8,8.4,9.2,9.8,10.5,11.4,12,12.7,13.3,13.7,14.5,15.6,16,17,18.5,19.9,21.1,22.2,22.3,21.7,21.9,22.3,23,23.9,24.6,25.1,25.1
"61","54","          Nondurable goods","B337RC1",7.8,9,10.2,11,12.4,15.5,18.9,21.3,24.2,26.3,30,33.8,37.2,38.4,40,42.8,45.6,45.6,49.3,51.8,57.7,63.8,66,69.1,72.7,77.4,84.5,90.6,94.3,96.6,107.2,124.8,132.4,135.2,142.9,155.4,176.9,191.9,210,238.8,199.8,221.9
"62","55","          Services","A988RC1",12.7,14.9,17.1,19,20.6,24.3,28.5,30.2,32.9,36.2,39.3,42.9,48.4,55.5,62.5,68.5,79.9,96.7,97.1,103.7,111.1,119.4,130.7,142.5,154.1,165,175.7,184,198.3,217.6,237.8,254.2,277.8,296.7,300,307.9,322.9,341.3,363,375.3,383.6,391.4
"63","56","      Less: Own-account investment \4\","W144RC1",1.4,1.5,1.6,1.7,1.7,2.1,2.1,2,2,2.3,2.9,3.3,3.5,3.7,4,4.6,5.2,5.7,6.1,6.7,7.8,8.6,9.3,9.5,9.7,10.1,10.6,11,12.2,12.6,13.5,14.9,16.7,17,17.2,18.1,19.1,20.5,21.6,23.4,23.6,22.6
"64","57","            Sales to other sectors","W145RC1",10.6,11.8,13.5,15.2,17,18.7,20.6,23.3,25.8,29.2,33.4,37.6,43.7,49.7,55.7,59.8,65.4,71.5,76.9,84.1,93.8,103.5,115.4,129.1,142.7,153.3,165,173.2,183.2,191.9,201.8,218.2,236.3,247.3,260.1,275.4,288.7,304.7,324.9,347.6,369,390.4
"65","58","              Tuition and related educational charges","B1065C1",1.9,2.4,2.9,3.2,3.7,4,4.3,4.7,5.2,5.8,6.4,7.2,8.3,9.4,10.7,11.7,12.8,13.9,15,16.6,18.4,20.3,22.7,25.5,27.5,29.4,31.2,33,35.5,38,40.6,43.7,46.2,49.4,53.6,56.9,61.2,65.8,70.9,76.3,81.8,88.2
"66","59","              Health and hospital charges","B1066C1",3.5,3.8,4.6,5.6,6.6,7.4,8.5,9.9,10.9,12.7,15.2,17.3,21,24.5,27.8,29.4,32,34.8,37,40.3,45,50,57,65.3,73.1,78.8,85,86.6,89.9,93.5,96.7,104,116.2,120.8,124.8,130.9,132.3,137.8,145.9,155.8,165.4,174.6
"67","60","              Other sales","W146RC1",5.2,5.6,6,6.4,6.8,7.3,7.9,8.8,9.7,10.7,11.8,13,14.4,15.8,17.2,18.7,20.6,22.8,24.9,27.2,30.4,33.1,35.7,38.3,42.1,45.1,48.8,53.5,57.8,60.4,64.5,70.5,73.9,77.1,81.7,87.6,95.2,101,108.1,115.6,121.8,127.6
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
