"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"21","13","    Net interest and miscellaneous payments, domestic industries","W272RC1",30.5,32.4,34.5,35.5,36.9,38.9,41.2,42.4,43.2,44,44.6,44.8,45.9,47.5,49.9,52.3,53.1,55.2,59.3,62.4,66.5,70.8,74.1,79.4,83.2,82.4,83.5,83.7,82.7,85.1,85.8,87.2,88.8,97,103.9,109.6,111.6,114.7,116.8,121.8,128.6,136,143.6,157.8,173.5,177.8,180.5,200.2,200.5,218.7,245.6,250.9,261.8,270.8,267.3,268.1,273.5,273,287,298.9,300.6,320.4,340.3,347.2,352.1,352.4,346.2,360.6,381.3,389.1,389.7,388.5,387.7,390.3,397.2,407.4,405.8,407.1,421,438.4,465.9,474.5,479.5,476.2,479.9,485.3,484.9,484.2,472.9,466.6,462.2,446.4,441.1,431.9,423.3,418.4,423.3,409.9,398.2,396.7,393.9,403.5,419.4,431.7,424.2,416.2,414.3,415.3,412.4,430.2,443.3,463.1,473.3,479.4,490.3,506,537.4,559.7,573,570.8,555.1,560.5,571.8,592.1,627.6,643.2,652.7,646.4,655.7,663.9,658.7,649.5,631.3,613.1,598,595.9,603.4,599.3,592.9,586.4,564.4,565.7,566.5,580.6,630.4,658.7,697.3,729.4,768.8,827.7,844.1,879.6,914.9,919.6,965.3,1008.8,1017.8,1023.9,1037.4,1089.9,1066,969.2,940,954.8,955,923.9,905.1,917.1
"22","14","    Business current transfer payments (net)","B029RC1",4.9,5,5,5,4.8,4.6,4.4,4.3,4.3,4.3,4.3,4.4,4.7,4.8,5,5.2,5.7,6.1,5.9,6.1,6.6,6.9,7.3,7.7,8.7,9.5,9.7,9.8,9.9,9.8,9.4,8.9,8.5,8.2,8.4,8.7,9.8,10.5,11.2,11.8,12.8,13.2,13.6,13.7,13.9,14.1,14.5,16.5,17.2,17.4,18.2,18.8,20,20.6,20.8,21,21.2,21.8,22.8,24.6,27.7,29.8,31.3,32.4,33.4,39.3,33.9,34.2,43,35.4,34.1,34.8,34.8,35.1,33.2,33.1,31.9,32.5,34,36,38.2,38.6,40,39.9,40.2,39.9,39.8,40.5,40.8,39.7,39.5,39.7,39.6,39.3,39.8,44,41.2,40.4,39.8,40.5,41.9,40.9,42.4,42.4,44.7,45.7,46.8,46.2,48.1,49.2,49.9,67.8,48.4,48.6,54.5,53.7,60.3,61.4,63.8,75.3,66.3,67.2,69.1,73.2,80.8,84.6,88.9,93.5,99.9,102.8,102.6,99.8,90.3,84.2,79.4,75.6,77.3,75.8,75.8,75.7,77.8,80,79,89.9,96.5,99.6,95.2,92.3,82.8,79.3,83.6,86.1,105.6,102.9,104.4,100.4,118.4,114,115.7,138.8,139.7,141.8,124.9,129.8,130.5,130.8,133.4,133.5
"23","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",76.3,77.6,78.2,78,77.6,77.1,79.2,79.9,81.1,83.7,85.3,88.6,88.7,92.2,96.5,106.7,105.9,111.7,114.4,122.5,116.2,109.3,113.3,115.1,113.5,115.5,122.5,126.9,127.6,130,133.8,137.5,140.5,141.9,143.6,158,158.4,168.1,171.3,172.2,179.2,179.3,182.5,183.5,168.5,162.2,175.8,187.3,190.1,177.9,184.2,174.2,167.6,173,174.4,184.2,188,188.2,188.4,198,224.2,234.9,237.1,236,248.2,244.6,244.6,246.9,249.5,257.2,271.5,272.1,282.7,289.7,297.2,307.4,327.5,333.8,343,335.1,357,348.4,347.8,353.2,360.6,364.3,369.2,366.6,357.8,365.2,367.7,378.4,396.4,410.4,420.9,431.9,435.8,450.1,447,465.5,476.7,481.8,485.8,496.1,500.4,506.3,520,537.4,560.2,586.5,588.6,599.4,619.6,619.4,632.8,641.1,663.6,677,692.9,716.6,729.6,738.9,750.6,768.1,783.7,819.4,826.7,840.1,867.4,871.6,878.1,865.8,880.5,884.2,893.3,903.2,889.6,919.1,945.8,968.1,1002.1,1029.8,1040.1,1063.1,1046.8,1054,1082.6,1095.8,1126.9,1133.2,1131.2,1140.6,1103,1090,1079.3,1089.1,1107.3,1116.1,1111.5,1073,1018.7,1000.5,1006.4,1022.1,1030.7,1049.7,1059.5,1080.2
"24","16","    Rental income of persons with capital consumption adjustment","A048RC1",20.8,20.9,21,20.9,20.9,20.6,21.2,21.5,21.5,22,22.4,22.8,23.5,20.5,24.3,24.3,24.2,24.1,23.1,24.1,24.4,23.8,24.1,23.9,23.7,23.5,23.3,22.9,22.6,21.7,21.9,22,20.9,19.9,19,18.7,20.4,19.8,21.4,21.9,23.4,21.1,21.2,24.8,28.6,24.1,25,36.3,36.2,35.1,35.7,38.8,39.5,36.2,38,38.5,37.6,37.8,38.2,39.1,38.1,36.7,40.4,44.8,42.9,41.7,42.2,40.5,36.8,35.6,32.5,30.4,31.6,30.5,35.3,39.4,38.4,36.9,38.8,46.8,44.2,43.5,41.1,40.8,43.3,48.2,53.3,54.4,56.1,58.1,62.7,69.4,71.6,81.3,89.3,96.3,105.5,113.5,115.4,122,133.1,141.6,148.5,148.4,151,153,152.8,161.5,166.7,168.4,172.1,174.5,174.9,175.9,176.4,178.9,182.7,188.6,195.7,198.8,203,206.9,209.2,213.5,214.6,212.1,213.3,221.1,225.3,230.6,239.5,234.1,229.2,231.7,212.7,201.4,209.7,204.2,186.2,216.6,204.2,197.1,196.8,195.4,190.7,181.5,168.4,172.3,161.3,153.2,140.3,131.2,122.4,139.8,146.8,165.9,182.4,206,237.1,262.6,264.7,269.4,279.1,282.8,292.7,298.8,303.8,308.4
"25","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1",93.1,89.9,86.9,81.6,73.4,77,77.3,73.9,85.3,86.6,89,92,97.4,98.8,102.2,109.2,113.5,108.8,106.8,109.3,99.6,99.2,97.1,94.8,97.9,111.2,130.4,135.2,148.8,143.8,144.5,143.2,151.1,172.3,186.4,181.1,170,200.5,202.6,209,198.3,195.3,187.2,182.2,176.3,149.5,157.7,180.3,190.8,189.7,207.9,186,165.6,178,179,169.9,192.3,221.8,238.3,246.7,276.9,286.8,278.8,285.7,290,287.4,310.2,290,282.5,276.6,268.2,271.3,282,314.7,342,340.7,352.4,363.6,371.2,391.3,367.4,359.9,362,344.4,353.9,377.2,356,346.3,378.2,381.1,383.2,380.7,412.5,423.1,409.3,447.7,426.5,460.7,463.3,516.5,515.4,532.7,563.9,589,586.1,605.5,650.7,650.7,682.6,698,703.4,714.2,752.3,765.8,802.5,788.5,709.1,705.5,724,700,745.8,742.8,729.8,720.6,709.4,693.2,670.2,621.6,622.7,641.3,618.4,575.5,671.6,706,713.2,766.4,768.3,791.1,829.6,859.1,974,1029.6,1077,1087,1174,1195.7,1201.7,1295.2,1344,1342.4,1404.1,1315.4,1227.5,1252.8,1127.1,1031.6,946.2,916.8,906.6,636.4,789,844.8,933.2,1055.7,1178.1,1222.7,1257.7,1305.3
"26","18","      Taxes on corporate income","A054RC1",41.5,40.4,39.1,38.9,34.5,34.7,35.7,34.2,37.8,38.6,37.9,38.4,40.4,40.7,42,46.4,49.7,50.2,48.6,51.4,49.7,52.2,57.3,51.9,43.8,46.8,57.2,58.8,66.6,65.2,64.9,64.5,68.8,74.4,76.7,77.8,72.5,86.6,87.4,92.9,90.1,90.9,90.6,88.4,97,77.2,83.2,91.4,91.1,82.6,86.2,77.4,65.7,68.4,68.6,63.2,64.2,79.2,88.3,90.9,103.9,102.9,91.1,92.3,98.7,97,102.3,99.7,106.6,106.3,107.3,118.5,118.7,132.8,137.9,132.4,129.3,136.6,146.7,153.9,158.4,145,140.4,140.5,139.3,144.9,149.8,147.7,141.6,136.8,137.4,138.5,148.2,149.8,144,152.8,158.1,170.1,162.1,193.8,174.5,183.6,201.1,213.3,217.6,214.8,221.7,217.3,221.6,233.4,233.8,237.1,238.2,242.9,255.1,245.5,248.5,245.5,252.2,247.2,256.2,254.1,259.2,265.7,274.3,273.1,254.7,258.3,224.5,216.6,195,177,179.3,186,193.7,210.4,231.5,227,247.2,269.3,277.6,298.2,320.4,328.1,405.1,395.6,403.1,445.7,460.7,475.1,496.6,460.7,474.1,467.9,431,408.8,356.7,343,313.3,220.4,222,222.8,255.7,319.1,403.2,405.6,429.4,428.1
"27","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1",51.7,49.5,47.7,42.7,38.9,42.4,41.6,39.7,47.4,48,51.1,53.7,57,58.1,60.2,62.8,63.8,58.6,58.2,58,49.8,47,39.7,42.9,54.1,64.4,73.2,76.4,82.2,78.6,79.6,78.7,82.3,97.9,109.7,103.3,97.6,113.9,115.2,116.1,108.2,104.3,96.6,93.7,79.2,72.3,74.6,89,99.7,107,121.7,108.5,99.9,109.5,110.4,106.7,128.1,142.6,150.1,155.8,173,183.9,187.7,193.5,191.4,190.5,208,190.3,176,170.3,160.9,152.8,163.3,181.9,204,208.3,223.1,227,224.5,237.4,209.1,214.9,221.6,204,214.6,232.4,206.2,198.7,236.6,244.4,245.8,242.1,264.3,273.3,265.2,294.9,268.4,290.6,301.2,322.7,340.9,349.1,362.8,375.7,368.5,390.7,429,433.4,461,464.6,469.7,477,514.1,522.8,547.4,543.1,460.6,460,471.8,452.8,489.6,488.7,470.7,454.9,435.1,420.1,415.5,363.3,398.2,424.6,423.4,398.4,492.3,520.1,519.5,556,536.8,564.1,582.3,589.8,696.4,731.4,756.6,758.9,768.9,800.1,798.7,849.4,883.3,867.4,907.5,854.7,753.3,784.9,696.1,622.9,589.5,573.8,593.2,416,567.1,622,677.5,736.6,774.9,817.1,828.3,877.2
"28","20","        Net dividends","A449RC1",20.2,20.4,20.2,20.7,20.1,20.5,20.2,20.7,21.2,19.7,21.3,19.1,22.2,22.1,22,21.5,22,23,23.9,23.6,22.3,25.2,24,22.3,26.7,26,25.9,27,26,30.1,31.4,32.7,31.8,32.5,34.1,36.5,37.3,36.5,41.4,43.3,42.3,42.3,39.6,41.7,40.9,54.4,45.4,48.6,53.5,57.1,60.6,62,66.2,53.8,59.4,65.8,71,68.6,71.5,74.2,78,78.5,79.5,78.1,81.2,90.5,84.1,87,85.7,92.1,85.9,89.4,93.9,92.4,93.8,102.4,85.8,93.4,112.1,100.8,126.2,126.4,130.8,122.2,145.7,141.2,143.2,146.3,150,157.6,156.9,161,153,157.7,159.1,170.2,176.8,177.5,181.8,193.3,189.8,200.3,195.8,204.4,209.6,211.2,229.9,235.8,243.6,249.6,263.4,272.7,273.4,275.7,285,301.9,304.8,313.2,307.3,311.5,297.3,298,279.1,308.4,334.9,355.4,366.6,336.9,326.3,309.9,341.6,342.4,346,356.6,338.3,363.8,333.5,423.6,394.5,419.4,451.3,447.4,456.2,597.3,434.5,373.6,232.7,144.9,542.3,565.7,648.6,750.9,635.3,648.2,670.3,645,574.6,611.1,622.7,637.7,650.3,632.8,567.3,596.1,621.2,591.6,624.3,629.4
"29","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",31.4,29.1,27.5,22,18.8,21.9,21.4,19,26.2,28.3,29.8,34.6,34.8,36,38.3,41.4,41.8,35.6,34.3,34.4,27.5,21.9,15.7,20.6,27.4,38.4,47.4,49.4,56.2,48.5,48.2,46,50.6,65.4,75.6,66.8,60.3,77.5,73.8,72.8,65.9,62,57.1,52,38.3,17.9,29.2,40.4,46.2,49.9,61.1,46.5,33.7,55.8,50.9,40.9,57.1,74,78.6,81.5,95,105.4,108.2,115.3,110.2,100,123.8,103.3,90.2,78.2,74.9,63.3,69.4,89.5,110.3,105.9,137.3,133.6,112.4,136.6,82.9,88.5,90.8,81.8,68.8,91.2,63,52.4,86.6,86.8,88.9,81.2,111.3,115.7,106.1,124.7,91.6,113.1,119.5,129.4,151.1,148.8,167,171.4,158.9,179.4,199.2,197.6,217.3,215,206.3,204.3,240.7,247.2,262.4,241.1,155.8,146.9,164.5,141.3,192.3,190.8,191.6,146.5,100.2,64.7,48.9,26.4,71.9,114.7,81.8,56,146.3,163.5,181.1,192.2,203.3,140.6,187.8,170.3,245.2,284,300.4,161.6,334.4,426.4,565.9,704.5,341,301.6,258.8,103.8,118,136.7,25.8,-22.1,14.9,-37.3,-29.4,-221.7,-83.2,-10.8,110.2,140.5,153.6,225.6,204,247.9
"30","22","  Current surplus of government enterprises \1\","A108RC1",0.9,1,1,1.2,0.5,-0.3,-0.1,-0.2,-0.6,0,-0.3,-0.2,0,0.4,0.5,1,0.1,-0.3,-0.5,-0.8,-0.7,-0.2,-1.1,-1.8,-2.8,-3,-3.6,-3.6,-1.7,-1.8,-1.8,-2,-2.3,-2.5,-3,-3,-3,-2.5,-1.6,-1.8,-2.1,-2.6,-3.2,-3.7,-4.1,-4.6,-5.5,-6.2,-6.5,-4.9,-6.6,-4.3,-4.2,-4.2,-5.2,-4.3,-3.7,-3.2,-3.5,-2.3,-2.1,-1.9,-2.1,-1.6,-0.7,0.9,1,1,1,1,0.8,0.7,0.5,0.2,-0.1,0,-0.7,3.3,3.6,4.1,4.5,5,5.1,5.1,3,1.5,1.1,0.7,3.3,5.9,6.2,7.3,7.6,8.2,8.9,8.1,7.6,9.4,8.8,9,9.7,9.8,9.6,9.4,13.2,13,13.1,13.2,13.9,14,14.6,14.9,13.9,14.7,14,13.8,12.9,13.5,13.7,13,15.1,14.7,14.2,12.4,12.5,11,7.7,5.3,4.4,3,7.9,0.9,4.3,4.4,9.1,7.6,9.4,7.9,6.3,4.3,3.7,1.9,0.3,-0.9,-1.8,-3.1,-4.5,-4.5,-2.4,-3.8,-4.7,-6,-10.1,-11,-11.2,-14.8,-16,-17,-16.5,-17.3,-15.8,-14.2,-11.7,-11.3,-12.1,-13.1,-14.2,-13.7
"31","23","Consumption of fixed capital","A262RC1",95.6,98,100.3,102.9,105.6,107.8,109.4,110.5,113.8,116.7,119.2,121.3,123.5,125.6,128.2,131.3,134.6,138.4,142.7,147.4,153.1,159.7,167.2,174.7,182.1,188.1,193.4,197.9,201.4,205.5,210.2,215.6,222.1,228.4,234.8,241.8,249.2,257,265.4,274,283.3,293.4,304,314.8,326,337.9,349.9,362.5,375.3,387.7,399.5,410.9,422.1,431.3,438.2,442.6,445.1,448.4,453,457.9,464,470.6,477.5,485.2,493.3,501.1,509.5,517.9,525.9,534.5,542.7,550.7,558.4,566.2,575.1,584.6,595.5,605.9,616.2,626.5,636.4,646.4,656.5,666.6,676.8,686.6,696.1,705.3,713.8,721.3,728.3,734.1,738.7,743.2,746.3,749.2,762,773.3,783.6,793.2,802.2,812.7,824.3,837.5,851.4,864.1,875.7,886.7,896.2,906.3,917.7,929.9,943.5,957.1,970.3,984.3,997.3,1011.9,1027.9,1045,1063.2,1083.2,1104.2,1127.1,1151.6,1174.4,1195.8,1215.4,1233.5,1250,1264.4,1277.1,1288.3,1299.5,1310.5,1321.7,1333.2,1345.9,1360.4,1376.8,1396.7,1419.5,1444.4,1470.4,1495.7,1524.2,1556,1589.6,1618,1648.2,1675.2,1701.3,1733.9,1757.6,1778.2,1800.3,1814.8,1838.4,1864,1879.6,1881.6,1862.3,1848.3,1852.2,1852.4,1860.4,1871.9,1890.7
"32","24","  Private","A024RC1",71.6,73.4,75.4,77.5,79.8,81.4,82.5,83.1,86,88.5,90.8,92.8,94.5,96.4,98.7,101.3,104.1,107.4,111.1,115.2,119.8,124.8,130.4,136.4,143,148.6,153.3,157,159.7,163.2,167.3,172,177.5,183.1,189,195,201.3,208.1,215.3,223.1,231.3,239.9,248.7,257.9,267.4,277.1,287.2,297.5,308.1,318.4,328.4,338,347.3,354.7,360.1,363.6,365.2,367.6,370.7,374.6,379.3,384.4,390,396.2,402.8,409.4,416.1,422.8,429.6,436.1,442.3,448.3,454,460.5,467.7,475.7,484.4,493,501.4,509.6,517.6,525.6,533.6,541.6,549.5,557,564.2,571,577.4,583.2,588.3,592.8,596.6,599.4,601.3,602.3,612.7,622.3,631.2,639.4,646.8,655.4,665.3,676.3,688.6,699.9,710.3,719.8,728.3,737.8,748.1,759.3,771.4,783.5,795.8,808.1,820.6,834,848.3,863.5,879.6,897.1,916,936.2,957.7,978,997,1014.7,1031.2,1045.9,1059,1070.3,1079.8,1089.4,1098.8,1108.1,1117.4,1128.6,1141.5,1156.2,1172.8,1190.7,1209.8,1230.2,1251.9,1276.1,1302.9,1332.3,1357.4,1381.1,1403.2,1423.9,1449.6,1468.6,1484.8,1501.8,1511.2,1529.2,1548.8,1558.3,1557.2,1537.5,1523.1,1525.5,1522.8,1527.4,1535.5,1550.2
"33","25","  Government","A264RC1",24.1,24.5,24.9,25.3,25.8,26.4,26.9,27.4,27.9,28.2,28.4,28.6,29,29.2,29.5,30,30.5,31,31.6,32.2,33.3,34.9,36.9,38.3,39.1,39.5,40.2,40.9,41.7,42.3,42.9,43.6,44.6,45.3,45.8,46.8,47.9,49,50.1,50.9,52,53.5,55.3,56.9,58.6,60.8,62.8,65,67.2,69.2,71.1,72.9,74.7,76.6,78.1,79,79.9,80.8,82.3,83.3,84.8,86.2,87.5,89.1,90.5,91.7,93.4,95.1,96.3,98.5,100.4,102.4,104.4,105.7,107.4,108.9,111,112.9,114.8,116.9,118.8,120.7,122.9,125,127.4,129.5,132,134.3,136.4,138.1,139.9,141.3,142.1,143.8,145,146.9,149.3,151,152.4,153.8,155.4,157.3,159,161.1,162.8,164.2,165.4,166.9,167.9,168.5,169.6,170.6,172.2,173.6,174.5,176.1,176.7,178,179.7,181.5,183.5,186,188.2,190.9,193.9,196.5,198.9,200.7,202.3,204,205.4,206.8,208.4,210.1,211.7,213.5,215.7,217.3,218.9,220.5,223.8,228.9,234.6,240.3,243.8,248.1,253.1,257.3,260.6,267.1,272,277.4,284.3,289,293.4,298.5,303.6,309.2,315.2,321.3,324.3,324.9,325.1,326.8,329.6,333,336.4,340.5
"34",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  Statistical discrepancy","A030RC1",6.6,3.3,2.4,-0.8,5.1,7.5,7.8,7.1,15,13.6,13.2,2.2,7,19.5,11.1,-1.8,7.6,16.1,5.4,3.1,2.9,12.8,4.5,19.1,19.1,17.3,11.7,17.1,21.4,24,20.4,28.1,32.8,23.4,20.7,8,4.6,23.8,31.7,44.1,28.3,45.7,61.7,52.2,62,58.2,39.5,21.4,58.4,35.9,26,26,-3,-0.6,2.1,20.6,23.2,44.1,65.1,66.4,41.2,36.3,30.3,18.3,24,34.1,52,59.3,56.1,63.3,80.3,71.3,59.7,38.4,9.6,23.8,-7,0.2,-15,-16.3,4.1,58.4,78.4,83.6,97.1,82.3,89.4,68.1,52.7,77.6,92,96.7,71.4,90.3,136.8,141.5,153,124.6,141.8,123.8,114.3,126.7,99.3,95,76.3,57.6,34.7,41.5,23.3,36.7,29.2,14.5,-9.2,17.1,-13.7,-50.1,-60.8,-106,-120.1,-54.4,-96,-86.7,-53.8,-47.8,-220.9,-86.9,-153.6,-74.6,-211.6,-109,-89.6,-3.2,-43.2,-45.3,20.6,-20.4,-7.2,-29.6,61.4,41.7,29.9,0,-38.7,-22.6,-29,-67.7,-67.5,-154.5,-192.2,-190.7,-253.4,-246,-135.6,-30.9,117.6,133.4,77.9,189,138.7,140.7,140.4,172.2,228.9,175.2,164.2,131.1,181,130
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Prior to 1959, subsidies (line 10) and the current surplus of government enterprises (line 22) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
