"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"33","26","          Compensation of general government employees","B237RG3",1.955,1.913,1.976,1.988,1.929,1.986,2.021,2.166,2.146,2.16,2.148,1.94,1.884,2.14,2.235,2.462,2.861,4.468,4.532,4.144,4.426,4.283,4.183,4.335,4.407,4.525,4.874,5.117,5.307,5.81,6.071,6.208,6.303,6.415,6.758,7.257,7.592,8.03,8.223,8.972,9.605
"34","27","          Consumption of general government fixed capital \2\","B432RG3",13.963,13.116,12.512,11.813,11.905,13.183,13.462,13.629,14.593,14.747,14.698,14.484,15.77,14.803,14.728,13.89,13.126,14.703,16.841,17.493,17.712,17.673,18.901,19.238,19.339,19.677,20.266,21.537,22.693,22.886,23.235,23.374,23.518,23.994,24.511,24.421,24.724,25.186,25.883,26.75,27.853
"35","28","        Intermediate goods and services purchased \3\","W087RG3",13.806,13.182,11.994,11.471,11.108,11.591,12.416,11.529,12.003,11.972,11.829,11.409,13.429,11.544,11.408,11.049,10.653,10.974,12.399,13.704,13.771,14.517,15.782,15.1,15.324,15.991,17.04,17.686,18.437,18.758,17.106,17.062,17.422,17.872,17.864,18.178,18.703,19.162,19.975,20.645,21.558
"36","29","          Durable goods","A998RG3",16.935,15.134,14.154,14.154,12.492,13.376,14.494,14.372,15.627,15.907,16.024,15.691,17.905,14.719,14.424,13.571,12.561,14.452,16.899,18.126,18.375,19.29,20.395,21.038,21.414,22.025,22.789,24.334,25.687,26.143,26.648,26.789,26.963,27.464,28.128,27.963,28.27,28.753,29.266,30.467,31.627
"37","30","          Nondurable goods","A725RG3",6.242,5.876,5.098,4.773,4.934,5.49,5.552,5.579,6.006,5.632,5.469,5.544,6.158,7.168,7.379,7.509,7.551,7.402,8.681,10.843,9.954,10.205,10.29,9.458,9.044,10.498,11.834,12.416,12.897,12.237,12.241,12.393,12.254,12.179,11.908,11.83,12.034,12.403,12.481,12.582,12.804
"38","31","          Services","A489RG3",32.395,31.44,29.604,28.648,26.632,26.693,29.479,25.062,25.134,25.588,25.302,23.926,29.829,17.115,14.857,12.317,12.569,12.335,13.594,14.283,15.085,16.231,18.845,16.943,17.764,17.437,18.659,18.794,19.411,20.061,16.27,16.084,16.678,17.319,17.221,17.823,18.538,19.023,20.353,21.231,22.505
"39","32","      Less: Own-account investment \4\","W088RG3",6.189,5.774,5.77,5.485,5.383,6.08,5.883,6.663,6.934,6.963,6.897,6.662,6.499,6.387,6.374,6.456,7.432,8.75,9.694,9.587,9.896,9.756,11.021,11.282,11.443,11.453,11.567,11.817,12.155,12.837,12.87,13.05,13.212,13.228,13.415,13.652,13.831,14.17,14.48,15.331,16.19
"40","33","            Sales to other sectors","W089RG3",6.927,6.501,5.939,5.46,5.27,5.739,5.897,5.947,6.389,6.339,6.359,6.505,6.93,7.418,7.517,7.615,7.881,8.89,10.889,11.714,11.937,12.126,12.926,13.121,13.496,14.008,14.278,14.41,15,15.381,15.771,15.969,16.005,16.072,16.216,16.484,16.492,16.555,17.015,17.883,18.656
"41","34","    Nondefense consumption expenditures \1\","A542RG3",5.533,5.209,5.339,5.144,5.214,5.53,5.493,6.353,6.398,6.58,6.415,6.098,6.171,6.234,6.216,5.564,6.667,8.538,8.718,8.36,9.015,8.832,9.239,9.719,10.018,10.077,10.582,10.738,11.147,12.002,11.981,12.133,12.57,12.958,13.164,13.858,14.301,14.9,15.294,16.339,17.217
"42","35","      Gross output of general government","W128RG3",5.979,5.624,5.765,5.556,5.656,6.01,5.952,6.795,6.852,7.05,6.871,6.572,6.651,6.703,6.718,6.158,6.951,8.292,8.685,8.391,9.026,8.862,9.284,9.74,10.026,10.092,10.591,10.769,11.183,12.007,11.991,12.147,12.563,12.948,13.165,13.852,14.29,14.885,15.278,16.338,17.231
"43","36","        Value added","W129RG3",3.236,2.988,3.252,3.267,3.513,3.771,3.5,4.128,4.126,4.236,4.05,3.868,3.691,3.566,3.587,3.904,4.092,5.19,5.231,4.912,5.49,5.36,5.747,5.997,6.261,6.28,6.723,7.104,7.403,8.203,8.397,8.645,9.107,9.343,9.746,10.318,10.726,11.139,11.387,12.293,12.998
"44","37","          Compensation of general government employees","W130RG3",2.095,1.923,2.134,2.181,2.363,2.531,2.332,2.779,2.78,2.862,2.732,2.588,2.419,2.236,2.377,2.465,3.029,4.049,3.971,3.666,4.182,4.085,4.4,4.637,4.854,4.897,5.286,5.638,5.898,6.62,6.774,6.981,7.383,7.581,7.899,8.407,8.761,9.106,9.294,10.076,10.649
"45","38","          Consumption of general government fixed capital \2\","B546RG3",17.232,16.617,15.529,13.561,13.482,14.92,15.217,15.433,15.242,15.038,14.678,15.427,16.913,18.239,16.836,19.276,17.25,19.22,21.912,22.227,22.556,21.964,22.98,22.813,23.514,22.937,23.57,23.722,24.174,24.731,25.343,25.924,26.536,27.024,28.444,28.994,29.656,30.645,31.582,33.334,35.339
"46","39","        Intermediate goods and services purchased \3\","W131RG3",14.735,14.27,13.22,11.712,10.605,11.063,12.472,12.876,13.439,13.932,14.415,13.839,16.111,17.131,16.613,13.321,15.575,17.315,18.542,18.98,19.33,18.819,18.288,19.599,19.861,20.061,20.66,20.057,20.71,20.993,20.46,20.328,20.41,21.173,20.862,21.784,22.272,23.291,24.035,25.368,26.665
"47","40","          Durable goods","A543RG3",35.67,35.254,35.41,35.357,35.606,34.857,37.584,36.034,34.332,32.435,32.907,34.876,38.007,41.876,36.733,43.009,36.978,37.132,38.136,39.001,39.335,39.235,40.575,40.17,40.917,40.331,41.217,40.374,40.55,42.397,49.13,56.953,58.685,60.887,63.862,67.77,64.03,64.62,66.077,68.877,70.548
"48","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RG3",11.782,11.861,12.223,12.457,12.117,12.212,12.377,12.481,12.558,12.665,12.919,13.219,14.146,13.758,14.467,14.06,14.517,14.534,16.905,16.777,16.766,18.576,18.059,20.213,20.321,21.597,21.928,21.728,22.117,23.39,23.019,23.991,24.852,25.592,26.022,26.653,27.775,28.833,29.747,31.013,31.755
"51","44","          Services","A544RG3",7.115,6.788,6.052,5.2,4.575,4.942,6.072,6.534,7.166,7.753,8.204,7.21,7.649,8.08,7.278,7.085,7.522,9.073,11.95,13.268,13.064,12.816,13.353,14.122,14.575,14.676,15.289,15.564,16.45,16.528,16.115,16.343,16.405,16.977,16.73,17.277,17.832,18.5,19.337,20.238,21.578
"52","45","      Less: Own-account investment \4\","W136RG3",4.264,3.89,4.018,3.997,4.15,4.438,4.336,4.744,4.825,4.987,4.83,4.854,4.902,4.86,4.829,4.985,5.467,6.448,6.479,6.283,6.822,6.817,7.18,7.499,7.734,7.906,8.339,8.724,9.098,9.82,10.134,10.522,10.933,11.252,11.651,12.245,12.661,13.075,13.478,14.298,15.095
"53","46","            Sales to other sectors","W137RG3",6.854,5.995,5.995,5.329,5.329,5.995,8.001,6.854,6.854,5.995,7.361,7.615,8.507,8.743,9.433,9.613,9.339,9.551,11.483,11.803,11.941,12.103,12.974,12.845,12.672,12.886,13.41,13.942,14.531,14.988,14.832,14.817,14.561,14.892,15.314,15.866,16.157,16.827,17.196,19.029,20.531
"54","47","State and local consumption expenditures \1\","A991RG3",4.13,4.087,3.94,3.699,3.718,3.924,4.005,3.851,3.952,3.917,3.885,3.94,4.143,4.507,4.844,5.061,5.248,5.735,6.376,7.131,7.256,7.445,8.07,8.476,8.735,9.056,9.292,9.751,10.2,10.485,10.812,11.158,11.528,11.952,12.258,12.554,12.915,13.602,14.505,15.321,16.346
"55","48","      Gross output of general government","W138RG3",4.057,4.005,3.848,3.604,3.611,3.811,3.901,3.752,3.849,3.832,3.808,3.862,4.044,4.382,4.699,4.901,5.08,5.567,6.163,6.868,6.974,7.16,7.751,8.125,8.367,8.658,8.878,9.297,9.719,9.989,10.289,10.633,10.972,11.354,11.638,11.919,12.263,12.895,13.703,14.469,15.432
"56","49","        Value added","W139RG3",3.18,3.187,3.137,2.975,2.983,3.115,3.156,3.047,3.107,3.145,3.142,3.187,3.289,3.501,3.766,3.984,4.164,4.525,5.054,5.704,5.843,5.995,6.523,6.902,7.136,7.448,7.661,8.064,8.46,8.724,8.972,9.318,9.676,10.097,10.41,10.702,11.043,11.684,12.557,13.343,14.29
"57","50","          Compensation of general government employees","B251RG3",2.782,2.821,2.821,2.728,2.692,2.773,2.831,2.683,2.743,2.791,2.798,2.847,2.894,2.999,3.214,3.487,3.686,3.992,4.401,4.978,5.143,5.348,5.747,6.116,6.376,6.737,6.949,7.267,7.65,7.952,8.209,8.587,8.96,9.38,9.692,9.986,10.314,10.936,11.814,12.578,13.484
"58","51","          Consumption of general government fixed capital \2\","B986RG3",8.768,8.213,7.33,6.113,6.795,7.684,7.445,7.963,8.004,7.888,7.75,7.729,8.591,10.264,11.202,10.687,10.613,11.72,13.98,15.597,15.259,14.477,16.937,17.352,17.08,16.507,16.686,18.316,18.793,18.372,18.408,18.148,18.191,18.507,18.771,18.965,19.425,20.187,20.812,21.756,23.108
"59","52","        Intermediate goods and services purchased \3\","W140RG3",8.067,7.644,6.905,6.266,6.267,6.773,7.077,6.763,7.012,6.78,6.676,6.771,7.282,8.165,8.699,8.767,8.897,9.968,10.78,11.609,11.51,11.839,12.648,12.909,13.136,13.224,13.421,13.824,14.282,14.505,15.022,15.284,15.446,15.544,15.621,15.792,16.087,16.581,16.962,17.534,18.449
"60","53","          Durable goods","B989RG3",11.363,11.243,10.517,10.146,10.601,12.233,11.939,12.583,12.703,13.026,12.79,13.027,13.459,13.772,12.904,12.658,13.019,14.517,17.167,18.733,19.019,19.648,21.66,22.056,22.128,22.619,24.556,25.707,24.942,24.95,24.773,25.178,26.14,26.126,26.599,27.159,27.63,28.825,29.712,30.947,32.227
"61","54","          Nondurable goods","B337RG3",9.697,9.235,8.193,7.207,7.23,7.86,8.589,7.778,8.284,7.757,7.659,7.883,8.594,9.815,10.462,10.551,10.705,12.475,13.709,15.109,14.038,14.509,15.987,15.734,15.801,15.74,15.776,16.226,16.845,16.569,16.192,16.331,16.445,16.512,16.602,16.709,17.074,17.696,17.982,18.466,19.152
"62","55","          Services","A988RG3",6.925,6.491,5.968,5.59,5.544,5.904,5.9,5.91,5.969,5.919,5.813,5.792,6.171,6.843,7.341,7.398,7.507,8.101,8.592,9.042,9.516,9.74,10.101,10.634,10.953,11.102,11.308,11.643,12.066,12.567,13.692,14.036,14.188,14.315,14.36,14.554,14.794,15.169,15.577,16.16,17.178
"63","56","      Less: Own-account investment \4\","W144RG3",4.335,4.397,4.396,4.25,4.195,4.321,4.411,4.181,4.275,4.35,4.361,4.438,4.511,4.675,5.008,5.436,5.744,6.247,6.716,7.611,7.844,8.161,8.765,9.324,9.725,10.273,10.595,11.079,11.662,12.129,12.015,12.282,12.508,12.739,12.936,13.09,13.404,13.923,14.624,15.337,16.236
"64","57","            Sales to other sectors","W145RG3",4.035,3.847,3.543,3.217,3.139,3.402,3.595,3.596,3.724,3.578,3.504,3.522,3.778,4.18,4.392,4.491,4.626,5.222,5.551,5.97,5.928,6.11,6.535,6.702,6.836,6.917,7.028,7.22,7.491,7.66,7.884,8.282,8.465,8.638,8.823,9.056,9.336,9.719,10.069,10.613,11.303
"65","58","              Tuition and related educational charges","B1065G3",2.688,2.688,2.565,2.441,2.256,2.318,2.287,2.318,2.379,2.379,2.379,2.379,2.441,2.565,2.781,2.967,3.121,3.337,3.532,3.726,3.77,3.854,4.025,4.048,4.072,4.172,4.289,4.444,4.543,4.605,4.841,4.965,5.097,5.278,5.461,5.68,5.926,6.231,6.544,6.941,7.404
"66","59","              Health and hospital charges","B1066G3",1.877,1.758,1.678,1.558,1.478,1.558,1.638,1.678,1.718,1.718,1.718,1.718,1.798,1.958,2.078,2.237,2.436,2.794,3.404,3.68,3.748,3.905,4.214,4.423,4.593,4.693,4.844,4.975,5.226,5.464,5.631,6.371,6.544,6.684,6.902,7.203,7.416,7.648,8.133,8.692,9.298
"67","60","              Other sales","W146RG3",8.692,8.257,7.287,6.394,6.462,7.193,7.723,7.62,7.953,7.433,7.183,7.238,7.889,8.834,9.219,9.246,9.348,10.581,10.879,11.711,11.515,11.846,12.677,12.95,13.167,13.264,13.394,13.744,14.225,14.425,14.776,15.043,15.329,15.584,15.792,16.032,16.485,17.196,17.484,18.231,19.349
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
