"","Table 5#5#3# Real Private Fixed Investment in Equipment and Soft","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"34","27","  Other equipment","B682RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.228,17.968,21.589,18.259,19.394,19.51,19.637,19.294,18.003,21.328,22.031,20.774,20.956,22.636,20.924,20.888,22.271,25.978,28.865,32.178,36.132,33.958,34.404,36.88
"35","28","    Furniture and fixtures","B667RA3",7.965,6.41,4.426,2.786,2.489,3.494,3.897,4.714,5.71,4.872,5.331,6.319,7.775,5.296,4.327,4.551,6.287,10.096,11.653,10.718,10.004,10.513,12.658,12.256,11.852,13.204,15.242,16.23,15.085,15.162,15.639,16.083,15.609,16.491,18.534,20.075,22.003,24.624,24.584,24.023,26.468
"36","29","    Agricultural machinery","B268RA3",22.1,20.577,10.796,5.777,3.691,6.574,13.16,18.618,23.718,20.759,18.467,21.851,31.484,22.677,13.13,31.393,35.745,27.947,48.454,63.448,63.239,63.6,63.147,58.948,54.603,47.59,54.145,45.026,43.673,54.963,56.991,45.253,46.296,49.249,60.929,65.664,71.335,82.467,83.173,77.716,78.101
"37","30","    Construction machinery","B269RA3",10.136,8.464,5.369,1.781,1.099,2.547,4.851,8.057,9.66,7.685,7.263,9.296,10.644,6.992,4.942,6.432,19.317,22.71,25.162,29.755,21.45,24.142,25.901,29.32,26.008,21.614,28.593,34.118,26.448,27.31,31.451,25.042,23.71,25.437,33.757,40.341,45.816,50.551,45.072,46.921,51.029
"38","31","    Mining and oilfield machinery","B270RA3",38.997,24.062,11.664,9.203,9.814,14.951,22.564,34.809,32.454,20.408,23.878,30.344,50.86,26.11,24.428,34.625,59.925,39.089,39.761,49.759,37.316,43.17,52.48,52.832,48.643,43.644,57.357,59.39,56.394,37.254,43.902,39.707,36.186,35.286,45.014,50.249,56.214,58.862,43.785,44.998,47.401
"39","32","    Service industry machinery","B570RA3",5.349,4.289,3.536,2.361,2.389,2.839,3.578,5.46,6.25,4.582,5.251,5.809,5.823,4.378,4.931,6.808,9.42,12.547,19.467,26.8,18.537,19.583,16.748,17.929,21.205,20.322,23.18,26.126,27.028,23.714,24.078,24.173,23.96,25.359,25.034,27.625,32.8,37.31,36.962,38.726,43.084
"40","33","    Electrical equipment, n.e.c.","B670RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.239,9.401,9.166,9.109,11.743,10.329,9.681,9.537,8.423,9.982,11.121,11.115,8.889,9.45,10.264,10.746,11.834,16.115,17.513,20.455,20.937,15.599,17.834,19.913
"41","34","    Other","B286RA3",2.528,2.175,1.707,1.319,1.335,1.478,1.675,2.002,1.756,1.523,1.724,2.131,2.61,1.965,1.735,1.883,2.236,3.72,4.753,5.234,4.613,4.887,4.391,4.615,4.856,4.751,5.539,5.659,5.735,6.524,7.899,8.56,9.301,10.324,11.255,12.555,13.465,15.334,13.553,14.974,16.157
"42","35","  Less: Sale of equipment scrap, excluding autos","B287RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.113,13.513,5.082,7.461,11.544,12.426,9.87,14.306,6.433,15.334,16.568,14.335,9.547,16.533,22.273,31.568,32.826,43.689,53.764,65.451,70.92,57.379,59.534,72.559
"43","36","Residential equipment","B013RA3",1.856,1.616,1.54,1.114,1.245,1.54,1.889,2.206,2.446,2.053,2.315,2.675,3.254,2.108,0.895,0.59,0.95,3.418,5.231,5.427,5.089,6.41,5.929,5.897,6.202,6.388,7.273,8.048,8.07,8.572,9.856,9.249,9.277,9.83,10.963,11.75,13.13,13.431,13.773,16.423,18.731
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. For 1929-45, includes electrical transmission, distribution, and industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","apparatus (line 18) and electrical equipment, n.e.c. (line 33).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","3. Includes net purchases of used vehicles; additional information is available in table 7.2.3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
